movement_id,sku_id,batch_id,warehouse_id,location_id,movement_date,movement_type,quantity,source_location_id,destination_location_id,reason_code,related_po_id,related_order_id
MOV-00001,SKU-COF-001,BATCH-001-01,WH-001,LOC-FP-001,2026-06-02,RECEIPT,12,,LOC-FP-001,PO_RECEIPT,PO-1001,
MOV-00002,SKU-COF-001,BATCH-001-01,WH-001,LOC-FP-001,2026-05-30,PUTAWAY,16,LOC-FP-001,LOC-FP-001,STANDARD_PUTAWAY,PO-1002,
MOV-00003,SKU-COF-001,BATCH-001-01,WH-001,LOC-FP-001,2026-05-26,PICK,-20,LOC-FP-001,,CUSTOMER_PICK,,ORD-2003
MOV-00004,SKU-COF-001,BATCH-001-01,WH-001,LOC-FP-001,2026-05-22,SHIP,-24,LOC-FP-001,,CUSTOMER_SHIPMENT,,ORD-2004
MOV-00005,SKU-COF-001,BATCH-001-01,WH-001,LOC-FP-001,2026-05-18,DEMAND,-28,LOC-FP-001,,DEMAND_CONSUMPTION,,ORD-2005
MOV-00006,SKU-COF-001,BATCH-001-01,WH-001,LOC-FP-001,2026-05-14,TRANSFER,-32,LOC-FP-001,LOC-FP-001,ZONE_TRANSFER,,
MOV-00007,SKU-COF-001,BATCH-001-01,WH-001,LOC-FP-001,2026-05-10,ADJUSTMENT,4,LOC-FP-001,,CYCLE_COUNT,,
MOV-00008,SKU-TEA-002,BATCH-002-01,WH-001,LOC-CP-001,2026-05-31,RECEIPT,12,,LOC-CP-001,PO_RECEIPT,PO-1008,
MOV-00009,SKU-TEA-002,BATCH-002-01,WH-001,LOC-CP-001,2026-05-26,PUTAWAY,16,LOC-CP-001,LOC-CP-001,STANDARD_PUTAWAY,PO-1009,
MOV-00010,SKU-TEA-002,BATCH-002-01,WH-001,LOC-CP-001,2026-05-19,PICK,-20,LOC-CP-001,,CUSTOMER_PICK,,ORD-2010
MOV-00011,SKU-SUN-003,BATCH-003-01,WH-001,LOC-TC-001,2026-05-27,RECEIPT,12,,LOC-TC-001,PO_RECEIPT,PO-1011,
MOV-00012,SKU-SUN-003,BATCH-003-01,WH-001,LOC-TC-001,2026-05-21,PUTAWAY,16,LOC-TC-001,LOC-TC-001,STANDARD_PUTAWAY,PO-1012,
MOV-00013,SKU-SUN-003,BATCH-003-01,WH-001,LOC-TC-001,2026-04-30,PICK,-20,LOC-TC-001,,CUSTOMER_PICK,,ORD-2013
MOV-00014,SKU-SUP-004,BATCH-004-01,WH-001,LOC-TC-002,2026-06-03,RECEIPT,12,,LOC-TC-002,PO_RECEIPT,PO-1014,
