location_id,warehouse_id,zone,aisle,rack,shelf_level,x_coord,y_coord,distance_to_dock,distance_to_exit,distance_to_entrance,capacity_units,capacity_volume_m3,capacity_weight_kg,used_units,used_volume_m3,used_weight_kg,free_units,free_volume_m3,free_weight_kg,location_type,forklift_accessible,temperature_controlled,security_controlled,heavy_item_allowed,fragile_item_allowed,perishable_item_allowed
LOC-RC-001,WH-001,RECEIVING,R1,A,1,6,5,2.83,52.04,5.0,250,35,2400,112,15.75,1080.0,138,19.25,1320.0,STAGING,True,False,False,True,True,True
LOC-PL-001,WH-001,PALLET_STORAGE,P1,A,1,14,12,13.45,44.91,15.62,500,90,9000,280,50.4,5040.0,220,39.6,3960.0,PALLET_RACK,True,False,False,True,False,False
LOC-PL-002,WH-001,PALLET_STORAGE,P2,B,2,24,16,23.85,36.4,26.08,480,84,8500,321,56.28,5695.0,159,27.72,2805.0,PALLET_RACK,True,False,False,True,False,False
LOC-CP-001,WH-001,CASE_PICKING,C1,A,2,10,24,21.84,52.39,23.41,360,45,3500,280,35.1,2730.0,80,9.9,770.0,CASE_FLOW,True,False,False,False,True,True
LOC-EP-001,WH-001,EACH_PICKING,E1,A,3,8,30,27.29,56.82,28.64,220,20,1200,195,17.8,1068.0,25,2.2,132.0,SHELVING,False,False,True,False,True,False
LOC-FP-001,WH-001,FAST_PICK,F1,A,1,12,8,9.43,46.27,11.66,420,40,2800,189,18.0,1260.0,231,22.0,1540.0,FAST_PICK,True,False,False,False,True,False
LOC-SP-001,WH-001,SLOW_PICK,S1,C,4,42,28,45.49,29.68,47.71,180,30,1800,100,16.8,1008.0,80,13.2,792.0,SHELVING,False,False,False,False,True,False
LOC-BK-001,WH-001,BULK_STORAGE,B1,A,1,48,20,47.17,19.72,49.4,1000,160,15000,1045,107.2,10050.0,-45,52.8,4950.0,BULK_FLOOR,True,False,False,True,False,False
LOC-RT-001,WH-001,RETURNS,R2,A,1,50,6,46.1,8.54,48.17,130,18,1300,101,14.04,1014.0,29,3.96,286.0,RETURNS_STAGING,True,False,False,False,True,True
LOC-QA-001,WH-001,QUARANTINE,Q1,A,1,54,12,50.8,9.85,52.95,90,15,900,80,13.35,801.0,10,1.65,99.0,CAGE,False,True,True,False,True,True
LOC-SH-001,WH-001,SHIPPING,S2,A,1,56,4,52.01,2.24,54.04,260,32,2400,117,14.4,1080.0,143,17.6,1320.0,STAGING,True,False,False,True,True,False
LOC-TC-001,WH-001,CASE_PICKING,T1,A,1,18,30,30.41,48.26,32.25,260,28,1800,145,15.68,1008.0,115,12.32,792.0,TEMP_CASE,True,True,False,False,True,True
LOC-TC-002,WH-001,PALLET_STORAGE,T2,B,1,30,30,37.48,38.9,39.6,340,65,5400,227,43.55,3618.0,113,21.45,1782.0,TEMP_PALLET,True,True,False,True,True,True
LOC-TC-003,WH-001,EACH_PICKING,T3,C,2,20,32,33.12,47.8,34.99,190,18,1000,148,14.04,780.0,42,3.96,220.0,TEMP_SHELF,False,True,False,False,True,True
LOC-SC-001,WH-001,EACH_PICKING,SEC1,A,2,34,8,30.41,24.52,32.56,160,14,900,142,12.46,801.0,18,1.54,99.0,SECURE_SHELF,False,False,True,False,True,False
LOC-SC-002,WH-001,SLOW_PICK,SEC2,B,3,46,32,51.04,31.38,53.25,140,16,850,63,7.2,382.5,77,8.8,467.5,SECURE_SHELF,False,False,True,False,True,False
