date,sku_id,quantity_demanded,location_id,channel,sales_value,event_label,notes,is_invalid_quantity,event_count,has_event,before_event_flag,during_event_flag,after_event_flag,promotion_flag,holiday_flag,stockout_flag,breakdown_flag,marketing_flag,event_names,event_types,day_of_week,week_of_year,month,quarter,weekend_flag,month_start_flag,month_end_flag,lag_1,lag_3,lag_7,lag_14,lag_30,rolling_mean_7,rolling_std_7,rolling_mean_14,rolling_std_14,rolling_mean_30,rolling_std_30,rolling_min_30,rolling_max_30,demand_change_1,demand_change_7,rolling_trend_7,rolling_trend_30,momentum_7,momentum_30,recent_event_count_7,recent_event_count_30,anomaly_recent_flag,anomaly_count_30,demand_behavior_class,coefficient_of_variation,zero_demand_ratio,event_affected_ratio,data_sufficiency_class
2026-01-01,SKU-BAT-008,7,WH-NORTH,retail,33.25,,,False,1,1,0,1,0,0,1,0,0,0,New Year Holiday,holiday,3,1,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,0.0,0.0,0,0.0,intermittent,1.7252946396530315,0.6574585635359116,0.08287292817679558,high
2026-01-02,SKU-BAT-008,0,WH-NORTH,retail,0.0,,,False,1,1,0,0,1,0,1,0,0,0,New Year Holiday,holiday,4,1,1,1,0,0,0,7.0,,,,,7.0,,7.0,,7.0,,7.0,7.0,-7.0,,0.0,0.0,,,1.0,1.0,0,0.0,intermittent,1.7252946396530315,0.6574585635359116,0.08287292817679558,high
2026-01-03,SKU-BAT-008,0,WH-NORTH,online,0.0,,,False,0,0,0,0,0,0,0,0,0,0,,,5,1,1,1,1,0,0,0.0,,,,,3.5,4.949747468305833,3.5,4.949747468305833,3.5,4.949747468305833,0.0,7.0,0.0,,0.0,0.0,,,2.0,2.0,0,0.0,intermittent,1.7252946396530315,0.6574585635359116,0.08287292817679558,high
2026-01-04,SKU-BAT-008,0,WH-NORTH,online,0.0,,,False,0,0,0,0,0,0,0,0,0,0,,,6,1,1,1,1,0,0,0.0,7.0,,,,2.3333333333333335,4.041451884327381,2.3333333333333335,4.041451884327381,2.3333333333333335,4.041451884327381,0.0,7.0,0.0,,0.0,0.0,,,2.0,2.0,0,0.0,intermittent,1.7252946396530315,0.6574585635359116,0.08287292817679558,high
2026-01-05,SKU-BAT-008,0,WH-NORTH,retail,0.0,,,False,0,0,0,0,0,0,0,0,0,0,,,0,2,1,1,0,0,0,0.0,0.0,,,,1.75,3.5,1.75,3.5,1.75,3.5,0.0,7.0,0.0,,0.0,0.0,,,2.0,2.0,0,0.0,intermittent,1.7252946396530315,0.6574585635359116,0.08287292817679558,high
2026-01-06,SKU-BAT-008,0,WH-NORTH,retail,0.0,,,False,0,0,0,0,0,0,0,0,0,0,,,1,2,1,1,0,0,0,0.0,0.0,,,,1.4,3.1304951684997055,1.4,3.1304951684997055,1.4,3.1304951684997055,0.0,7.0,0.0,,0.0,0.0,,,2.0,2.0,0,0.0,intermittent,1.7252946396530315,0.6574585635359116,0.08287292817679558,high
2026-01-07,SKU-BAT-008,0,WH-NORTH,retail,0.0,,,False,0,0,0,0,0,0,0,0,0,0,,,2,2,1,1,0,0,0,0.0,0.0,,,,1.1666666666666667,2.8577380332470415,1.1666666666666667,2.8577380332470415,1.1666666666666667,2.8577380332470415,0.0,7.0,0.0,,0.0,0.0,,,2.0,2.0,0,0.0,intermittent,1.7252946396530315,0.6574585635359116,0.08287292817679558,high
2026-01-08,SKU-BAT-008,7,WH-NORTH,retail,33.25,,,False,0,0,0,0,0,0,0,0,0,0,,,3,2,1,1,0,0,0,0.0,0.0,7.0,,,1.0,2.6457513110645907,1.0,2.6457513110645907,1.0,2.6457513110645907,0.0,7.0,7.0,0.0,0.0,0.0,-7.0,,2.0,2.0,0,0.0,intermittent,1.7252946396530315,0.6574585635359116,0.08287292817679558,high
2026-01-09,SKU-BAT-008,8,WH-NORTH,retail,38.0,,,False,0,0,0,0,0,0,0,0,0,0,,,4,2,1,1,0,0,0,7.0,0.0,0.0,,,1.0,2.6457513110645907,1.75,3.24037034920393,1.75,3.24037034920393,0.0,7.0,1.0,8.0,-0.75,-0.75,7.0,,1.0,2.0,0,0.0,intermittent,1.7252946396530315,0.6574585635359116,0.08287292817679558,high
2026-01-10,SKU-BAT-008,6,WH-NORTH,online,28.5,,,False,0,0,0,0,0,0,0,0,0,0,,,5,2,1,1,1,0,0,8.0,0.0,0.0,,,2.142857142857143,3.670993118515816,2.4444444444444446,3.6780127484523186,2.4444444444444446,3.6780127484523186,0.0,8.0,-2.0,6.0,-0.30158730158730185,-0.30158730158730185,8.0,,0.0,2.0,0,0.0,intermittent,1.7252946396530315,0.6574585635359116,0.08287292817679558,high
