date,sku_id,quantity_demanded,location_id,channel,sales_value,event_label,notes
2026-01-01,SKU-COF-001,37,WH-NORTH,retail,299.7,New Year Holiday,
2026-01-02,SKU-COF-001,47,WH-NORTH,retail,380.7,,
2026-01-03,SKU-COF-001,33,WH-NORTH,online,267.3,,
2026-01-04,SKU-COF-001,32,WH-NORTH,online,259.2,,
2026-01-05,SKU-COF-001,47,WH-NORTH,retail,380.7,,
2026-01-06,SKU-COF-001,49,WH-NORTH,retail,396.9,,
2026-01-07,SKU-COF-001,45,WH-NORTH,retail,364.5,,
2026-01-08,SKU-COF-001,45,WH-NORTH,retail,364.5,,
2026-01-09,SKU-COF-001,46,WH-NORTH,retail,372.6,,
2026-01-10,SKU-COF-001,33,WH-NORTH,online,267.3,,
2026-01-11,SKU-COF-001,31,WH-NORTH,online,251.1,,
2026-01-12,SKU-COF-001,46,WH-NORTH,retail,372.6,,
2026-01-13,SKU-COF-001,51,WH-NORTH,retail,413.1,,
2026-01-14,SKU-COF-001,48,WH-NORTH,retail,388.8,,
2026-01-15,SKU-COF-001,46,WH-NORTH,retail,372.6,,
2026-01-16,SKU-COF-001,47,WH-NORTH,retail,380.7,,
2026-01-17,SKU-COF-001,37,WH-NORTH,online,299.7,,
2026-01-18,SKU-COF-001,33,WH-NORTH,online,267.3,,
2026-01-19,SKU-COF-001,46,WH-NORTH,retail,372.6,,
2026-01-20,SKU-COF-001,52,WH-NORTH,retail,421.2,,
2026-01-21,SKU-COF-001,49,WH-NORTH,retail,396.9,,
2026-01-22,SKU-COF-001,44,WH-NORTH,retail,356.4,,
2026-01-23,SKU-COF-001,45,WH-NORTH,retail,364.5,,
2026-01-24,SKU-COF-001,36,WH-NORTH,online,291.6,,
2026-01-25,SKU-COF-001,33,WH-NORTH,online,267.3,,
2026-01-26,SKU-COF-001,44,WH-NORTH,retail,356.4,,
2026-01-27,SKU-COF-001,52,WH-NORTH,retail,421.2,,
2026-01-28,SKU-COF-001,51,WH-NORTH,retail,413.1,,
2026-01-29,SKU-COF-001,45,WH-NORTH,retail,364.5,,
2026-01-30,SKU-COF-001,46,WH-NORTH,retail,372.6,,
2026-01-31,SKU-COF-001,39,WH-NORTH,online,315.9,,
2026-02-01,SKU-COF-001,35,WH-NORTH,online,283.5,,
2026-02-02,SKU-COF-001,45,WH-NORTH,retail,364.5,,
2026-02-03,SKU-COF-001,3,WH-NORTH,retail,24.3,Anomaly,Supply disruption - unusually low demand
2026-02-04,SKU-COF-001,52,WH-NORTH,retail,421.2,,
2026-02-05,SKU-COF-001,46,WH-NORTH,retail,372.6,,
2026-02-06,SKU-COF-001,44,WH-NORTH,retail,356.4,,
2026-02-07,SKU-COF-001,38,WH-NORTH,online,307.8,,
2026-02-08,SKU-COF-001,35,WH-NORTH,online,283.5,,
2026-02-09,SKU-COF-001,43,WH-NORTH,retail,348.3,,
2026-02-10,SKU-COF-001,50,WH-NORTH,retail,405.0,,
2026-02-11,SKU-COF-001,53,WH-NORTH,retail,429.3,,
2026-02-12,SKU-COF-001,47,WH-NORTH,retail,380.7,,
2026-02-13,SKU-COF-001,44,WH-NORTH,retail,356.4,,
2026-02-14,SKU-COF-001,39,WH-NORTH,online,315.9,,
2026-02-15,SKU-COF-001,39,WH-NORTH,online,315.9,,
2026-02-16,SKU-COF-001,45,WH-NORTH,retail,364.5,,
2026-02-17,SKU-COF-001,50,WH-NORTH,retail,405.0,,
2026-02-18,SKU-COF-001,55,WH-NORTH,retail,445.5,,
2026-02-19,SKU-COF-001,49,WH-NORTH,retail,396.9,,
2026-02-20,SKU-COF-001,43,WH-NORTH,retail,348.3,,
2026-02-21,SKU-COF-001,37,WH-NORTH,online,299.7,,
2026-02-22,SKU-COF-001,38,WH-NORTH,online,307.8,,
2026-02-23,SKU-COF-001,45,WH-NORTH,retail,364.5,,
2026-02-24,SKU-COF-001,48,WH-NORTH,retail,388.8,,
2026-02-25,SKU-COF-001,53,WH-NORTH,retail,429.3,,
2026-02-26,SKU-COF-001,50,WH-NORTH,retail,405.0,,
2026-02-27,SKU-COF-001,43,WH-NORTH,retail,348.3,,
2026-02-28,SKU-COF-001,36,WH-NORTH,online,291.6,,
2026-03-01,SKU-COF-001,40,WH-NORTH,online,324.0,,
2026-03-02,SKU-COF-001,48,WH-NORTH,retail,388.8,,
2026-03-03,SKU-COF-001,49,WH-NORTH,retail,396.9,,
2026-03-04,SKU-COF-001,54,WH-NORTH,retail,437.4,,
2026-03-05,SKU-COF-001,52,WH-NORTH,retail,421.2,,
2026-03-06,SKU-COF-001,44,WH-NORTH,retail,356.4,,
2026-03-07,SKU-COF-001,35,WH-NORTH,online,283.5,,
2026-03-08,SKU-COF-001,39,WH-NORTH,online,315.9,,
2026-03-09,SKU-COF-001,48,WH-NORTH,retail,388.8,,
2026-03-10,SKU-COF-001,47,WH-NORTH,retail,380.7,,
2026-03-11,SKU-COF-001,51,WH-NORTH,retail,413.1,,
2026-03-12,SKU-COF-001,52,WH-NORTH,retail,421.2,,
2026-03-13,SKU-COF-001,44,WH-NORTH,retail,356.4,,
2026-03-14,SKU-COF-001,34,WH-NORTH,online,275.4,,
2026-03-15,SKU-COF-001,39,WH-NORTH,online,315.9,,
2026-03-16,SKU-COF-001,50,WH-NORTH,retail,405.0,,
2026-03-17,SKU-COF-001,49,WH-NORTH,retail,396.9,,
2026-03-18,SKU-COF-001,52,WH-NORTH,retail,421.2,,
2026-03-19,SKU-COF-001,53,WH-NORTH,retail,429.3,,
2026-03-20,SKU-COF-001,47,WH-NORTH,retail,380.7,,
2026-03-21,SKU-COF-001,34,WH-NORTH,online,275.4,,
2026-03-22,SKU-COF-001,38,WH-NORTH,online,307.8,,
2026-03-23,SKU-COF-001,51,WH-NORTH,retail,413.1,,
2026-03-24,SKU-COF-001,49,WH-NORTH,retail,396.9,,
2026-03-25,SKU-COF-001,49,WH-NORTH,retail,396.9,,
2026-03-26,SKU-COF-001,51,WH-NORTH,retail,413.1,,
2026-03-27,SKU-COF-001,47,WH-NORTH,retail,380.7,,
2026-03-28,SKU-COF-001,33,WH-NORTH,online,267.3,,
2026-03-29,SKU-COF-001,36,WH-NORTH,online,291.6,,
2026-03-30,SKU-COF-001,51,WH-NORTH,retail,413.1,,
2026-03-31,SKU-COF-001,51,WH-NORTH,retail,413.1,,
2026-04-01,SKU-COF-001,50,WH-NORTH,retail,405.0,,
2026-04-02,SKU-COF-001,52,WH-NORTH,retail,421.2,,
2026-04-03,SKU-COF-001,50,WH-NORTH,retail,405.0,,
2026-04-04,SKU-COF-001,35,WH-NORTH,online,283.5,,
2026-04-05,SKU-COF-001,44,WH-NORTH,online,356.4,Easter Holiday,
2026-04-06,SKU-COF-001,51,WH-NORTH,retail,413.1,,
2026-04-07,SKU-COF-001,52,WH-NORTH,retail,421.2,,
2026-04-08,SKU-COF-001,48,WH-NORTH,retail,388.8,,
2026-04-09,SKU-COF-001,49,WH-NORTH,retail,396.9,,
2026-04-10,SKU-COF-001,49,WH-NORTH,retail,396.9,,
2026-04-11,SKU-COF-001,34,WH-NORTH,online,275.4,,
2026-04-12,SKU-COF-001,34,WH-NORTH,online,275.4,,
2026-04-13,SKU-COF-001,49,WH-NORTH,retail,396.9,,
2026-04-14,SKU-COF-001,53,WH-NORTH,retail,429.3,,
2026-04-15,SKU-COF-001,49,WH-NORTH,retail,396.9,,
2026-04-16,SKU-COF-001,49,WH-NORTH,retail,396.9,,
2026-04-17,SKU-COF-001,50,WH-NORTH,retail,405.0,,
2026-04-18,SKU-COF-001,37,WH-NORTH,online,299.7,,
2026-04-19,SKU-COF-001,35,WH-NORTH,online,283.5,,
2026-04-20,SKU-COF-001,49,WH-NORTH,retail,396.9,,
2026-04-21,SKU-COF-001,54,WH-NORTH,retail,437.4,,
2026-04-22,SKU-COF-001,50,WH-NORTH,retail,405.0,,
2026-04-23,SKU-COF-001,47,WH-NORTH,retail,380.7,,
2026-04-24,SKU-COF-001,48,WH-NORTH,retail,388.8,,
2026-04-25,SKU-COF-001,37,WH-NORTH,online,299.7,,
2026-04-26,SKU-COF-001,33,WH-NORTH,online,267.3,,
2026-04-27,SKU-COF-001,46,WH-NORTH,retail,372.6,,
2026-04-28,SKU-COF-001,53,WH-NORTH,retail,429.3,,
2026-04-29,SKU-COF-001,51,WH-NORTH,retail,413.1,,
2026-04-30,SKU-COF-001,46,WH-NORTH,retail,372.6,,
2026-05-01,SKU-COF-001,48,WH-NORTH,retail,388.8,,
2026-05-02,SKU-COF-001,39,WH-NORTH,online,315.9,,
2026-05-03,SKU-COF-001,35,WH-NORTH,online,283.5,,
2026-05-04,SKU-COF-001,46,WH-NORTH,retail,372.6,,
2026-05-05,SKU-COF-001,54,WH-NORTH,retail,437.4,,
2026-05-06,SKU-COF-001,53,WH-NORTH,retail,429.3,,
2026-05-07,SKU-COF-001,46,WH-NORTH,retail,372.6,,
2026-05-08,SKU-COF-001,45,WH-NORTH,retail,364.5,,
2026-05-09,SKU-COF-001,38,WH-NORTH,online,307.8,,
2026-05-10,SKU-COF-001,35,WH-NORTH,online,283.5,,
2026-05-11,SKU-COF-001,44,WH-NORTH,retail,356.4,,
2026-05-12,SKU-COF-001,51,WH-NORTH,retail,413.1,,
2026-05-13,SKU-COF-001,52,WH-NORTH,retail,421.2,,
2026-05-14,SKU-COF-001,46,WH-NORTH,retail,372.6,,
2026-05-15,SKU-COF-001,44,WH-NORTH,retail,356.4,,
2026-05-16,SKU-COF-001,39,WH-NORTH,online,315.9,,
2026-05-17,SKU-COF-001,37,WH-NORTH,online,299.7,,
2026-05-18,SKU-COF-001,45,WH-NORTH,retail,364.5,,
2026-05-19,SKU-COF-001,51,WH-NORTH,retail,413.1,,
2026-05-20,SKU-COF-001,54,WH-NORTH,retail,437.4,,
2026-05-21,SKU-COF-001,48,WH-NORTH,retail,388.8,,
2026-05-22,SKU-COF-001,43,WH-NORTH,retail,348.3,,
2026-05-23,SKU-COF-001,37,WH-NORTH,online,299.7,,
2026-05-24,SKU-COF-001,37,WH-NORTH,online,299.7,,
2026-05-25,SKU-COF-001,58,WH-NORTH,retail,469.8,Memorial Day,
2026-05-26,SKU-COF-001,48,WH-NORTH,retail,388.8,,
2026-05-27,SKU-COF-001,52,WH-NORTH,retail,421.2,,
2026-05-28,SKU-COF-001,47,WH-NORTH,retail,380.7,,
2026-05-29,SKU-COF-001,41,WH-NORTH,retail,332.1,,
2026-05-30,SKU-COF-001,36,WH-NORTH,online,291.6,,
2026-05-31,SKU-COF-001,38,WH-NORTH,online,307.8,,
2026-06-01,SKU-COF-001,45,WH-NORTH,retail,364.5,,
2026-06-02,SKU-COF-001,48,WH-NORTH,retail,388.8,,
2026-06-03,SKU-COF-001,53,WH-NORTH,retail,429.3,,
2026-06-04,SKU-COF-001,50,WH-NORTH,retail,405.0,,
2026-06-05,SKU-COF-001,42,WH-NORTH,retail,340.2,,
2026-06-06,SKU-COF-001,35,WH-NORTH,online,283.5,,
2026-06-07,SKU-COF-001,38,WH-NORTH,online,307.8,,
2026-06-08,SKU-COF-001,45,WH-NORTH,retail,364.5,,
2026-06-09,SKU-COF-001,45,WH-NORTH,retail,364.5,,
2026-06-10,SKU-COF-001,50,WH-NORTH,retail,405.0,,
2026-06-11,SKU-COF-001,49,WH-NORTH,retail,396.9,,
2026-06-12,SKU-COF-001,41,WH-NORTH,retail,332.1,,
2026-06-13,SKU-COF-001,32,WH-NORTH,online,259.2,,
2026-06-14,SKU-COF-001,37,WH-NORTH,online,299.7,,
2026-06-15,SKU-COF-001,46,WH-NORTH,retail,372.6,,
2026-06-16,SKU-COF-001,46,WH-NORTH,retail,372.6,,
2026-06-17,SKU-COF-001,50,WH-NORTH,retail,405.0,,
2026-06-18,SKU-COF-001,51,WH-NORTH,retail,413.1,,
2026-06-19,SKU-COF-001,43,WH-NORTH,retail,348.3,,
2026-06-20,SKU-COF-001,32,WH-NORTH,online,259.2,,
2026-06-21,SKU-COF-001,37,WH-NORTH,online,299.7,,
2026-06-22,SKU-COF-001,47,WH-NORTH,retail,380.7,,
2026-06-23,SKU-COF-001,45,WH-NORTH,retail,364.5,,
2026-06-24,SKU-COF-001,47,WH-NORTH,retail,380.7,,
2026-06-25,SKU-COF-001,49,WH-NORTH,retail,396.9,,
2026-06-26,SKU-COF-001,43,WH-NORTH,retail,348.3,,
2026-06-27,SKU-COF-001,30,WH-NORTH,online,243.0,,
2026-06-28,SKU-COF-001,35,WH-NORTH,online,283.5,,
2026-06-29,SKU-COF-001,47,WH-NORTH,retail,380.7,,
2026-06-30,SKU-COF-001,46,WH-NORTH,retail,372.6,,
2026-01-01,SKU-TEA-002,6,WH-SOUTH,retail,14.4,New Year Holiday,
2026-01-02,SKU-TEA-002,9,WH-SOUTH,retail,21.6,,
2026-01-03,SKU-TEA-002,6,WH-SOUTH,online,14.4,,
2026-01-04,SKU-TEA-002,5,WH-SOUTH,online,12.0,,
2026-01-05,SKU-TEA-002,8,WH-SOUTH,retail,19.2,,
2026-01-06,SKU-TEA-002,8,WH-SOUTH,retail,19.2,,
2026-01-07,SKU-TEA-002,4,WH-SOUTH,retail,9.6,,
2026-01-08,SKU-TEA-002,5,WH-SOUTH,retail,12.0,,
2026-01-09,SKU-TEA-002,8,WH-SOUTH,retail,19.2,,
2026-01-10,SKU-TEA-002,6,WH-SOUTH,online,14.4,,
2026-01-11,SKU-TEA-002,4,WH-SOUTH,online,9.6,,
2026-01-12,SKU-TEA-002,7,WH-SOUTH,retail,16.8,,
2026-01-13,SKU-TEA-002,10,WH-SOUTH,retail,24.0,,
2026-01-14,SKU-TEA-002,6,WH-SOUTH,retail,14.4,,
2026-01-15,SKU-TEA-002,6,WH-SOUTH,retail,14.4,,
2026-01-16,SKU-TEA-002,10,WH-SOUTH,retail,24.0,,
2026-01-17,SKU-TEA-002,10,WH-SOUTH,online,24.0,,
2026-01-18,SKU-TEA-002,6,WH-SOUTH,online,14.4,,
2026-01-19,SKU-TEA-002,7,WH-SOUTH,retail,16.8,,
2026-01-20,SKU-TEA-002,11,WH-SOUTH,retail,26.4,,
2026-01-21,SKU-TEA-002,7,WH-SOUTH,retail,16.8,,
