sku_id,product_name,category,demand_profile,demand_cv,demand_std_daily,average_daily_demand_observed,median_daily_demand_observed,max_daily_demand_observed,zero_demand_day_ratio,intermittency_ratio,average_demand_interval,demand_spikiness_score,demand_variability_class,champion_model,model_confidence_score,forecast_confidence_band,forecast_bias,bias_direction,bias_severity,underforecast_risk_flag,overforecast_risk_flag,forecast_demand_7d,forecast_demand_14d,forecast_demand_30d,forecast_demand_60d,forecast_demand_90d,average_daily_forecast_demand_7d,average_daily_forecast_demand_14d,average_daily_forecast_demand_30d,average_daily_forecast_demand_60d,average_daily_forecast_demand_90d,forecast_p10_30d,forecast_p50_30d,forecast_p90_30d,forecast_uncertainty_width_30d,forecast_uncertainty_ratio_30d,forecast_uncertainty_level,high_uncertainty_flag,seasonality_flag,seasonality_strength,seasonal_phase,seasonal_index,upcoming_event_flag,upcoming_event_count,next_event_name,next_event_start_date,event_uplift_factor,event_risk_window_flag,stockout_censored_demand_flag,suspected_stockout_days_30d,suspected_stockout_windows_30d,lost_sales_estimate_30d,adjusted_demand_30d,stockout_censor_method,stockout_censor_confidence,demand_urgency_score,demand_pressure_7d,demand_pressure_30d,demand_data_quality_score,demand_planning_warning_codes,downstream_planning_notes,forecast_value_added,forecast_value_added_pct,forecast_value_added_status,baseline_model,forecast_wape_7d,forecast_wape_30d,forecast_wape_90d,forecast_wape_7d_available_flag,forecast_wape_30d_available_flag,forecast_wape_90d_available_flag,prediction_interval_coverage_rate,prediction_interval_eligible_observations,prediction_interval_calibration_status,forecast_stability_pct,forecast_stability_status,previous_forecast_available_flag,forecast_stability_method,current_forecast_snapshot_id,previous_forecast_snapshot_id,forecast_stability_comparable_row_count,forecast_kpi_warning_codes
SKU-COF-001,House Blend Coffee 1kg,Grocery,SMOOTH,0.1603,7.1135,44.3757,46.0,58.0,0.0,0.0,1.0,1.307,STABLE,gradient_boosting,0.9789,HIGH,0.2004,OVERFORECAST,LOW,False,True,296.9471,595.9258,1283.9367,2573.9602,3863.9837,42.421,42.5661,42.7979,42.8993,42.9332,1253.9665,1283.9367,1284.0685,30.102,0.0234,LOW,False,False,0.0308,NON_SEASONAL,0.9799,False,0,,,1.0,False,False,0,0,0.0,1304.0,PHASE1_ZERO_STREAK_HEURISTIC,NONE,28.68,0.956,0.9644,1.0,FORECAST_HORIZON_FROM_TRUE_FUTURE_FORECAST,Stable demand profile; suitable for standard replenishment logic.,0.119503,0.961926,POSITIVE,naive,0.010146,0.00473,,True,True,False,0.833333,30,WELL_CALIBRATED,0.0,STABLE,True,FORECAST_QUANTITY_VECTOR_CHANGE_BY_SKU_AND_TARGET_DATE,2026-06-27T15:36:17,2026-06-27T15:18:40,90,FORECAST_WAPE_90D_UNAVAILABLE
SKU-TEA-002,Iced Tea Peach 500ml,Beverages,VARIABLE,0.605,17.5545,29.0166,32.0,148.0,0.0,0.0,1.0,5.1005,VARIABLE,gradient_boosting,0.9135,HIGH,-3.1891,UNDERFORECAST,HIGH,True,False,361.1815,724.0734,1582.1186,3208.8146,4835.5106,51.5974,51.7195,52.7373,53.4802,53.7279,1578.9026,1582.1186,1591.8594,12.9568,0.0082,LOW,False,True,0.578,PEAK,1.7548,False,0,,,1.0,False,False,0,0,0.0,1521.0,PHASE1_ZERO_STREAK_HEURISTIC,NONE,55.0,1.7782,1.8175,1.0,FORECAST_HORIZON_FROM_TRUE_FUTURE_FORECAST,Underforecast risk: downstream planning should review urgency and buffers.,0.143184,0.682706,POSITIVE,naive,0.006463,0.066546,,True,True,False,0.8,30,WELL_CALIBRATED,0.0,STABLE,True,FORECAST_QUANTITY_VECTOR_CHANGE_BY_SKU_AND_TARGET_DATE,2026-06-27T15:36:17,2026-06-27T15:18:40,90,FORECAST_WAPE_90D_UNAVAILABLE
SKU-SUN-003,SPF 50 Sunscreen 200ml,Personal Care,ERRATIC,1.0669,10.6046,9.9392,5.0,43.0,0.1381,0.1381,1.1613,4.3263,VARIABLE,naive,0.7201,HIGH,-0.8,UNDERFORECAST,MEDIUM,True,False,168.0,336.0,720.0,1440.0,2160.0,24.0,24.0,24.0,24.0,24.0,537.0,720.0,870.0,333.0,0.4625,MEDIUM,False,True,1.1026,PEAK,2.8967,False,0,,,1.0,False,False,0,0,0.0,860.0,PHASE1_ZERO_STREAK_HEURISTIC,NONE,55.0,2.4147,2.4147,1.0,FORECAST_HORIZON_FROM_TRUE_FUTURE_FORECAST,Underforecast risk: downstream planning should review urgency and buffers.,0.0,0.0,NEUTRAL,naive,0.095238,0.153488,,True,True,False,0.833333,30,WELL_CALIBRATED,0.0,STABLE,True,FORECAST_QUANTITY_VECTOR_CHANGE_BY_SKU_AND_TARGET_DATE,2026-06-27T15:36:17,2026-06-27T15:18:40,90,FORECAST_WAPE_90D_UNAVAILABLE
SKU-SUP-004,Winter Soup Mix 400g,Grocery,VARIABLE,0.5072,18.9095,37.2818,40.0,83.0,0.0,0.0,1.0,2.2263,VARIABLE,moving_average_7,0.8294,HIGH,1.0714,OVERFORECAST,HIGH,False,True,53.5958,107.0773,229.3571,458.6437,687.9307,7.6565,7.6484,7.6452,7.6441,7.6437,120.4999,229.3571,269.6427,149.1428,0.6503,MEDIUM,False,True,0.5201,OFF_SEASON,0.2936,False,0,,,1.0,False,False,0,0,0.0,329.0,PHASE1_ZERO_STREAK_HEURISTIC,NONE,6.16,0.2054,0.2051,1.0,FORECAST_HORIZON_FROM_TRUE_FUTURE_FORECAST,Use as downstream demand planning context with standard review.,0.036474,0.173913,POSITIVE,naive,0.25974,0.173252,,True,True,False,0.8,30,WELL_CALIBRATED,0.0,STABLE,True,FORECAST_QUANTITY_VECTOR_CHANGE_BY_SKU_AND_TARGET_DATE,2026-06-27T15:36:17,2026-06-27T15:18:40,90,FORECAST_WAPE_90D_UNAVAILABLE
SKU-CHC-005,Valentine Chocolate Box 250g,Confectionery,SMOOTH,0.2655,5.6096,21.1271,20.0,51.0,0.0,0.0,1.0,2.414,STABLE,gradient_boosting,0.9715,HIGH,-0.0013,NEUTRAL,LOW,False,False,133.0028,266.0056,570.012,1140.024,1710.036,19.0004,19.0004,19.0004,19.0004,19.0004,570.009,570.012,572.556,2.547,0.0045,LOW,False,False,0.1417,NON_SEASONAL,0.8958,False,0,,,1.0,False,False,0,0,0.0,570.0,PHASE1_ZERO_STREAK_HEURISTIC,NONE,26.98,0.8993,0.8993,1.0,FORECAST_HORIZON_FROM_TRUE_FUTURE_FORECAST,Stable demand profile; suitable for standard replenishment logic.,0.119196,0.970596,POSITIVE,naive,0.002165,0.003611,,True,True,False,0.866667,30,WELL_CALIBRATED,0.0,STABLE,True,FORECAST_QUANTITY_VECTOR_CHANGE_BY_SKU_AND_TARGET_DATE,2026-06-27T15:36:17,2026-06-27T15:18:40,90,FORECAST_WAPE_90D_UNAVAILABLE
SKU-BBQ-006,BBQ Charcoal 5kg,Outdoor,VARIABLE,0.9664,12.3282,12.7569,10.0,95.0,0.0829,0.0829,1.0909,7.4469,VARIABLE,gradient_boosting,0.877,HIGH,-0.2688,UNDERFORECAST,MEDIUM,True,False,175.058,350.096,750.1829,1500.3437,2250.503,25.0083,25.0069,25.0061,25.0057,25.0056,750.1829,750.1829,783.723,33.5401,0.0447,LOW,False,True,0.8774,PEAK,1.9627,False,0,,,1.0,False,False,0,0,0.0,745.0,PHASE1_ZERO_STREAK_HEURISTIC,NONE,55.0,1.9604,1.9602,1.0,FORECAST_HORIZON_FROM_TRUE_FUTURE_FORECAST,Underforecast risk: downstream planning should review urgency and buffers.,0.186695,0.933475,POSITIVE,naive,0.01113,0.013305,,True,True,False,0.933333,30,TOO_WIDE,0.0,STABLE,True,FORECAST_QUANTITY_VECTOR_CHANGE_BY_SKU_AND_TARGET_DATE,2026-06-27T15:36:17,2026-06-27T15:18:40,90,FORECAST_WAPE_90D_UNAVAILABLE
SKU-UMR-007,Compact Umbrella,Accessories,SMOOTH,0.1983,1.344,6.779,7.0,10.0,0.0,0.0,1.0,1.4751,STABLE,gradient_boosting,0.9781,HIGH,0.0334,NEUTRAL,LOW,False,False,42.0,84.0,180.0,360.0,540.0,6.0,6.0,6.0,6.0,6.0,179.997,180.0,180.0,0.003,0.0,LOW,False,False,0.0838,NON_SEASONAL,0.8504,False,0,,,1.0,False,False,0,0,0.0,173.0,PHASE1_ZERO_STREAK_HEURISTIC,NONE,26.55,0.8851,0.8851,1.0,FORECAST_HORIZON_FROM_TRUE_FUTURE_FORECAST,Stable demand profile; suitable for standard replenishment logic.,0.213866,0.973654,POSITIVE,naive,0.028582,0.005787,,True,True,False,0.866667,30,WELL_CALIBRATED,0.0,STABLE,True,FORECAST_QUANTITY_VECTOR_CHANGE_BY_SKU_AND_TARGET_DATE,2026-06-27T15:36:17,2026-06-27T15:18:40,90,FORECAST_WAPE_90D_UNAVAILABLE
SKU-BAT-008,Lithium Coin Battery CR2032,Electronics,INTERMITTENT,1.7253,4.909,2.8453,0.0,46.0,0.6575,0.6575,2.9508,16.167,ERRATIC,random_forest,0.6767,MEDIUM,0.4064,OVERFORECAST,MEDIUM,False,True,51.2425,102.3397,216.5637,423.2377,633.4046,7.3204,7.31,7.2188,7.054,7.0378,189.9687,216.5637,216.5637,26.595,0.1228,LOW,False,True,0.2847,BUILDUP,1.0809,False,0,,,1.0,False,True,6,1,48.0,140.0,PHASE1_ZERO_STREAK_HEURISTIC,MEDIUM,70.0,2.5728,2.5371,0.9,FORECAST_HORIZON_FROM_TRUE_FUTURE_FORECAST;POSSIBLE_STOCKOUT_CENSORED_DEMAND;HIGH_ZERO_DEMAND_RATIO,Use caution: possible censored demand may cause underforecasting.,0.563136,0.809508,POSITIVE,naive,0.03931,0.132516,,True,True,False,0.9,30,WELL_CALIBRATED,0.0,STABLE,True,FORECAST_QUANTITY_VECTOR_CHANGE_BY_SKU_AND_TARGET_DATE,2026-06-27T15:36:17,2026-06-27T15:18:40,90,FORECAST_WAPE_90D_UNAVAILABLE
SKU-FIL-009,Replacement Water Filter,Home,INTERMITTENT,1.9287,1.9394,1.0055,0.0,6.0,0.7624,0.7624,4.1707,5.967,ERRATIC,gradient_boosting,0.6927,MEDIUM,0.0,NEUTRAL,LOW,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.003,0.0,LOW,False,True,0.2115,OFF_SEASON,0.8132,False,0,,,1.0,False,True,7,1,28.0,53.0,PHASE1_ZERO_STREAK_HEURISTIC,MEDIUM,30.0,0.0,0.0,0.9,FORECAST_HORIZON_FROM_TRUE_FUTURE_FORECAST;POSSIBLE_STOCKOUT_CENSORED_DEMAND;HIGH_ZERO_DEMAND_RATIO,Use caution: possible censored demand may cause underforecasting.,0.799954,0.999943,POSITIVE,naive,,4.6e-05,,False,True,False,0.933333,30,TOO_WIDE,,UNAVAILABLE_ZERO_PRIOR_FORECAST_QUANTITY,True,UNAVAILABLE_REQUIRES_DISTINCT_FUTURE_FORECAST_SNAPSHOTS,2026-06-27T15:36:17,2026-06-27T15:18:40,90,FORECAST_WAPE_7D_UNAVAILABLE;FORECAST_WAPE_90D_UNAVAILABLE
SKU-GFT-010,Premium Gift Wrap Roll,Stationery,INTERMITTENT,2.2084,1.5251,0.6906,0.0,5.0,0.8177,0.8177,5.375,7.24,ERRATIC,gradient_boosting,0.6384,MEDIUM,0.0667,NEUTRAL,LOW,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.003,0.0,LOW,False,False,0.192,NON_SEASONAL,0.868,False,0,,,1.0,False,True,14,1,42.0,60.0,PHASE1_ZERO_STREAK_HEURISTIC,MEDIUM,30.0,0.0,0.0,0.9,FORECAST_HORIZON_FROM_TRUE_FUTURE_FORECAST;POSSIBLE_STOCKOUT_CENSORED_DEMAND;HIGH_ZERO_DEMAND_RATIO,Use caution: possible censored demand may cause underforecasting.,0.777742,0.87496,POSITIVE,naive,0.125015,0.111147,,True,True,False,0.866667,30,WELL_CALIBRATED,,UNAVAILABLE_ZERO_PRIOR_FORECAST_QUANTITY,True,UNAVAILABLE_REQUIRES_DISTINCT_FUTURE_FORECAST_SNAPSHOTS,2026-06-27T15:36:17,2026-06-27T15:18:40,90,FORECAST_WAPE_90D_UNAVAILABLE
