sku_id,champion_model,baseline_model,forecast_value_added,forecast_value_added_pct,forecast_value_added_status,champion_wape,baseline_wape,forecast_wape_7d,forecast_wape_30d,forecast_wape_90d,forecast_wape_7d_available_flag,forecast_wape_30d_available_flag,forecast_wape_90d_available_flag,horizon_accuracy_method,prediction_interval_coverage_rate,prediction_interval_eligible_observations,prediction_interval_calibration_status,forecast_stability_pct,forecast_stability_status,previous_forecast_available_flag,forecast_stability_method,current_forecast_snapshot_id,previous_forecast_snapshot_id,forecast_stability_comparable_row_count,forecast_kpi_warning_codes
SKU-BAT-008,random_forest,naive,0.563136,0.809508,POSITIVE,0.132516,0.695652,0.03931,0.132516,,True,True,False,BACKTEST_CHAMPION_ROWS,0.9,30,WELL_CALIBRATED,0.0,STABLE,True,FORECAST_QUANTITY_VECTOR_CHANGE_BY_SKU_AND_TARGET_DATE,2026-07-21T15:57:17,2026-07-21T15:22:22,90,FORECAST_WAPE_90D_UNAVAILABLE
SKU-BBQ-006,gradient_boosting,naive,0.186695,0.933475,POSITIVE,0.013305,0.2,0.01113,0.013305,,True,True,False,BACKTEST_CHAMPION_ROWS,0.933333,30,TOO_WIDE,0.0,STABLE,True,FORECAST_QUANTITY_VECTOR_CHANGE_BY_SKU_AND_TARGET_DATE,2026-07-21T15:57:17,2026-07-21T15:22:22,90,FORECAST_WAPE_90D_UNAVAILABLE
SKU-BIKE-MT-001,gradient_boosting,naive,0.106246,0.968355,POSITIVE,0.003472,0.109718,1.2e-05,0.003472,,True,True,False,BACKTEST_CHAMPION_ROWS,0.866667,30,WELL_CALIBRATED,0.0,STABLE,True,FORECAST_QUANTITY_VECTOR_CHANGE_BY_SKU_AND_TARGET_DATE,2026-07-21T15:57:17,2026-07-21T15:22:22,90,FORECAST_WAPE_90D_UNAVAILABLE
SKU-BIKE-ROAD-001,gradient_boosting,naive,0.071472,0.949882,POSITIVE,0.003771,0.075243,0.011234,0.003771,,True,True,False,BACKTEST_CHAMPION_ROWS,0.9,30,WELL_CALIBRATED,0.0,STABLE,True,FORECAST_QUANTITY_VECTOR_CHANGE_BY_SKU_AND_TARGET_DATE,2026-07-21T15:57:17,2026-07-21T15:22:22,90,FORECAST_WAPE_90D_UNAVAILABLE
SKU-CHC-005,gradient_boosting,naive,0.119196,0.970596,POSITIVE,0.003611,0.122807,0.002165,0.003611,,True,True,False,BACKTEST_CHAMPION_ROWS,0.866667,30,WELL_CALIBRATED,0.0,STABLE,True,FORECAST_QUANTITY_VECTOR_CHANGE_BY_SKU_AND_TARGET_DATE,2026-07-21T15:57:17,2026-07-21T15:22:22,90,FORECAST_WAPE_90D_UNAVAILABLE
SKU-COF-001,gradient_boosting,naive,0.119503,0.961926,POSITIVE,0.00473,0.124233,0.010146,0.00473,,True,True,False,BACKTEST_CHAMPION_ROWS,0.833333,30,WELL_CALIBRATED,0.0,STABLE,True,FORECAST_QUANTITY_VECTOR_CHANGE_BY_SKU_AND_TARGET_DATE,2026-07-21T15:57:17,2026-07-21T15:22:22,90,FORECAST_WAPE_90D_UNAVAILABLE
SKU-FIL-009,gradient_boosting,naive,0.799954,0.999943,POSITIVE,4.6e-05,0.8,,4.6e-05,,False,True,False,BACKTEST_CHAMPION_ROWS,0.933333,30,TOO_WIDE,,UNAVAILABLE_ZERO_PRIOR_FORECAST_QUANTITY,True,UNAVAILABLE_REQUIRES_DISTINCT_FUTURE_FORECAST_SNAPSHOTS,2026-07-21T15:57:17,2026-07-21T15:22:22,90,FORECAST_WAPE_7D_UNAVAILABLE;FORECAST_WAPE_90D_UNAVAILABLE
SKU-GFT-010,gradient_boosting,naive,0.777742,0.87496,POSITIVE,0.111147,0.888889,0.125015,0.111147,,True,True,False,BACKTEST_CHAMPION_ROWS,0.866667,30,WELL_CALIBRATED,,UNAVAILABLE_ZERO_PRIOR_FORECAST_QUANTITY,True,UNAVAILABLE_REQUIRES_DISTINCT_FUTURE_FORECAST_SNAPSHOTS,2026-07-21T15:57:17,2026-07-21T15:22:22,90,FORECAST_WAPE_90D_UNAVAILABLE
SKU-SUN-003,naive,naive,0.0,0.0,NEUTRAL,0.153488,0.153488,0.095238,0.153488,,True,True,False,BACKTEST_CHAMPION_ROWS,0.833333,30,WELL_CALIBRATED,0.0,STABLE,True,FORECAST_QUANTITY_VECTOR_CHANGE_BY_SKU_AND_TARGET_DATE,2026-07-21T15:57:17,2026-07-21T15:22:22,90,FORECAST_WAPE_90D_UNAVAILABLE
SKU-SUP-004,moving_average_7,naive,0.036474,0.173913,POSITIVE,0.173252,0.209726,0.25974,0.173252,,True,True,False,BACKTEST_CHAMPION_ROWS,0.8,30,WELL_CALIBRATED,0.0,STABLE,True,FORECAST_QUANTITY_VECTOR_CHANGE_BY_SKU_AND_TARGET_DATE,2026-07-21T15:57:17,2026-07-21T15:22:22,90,FORECAST_WAPE_90D_UNAVAILABLE
