spare_part_sku,demand_rows,total_historical_demand,avg_weekly_demand,intermittent_demand_flag,source_phase,advisory_only_flag
SP-LUBE-OIL-001,3,12.0,4.0,True,PHASE1_SPARE_PART_DEMAND_CONTEXT,True
SP-BEARING-KIT-001,2,2.0,1.0,True,PHASE1_SPARE_PART_DEMAND_CONTEXT,True
SP-FRAME-JIG-PAD-001,1,2.0,2.0,True,PHASE1_SPARE_PART_DEMAND_CONTEXT,True
SP-WHEEL-TRUING-SPARE-001,1,1.0,1.0,True,PHASE1_SPARE_PART_DEMAND_CONTEXT,True
SP-BRAKE-BENCH-TOOL-001,1,1.0,1.0,True,PHASE1_SPARE_PART_DEMAND_CONTEXT,True
SP-FORK-SUSP-SEAL-001,1,2.0,2.0,True,PHASE1_SPARE_PART_DEMAND_CONTEXT,True
SP-FINAL-ASM-JIG-001,1,1.0,1.0,True,PHASE1_SPARE_PART_DEMAND_CONTEXT,True
SP-QC-CALIBRATION-KIT-001,1,1.0,1.0,True,PHASE1_SPARE_PART_DEMAND_CONTEXT,True
SP-PACK-BENCH-SPARE-001,1,2.0,2.0,True,PHASE1_SPARE_PART_DEMAND_CONTEXT,True
SP-ELECTRICAL-SENSOR-001,2,2.0,1.0,True,PHASE1_SPARE_PART_DEMAND_CONTEXT,True
