receipt_id,po_id,receipt_date,received_quantity,accepted_quantity,rejected_quantity,delay_days,partial_delivery_flag,quality_issue_flag
REC-00001,PO-00001,2026-03-10,58,50,8,3,1,1
REC-00002,PO-00002,2026-03-15,285,245,40,4,0,0
REC-00003,PO-00003,2026-03-21,120,103,17,5,0,1
REC-00004,PO-00004,2026-03-23,205,176,29,3,1,0
REC-00005,PO-00005,2026-03-28,120,103,17,4,0,1
REC-00006,PO-00006,2026-04-02,285,245,40,5,0,0
REC-00007,PO-00007,2026-04-05,58,50,8,3,1,1
REC-00008,PO-00008,2026-04-10,285,245,40,4,0,0
REC-00009,PO-00009,2026-04-15,120,103,17,5,0,1
REC-00010,PO-00010,2026-04-18,205,176,29,3,1,0
REC-00011,PO-00011,2026-04-23,120,103,17,4,0,1
REC-00012,PO-00012,2026-04-28,285,245,40,5,0,0
REC-00013,PO-00013,2026-05-01,58,50,8,3,1,1
REC-00014,PO-00014,2026-05-06,285,245,40,4,0,0
REC-00015,PO-00015,2026-05-11,120,103,17,5,0,1
REC-00016,PO-00016,2026-05-13,205,176,29,3,1,0
REC-00017,PO-00017,2026-05-19,120,103,17,4,0,1
REC-00018,PO-00018,2026-05-24,285,245,40,5,0,0
REC-00019,PO-00019,2026-06-02,240,230,10,0,0,0
REC-00020,PO-00020,2026-06-05,95,91,4,0,0,0
REC-00021,PO-00021,2026-06-08,360,346,14,1,0,0
REC-00022,PO-00022,2026-06-10,95,91,4,0,0,0
REC-00023,PO-00023,2026-06-12,360,346,14,0,0,0
REC-00024,PO-00024,2026-06-15,95,91,4,0,0,0
REC-00025,PO-00025,2026-06-17,240,230,10,0,0,0
REC-00026,PO-00026,2026-06-21,95,91,4,1,0,0
REC-00027,PO-00027,2026-03-07,165,161,4,0,0,0
REC-00028,PO-00028,2026-03-11,65,63,2,0,0,0
REC-00029,PO-00029,2026-03-17,225,219,6,1,0,0
REC-00030,PO-00030,2026-03-20,55,54,1,0,0,0
REC-00031,PO-00031,2026-03-24,225,219,6,0,0,0
REC-00032,PO-00032,2026-03-28,55,54,1,0,0,0
REC-00033,PO-00033,2026-04-02,165,161,4,0,0,0
REC-00034,PO-00034,2026-04-06,65,63,2,0,0,0
REC-00035,PO-00035,2026-04-10,225,219,6,0,0,0
REC-00036,PO-00036,2026-04-16,55,54,1,1,0,0
REC-00037,PO-00037,2026-04-19,225,219,6,0,0,0
REC-00038,PO-00038,2026-04-23,55,54,1,0,0,0
REC-00039,PO-00039,2026-04-28,165,161,4,0,0,0
REC-00040,PO-00040,2026-05-02,65,63,2,0,0,0
REC-00041,PO-00041,2026-05-06,225,219,6,0,0,0
REC-00042,PO-00042,2026-05-10,55,54,1,0,0,0
REC-00043,PO-00043,2026-05-16,225,219,6,1,0,0
REC-00044,PO-00044,2026-05-19,55,54,1,0,0,0
REC-00045,PO-00045,2026-06-02,55,54,1,0,0,0
REC-00046,PO-00046,2026-06-05,195,190,5,0,0,0
REC-00047,PO-00047,2026-06-07,75,73,2,0,0,0
REC-00048,PO-00048,2026-06-10,165,161,4,0,0,0
REC-00049,PO-00049,2026-06-12,75,73,2,0,0,0
REC-00050,PO-00050,2026-06-16,165,161,4,1,0,0
REC-00051,PO-00051,2026-06-17,55,54,1,0,0,0
REC-00052,PO-00052,2026-06-20,195,190,5,0,0,0
REC-00053,PO-00053,2026-03-07,40,36,4,0,0,0
REC-00054,PO-00054,2026-03-12,150,135,15,0,0,0
REC-00055,PO-00055,2026-03-17,40,36,4,0,0,0
REC-00056,PO-00056,2026-03-22,150,135,15,0,0,0
REC-00057,PO-00057,2026-03-26,45,41,4,0,0,1
REC-00058,PO-00058,2026-03-31,120,108,12,0,0,0
REC-00059,PO-00059,2026-04-05,50,45,5,0,0,0
REC-00060,PO-00060,2026-04-10,120,108,12,0,0,0
REC-00061,PO-00061,2026-04-15,50,45,5,0,0,0
REC-00062,PO-00062,2026-04-20,135,122,13,0,0,0
REC-00063,PO-00063,2026-04-25,40,36,4,0,0,0
REC-00064,PO-00064,2026-04-30,150,135,15,0,0,1
REC-00065,PO-00065,2026-05-04,40,36,4,0,0,0
REC-00066,PO-00066,2026-05-09,150,135,15,0,0,0
REC-00067,PO-00067,2026-05-14,45,41,4,0,0,0
REC-00068,PO-00068,2026-05-19,120,108,12,0,0,0
REC-00069,PO-00069,2026-06-02,40,35,5,0,0,0
REC-00070,PO-00070,2026-06-05,150,133,17,0,0,0
REC-00071,PO-00071,2026-06-08,40,35,5,0,0,0
REC-00072,PO-00072,2026-06-11,150,133,17,0,0,0
REC-00073,PO-00073,2026-06-14,45,40,5,0,0,1
REC-00074,PO-00074,2026-06-17,120,106,14,0,0,0
REC-00075,PO-00075,2026-06-20,50,44,6,0,0,0
REC-00076,PO-00076,2026-03-07,340,331,9,0,0,0
REC-00077,PO-00077,2026-03-12,190,185,5,0,0,0
REC-00078,PO-00078,2026-03-18,300,292,8,1,0,0
REC-00079,PO-00079,2026-03-22,170,166,4,0,0,0
REC-00080,PO-00080,2026-03-26,260,253,7,0,0,0
REC-00081,PO-00081,2026-03-31,170,166,4,0,0,0
REC-00082,PO-00082,2026-04-05,380,370,10,0,0,0
REC-00083,PO-00083,2026-04-10,150,146,4,0,0,0
REC-00084,PO-00084,2026-04-15,340,331,9,0,0,0
REC-00085,PO-00085,2026-04-21,130,127,3,1,0,0
REC-00086,PO-00086,2026-04-25,340,331,9,0,0,0
REC-00087,PO-00087,2026-04-30,190,185,5,0,0,0
REC-00088,PO-00088,2026-05-04,300,292,8,0,0,0
REC-00089,PO-00089,2026-05-09,170,166,4,0,0,0
REC-00090,PO-00090,2026-05-14,260,253,7,0,0,0
REC-00091,PO-00091,2026-05-19,170,166,4,0,0,0
REC-00092,PO-00092,2026-06-03,340,331,9,1,0,0
REC-00093,PO-00093,2026-06-05,190,185,5,0,0,0
REC-00094,PO-00094,2026-06-07,300,292,8,0,0,0
REC-00095,PO-00095,2026-06-10,170,166,4,0,0,0
REC-00096,PO-00096,2026-06-12,260,253,7,0,0,0
REC-00097,PO-00097,2026-06-15,170,166,4,0,0,0
REC-00098,PO-00098,2026-06-17,380,370,10,0,0,0
REC-00099,PO-00099,2026-06-21,150,146,4,1,0,0
REC-00100,PO-00100,2026-03-07,260,248,12,0,0,0
REC-00101,PO-00101,2026-03-12,101,96,5,1,1,0
REC-00102,PO-00102,2026-03-16,220,210,10,0,0,0
REC-00103,PO-00103,2026-03-20,130,124,6,0,0,0
REC-00104,PO-00104,2026-03-24,320,306,14,0,0,0
REC-00105,PO-00105,2026-03-28,110,105,5,0,0,0
REC-00106,PO-00106,2026-04-03,260,248,12,1,0,0
REC-00107,PO-00107,2026-04-06,140,134,6,0,0,0
REC-00108,PO-00108,2026-04-10,220,210,10,0,0,0
REC-00109,PO-00109,2026-04-15,130,124,6,0,0,1
REC-00110,PO-00110,2026-04-19,320,306,14,0,0,0
REC-00111,PO-00111,2026-04-24,79,75,4,1,1,0
REC-00112,PO-00112,2026-04-28,260,248,12,0,0,0
REC-00113,PO-00113,2026-05-02,140,134,6,0,0,0
REC-00114,PO-00114,2026-05-06,220,210,10,0,0,0
REC-00115,PO-00115,2026-05-10,130,124,6,0,0,0
REC-00116,PO-00116,2026-05-16,320,306,14,1,0,0
REC-00117,PO-00117,2026-05-19,110,105,5,0,0,0
REC-00118,PO-00118,2026-06-07,130,108,22,5,0,0
REC-00119,PO-00119,2026-06-11,202,168,34,6,1,1
REC-00120,PO-00120,2026-06-14,110,91,19,7,0,0
REC-00121,PO-00121,2026-06-14,187,155,32,4,1,1
REC-00122,PO-00122,2026-06-17,160,133,27,5,0,0
REC-00123,PO-00123,2026-06-21,158,131,27,6,1,1
REC-00124,PO-00124,2026-06-24,130,108,22,7,0,0
REC-00125,PO-00125,2026-06-24,202,168,34,4,1,1
REC-00126,PO-00126,2026-03-08,340,325,15,1,0,0
REC-00127,PO-00127,2026-03-12,1000,955,45,0,0,0
REC-00128,PO-00128,2026-03-17,340,325,15,0,0,0
REC-00129,PO-00129,2026-03-22,780,745,35,0,0,0
REC-00130,PO-00130,2026-03-26,500,477,23,0,0,0
REC-00131,PO-00131,2026-04-01,490,468,22,1,1,0
REC-00132,PO-00132,2026-04-05,390,372,18,0,0,0
REC-00133,PO-00133,2026-04-10,680,649,31,0,0,1
REC-00134,PO-00134,2026-04-15,500,477,23,0,0,0
REC-00135,PO-00135,2026-04-20,680,649,31,0,0,0
REC-00136,PO-00136,2026-04-26,390,372,18,1,0,0
