sku_id,supplier_id,unit_cost,unit_price,currency,moq,batch_size,order_multiple,lead_time_mean_days,standard_lead_time_days,minimum_lead_time_days,maximum_lead_time_days,lead_time_std_days,lead_time_variability_days,yield_rate,defect_rate,supplier_sku_capacity_per_period,supplier_sku_available_capacity,max_order_quantity,allocation_limit_by_sku,price_break_1_quantity,price_break_1_unit_price,price_break_2_quantity,price_break_2_unit_price,price_break_3_quantity,price_break_3_unit_price,return_eligible,expedite_eligible,split_delivery_eligible,preferred_supplier_flag,backup_supplier_flag,delay_probability,partial_delivery_rate,fixed_order_cost,delivery_cost,cost_per_late_day,partial_delivery_penalty,quality_rejection_cost_per_unit,supplier_priority,is_primary_supplier
SKU-COF-001,SUP-001,2.18,2.18,USD,80,60,30,15,15,9,27,6.2,6.2,0.86,0.14,232,82,162,80,80,2.18,160,2.09,320,2.01,False,False,False,True,False,0.43,0.28,65.0,180.0,55.0,260.0,9.0,1,True
SKU-COF-001,SUP-002,3.75,3.75,EUR,55,40,20,10,10,9,12,1.4,1.4,0.985,0.015,206,56,136,55,55,3.75,110,3.6,220,3.45,True,True,False,False,True,0.045,0.025,95.0,130.0,18.0,65.0,4.0,2,False
SKU-COF-001,SUP-003,2.97,2.97,USD,40,25,12,4,4,3,6,1.1,1.1,0.88,0.12,190,40,120,40,40,2.97,90,2.85,200,2.73,True,True,True,False,False,0.12,0.08,55.0,90.0,30.0,120.0,14.0,3,False
SKU-COF-001,SUP-006,2.02,2.02,USD,170,135,67,16,16,12,24,4.2,4.2,0.935,0.065,320,170,250,170,170,2.02,340,1.94,680,1.86,False,False,True,False,False,0.24,0.1,180.0,70.0,28.0,140.0,6.0,4,False
SKU-TEA-002,SUP-001,3.4,3.4,USD,95,70,35,16,16,10,28,6.5,6.5,0.854,0.146,265,95,175,95,95,3.4,190,3.26,380,3.13,False,False,False,True,False,0.445,0.292,66.3,182.7,56.65,265.2,9.22,1,True
SKU-TEA-002,SUP-002,5.84,5.84,EUR,65,50,25,12,12,11,14,1.6,1.6,0.979,0.021,235,65,145,65,65,5.84,130,5.61,260,5.37,False,True,False,False,True,0.06,0.037,96.9,131.95,18.54,66.3,4.1,2,False
SKU-TEA-002,SUP-005,4.27,4.27,USD,65,45,22,14,14,7,29,8.1,8.1,0.904,0.096,235,65,145,65,65,4.27,130,4.1,260,3.93,False,False,False,False,False,0.375,0.232,71.4,152.25,46.35,224.4,8.2,3,False
SKU-TEA-002,SUP-007,5.31,5.31,EUR,30,20,10,8,8,6,12,2.6,2.6,0.939,0.061,200,30,110,30,30,5.31,80,5.1,190,4.89,False,True,True,False,False,0.155,0.072,35.7,111.65,24.72,96.9,6.15,4,False
SKU-SUN-003,SUP-002,8.02,8.02,EUR,75,55,27,13,13,12,15,1.4,1.4,0.973,0.027,265,75,155,75,75,8.02,150,7.7,300,7.38,True,True,False,True,False,0.075,0.049,98.8,133.9,18.0,67.6,4.2,1,True
SKU-SUN-003,SUP-003,6.34,6.34,USD,50,35,17,7,7,6,9,1.1,1.1,0.868,0.132,240,50,130,50,50,6.34,100,6.09,210,5.83,True,True,False,False,True,0.15,0.104,57.2,92.7,30.0,124.8,14.7,2,False
SKU-SUN-003,SUP-004,6.7,6.7,EUR,85,60,30,25,25,23,29,2.0,2.0,0.953,0.047,275,85,165,85,85,6.7,170,6.43,340,6.16,True,False,False,False,False,0.1,0.064,88.4,77.25,20.0,83.2,5.25,3,False
SKU-SUN-003,SUP-005,5.87,5.87,USD,70,55,27,16,16,9,31,7.8,7.8,0.898,0.102,260,70,150,70,70,5.87,140,5.64,280,5.4,False,False,False,False,False,0.39,0.244,72.8,154.5,45.0,228.8,8.4,4,False
SKU-SUP-004,SUP-001,6.0,6.0,USD,120,90,45,15,15,9,27,6.5,6.5,0.86,0.14,330,120,200,120,120,6.0,240,5.76,480,5.52,False,False,False,True,False,0.475,0.28,65.0,188.1,56.65,275.6,9.67,1,True
SKU-SUP-004,SUP-004,8.61,8.61,EUR,95,70,35,22,22,20,26,2.2,2.2,0.965,0.035,305,95,175,95,95,8.61,190,8.27,380,7.92,True,False,True,False,True,0.115,0.04,85.0,78.38,20.6,84.8,5.38,2,False
SKU-SUP-004,SUP-006,5.53,5.53,USD,250,200,100,16,16,12,24,4.5,4.5,0.935,0.065,460,250,330,250,250,5.53,500,5.31,1000,5.09,False,False,True,False,False,0.285,0.1,180.0,73.15,28.84,148.4,6.45,3,False
SKU-SUP-004,SUP-007,9.38,9.38,EUR,40,30,15,7,7,5,11,2.6,2.6,0.945,0.055,250,40,120,40,40,9.38,90,9.0,200,8.63,True,False,True,False,False,0.185,0.06,35.0,114.95,24.72,100.7,6.45,4,False
SKU-CHC-005,SUP-002,12.68,12.68,EUR,55,40,20,12,12,11,14,1.4,1.4,0.979,0.021,300,70,150,59,55,12.68,110,12.17,220,11.67,True,True,False,True,False,0.045,0.037,96.9,130.0,18.0,70.2,4.0,1,True
SKU-CHC-005,SUP-003,10.03,10.03,USD,40,25,12,6,6,5,8,1.1,1.1,0.874,0.126,270,40,120,40,40,10.03,90,9.63,200,9.23,True,True,True,False,True,0.12,0.092,56.1,90.0,30.0,129.6,14.0,2,False
SKU-CHC-005,SUP-005,9.27,9.27,USD,55,40,20,14,14,7,29,7.8,7.8,0.904,0.096,285,55,135,55,55,9.27,110,8.9,220,8.53,False,False,False,False,False,0.36,0.232,71.4,150.0,45.0,237.6,8.0,3,False
SKU-CHC-005,SUP-006,6.81,6.81,USD,170,135,67,18,18,14,26,4.2,4.2,0.929,0.071,400,170,250,170,170,6.81,340,6.54,680,6.27,False,False,True,False,False,0.24,0.112,183.6,70.0,28.0,151.2,6.0,4,False
SKU-BBQ-006,SUP-001,7.84,7.84,USD,95,70,35,18,18,12,30,6.5,6.5,0.848,0.152,345,95,175,95,95,7.84,190,7.53,380,7.21,False,False,False,True,False,0.445,0.304,67.6,182.7,56.65,260.0,9.22,1,True
SKU-BBQ-006,SUP-004,11.26,11.26,EUR,75,55,27,25,25,23,29,2.2,2.2,0.953,0.047,325,75,155,75,75,11.26,150,10.81,300,10.36,False,False,False,False,True,0.085,0.064,88.4,76.12,20.6,80.0,5.12,2,False
SKU-BBQ-006,SUP-005,9.85,9.85,USD,65,45,22,16,16,9,31,8.1,8.1,0.898,0.102,315,65,145,65,65,9.85,130,9.46,260,9.06,False,False,False,False,False,0.375,0.244,72.8,152.25,46.35,220.0,8.2,3,False
SKU-BBQ-006,SUP-006,7.24,7.24,USD,195,155,77,19,19,15,27,4.5,4.5,0.923,0.077,445,195,275,195,195,7.24,390,6.95,780,6.66,False,False,False,False,False,0.255,0.124,187.2,71.05,28.84,140.0,6.15,4,False
SKU-UMR-007,SUP-002,15.8,15.8,EUR,75,55,27,10,10,9,12,1.4,1.4,0.985,0.015,345,75,155,75,75,15.8,150,15.17,300,14.54,True,True,False,True,False,0.075,0.025,95.0,133.9,18.0,66.3,4.2,1,True
SKU-UMR-007,SUP-003,12.49,12.49,USD,50,35,17,4,4,3,6,1.1,1.1,0.88,0.12,320,50,130,50,50,12.49,100,11.99,210,11.49,True,True,True,False,True,0.15,0.08,55.0,92.7,30.0,122.4,14.7,2,False
SKU-UMR-007,SUP-004,13.2,13.2,EUR,85,60,30,22,22,20,26,2.0,2.0,0.965,0.035,355,85,165,85,85,13.2,170,12.67,340,12.14,True,False,True,False,False,0.1,0.04,85.0,77.25,20.0,81.6,5.25,3,False
SKU-UMR-007,SUP-007,14.38,14.38,EUR,35,25,12,7,7,5,11,2.4,2.4,0.945,0.055,305,35,115,35,35,14.38,85,13.8,195,13.23,True,True,True,False,False,0.17,0.06,35.0,113.3,24.0,96.9,6.3,4,False
SKU-BAT-008,SUP-001,10.61,10.61,USD,120,90,45,16,16,10,28,6.5,6.5,0.854,0.146,410,120,200,120,120,10.61,240,10.19,480,9.76,False,False,False,True,False,0.475,0.292,66.3,188.1,56.65,270.4,9.67,1,True
SKU-BAT-008,SUP-005,13.33,13.33,USD,80,60,30,14,14,7,29,8.1,8.1,0.904,0.096,370,80,160,80,80,13.33,160,12.8,320,12.26,False,False,False,False,True,0.405,0.232,71.4,156.75,46.35,228.8,8.6,2,False
