sku_id,open_backorder_count,total_backorder_units,total_fulfilled_units,total_remaining_backorder_units,oldest_backorder_age_days,average_backorder_age_days,max_overdue_days,critical_backorder_count,long_backorder_count,stale_backorder_count,backorder_priority_score,backorder_risk_level,backorder_pressure_flag,recommended_backorder_strategy,backorder_warning_codes
SKU-BAT-008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,False,MONITOR,NO_ACTIVE_BACKORDERS
SKU-BBQ-006,1.0,107.0,0.0,107.0,32.0,32.0,25.0,0.0,1.0,0.0,74.0,HIGH,True,SPLIT_DELIVERY,LONG_BACKORDER
SKU-CHC-005,1.0,95.0,33.0,62.0,28.0,28.0,22.0,1.0,1.0,0.0,87.0,CRITICAL,True,EXPEDITE_SUPPLY,CRITICAL_BACKORDER;LONG_BACKORDER
SKU-COF-001,1.0,47.0,0.0,47.0,12.0,12.0,5.0,1.0,0.0,0.0,54.0,MEDIUM,True,EXPEDITE_SUPPLY,CRITICAL_BACKORDER
SKU-FIL-009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,False,MONITOR,NO_ACTIVE_BACKORDERS
SKU-GFT-010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NONE,False,MONITOR,NO_ACTIVE_BACKORDERS
SKU-SUN-003,1.0,71.0,0.0,71.0,20.0,20.0,11.0,1.0,1.0,0.0,65.0,HIGH,True,EXPEDITE_SUPPLY,CRITICAL_BACKORDER;LONG_BACKORDER
SKU-SUP-004,1.0,83.0,24.0,59.0,24.0,24.0,14.0,0.0,1.0,0.0,49.0,MEDIUM,True,SPLIT_DELIVERY,LONG_BACKORDER
SKU-TEA-002,1.0,59.0,20.0,39.0,16.0,16.0,8.0,0.0,1.0,0.0,55.0,HIGH,True,USE_BACKUP_SUPPLIER,LONG_BACKORDER
SKU-UMR-007,1.0,119.0,35.0,84.0,36.0,36.0,28.0,1.0,1.0,1.0,97.0,CRITICAL,True,EXPEDITE_SUPPLY,CRITICAL_BACKORDER;LONG_BACKORDER;STALE_BACKORDER_UPDATE
