sku_id,current_supplier_id,current_supplier_source,current_supplier_confidence,current_supplier_warning_codes,cheapest_supplier_id,fastest_supplier_id,most_reliable_supplier_id,balanced_supplier_id,backup_supplier_id,return_capable_supplier_id,expedite_capable_supplier_id,split_delivery_capable_supplier_id,recommended_supplier_strategy,recommended_supplier_id,recommendation_reason,supplier_review_required,recommendation_execution_allowed,recommended_option_feasible_flag,recommended_option_infeasibility_reasons,recommendation_blocking_reason,review_candidate_supplier_id,review_candidate_reason,review_candidate_infeasibility_reasons,recommended_supplier_unit_price,recommended_supplier_landed_cost_per_unit,recommended_supplier_quality_adjusted_unit_cost,recommended_supplier_expected_lead_time_days,recommended_supplier_reliability_score,recommended_supplier_risk_class,recommended_supplier_capacity_shortfall_flag,recommended_supplier_order_acceptance_probability,recommended_supplier_expedite_available,recommended_supplier_split_delivery_available,recommended_supplier_return_eligible,selected_supplier_capacity_30d,selected_supplier_per_order_capacity,selected_supplier_immediate_requirement_feasible_flag,selected_supplier_horizon_capacity_feasible_flag,balanced_supplier_score,balanced_supplier_score_rank,balanced_supplier_selection_reason,supplier_switch_flag,supplier_switch_reason,immediate_supplier_id,horizon_primary_supplier_id,horizon_backup_supplier_id,split_sourcing_required_flag,recurring_orders_required_flag,capacity_strategy_reason,capacity_review_required,expedite_supplier_switch_flag,expedite_strategy_consistency_flag,expedite_strategy_reason,split_delivery_supplier_switch_flag,split_delivery_strategy_consistency_flag,split_delivery_strategy_reason,strategy_consistency_flag,strategy_consistency_reason,backorder_strategy,backorder_risk_level,phase1_context_source,demand_urgency_score,forecast_demand_30d,forecast_uncertainty_level,stockout_censored_demand_flag,underforecast_risk_flag,upcoming_event_flag,demand_driven_strategy_flag,demand_driven_strategy_reason,demand_review_required,demand_strategy_warning_codes,gross_forecast_demand_30d,active_backorder_units,confirmed_inbound_units,provisional_net_procurement_requirement_units,immediate_procurement_requirement_units,remaining_horizon_requirement_units,net_requirement_is_provisional_flag,aggregate_capacity_feasible_flag,aggregate_capacity_shortfall_units,split_sourcing_capacity_feasible_flag,split_sourcing_candidate_supplier_ids,split_sourcing_allocation_plan,minimum_supplier_count_required,selected_option_warning_codes,sku_option_pool_warning_codes,review_candidate_warning_codes,demand_context_warning_codes,strategy_warning_codes,consolidated_manager_warning_codes,selected_option_capacity_shortfall_flag,selected_option_split_delivery_feasible_flag,selected_option_expedite_capacity_feasible_flag,selected_option_has_blocking_warning,selected_option_warning_scope_consistency_flag,selected_option_warning_scope_reason,warning_codes,requirement_coverage_rate,unallocated_requirement_rate,top_supplier_allocation_share,supplier_concentration_risk_status
SKU-BAT-008,SUP-005,LATEST_ACTIVE_PO,HIGH,NONE,SUP-001,SUP-001,SUP-001,SUP-001,SUP-005,,,,BALANCED_SUPPLIER,SUP-001,Current supplier is unavailable or infeasible; selected best feasible balanced supplier.,True,True,True,NONE,NONE,SUP-005,Supplier may be useful for review but is not execution-approved.,BASE_SUPPLIER_OPTION_INFEASIBLE;LOW_ORDER_ACCEPTANCE_PROBABILITY,10.61,11.4387,13.3943,16,0.5839632617860451,MEDIUM,False,0.715,False,False,False,514.29,200,True,True,0.5722,1,"Balanced score combines landed cost, lead time, reliability, risk, quality, capacity, and backorder capability.",True,Supplier switch is implied by selected supplier and strategy label.,SUP-001,SUP-006,,False,False,Selected supplier can cover immediate and horizon requirement.,False,False,True,No expedite strategy selected.,False,True,No split-delivery strategy selected.,True,"Strategy label, supplier ID, and selected option are consistent.",MONITOR,NONE,PHASE1_DEMAND_PLANNING_CONTEXT,70.0,216.5637,LOW,True,False,False,True,"Demand context influenced strategy through high demand urgency, possible stockout-censored demand.",True,DEMAND_MAY_BE_CENSORED,216.5637,0.0,0.0,216.5637,0.0,216.5637,True,True,0.0,False,SUP-006,SUP-006:216.56,1,PAYMENT_TERMS_COST_NOT_MODELED,CAPACITY_SHORTFALL;PAYMENT_TERMS_COST_NOT_MODELED,BASE_SUPPLIER_OPTION_INFEASIBLE;LOW_ORDER_ACCEPTANCE_PROBABILITY;PAYMENT_TERMS_COST_NOT_MODELED,FORECAST_HORIZON_FROM_TRUE_FUTURE_FORECAST;POSSIBLE_STOCKOUT_CENSORED_DEMAND;HIGH_ZERO_DEMAND_RATIO,DEMAND_MAY_BE_CENSORED,SELECTED:PAYMENT_TERMS_COST_NOT_MODELED;POOL_INFO:CAPACITY_SHORTFALL;POOL_INFO:PAYMENT_TERMS_COST_NOT_MODELED;REVIEW_CANDIDATE:BASE_SUPPLIER_OPTION_INFEASIBLE;REVIEW_CANDIDATE:LOW_ORDER_ACCEPTANCE_PROBABILITY;REVIEW_CANDIDATE:PAYMENT_TERMS_COST_NOT_MODELED;DEMAND:FORECAST_HORIZON_FROM_TRUE_FUTURE_FORECAST;DEMAND:POSSIBLE_STOCKOUT_CENSORED_DEMAND;DEMAND:HIGH_ZERO_DEMAND_RATIO;STRATEGY:DEMAND_MAY_BE_CENSORED,False,False,False,False,True,Selected option warnings match selected supplier and strategy scope.,SELECTED:PAYMENT_TERMS_COST_NOT_MODELED;POOL_INFO:CAPACITY_SHORTFALL;POOL_INFO:PAYMENT_TERMS_COST_NOT_MODELED;REVIEW_CANDIDATE:BASE_SUPPLIER_OPTION_INFEASIBLE;REVIEW_CANDIDATE:LOW_ORDER_ACCEPTANCE_PROBABILITY;REVIEW_CANDIDATE:PAYMENT_TERMS_COST_NOT_MODELED;DEMAND:FORECAST_HORIZON_FROM_TRUE_FUTURE_FORECAST;DEMAND:POSSIBLE_STOCKOUT_CENSORED_DEMAND;DEMAND:HIGH_ZERO_DEMAND_RATIO;STRATEGY:DEMAND_MAY_BE_CENSORED,1.0,0.0,1.0,SINGLE_SOURCE
SKU-BBQ-006,SUP-004,LATEST_ACTIVE_PO,HIGH,NONE,,,,,SUP-004,,,,REVIEW_SPLIT_SOURCING_PLAN,,"Aggregate supplier capacity can cover the horizon, but no single supplier option is immediately executable.",True,False,False,NO_SELECTED_SUPPLIER_OPTION,NO_IMMEDIATE_EXECUTABLE_SUPPLIER,SUP-004,Supplier may be useful for review but is not execution-approved.,CAPACITY_SHORTFALL,0.0,0.0,0.0,0,0.0,,False,0.0,False,False,False,0.0,0,False,False,0.0,0,,False,No supplier switch implied by strategy.,,SUP-004,SUP-006,False,False,Aggregate capacity appears feasible but no immediate executable supplier was found.,True,False,True,No expedite strategy selected.,False,True,No split-delivery strategy selected.,True,Review-required strategy is non-executable.,SPLIT_DELIVERY,CRITICAL,PHASE1_DEMAND_PLANNING_CONTEXT,55.0,750.1829,LOW,False,True,False,True,Demand context influenced strategy through underforecast risk.,True,UNDERFORECAST_RISK_AFFECTS_PROCUREMENT,750.1829,107.0,0.0,857.1829,107.0,750.1829,True,True,0.0,True,SUP-004;SUP-006,SUP-004:321.43;SUP-006:535.75,2,NONE,CAPACITY_SHORTFALL;PAYMENT_TERMS_COST_NOT_MODELED,CAPACITY_SHORTFALL;PAYMENT_TERMS_COST_NOT_MODELED,FORECAST_HORIZON_FROM_TRUE_FUTURE_FORECAST,NO_IMMEDIATE_EXECUTABLE_SUPPLIER,POOL_INFO:CAPACITY_SHORTFALL;POOL_INFO:PAYMENT_TERMS_COST_NOT_MODELED;REVIEW_CANDIDATE:CAPACITY_SHORTFALL;REVIEW_CANDIDATE:PAYMENT_TERMS_COST_NOT_MODELED;DEMAND:FORECAST_HORIZON_FROM_TRUE_FUTURE_FORECAST;STRATEGY:NO_IMMEDIATE_EXECUTABLE_SUPPLIER,False,False,False,False,True,Selected option warnings match selected supplier and strategy scope.,POOL_INFO:CAPACITY_SHORTFALL;POOL_INFO:PAYMENT_TERMS_COST_NOT_MODELED;REVIEW_CANDIDATE:CAPACITY_SHORTFALL;REVIEW_CANDIDATE:PAYMENT_TERMS_COST_NOT_MODELED;DEMAND:FORECAST_HORIZON_FROM_TRUE_FUTURE_FORECAST;STRATEGY:NO_IMMEDIATE_EXECUTABLE_SUPPLIER,1.0,0.0,,NO_ALLOCATION
SKU-CHC-005,SUP-003,LATEST_ACTIVE_PO,HIGH,NONE,,,,,SUP-003,,,,REVIEW_SPLIT_SOURCING_PLAN,,"Aggregate supplier capacity can cover the horizon, but no single supplier option is immediately executable.",True,False,False,NO_SELECTED_SUPPLIER_OPTION,NO_IMMEDIATE_EXECUTABLE_SUPPLIER,SUP-003,Supplier may be useful for review but is not execution-approved.,CAPACITY_SHORTFALL;LOW_ORDER_ACCEPTANCE_PROBABILITY,0.0,0.0,0.0,0,0.0,,False,0.0,False,False,False,0.0,0,False,False,0.0,0,,False,No supplier switch implied by strategy.,,SUP-003,SUP-002,False,False,Aggregate capacity appears feasible but no immediate executable supplier was found.,True,False,True,No expedite strategy selected.,False,True,No split-delivery strategy selected.,True,Review-required strategy is non-executable.,EXPEDITE_SUPPLY,CRITICAL,PHASE1_DEMAND_PLANNING_CONTEXT,26.98,570.012,LOW,False,False,False,False,No strong Phase 1 demand signal changed the supplier strategy.,False,NONE,570.012,62.0,0.0,632.012,62.0,570.012,True,True,0.0,True,SUP-003;SUP-002;SUP-006,SUP-003:171.43;SUP-002:300.0;SUP-006:160.58,3,NONE,CAPACITY_SHORTFALL;CUSTOMS_COST_FALLBACK_USED;PAYMENT_TERMS_COST_NOT_MODELED;WAREHOUSE_CAPACITY_REVIEW_REQUIRED_FOR_SPLIT_DELIVERY,CAPACITY_SHORTFALL;CUSTOMS_COST_FALLBACK_USED;LOW_ORDER_ACCEPTANCE_PROBABILITY;PAYMENT_TERMS_COST_NOT_MODELED,FORECAST_HORIZON_FROM_TRUE_FUTURE_FORECAST,NO_IMMEDIATE_EXECUTABLE_SUPPLIER,POOL_INFO:CAPACITY_SHORTFALL;POOL_INFO:CUSTOMS_COST_FALLBACK_USED;POOL_INFO:PAYMENT_TERMS_COST_NOT_MODELED;POOL_INFO:WAREHOUSE_CAPACITY_REVIEW_REQUIRED_FOR_SPLIT_DELIVERY;REVIEW_CANDIDATE:CAPACITY_SHORTFALL;REVIEW_CANDIDATE:CUSTOMS_COST_FALLBACK_USED;REVIEW_CANDIDATE:LOW_ORDER_ACCEPTANCE_PROBABILITY;REVIEW_CANDIDATE:PAYMENT_TERMS_COST_NOT_MODELED;DEMAND:FORECAST_HORIZON_FROM_TRUE_FUTURE_FORECAST;STRATEGY:NO_IMMEDIATE_EXECUTABLE_SUPPLIER,False,False,False,False,True,Selected option warnings match selected supplier and strategy scope.,POOL_INFO:CAPACITY_SHORTFALL;POOL_INFO:CUSTOMS_COST_FALLBACK_USED;POOL_INFO:PAYMENT_TERMS_COST_NOT_MODELED;POOL_INFO:WAREHOUSE_CAPACITY_REVIEW_REQUIRED_FOR_SPLIT_DELIVERY;REVIEW_CANDIDATE:CAPACITY_SHORTFALL;REVIEW_CANDIDATE:CUSTOMS_COST_FALLBACK_USED;REVIEW_CANDIDATE:LOW_ORDER_ACCEPTANCE_PROBABILITY;REVIEW_CANDIDATE:PAYMENT_TERMS_COST_NOT_MODELED;DEMAND:FORECAST_HORIZON_FROM_TRUE_FUTURE_FORECAST;STRATEGY:NO_IMMEDIATE_EXECUTABLE_SUPPLIER,1.0,0.0,,NO_ALLOCATION
SKU-COF-001,SUP-003,LATEST_ACTIVE_PO,HIGH,NONE,,,,,SUP-002,,,,REVIEW_SPLIT_SOURCING_PLAN,,"Aggregate supplier capacity can cover the horizon, but no single supplier option is immediately executable.",True,False,False,NO_SELECTED_SUPPLIER_OPTION,NO_IMMEDIATE_EXECUTABLE_SUPPLIER,SUP-001,Supplier may be useful for review but is not execution-approved.,CAPACITY_SHORTFALL,0.0,0.0,0.0,0,0.0,,False,0.0,False,False,False,0.0,0,False,False,0.0,0,,False,No supplier switch implied by strategy.,,SUP-003,SUP-002,False,False,Aggregate capacity appears feasible but no immediate executable supplier was found.,True,False,True,No expedite strategy selected.,False,True,No split-delivery strategy selected.,True,Review-required strategy is non-executable.,EXPEDITE_SUPPLY,CRITICAL,PHASE1_DEMAND_PLANNING_CONTEXT,28.68,1283.9367,LOW,False,False,False,False,No strong Phase 1 demand signal changed the supplier strategy.,False,NONE,1283.9367,47.0,0.0,1330.9367,47.0,1283.9367,True,True,0.0,True,SUP-003;SUP-002;SUP-006;SUP-001,SUP-003:171.43;SUP-002:240.0;SUP-006:728.57;SUP-001:190.94,4,NONE,CAPACITY_SHORTFALL;CUSTOMS_COST_FALLBACK_USED;PAYMENT_TERMS_COST_NOT_MODELED;WAREHOUSE_CAPACITY_REVIEW_REQUIRED_FOR_SPLIT_DELIVERY,CAPACITY_SHORTFALL;PAYMENT_TERMS_COST_NOT_MODELED,FORECAST_HORIZON_FROM_TRUE_FUTURE_FORECAST,NO_IMMEDIATE_EXECUTABLE_SUPPLIER,POOL_INFO:CAPACITY_SHORTFALL;POOL_INFO:CUSTOMS_COST_FALLBACK_USED;POOL_INFO:PAYMENT_TERMS_COST_NOT_MODELED;POOL_INFO:WAREHOUSE_CAPACITY_REVIEW_REQUIRED_FOR_SPLIT_DELIVERY;REVIEW_CANDIDATE:CAPACITY_SHORTFALL;REVIEW_CANDIDATE:PAYMENT_TERMS_COST_NOT_MODELED;DEMAND:FORECAST_HORIZON_FROM_TRUE_FUTURE_FORECAST;STRATEGY:NO_IMMEDIATE_EXECUTABLE_SUPPLIER,False,False,False,False,True,Selected option warnings match selected supplier and strategy scope.,POOL_INFO:CAPACITY_SHORTFALL;POOL_INFO:CUSTOMS_COST_FALLBACK_USED;POOL_INFO:PAYMENT_TERMS_COST_NOT_MODELED;POOL_INFO:WAREHOUSE_CAPACITY_REVIEW_REQUIRED_FOR_SPLIT_DELIVERY;REVIEW_CANDIDATE:CAPACITY_SHORTFALL;REVIEW_CANDIDATE:PAYMENT_TERMS_COST_NOT_MODELED;DEMAND:FORECAST_HORIZON_FROM_TRUE_FUTURE_FORECAST;STRATEGY:NO_IMMEDIATE_EXECUTABLE_SUPPLIER,0.7933138297872341,0.20668617021276595,0.488504321356014,LOW
SKU-COMP-BOLT-KIT-001,SUP-002,PREFERRED_SUPPLIER_FLAG,MEDIUM,NONE,SUP-002,SUP-002,SUP-002,SUP-002,SUP-003,SUP-002,,,CURRENT_SUPPLIER,SUP-002,Current supplier is identified and remains feasible; no supplier switch recommended.,False,True,True,NONE,NONE,SUP-003,Supplier may be useful for review but is not execution-approved.,LOW_ORDER_ACCEPTANCE_PROBABILITY,5.3,5.8459,5.9958,7,0.9338500986193293,LOW,False,0.73,True,False,True,557.14,220,True,True,0.7356,1,"Balanced score combines landed cost, lead time, reliability, risk, quality, capacity, and backorder capability.",False,No supplier switch implied by strategy.,SUP-002,SUP-002,,False,False,Selected supplier can cover immediate and horizon requirement.,False,False,True,No expedite strategy selected.,False,True,No split-delivery strategy selected.,True,"Strategy label, supplier ID, and selected option are consistent.",MONITOR,NONE,PHASE1_DEMAND_PLANNING_CONTEXT,0.0,0.0,UNKNOWN,False,False,False,False,No strong Phase 1 demand signal changed the supplier strategy.,False,NONE,0.0,0.0,0.0,0.0,0.0,0.0,True,True,0.0,False,,,0,PAYMENT_TERMS_COST_NOT_MODELED,CUSTOMS_COST_FALLBACK_USED;PAYMENT_TERMS_COST_NOT_MODELED,CUSTOMS_COST_FALLBACK_USED;LOW_ORDER_ACCEPTANCE_PROBABILITY;PAYMENT_TERMS_COST_NOT_MODELED,NONE,NONE,SELECTED:PAYMENT_TERMS_COST_NOT_MODELED;POOL_INFO:CUSTOMS_COST_FALLBACK_USED;POOL_INFO:PAYMENT_TERMS_COST_NOT_MODELED;REVIEW_CANDIDATE:CUSTOMS_COST_FALLBACK_USED;REVIEW_CANDIDATE:LOW_ORDER_ACCEPTANCE_PROBABILITY;REVIEW_CANDIDATE:PAYMENT_TERMS_COST_NOT_MODELED,False,False,False,False,True,Selected option warnings match selected supplier and strategy scope.,SELECTED:PAYMENT_TERMS_COST_NOT_MODELED;POOL_INFO:CUSTOMS_COST_FALLBACK_USED;POOL_INFO:PAYMENT_TERMS_COST_NOT_MODELED;REVIEW_CANDIDATE:CUSTOMS_COST_FALLBACK_USED;REVIEW_CANDIDATE:LOW_ORDER_ACCEPTANCE_PROBABILITY;REVIEW_CANDIDATE:PAYMENT_TERMS_COST_NOT_MODELED,1.0,0.0,,NO_ALLOCATION
SKU-COMP-BRAKE-FRONT-001,SUP-002,PREFERRED_SUPPLIER_FLAG,MEDIUM,NONE,SUP-002,SUP-002,SUP-002,SUP-002,SUP-003,SUP-002,,,CURRENT_SUPPLIER,SUP-002,Current supplier is identified and remains feasible; no supplier switch recommended.,False,True,True,NONE,NONE,SUP-003,Supplier may be useful for review but is not execution-approved.,LOW_ORDER_ACCEPTANCE_PROBABILITY,47.7,52.6131,53.9622,13,0.9338500986193293,LOW,False,0.73,True,False,True,621.43,232,True,True,0.7356,1,"Balanced score combines landed cost, lead time, reliability, risk, quality, capacity, and backorder capability.",False,No supplier switch implied by strategy.,SUP-002,SUP-002,,False,False,Selected supplier can cover immediate and horizon requirement.,False,False,True,No expedite strategy selected.,False,True,No split-delivery strategy selected.,True,"Strategy label, supplier ID, and selected option are consistent.",MONITOR,NONE,PHASE1_DEMAND_PLANNING_CONTEXT,0.0,0.0,UNKNOWN,False,False,False,False,No strong Phase 1 demand signal changed the supplier strategy.,False,NONE,0.0,0.0,0.0,0.0,0.0,0.0,True,True,0.0,False,,,0,PAYMENT_TERMS_COST_NOT_MODELED,CUSTOMS_COST_FALLBACK_USED;PAYMENT_TERMS_COST_NOT_MODELED,CUSTOMS_COST_FALLBACK_USED;LOW_ORDER_ACCEPTANCE_PROBABILITY;PAYMENT_TERMS_COST_NOT_MODELED,NONE,NONE,SELECTED:PAYMENT_TERMS_COST_NOT_MODELED;POOL_INFO:CUSTOMS_COST_FALLBACK_USED;POOL_INFO:PAYMENT_TERMS_COST_NOT_MODELED;REVIEW_CANDIDATE:CUSTOMS_COST_FALLBACK_USED;REVIEW_CANDIDATE:LOW_ORDER_ACCEPTANCE_PROBABILITY;REVIEW_CANDIDATE:PAYMENT_TERMS_COST_NOT_MODELED,False,False,False,False,True,Selected option warnings match selected supplier and strategy scope.,SELECTED:PAYMENT_TERMS_COST_NOT_MODELED;POOL_INFO:CUSTOMS_COST_FALLBACK_USED;POOL_INFO:PAYMENT_TERMS_COST_NOT_MODELED;REVIEW_CANDIDATE:CUSTOMS_COST_FALLBACK_USED;REVIEW_CANDIDATE:LOW_ORDER_ACCEPTANCE_PROBABILITY;REVIEW_CANDIDATE:PAYMENT_TERMS_COST_NOT_MODELED,1.0,0.0,,NO_ALLOCATION
SKU-COMP-BRAKE-REAR-001,SUP-002,PREFERRED_SUPPLIER_FLAG,MEDIUM,NONE,SUP-002,SUP-002,SUP-002,SUP-002,SUP-003,SUP-002,,,CURRENT_SUPPLIER,SUP-002,Current supplier is identified and remains feasible; no supplier switch recommended.,False,True,True,NONE,NONE,SUP-003,Supplier may be useful for review but is not execution-approved.,LOW_ORDER_ACCEPTANCE_PROBABILITY,47.7,52.6131,53.9622,13,0.9338500986193293,LOW,False,0.73,True,False,True,600.0,228,True,True,0.7356,1,"Balanced score combines landed cost, lead time, reliability, risk, quality, capacity, and backorder capability.",False,No supplier switch implied by strategy.,SUP-002,SUP-002,,False,False,Selected supplier can cover immediate and horizon requirement.,False,False,True,No expedite strategy selected.,False,True,No split-delivery strategy selected.,True,"Strategy label, supplier ID, and selected option are consistent.",MONITOR,NONE,PHASE1_DEMAND_PLANNING_CONTEXT,0.0,0.0,UNKNOWN,False,False,False,False,No strong Phase 1 demand signal changed the supplier strategy.,False,NONE,0.0,0.0,0.0,0.0,0.0,0.0,True,True,0.0,False,,,0,PAYMENT_TERMS_COST_NOT_MODELED,CUSTOMS_COST_FALLBACK_USED;PAYMENT_TERMS_COST_NOT_MODELED,CUSTOMS_COST_FALLBACK_USED;LOW_ORDER_ACCEPTANCE_PROBABILITY;PAYMENT_TERMS_COST_NOT_MODELED,NONE,NONE,SELECTED:PAYMENT_TERMS_COST_NOT_MODELED;POOL_INFO:CUSTOMS_COST_FALLBACK_USED;POOL_INFO:PAYMENT_TERMS_COST_NOT_MODELED;REVIEW_CANDIDATE:CUSTOMS_COST_FALLBACK_USED;REVIEW_CANDIDATE:LOW_ORDER_ACCEPTANCE_PROBABILITY;REVIEW_CANDIDATE:PAYMENT_TERMS_COST_NOT_MODELED,False,False,False,False,True,Selected option warnings match selected supplier and strategy scope.,SELECTED:PAYMENT_TERMS_COST_NOT_MODELED;POOL_INFO:CUSTOMS_COST_FALLBACK_USED;POOL_INFO:PAYMENT_TERMS_COST_NOT_MODELED;REVIEW_CANDIDATE:CUSTOMS_COST_FALLBACK_USED;REVIEW_CANDIDATE:LOW_ORDER_ACCEPTANCE_PROBABILITY;REVIEW_CANDIDATE:PAYMENT_TERMS_COST_NOT_MODELED,1.0,0.0,,NO_ALLOCATION
SKU-COMP-FRAME-MT-001,SUP-002,PREFERRED_SUPPLIER_FLAG,MEDIUM,NONE,SUP-002,SUP-002,SUP-002,SUP-002,SUP-003,SUP-002,,,CURRENT_SUPPLIER,SUP-002,Current supplier is identified and remains feasible; no supplier switch recommended.,False,True,True,NONE,NONE,SUP-003,Supplier may be useful for review but is not execution-approved.,LOW_ORDER_ACCEPTANCE_PROBABILITY,148.4,163.6852,167.8823,20,0.9338500986193293,LOW,False,0.73,True,False,True,728.57,252,True,True,0.7356,1,"Balanced score combines landed cost, lead time, reliability, risk, quality, capacity, and backorder capability.",False,No supplier switch implied by strategy.,SUP-002,SUP-002,,False,False,Selected supplier can cover immediate and horizon requirement.,False,False,True,No expedite strategy selected.,False,True,No split-delivery strategy selected.,True,"Strategy label, supplier ID, and selected option are consistent.",MONITOR,NONE,PHASE1_DEMAND_PLANNING_CONTEXT,0.0,0.0,UNKNOWN,False,False,False,False,No strong Phase 1 demand signal changed the supplier strategy.,False,NONE,0.0,0.0,0.0,0.0,0.0,0.0,True,True,0.0,False,,,0,PAYMENT_TERMS_COST_NOT_MODELED,CUSTOMS_COST_FALLBACK_USED;PAYMENT_TERMS_COST_NOT_MODELED,CUSTOMS_COST_FALLBACK_USED;LOW_ORDER_ACCEPTANCE_PROBABILITY;PAYMENT_TERMS_COST_NOT_MODELED,NONE,NONE,SELECTED:PAYMENT_TERMS_COST_NOT_MODELED;POOL_INFO:CUSTOMS_COST_FALLBACK_USED;POOL_INFO:PAYMENT_TERMS_COST_NOT_MODELED;REVIEW_CANDIDATE:CUSTOMS_COST_FALLBACK_USED;REVIEW_CANDIDATE:LOW_ORDER_ACCEPTANCE_PROBABILITY;REVIEW_CANDIDATE:PAYMENT_TERMS_COST_NOT_MODELED,False,False,False,False,True,Selected option warnings match selected supplier and strategy scope.,SELECTED:PAYMENT_TERMS_COST_NOT_MODELED;POOL_INFO:CUSTOMS_COST_FALLBACK_USED;POOL_INFO:PAYMENT_TERMS_COST_NOT_MODELED;REVIEW_CANDIDATE:CUSTOMS_COST_FALLBACK_USED;REVIEW_CANDIDATE:LOW_ORDER_ACCEPTANCE_PROBABILITY;REVIEW_CANDIDATE:PAYMENT_TERMS_COST_NOT_MODELED,1.0,0.0,,NO_ALLOCATION
SKU-COMP-FRAME-ROAD-001,SUP-002,PREFERRED_SUPPLIER_FLAG,MEDIUM,NONE,SUP-002,SUP-002,SUP-002,SUP-002,SUP-003,SUP-002,,,CURRENT_SUPPLIER,SUP-002,Current supplier is identified and remains feasible; no supplier switch recommended.,False,True,True,NONE,NONE,SUP-003,Supplier may be useful for review but is not execution-approved.,LOW_ORDER_ACCEPTANCE_PROBABILITY,127.2,140.3016,143.8991,18,0.9338500986193293,LOW,False,0.73,True,False,True,750.0,256,True,True,0.7356,1,"Balanced score combines landed cost, lead time, reliability, risk, quality, capacity, and backorder capability.",False,No supplier switch implied by strategy.,SUP-002,SUP-002,,False,False,Selected supplier can cover immediate and horizon requirement.,False,False,True,No expedite strategy selected.,False,True,No split-delivery strategy selected.,True,"Strategy label, supplier ID, and selected option are consistent.",MONITOR,NONE,PHASE1_DEMAND_PLANNING_CONTEXT,0.0,0.0,UNKNOWN,False,False,False,False,No strong Phase 1 demand signal changed the supplier strategy.,False,NONE,0.0,0.0,0.0,0.0,0.0,0.0,True,True,0.0,False,,,0,PAYMENT_TERMS_COST_NOT_MODELED,CUSTOMS_COST_FALLBACK_USED;PAYMENT_TERMS_COST_NOT_MODELED,CUSTOMS_COST_FALLBACK_USED;LOW_ORDER_ACCEPTANCE_PROBABILITY;PAYMENT_TERMS_COST_NOT_MODELED,NONE,NONE,SELECTED:PAYMENT_TERMS_COST_NOT_MODELED;POOL_INFO:CUSTOMS_COST_FALLBACK_USED;POOL_INFO:PAYMENT_TERMS_COST_NOT_MODELED;REVIEW_CANDIDATE:CUSTOMS_COST_FALLBACK_USED;REVIEW_CANDIDATE:LOW_ORDER_ACCEPTANCE_PROBABILITY;REVIEW_CANDIDATE:PAYMENT_TERMS_COST_NOT_MODELED,False,False,False,False,True,Selected option warnings match selected supplier and strategy scope.,SELECTED:PAYMENT_TERMS_COST_NOT_MODELED;POOL_INFO:CUSTOMS_COST_FALLBACK_USED;POOL_INFO:PAYMENT_TERMS_COST_NOT_MODELED;REVIEW_CANDIDATE:CUSTOMS_COST_FALLBACK_USED;REVIEW_CANDIDATE:LOW_ORDER_ACCEPTANCE_PROBABILITY;REVIEW_CANDIDATE:PAYMENT_TERMS_COST_NOT_MODELED,1.0,0.0,,NO_ALLOCATION
SKU-COMP-PEDAL-SET-001,SUP-002,PREFERRED_SUPPLIER_FLAG,MEDIUM,NONE,SUP-002,SUP-002,SUP-002,SUP-002,SUP-003,SUP-002,,,CURRENT_SUPPLIER,SUP-002,Current supplier is identified and remains feasible; no supplier switch recommended.,False,True,True,NONE,NONE,SUP-003,Supplier may be useful for review but is not execution-approved.,LOW_ORDER_ACCEPTANCE_PROBABILITY,21.2,23.3836,23.9832,9,0.9338500986193293,LOW,False,0.73,True,False,True,578.57,224,True,True,0.7356,1,"Balanced score combines landed cost, lead time, reliability, risk, quality, capacity, and backorder capability.",False,No supplier switch implied by strategy.,SUP-002,SUP-002,,False,False,Selected supplier can cover immediate and horizon requirement.,False,False,True,No expedite strategy selected.,False,True,No split-delivery strategy selected.,True,"Strategy label, supplier ID, and selected option are consistent.",MONITOR,NONE,PHASE1_DEMAND_PLANNING_CONTEXT,0.0,0.0,UNKNOWN,False,False,False,False,No strong Phase 1 demand signal changed the supplier strategy.,False,NONE,0.0,0.0,0.0,0.0,0.0,0.0,True,True,0.0,False,,,0,PAYMENT_TERMS_COST_NOT_MODELED,CUSTOMS_COST_FALLBACK_USED;PAYMENT_TERMS_COST_NOT_MODELED,CUSTOMS_COST_FALLBACK_USED;LOW_ORDER_ACCEPTANCE_PROBABILITY;PAYMENT_TERMS_COST_NOT_MODELED,NONE,NONE,SELECTED:PAYMENT_TERMS_COST_NOT_MODELED;POOL_INFO:CUSTOMS_COST_FALLBACK_USED;POOL_INFO:PAYMENT_TERMS_COST_NOT_MODELED;REVIEW_CANDIDATE:CUSTOMS_COST_FALLBACK_USED;REVIEW_CANDIDATE:LOW_ORDER_ACCEPTANCE_PROBABILITY;REVIEW_CANDIDATE:PAYMENT_TERMS_COST_NOT_MODELED,False,False,False,False,True,Selected option warnings match selected supplier and strategy scope.,SELECTED:PAYMENT_TERMS_COST_NOT_MODELED;POOL_INFO:CUSTOMS_COST_FALLBACK_USED;POOL_INFO:PAYMENT_TERMS_COST_NOT_MODELED;REVIEW_CANDIDATE:CUSTOMS_COST_FALLBACK_USED;REVIEW_CANDIDATE:LOW_ORDER_ACCEPTANCE_PROBABILITY;REVIEW_CANDIDATE:PAYMENT_TERMS_COST_NOT_MODELED,1.0,0.0,,NO_ALLOCATION
