planning_run_id,spare_part_sku,spare_part_name,supplier_count,preferred_supplier_id,best_supplier_score,min_lead_time_days,min_unit_cost,emergency_supplier_available_flag,supplier_coverage_status,critical_supplier_gap_flag,source_phase,advisory_only_flag
INTEGRATED-20260701125744,SP-LUBE-OIL-001,General Machine Lubricating Oil,2,SUP-002,0.99,5,18.5,True,COVERED,False,PHASE2_SPARE_PART_SUPPLIER_CHECK,True
INTEGRATED-20260701125744,SP-BEARING-KIT-001,General Bearing Replacement Kit,2,SUP-002,0.985,8,95.0,True,COVERED,False,PHASE2_SPARE_PART_SUPPLIER_CHECK,True
INTEGRATED-20260701125744,SP-FRAME-JIG-PAD-001,Frame Jig Wear Pad Kit,1,SUP-003,0.98,6,42.0,True,LIMITED_COVERAGE,False,PHASE2_SPARE_PART_SUPPLIER_CHECK,True
INTEGRATED-20260701125744,SP-WHEEL-TRUING-SPARE-001,Wheel Truing Stand Spare Kit,1,SUP-003,0.98,6,36.0,True,LIMITED_COVERAGE,False,PHASE2_SPARE_PART_SUPPLIER_CHECK,True
INTEGRATED-20260701125744,SP-BRAKE-BENCH-TOOL-001,Brake Bench Tool Spare Set,1,SUP-002,0.985,7,28.0,True,LIMITED_COVERAGE,False,PHASE2_SPARE_PART_SUPPLIER_CHECK,True
INTEGRATED-20260701125744,SP-FORK-SUSP-SEAL-001,Fork Suspension Seal Kit,1,SUP-004,0.98,9,64.0,True,LIMITED_COVERAGE,False,PHASE2_SPARE_PART_SUPPLIER_CHECK,True
INTEGRATED-20260701125744,SP-FINAL-ASM-JIG-001,Final Assembly Jig Spare Kit,1,SUP-003,0.98,8,72.0,True,LIMITED_COVERAGE,False,PHASE2_SPARE_PART_SUPPLIER_CHECK,True
INTEGRATED-20260701125744,SP-QC-CALIBRATION-KIT-001,QC Calibration Kit,1,SUP-002,0.99,10,130.0,True,LIMITED_COVERAGE,False,PHASE2_SPARE_PART_SUPPLIER_CHECK,True
INTEGRATED-20260701125744,SP-PACK-BENCH-SPARE-001,Packaging Bench Spare Kit,1,SUP-003,0.98,5,22.0,True,LIMITED_COVERAGE,False,PHASE2_SPARE_PART_SUPPLIER_CHECK,True
INTEGRATED-20260701125744,SP-ELECTRICAL-SENSOR-001,General Machine Sensor Kit,2,SUP-002,0.985,8,115.0,True,COVERED,False,PHASE2_SPARE_PART_SUPPLIER_CHECK,True
