sku_id,recommended_supplier_id,backup_supplier_id,recommended_supplier_feasible,backup_supplier_feasible,recommended_supplier_history_status,backup_supplier_history_status,supplier_trend_status,supplier_watchlist_flag,supplier_watchlist_reason,recommended_supplier_evidence_status,recommended_supplier_evidence_warning,recommended_supplier_requires_review,backup_supplier_evidence_status,backup_supplier_evidence_warning,backup_supplier_requires_review,expected_lead_time_days,expected_arrival_date,unit_cost,moq,batch_size,expected_yield_rate,final_feasible_order_quantity,feasibility_warning,feasibility_reason,cost_score_basis,normalized_total_cost_score,demand_behavior_class,champion_confidence_score,champion_risk_level,average_p50_forecast,average_p90_forecast,demand_adjusted_procurement_risk_score,demand_adjusted_procurement_risk_class,demand_context_status,adjusted_supplier_score,estimated_total_procurement_cost,estimated_product_cost,estimated_fixed_order_cost,estimated_delivery_cost,estimated_expected_delay_cost,estimated_expected_partial_delivery_cost,estimated_expected_quality_cost,reference_order_quantity,procurement_risk_score,procurement_risk_class,split_sourcing_recommendation,recommended_primary_share,recommended_backup_share,selection_reason,total_procurement_cost_kpi_numerator,total_procurement_cost_kpi_denominator_units,total_procurement_cost_per_usable_unit,total_procurement_cost_basis,total_procurement_cost_warning_codes
SKU-BAT-008,SUP-006,SUP-001,True,True,HISTORICAL,HISTORICAL,WATCHLIST,True,Multiple supplier performance metrics are worsening.,STRONG_HISTORY,WATCHLIST_SUPPLIER,True,STRONG_HISTORY,NONE,False,18,2026-06-29,9.79,250,200,0.929,600.0,DEMAND_MAY_BE_CENSORED,Supplier option requires procurement review.,estimated_total_procurement_cost,1.0,INTERMITTENT,0.6767,LOW_RISK,7.2188,7.21879,0.18503506740049178,LOW,LOADED_FROM_PHASE1,0.6598358705166231,6458.814499999999,5873.999999999999,183.6,73.15,36.9873,16.307199999999998,274.77,600.0,0.2379402696019671,LOW,False,1.0,0.0,Single sourcing recommended because supplier has LOW demand-adjusted risk and clearly highest adjusted score. Supplier selected with caution because supplier is on the watchlist. Review recommended.,6458.814499999999,0.0,,TOTAL_RELEVANT_PROCUREMENT_COST_DIVIDED_BY_USABLE_QUANTITY,NONE
SKU-BBQ-006,SUP-006,SUP-001,True,True,HISTORICAL,HISTORICAL,WATCHLIST,True,Multiple supplier performance metrics are worsening.,STRONG_HISTORY,WATCHLIST_SUPPLIER,True,STRONG_HISTORY,NONE,False,19,2026-06-30,7.24,195,155,0.923,620.0,UNDERFORECAST_RISK_AFFECTS_PROCUREMENT,Supplier option requires procurement review.,estimated_total_procurement_cost,1.0,VARIABLE,0.877,LOW_RISK,25.0061,25.006096666666668,0.1687348674004918,LOW,LOADED_FROM_PHASE1,0.7924282038499564,5091.104899999999,4488.8,187.2,71.05,33.0939,17.36,293.60100000000006,620.0,0.2347602696019671,LOW,False,1.0,0.0,Single sourcing recommended because supplier has LOW demand-adjusted risk and clearly highest adjusted score. Supplier selected with caution because supplier is on the watchlist. Review recommended.,5091.104899999999,0.0,,TOTAL_RELEVANT_PROCUREMENT_COST_DIVIDED_BY_USABLE_QUANTITY,NONE
SKU-CHC-005,SUP-006,SUP-003,True,True,HISTORICAL,HISTORICAL,WATCHLIST,True,Multiple supplier performance metrics are worsening.,STRONG_HISTORY,WATCHLIST_SUPPLIER,True,STRONG_HISTORY,NONE,False,18,2026-06-29,6.81,170,135,0.929,405.0,NONE,Supplier option is feasible.,estimated_total_procurement_cost,1.0,SMOOTH,0.9715,LOW_RISK,19.0004,19.0004,0.07559506740049177,LOW,LOADED_FROM_PHASE1,0.675660870516623,3229.3384,2758.0499999999997,183.6,70.0,28.224,16.9344,172.53,405.0,0.22144026960196708,LOW,False,1.0,0.0,Single sourcing recommended because supplier has LOW demand-adjusted risk and clearly highest adjusted score. Supplier selected with caution because supplier is on the watchlist. Review recommended.,3229.3384,0.0,,TOTAL_RELEVANT_PROCUREMENT_COST_DIVIDED_BY_USABLE_QUANTITY,NONE
SKU-COF-001,SUP-002,SUP-006,True,True,HISTORICAL,HISTORICAL,HEALTHY,False,Supplier performance trend is acceptable for current review.,STRONG_HISTORY,NONE,False,STRONG_HISTORY,WATCHLIST_SUPPLIER,True,10,2026-06-21,3.75,55,40,0.985,1920.0,NONE,Supplier option is feasible.,estimated_total_procurement_cost,0.5243415083034588,SMOOTH,0.9789,LOW_RISK,42.7979,42.79789,0.03610312130177515,LOW,LOADED_FROM_PHASE1,0.711813428300688,7542.959,7200.0,95.0,130.0,1.134,1.625,115.19999999999999,1920.0,0.05837248520710061,LOW,False,1.0,0.0,Single sourcing recommended because supplier has LOW demand-adjusted risk and clearly highest adjusted score. Supplier selected due to lowest estimated total procurement cost and acceptable reliability.,7542.959,0.0,,TOTAL_RELEVANT_PROCUREMENT_COST_DIVIDED_BY_USABLE_QUANTITY,NONE
SKU-FIL-009,SUP-002,SUP-004,True,True,HISTORICAL,HISTORICAL,HEALTHY,False,Supplier performance trend is acceptable for current review.,STRONG_HISTORY,NONE,False,STRONG_HISTORY,WATCHLIST_SUPPLIER,True,13,2026-06-24,20.74,55,40,0.973,80.0,DEMAND_MAY_BE_CENSORED,Supplier option requires procurement review.,estimated_total_procurement_cost,0.8767423503732459,INTERMITTENT,0.6927,LOW_RISK,0.0,0.0,0.08260312130177516,LOW,LOADED_FROM_PHASE1,0.9630117230251133,1901.1500999999998,1659.1999999999998,98.8,130.0,1.134,3.3761000000000005,8.64,80.0,0.0652124852071006,LOW,False,1.0,0.0,Single sourcing recommended because supplier has LOW demand-adjusted risk and clearly highest adjusted score. Flexible supplier preferred because SKU has intermittent demand.,1901.1500999999998,0.0,,TOTAL_RELEVANT_PROCUREMENT_COST_DIVIDED_BY_USABLE_QUANTITY,NONE
SKU-GFT-010,SUP-003,SUP-007,True,True,HISTORICAL,HISTORICAL,MIXED,False,Supplier performance trend is acceptable for current review.,STRONG_HISTORY,NONE,False,LIMITED_HISTORY,LIMITED_TREND_DATA,False,4,2026-06-15,18.48,45,30,0.88,60.0,LOW_YIELD_REQUIRES_EXTRA_ORDERING;DEMAND_MAY_BE_CENSORED,Low yield requires ordering extra quantity.,estimated_total_procurement_cost,0.8942429307785755,INTERMITTENT,0.6384,LOW_RISK,0.0,0.0,0.09407765700483092,LOW,LOADED_FROM_PHASE1,0.9539370335312483,1374.6780999999996,1108.8,55.0,91.35,5.8401,10.368,103.32,60.0,0.11111062801932367,LOW,False,1.0,0.0,Single sourcing recommended because supplier has LOW demand-adjusted risk and clearly highest adjusted score. Flexible supplier preferred because SKU has intermittent demand.,1374.6780999999996,0.0,,TOTAL_RELEVANT_PROCUREMENT_COST_DIVIDED_BY_USABLE_QUANTITY,NONE
SKU-SUN-003,SUP-003,SUP-004,True,True,HISTORICAL,HISTORICAL,MIXED,False,Supplier performance trend is acceptable for current review.,STRONG_HISTORY,NONE,False,STRONG_HISTORY,WATCHLIST_SUPPLIER,True,7,2026-06-18,6.34,50,35,0.868,70.0,LOW_YIELD_REQUIRES_EXTRA_ORDERING;UNDERFORECAST_RISK_AFFECTS_PROCUREMENT,Low yield requires ordering extra quantity.,estimated_total_procurement_cost,1.0,ERRATIC,0.7201,MEDIUM_RISK,24.0,24.0,0.13966265700483094,LOW,LOADED_FROM_PHASE1,0.9614497552334943,747.4572000000001,443.8,57.2,92.7,4.95,12.979199999999999,135.828,70.0,0.11465062801932367,LOW,False,1.0,0.0,"Single sourcing recommended because supplier has LOW demand-adjusted risk and clearly highest adjusted score. Supplier selected because it is feasible, has strong total cost performance, and has sufficient historical evidence.",747.4572000000001,0.0,,TOTAL_RELEVANT_PROCUREMENT_COST_DIVIDED_BY_USABLE_QUANTITY,NONE
SKU-SUP-004,SUP-006,SUP-001,True,True,HISTORICAL,HISTORICAL,WATCHLIST,True,Multiple supplier performance metrics are worsening.,STRONG_HISTORY,WATCHLIST_SUPPLIER,True,STRONG_HISTORY,NONE,False,16,2026-06-27,5.53,250,200,0.935,1400.0,NONE,Supplier option is feasible.,estimated_total_procurement_cost,1.0,VARIABLE,0.8294,MEDIUM_RISK,7.6452,7.6452366666666665,0.06325006740049179,LOW,LOADED_FROM_PHASE1,0.7409068705166232,8633.9273,7742.0,180.0,73.15,36.9873,14.840000000000002,586.95,1400.0,0.23452026960196715,LOW,False,1.0,0.0,Single sourcing recommended because supplier has LOW demand-adjusted risk and clearly highest adjusted score. Supplier selected with caution because supplier is on the watchlist. Review recommended.,8633.9273,0.0,,TOTAL_RELEVANT_PROCUREMENT_COST_DIVIDED_BY_USABLE_QUANTITY,NONE
SKU-TEA-002,SUP-007,SUP-001,True,True,HISTORICAL,HISTORICAL,INSUFFICIENT_DATA,False,Insufficient recent or baseline data for trend detection.,LIMITED_HISTORY,LIMITED_TREND_DATA,False,STRONG_HISTORY,NONE,False,8,2026-06-19,5.31,30,20,0.939,940.0,UNDERFORECAST_RISK_AFFECTS_PROCUREMENT,Supplier option requires procurement review.,estimated_total_procurement_cost,0.4060271733585614,VARIABLE,0.9135,LOW_RISK,52.7373,52.73728666666667,0.15300075757575757,LOW,LOADED_FROM_PHASE1,0.6312616419886277,5508.329959999999,4991.4,35.7,111.65,9.96216,6.9768,352.641,940.0,0.1855230303030303,LOW,False,1.0,0.0,Single sourcing recommended because supplier has LOW demand-adjusted risk and clearly highest adjusted score. Supplier selected despite limited trend data because it has the best adjusted score and is feasible. Limited trend data is noted for procurement monitoring.,5508.329959999999,0.0,,TOTAL_RELEVANT_PROCUREMENT_COST_DIVIDED_BY_USABLE_QUANTITY,NONE
SKU-UMR-007,SUP-007,SUP-003,True,True,HISTORICAL,HISTORICAL,INSUFFICIENT_DATA,False,Insufficient recent or baseline data for trend detection.,LIMITED_HISTORY,LIMITED_TREND_DATA,False,STRONG_HISTORY,NONE,False,7,2026-06-18,14.38,35,25,0.945,75.0,NONE,Supplier option is feasible.,estimated_total_procurement_cost,1.0,SMOOTH,0.9781,LOW_RISK,6.0,6.0,0.06516325757575758,LOW,LOADED_FROM_PHASE1,0.8133798432970184,1268.3935,1078.5,35.0,113.3,9.792000000000002,5.814,25.9875,75.0,0.18100303030303033,LOW,False,1.0,0.0,Single sourcing recommended because supplier has LOW demand-adjusted risk and clearly highest adjusted score. Supplier selected despite limited trend data because it has the best adjusted score and is feasible. Limited trend data is noted for procurement monitoring.,1268.3935,0.0,,TOTAL_RELEVANT_PROCUREMENT_COST_DIVIDED_BY_USABLE_QUANTITY,NONE
