sku_id,supplier_id,unit_cost,moq,batch_size,lead_time_mean_days,lead_time_std_days,yield_rate,defect_rate,delay_probability,partial_delivery_rate,fixed_order_cost,delivery_cost,cost_per_late_day,partial_delivery_penalty,quality_rejection_cost_per_unit,supplier_history_status,supplier_trend_status,supplier_watchlist_flag,supplier_watchlist_reason,supplier_evidence_status,supplier_evidence_warning,supplier_requires_review,reference_order_quantity,estimated_product_cost,estimated_fixed_order_cost,estimated_delivery_cost,estimated_expected_delay_cost,estimated_expected_partial_delivery_cost,estimated_expected_quality_cost,estimated_total_procurement_cost,cost_score_basis,normalized_total_cost_score,demand_behavior_class,zero_demand_ratio,coefficient_of_variation,event_affected_ratio,data_sufficiency_class,champion_model,champion_confidence_score,champion_risk_level,average_p50_forecast,average_p90_forecast,average_forecast_confidence_score,dominant_forecast_risk_level,demand_context_status,phase1_context_source,demand_profile,demand_variability_class,forecast_demand_7d,forecast_demand_30d,forecast_demand_60d,forecast_demand_90d,demand_urgency_score,demand_pressure_7d,demand_pressure_30d,forecast_confidence_band,forecast_uncertainty_level,high_uncertainty_flag,underforecast_risk_flag,overforecast_risk_flag,stockout_censored_demand_flag,lost_sales_estimate_30d,adjusted_demand_30d,upcoming_event_flag,seasonal_phase,demand_data_quality_score,phase1_demand_warning_codes,demand_integration_notes,demand_risk_component,supplier_risk_component,backorder_risk_component,capacity_risk_component,event_risk_component,total_demand_adjusted_risk_score,demand_strategy_warning_codes,demand_adjusted_procurement_risk_score,demand_adjusted_procurement_risk_class,demand_context_adjustment,supplier_trend_adjustment,reference_usable_quantity,reference_quantity_source,requirement_input_mode,phase3_requirement_loaded_flag,phase3_requirement_schema_version,authoritative_requested_quantity_units,fallback_quantity_used_flag,fallback_quantity_reason,yield_adjusted_order_quantity,batch_rounded_order_quantity,moq_adjusted_order_quantity,final_feasible_order_quantity,is_supplier_active,is_feasible_supplier_option,feasibility_warning,feasibility_reason,supplier_score,adjusted_supplier_score,procurement_risk_score,procurement_risk_class,total_procurement_cost_kpi_numerator,total_procurement_cost_kpi_denominator_units,total_procurement_cost_per_usable_unit,total_procurement_cost_basis,total_procurement_cost_warning_codes
SKU-BAT-008,SUP-001,10.61,120,90,16,6.5,0.854,0.146,0.475,0.292,66.3,188.1,56.65,270.4,9.67,HISTORICAL,IMPROVING,False,Supplier performance is improving across most metrics.,STRONG_HISTORY,NONE,False,540.0,5729.4,66.3,188.1,174.90687499999999,78.95679999999999,762.3827999999999,7000.046474999999,estimated_total_procurement_cost,0.6000922075846291,INTERMITTENT,0.0,1.7253,0.0,HIGH,random_forest,0.6767,LOW_RISK,7.2188,7.21879,0.6767,LOW_RISK,LOADED_FROM_PHASE1,PHASE1_DEMAND_PLANNING_CONTEXT,INTERMITTENT,ERRATIC,51.2425,216.5637,423.2377,633.4046,70.0,2.5728,2.5371,MEDIUM,LOW,False,False,True,True,48.0,140.0,False,BUILDUP,0.9,FORECAST_HORIZON_FROM_TRUE_FUTURE_FORECAST;POSSIBLE_STOCKOUT_CENSORED_DEMAND;HIGH_ZERO_DEMAND_RATIO,Use caution: possible censored demand may cause underforecasting.,0.41850000000000004,0.3931255107320932,0.0,0.0,0.0,0.2238313776830233,DEMAND_MAY_BE_CENSORED,0.2238313776830233,LOW,0.01899159663865546,0.02,400.0,PHASE3_NET_REPLENISHMENT_REQUIREMENT,AUTHORITATIVE_PHASE3_REQUIREMENT,True,1.0,400.0,False,NONE,468.384074941452,540.0,540.0,540.0,True,True,LOW_YIELD_REQUIRES_EXTRA_ORDERING;DEMAND_MAY_BE_CENSORED,Low yield requires ordering extra quantity.,0.5544668125645267,0.5934584092031822,0.3931255107320932,MEDIUM,7000.046474999999,400.0,17.500116187499998,TOTAL_RELEVANT_PROCUREMENT_COST_DIVIDED_BY_USABLE_QUANTITY,NONE
SKU-BAT-008,SUP-005,13.33,80,60,14,8.1,0.904,0.096,0.405,0.232,71.4,156.75,46.35,228.8,8.6,HISTORICAL,WATCHLIST,True,Multiple supplier performance metrics are worsening.,STRONG_HISTORY,WATCHLIST_SUPPLIER,True,480.0,6398.4,71.4,156.75,152.051175,53.08160000000001,396.28799999999995,7227.970774999999,estimated_total_procurement_cost,0.43168252770417026,INTERMITTENT,0.0,1.7253,0.0,HIGH,random_forest,0.6767,LOW_RISK,7.2188,7.21879,0.6767,LOW_RISK,LOADED_FROM_PHASE1,PHASE1_DEMAND_PLANNING_CONTEXT,INTERMITTENT,ERRATIC,51.2425,216.5637,423.2377,633.4046,70.0,2.5728,2.5371,MEDIUM,LOW,False,False,True,True,48.0,140.0,False,BUILDUP,0.9,FORECAST_HORIZON_FROM_TRUE_FUTURE_FORECAST;POSSIBLE_STOCKOUT_CENSORED_DEMAND;HIGH_ZERO_DEMAND_RATIO,Use caution: possible censored demand may cause underforecasting.,0.41850000000000004,0.3705409800436843,0.0,0.0,0.0,0.21818524501092107,DEMAND_MAY_BE_CENSORED,0.21818524501092107,LOW,0.02449579831932773,-0.05,400.0,PHASE3_NET_REPLENISHMENT_REQUIREMENT,AUTHORITATIVE_PHASE3_REQUIREMENT,True,1.0,400.0,False,NONE,442.4778761061947,480.0,480.0,480.0,False,False,INACTIVE_SUPPLIER;DEMAND_MAY_BE_CENSORED,Supplier is inactive.,0.5779602022881348,0.5524560006074625,0.3705409800436843,MEDIUM,7227.970774999999,400.0,18.069926937499996,TOTAL_RELEVANT_PROCUREMENT_COST_DIVIDED_BY_USABLE_QUANTITY,NONE
SKU-BAT-008,SUP-006,9.79,250,200,18,4.5,0.929,0.071,0.285,0.112,183.6,73.15,28.84,145.6,6.45,HISTORICAL,WATCHLIST,True,Multiple supplier performance metrics are worsening.,STRONG_HISTORY,WATCHLIST_SUPPLIER,True,600.0,5873.999999999999,183.6,73.15,36.9873,16.307199999999998,274.77,6458.814499999999,estimated_total_procurement_cost,1.0,INTERMITTENT,0.0,1.7253,0.0,HIGH,random_forest,0.6767,LOW_RISK,7.2188,7.21879,0.6767,LOW_RISK,LOADED_FROM_PHASE1,PHASE1_DEMAND_PLANNING_CONTEXT,INTERMITTENT,ERRATIC,51.2425,216.5637,423.2377,633.4046,70.0,2.5728,2.5371,MEDIUM,LOW,False,False,True,True,48.0,140.0,False,BUILDUP,0.9,FORECAST_HORIZON_FROM_TRUE_FUTURE_FORECAST;POSSIBLE_STOCKOUT_CENSORED_DEMAND;HIGH_ZERO_DEMAND_RATIO,Use caution: possible censored demand may cause underforecasting.,0.41850000000000004,0.2379402696019671,0.0,0.0,0.0,0.18503506740049178,DEMAND_MAY_BE_CENSORED,0.18503506740049178,LOW,0.0,-0.05,400.0,PHASE3_NET_REPLENISHMENT_REQUIREMENT,AUTHORITATIVE_PHASE3_REQUIREMENT,True,1.0,400.0,False,NONE,430.57050592034443,600.0,600.0,600.0,True,True,DEMAND_MAY_BE_CENSORED,Supplier option requires procurement review.,0.7098358705166231,0.6598358705166231,0.2379402696019671,LOW,6458.814499999999,400.0,16.147036249999996,TOTAL_RELEVANT_PROCUREMENT_COST_DIVIDED_BY_USABLE_QUANTITY,NONE
SKU-BAT-008,SUP-007,16.59,40,30,8,2.6,0.939,0.061,0.185,0.072,35.7,114.95,24.72,98.8,6.45,HISTORICAL,INSUFFICIENT_DATA,False,Insufficient recent or baseline data for trend detection.,LIMITED_HISTORY,LIMITED_TREND_DATA,False,450.0,7465.5,35.7,114.95,11.89032,7.113599999999999,177.0525,7812.2064199999995,estimated_total_procurement_cost,0.0,INTERMITTENT,0.0,1.7253,0.0,HIGH,random_forest,0.6767,LOW_RISK,7.2188,7.21879,0.6767,LOW_RISK,LOADED_FROM_PHASE1,PHASE1_DEMAND_PLANNING_CONTEXT,INTERMITTENT,ERRATIC,51.2425,216.5637,423.2377,633.4046,70.0,2.5728,2.5371,MEDIUM,LOW,False,False,True,True,48.0,140.0,False,BUILDUP,0.9,FORECAST_HORIZON_FROM_TRUE_FUTURE_FORECAST;POSSIBLE_STOCKOUT_CENSORED_DEMAND;HIGH_ZERO_DEMAND_RATIO,Use caution: possible censored demand may cause underforecasting.,0.41850000000000004,0.19212303030303032,0.0,0.0,0.0,0.17358075757575758,DEMAND_MAY_BE_CENSORED,0.17358075757575758,LOW,0.03,-0.03,400.0,PHASE3_NET_REPLENISHMENT_REQUIREMENT,AUTHORITATIVE_PHASE3_REQUIREMENT,True,1.0,400.0,False,NONE,425.98509052183175,450.0,450.0,450.0,True,True,DEMAND_MAY_BE_CENSORED,Supplier option requires procurement review.,0.5188221313131313,0.5188221313131313,0.19212303030303032,LOW,7812.2064199999995,400.0,19.53051605,TOTAL_RELEVANT_PROCUREMENT_COST_DIVIDED_BY_USABLE_QUANTITY,NONE
SKU-BBQ-006,SUP-001,7.84,95,70,18,6.5,0.848,0.152,0.445,0.304,67.6,182.7,56.65,260.0,9.22,HISTORICAL,IMPROVING,False,Supplier performance is improving across most metrics.,STRONG_HISTORY,NONE,False,560.0,4390.4,67.6,182.7,163.860125,79.03999999999999,784.8064,5668.406525,estimated_total_procurement_cost,0.7840094545451548,VARIABLE,0.0,0.9664,0.0,HIGH,gradient_boosting,0.877,LOW_RISK,25.0061,25.006096666666668,0.877,LOW_RISK,LOADED_FROM_PHASE1,PHASE1_DEMAND_PLANNING_CONTEXT,VARIABLE,VARIABLE,175.058,750.1829,1500.3437,2250.503,55.0,1.9604,1.9602,HIGH,LOW,False,True,False,False,0.0,745.0,False,PEAK,1.0,FORECAST_HORIZON_FROM_TRUE_FUTURE_FORECAST,Underforecast risk: downstream planning should review urgency and buffers.,0.36681600000000003,0.3899455107320932,0.0,0.0,0.0,0.20753117768302332,UNDERFORECAST_RISK_AFFECTS_PROCUREMENT,0.20753117768302332,LOW,0.0,0.02,450.1098,LEAD_TIME_FORECAST_DEMAND,PROVISIONAL_NO_PHASE3_CONTEXT,False,,0.0,True,PHASE3_REQUIREMENT_BRIDGE_NOT_AVAILABLE,530.7898584905661,560.0,560.0,560.0,True,True,LOW_YIELD_REQUIRES_EXTRA_ORDERING;UNDERFORECAST_RISK_AFFECTS_PROCUREMENT,Low yield requires ordering extra quantity.,0.7336524045562662,0.7536524045562663,0.3899455107320932,MEDIUM,5668.406525,450.1098,12.593386158221838,TOTAL_RELEVANT_PROCUREMENT_COST_DIVIDED_BY_USABLE_QUANTITY,NONE
SKU-BBQ-006,SUP-004,11.26,75,55,25,2.2,0.953,0.047,0.085,0.064,88.4,76.12,20.6,80.0,5.12,HISTORICAL,WATCHLIST,True,Delay trend is worsening.,STRONG_HISTORY,WATCHLIST_SUPPLIER,True,660.0,7431.599999999999,88.4,76.12,3.8522000000000007,5.12,158.8224,7763.914599999999,estimated_total_procurement_cost,0.0,VARIABLE,0.0,0.9664,0.0,HIGH,gradient_boosting,0.877,LOW_RISK,25.0061,25.006096666666668,0.877,LOW_RISK,LOADED_FROM_PHASE1,PHASE1_DEMAND_PLANNING_CONTEXT,VARIABLE,VARIABLE,175.058,750.1829,1500.3437,2250.503,55.0,1.9604,1.9602,HIGH,LOW,False,True,False,False,0.0,745.0,False,PEAK,1.0,FORECAST_HORIZON_FROM_TRUE_FUTURE_FORECAST,Underforecast risk: downstream planning should review urgency and buffers.,0.36681600000000003,0.10037721446574584,0.0,0.0,0.0,0.13513910361643647,UNDERFORECAST_RISK_AFFECTS_PROCUREMENT,0.13513910361643647,LOW,0.0,-0.05,625.1525,LEAD_TIME_FORECAST_DEMAND,PROVISIONAL_NO_PHASE3_CONTEXT,False,,0.0,True,PHASE3_REQUIREMENT_BRIDGE_NOT_AVAILABLE,655.9837355718784,660.0,660.0,660.0,True,True,UNDERFORECAST_RISK_AFFECTS_PROCUREMENT,Supplier option requires procurement review.,0.41911911516713635,0.36911911516713636,0.10037721446574584,LOW,7763.914599999999,625.1525,12.419233067131618,TOTAL_RELEVANT_PROCUREMENT_COST_DIVIDED_BY_USABLE_QUANTITY,NONE
SKU-BBQ-006,SUP-005,9.85,65,45,16,8.1,0.898,0.102,0.375,0.244,72.8,152.25,46.35,220.0,8.2,HISTORICAL,WATCHLIST,True,Multiple supplier performance metrics are worsening.,STRONG_HISTORY,WATCHLIST_SUPPLIER,True,450.0,4432.5,72.8,152.25,140.78812499999998,53.68,376.37999999999994,5228.398125000001,estimated_total_procurement_cost,0.9486333707184611,VARIABLE,0.0,0.9664,0.0,HIGH,gradient_boosting,0.877,LOW_RISK,25.0061,25.006096666666668,0.877,LOW_RISK,LOADED_FROM_PHASE1,PHASE1_DEMAND_PLANNING_CONTEXT,VARIABLE,VARIABLE,175.058,750.1829,1500.3437,2250.503,55.0,1.9604,1.9602,HIGH,LOW,False,True,False,False,0.0,745.0,False,PEAK,1.0,FORECAST_HORIZON_FROM_TRUE_FUTURE_FORECAST,Underforecast risk: downstream planning should review urgency and buffers.,0.36681600000000003,0.3673609800436843,0.0,0.0,0.0,0.20188504501092108,UNDERFORECAST_RISK_AFFECTS_PROCUREMENT,0.20188504501092108,LOW,0.0,-0.05,400.0976,LEAD_TIME_FORECAST_DEMAND,PROVISIONAL_NO_PHASE3_CONTEXT,False,,0.0,True,PHASE3_REQUIREMENT_BRIDGE_NOT_AVAILABLE,445.54298440979954,450.0,450.0,450.0,False,False,INACTIVE_SUPPLIER;LOW_YIELD_REQUIRES_EXTRA_ORDERING;UNDERFORECAST_RISK_AFFECTS_PROCUREMENT,Supplier is inactive.,0.8781519973431366,0.8281519973431366,0.3673609800436843,MEDIUM,5228.398125000001,400.0976,13.067806767648696,TOTAL_RELEVANT_PROCUREMENT_COST_DIVIDED_BY_USABLE_QUANTITY,NONE
SKU-BBQ-006,SUP-006,7.24,195,155,19,4.5,0.923,0.077,0.255,0.124,187.2,71.05,28.84,140.0,6.15,HISTORICAL,WATCHLIST,True,Multiple supplier performance metrics are worsening.,STRONG_HISTORY,WATCHLIST_SUPPLIER,True,620.0,4488.8,187.2,71.05,33.0939,17.36,293.60100000000006,5091.104899999999,estimated_total_procurement_cost,1.0,VARIABLE,0.0,0.9664,0.0,HIGH,gradient_boosting,0.877,LOW_RISK,25.0061,25.006096666666668,0.877,LOW_RISK,LOADED_FROM_PHASE1,PHASE1_DEMAND_PLANNING_CONTEXT,VARIABLE,VARIABLE,175.058,750.1829,1500.3437,2250.503,55.0,1.9604,1.9602,HIGH,LOW,False,True,False,False,0.0,745.0,False,PEAK,1.0,FORECAST_HORIZON_FROM_TRUE_FUTURE_FORECAST,Underforecast risk: downstream planning should review urgency and buffers.,0.36681600000000003,0.2347602696019671,0.0,0.0,0.0,0.1687348674004918,UNDERFORECAST_RISK_AFFECTS_PROCUREMENT,0.1687348674004918,LOW,0.0,-0.05,475.1159,LEAD_TIME_FORECAST_DEMAND,PROVISIONAL_NO_PHASE3_CONTEXT,False,,0.0,True,PHASE3_REQUIREMENT_BRIDGE_NOT_AVAILABLE,514.7517876489708,620.0,620.0,620.0,True,True,UNDERFORECAST_RISK_AFFECTS_PROCUREMENT,Supplier option requires procurement review.,0.8424282038499564,0.7924282038499564,0.2347602696019671,LOW,5091.104899999999,475.1159,10.71550099670417,TOTAL_RELEVANT_PROCUREMENT_COST_DIVIDED_BY_USABLE_QUANTITY,NONE
SKU-CHC-005,SUP-002,12.68,55,40,12,1.4,0.979,0.021,0.045,0.037,96.9,130.0,18.0,70.2,4.0,HISTORICAL,HEALTHY,False,Supplier performance trend is acceptable for current review.,STRONG_HISTORY,NONE,False,240.0,3043.2,96.9,130.0,1.134,2.5974,20.16,3293.9914,estimated_total_procurement_cost,0.19065286586379737,SMOOTH,0.0,0.2655,0.0,HIGH,gradient_boosting,0.9715,LOW_RISK,19.0004,19.0004,0.9715,LOW_RISK,LOADED_FROM_PHASE1,PHASE1_DEMAND_PLANNING_CONTEXT,SMOOTH,STABLE,133.0028,570.012,1140.024,1710.036,26.98,0.8993,0.8993,HIGH,LOW,False,False,False,False,0.0,570.0,False,NON_SEASONAL,1.0,FORECAST_HORIZON_FROM_TRUE_FUTURE_FORECAST,Stable demand profile; suitable for standard replenishment logic.,0.06745,0.06179248520710061,0.0,0.0,0.0,0.03568312130177515,NONE,0.03568312130177515,LOW,0.0,0.0,228.0048,LEAD_TIME_FORECAST_DEMAND,PROVISIONAL_NO_PHASE3_CONTEXT,False,,0.0,True,PHASE3_REQUIREMENT_BRIDGE_NOT_AVAILABLE,232.8956077630235,240.0,240.0,240.0,True,True,NONE,Supplier option is feasible.,0.5939514034468063,0.5939514034468063,0.06179248520710061,LOW,3293.9914,228.0048,14.447026553826937,TOTAL_RELEVANT_PROCUREMENT_COST_DIVIDED_BY_USABLE_QUANTITY,NONE
SKU-CHC-005,SUP-003,10.03,40,25,6,1.1,0.874,0.126,0.12,0.092,56.1,90.0,30.0,129.6,14.0,HISTORICAL,MIXED,False,Supplier performance trend is acceptable for current review.,STRONG_HISTORY,NONE,False,150.0,1504.5,56.1,90.0,3.96,11.9232,264.59999999999997,1931.0831999999998,estimated_total_procurement_cost,1.0,SMOOTH,0.0,0.2655,0.0,HIGH,gradient_boosting,0.9715,LOW_RISK,19.0004,19.0004,0.9715,LOW_RISK,LOADED_FROM_PHASE1,PHASE1_DEMAND_PLANNING_CONTEXT,SMOOTH,STABLE,133.0028,570.012,1140.024,1710.036,26.98,0.8993,0.8993,HIGH,LOW,False,False,False,False,0.0,570.0,False,NON_SEASONAL,1.0,FORECAST_HORIZON_FROM_TRUE_FUTURE_FORECAST,Stable demand profile; suitable for standard replenishment logic.,0.06745,0.10463062801932367,0.0,0.0,0.0,0.04639265700483092,NONE,0.04639265700483092,LOW,0.006771720613287905,0.0,114.0024,LEAD_TIME_FORECAST_DEMAND,PROVISIONAL_NO_PHASE3_CONTEXT,False,,0.0,True,PHASE3_REQUIREMENT_BRIDGE_NOT_AVAILABLE,130.437528604119,150.0,150.0,150.0,True,True,LOW_YIELD_REQUIRES_EXTRA_ORDERING,Low yield requires ordering extra quantity.,0.9628507552334943,0.9696224758467822,0.10463062801932367,LOW,1931.0831999999998,114.0024,16.938969705900927,TOTAL_RELEVANT_PROCUREMENT_COST_DIVIDED_BY_USABLE_QUANTITY,NONE
