batch_id,sku_id,supplier_id,warehouse_id,location_id,received_date,expiry_date,quantity_received,quantity_on_hand,quantity_reserved,quantity_available,unit_cost,batch_value,batch_status,shelf_life_days
BATCH-001-01,SKU-COF-001,SUP-001,WH-001,LOC-FP-001,2026-05-15,,441,420,25,395,6.5,2730.0,FRESH,0
BATCH-002-01,SKU-TEA-002,SUP-002,WH-001,LOC-CP-001,2026-05-10,2026-05-29,0,0,0,0,4.2,0.0,EXPIRED,180
BATCH-002-02,SKU-TEA-002,SUP-003,WH-001,LOC-CP-001,2026-04-05,2026-06-16,0,0,0,0,4.2,0.0,NEAR_EXPIRY,180
BATCH-003-01,SKU-SUN-003,SUP-003,WH-001,LOC-TC-001,2026-05-05,2026-05-29,55,53,3,50,9.8,519.4,EXPIRED,180
BATCH-003-02,SKU-SUN-003,SUP-004,WH-001,LOC-TC-001,2026-03-31,2026-06-16,55,53,4,49,9.8,519.4,NEAR_EXPIRY,180
BATCH-003-03,SKU-SUN-003,SUP-005,WH-001,LOC-TC-001,2026-02-24,2026-07-20,56,54,3,51,9.8,529.2,FRESH,180
BATCH-004-01,SKU-SUP-004,SUP-004,WH-001,LOC-TC-002,2026-04-30,2026-05-29,0,0,0,0,5.4,0.0,EXPIRED,180
BATCH-004-02,SKU-SUP-004,SUP-005,WH-001,LOC-TC-002,2026-03-26,2026-06-16,0,0,0,0,5.4,0.0,NEAR_EXPIRY,180
BATCH-004-03,SKU-SUP-004,SUP-006,WH-001,LOC-TC-002,2026-02-19,2026-07-20,0,0,0,0,5.4,0.0,QUARANTINE,180
BATCH-004-04,SKU-SUP-004,SUP-007,WH-001,LOC-TC-002,2026-01-15,2026-10-22,0,0,0,0,5.4,0.0,FRESH,180
BATCH-005-01,SKU-CHC-005,SUP-005,WH-001,LOC-TC-003,2026-04-25,2026-05-29,36,35,2,33,3.8,133.0,EXPIRED,180
BATCH-006-01,SKU-BBQ-006,SUP-006,WH-001,LOC-BK-001,2026-04-20,,378,360,21,339,12.5,4500.0,FRESH,0
BATCH-006-02,SKU-BBQ-006,SUP-007,WH-001,LOC-BK-001,2026-03-16,,378,360,28,332,12.5,4500.0,FRESH,0
BATCH-007-01,SKU-UMR-007,SUP-007,WH-001,LOC-SP-001,2026-04-15,,2,2,0,2,14.0,28.0,FRESH,0
BATCH-007-02,SKU-UMR-007,SUP-001,WH-001,LOC-SP-001,2026-03-11,,3,3,0,3,14.0,42.0,FRESH,0
BATCH-007-03,SKU-UMR-007,SUP-002,WH-001,LOC-SP-001,2026-02-04,,3,3,0,3,14.0,42.0,FRESH,0
BATCH-008-01,SKU-BAT-008,SUP-001,WH-001,LOC-SC-001,2026-04-10,,0,0,0,0,7.2,0.0,FRESH,0
BATCH-008-02,SKU-BAT-008,SUP-002,WH-001,LOC-SC-001,2026-03-06,,0,0,0,0,7.2,0.0,FRESH,0
BATCH-008-03,SKU-BAT-008,SUP-003,WH-001,LOC-SC-001,2026-01-30,,0,0,0,0,7.2,0.0,FRESH,0
BATCH-008-04,SKU-BAT-008,SUP-004,WH-001,LOC-SC-001,2025-12-26,,0,0,0,0,7.2,0.0,FRESH,0
BATCH-009-01,SKU-FIL-009,SUP-002,WH-001,LOC-EP-001,2026-04-05,,100,96,5,91,11.3,1084.8,FRESH,0
BATCH-010-01,SKU-GFT-010,SUP-003,WH-001,LOC-SC-002,2026-03-31,,162,155,9,146,16.5,2557.5,FRESH,0
BATCH-010-02,SKU-GFT-010,SUP-004,WH-001,LOC-SC-002,2026-02-24,,162,155,12,143,16.5,2557.5,FRESH,0
