sku_id,warehouse_id,current_inventory,reserved_inventory,available_inventory,inventory_value,inventory_position,unit_cost,unit_holding_cost,stockout_penalty_per_unit,overstock_penalty_per_unit,storage_location_id,last_restock_date,last_movement_date,inventory_owner_type,item_planning_type,push_pull_boundary_role,inventory_value_expected,inventory_value_variance,inventory_value_recalculated_flag,negative_inventory_flag,zero_inventory_flag,positive_inventory_flag,negative_reserved_inventory_flag,negative_unit_cost_flag,negative_stockout_penalty_flag,negative_overstock_penalty_flag
SKU-COF-001,WH-001,420,33,387,2730.0,420,6.5,0.0034,35,4,LOC-FP-001,2026-05-28,2026-06-02,PURCHASED,PURCHASED_FINISHED_GOOD,MAKE_TO_STOCK_ITEM,2730.0,0.0,False,False,False,True,False,False,False,False
SKU-TEA-002,WH-001,0,0,0,0.0,0,4.2,0.0022,30,7,LOC-CP-001,2026-05-22,2026-05-31,PURCHASED,PURCHASED_FINISHED_GOOD,MAKE_TO_STOCK_ITEM,0.0,0.0,False,False,True,False,False,False,False,False
SKU-SUN-003,WH-001,160,19,141,1568.0,160,9.8,0.0051,22,9,LOC-TC-001,2026-05-16,2026-05-23,PURCHASED,PURCHASED_FINISHED_GOOD,MAKE_TO_STOCK_ITEM,1568.0,0.0,False,False,False,True,False,False,False,False
SKU-SUP-004,WH-001,-18,1,-19,-97.2,-18,5.4,0.0028,28,6,LOC-TC-002,2026-05-10,2026-06-03,SEMI_PRODUCED,SEMI_FINISHED,MAKE_TO_STOCK_ITEM,-97.2,0.0,False,True,False,False,False,False,False,False
SKU-CHC-005,WH-001,35,3,32,133.0,35,3.8,0.002,24,8,LOC-TC-003,2026-05-04,2026-05-07,PURCHASED,PURCHASED_FINISHED_GOOD,MAKE_TO_STOCK_ITEM,133.0,0.0,False,False,False,True,False,False,False,False
SKU-BBQ-006,WH-001,720,86,634,9000.0,720,12.5,0.0065,18,12,LOC-BK-001,2026-04-28,2026-04-20,PURCHASED,PURCHASED_FINISHED_GOOD,FINISHED_GOOD_BUFFER,9000.0,0.0,False,False,False,True,False,False,False,False
SKU-UMR-007,WH-001,8,0,8,112.0,8,14.0,0.0073,26,10,LOC-SP-001,2026-04-22,2026-05-17,PURCHASED,PURCHASED_FINISHED_GOOD,MAKE_TO_STOCK_ITEM,112.0,0.0,False,False,False,True,False,False,False,False
SKU-BAT-008,WH-001,-6,0,-6,-43.2,-6,7.2,0.0037,40,4,LOC-SC-001,2026-04-16,2026-06-01,PURCHASED,PURCHASED_FINISHED_GOOD,RAW_MATERIAL_BUFFER,-43.2,0.0,False,True,False,False,False,False,False,False
SKU-FIL-009,WH-001,96,11,85,1084.8,96,11.3,0.0059,20,5,LOC-EP-001,2026-04-10,2026-03-21,PURCHASED,COMPONENT,ASSEMBLE_TO_ORDER_COMPONENT,1084.8,-0.0,False,False,False,True,False,False,False,False
SKU-GFT-010,WH-001,310,24,286,5115.0,310,16.5,0.0086,32,14,LOC-SC-002,2026-04-04,2026-05-25,PURCHASED,PURCHASED_FINISHED_GOOD,MAKE_TO_STOCK_ITEM,5115.0,0.0,False,False,False,True,False,False,False,False
