summary_section,metric_name,metric_value,metric_unit,interpretation,manager_note
INVENTORY_STATUS,total_skus,32.0,count,Total SKUs in final Phase 3 decision set.,Total SKUs in final Phase 3 decision set.
INVENTORY_STATUS,stockout_skus,2.0,count,SKUs currently in stockout.,SKUs currently in stockout.
INVENTORY_STATUS,zero_stock_skus,1.0,count,SKUs with zero stock.,SKUs with zero stock.
INVENTORY_STATUS,critical_low_stock_skus,13.0,count,SKUs below safety protection.,SKUs below safety protection.
INVENTORY_STATUS,reorder_now_skus,1.0,count,SKUs at or below reorder point.,SKUs at or below reorder point.
INVENTORY_STATUS,overstock_skus,14.0,count,SKUs carrying excess inventory.,SKUs carrying excess inventory.
INVENTORY_STATUS,healthy_skus,0.0,count,SKUs with healthy inventory position.,SKUs with healthy inventory position.
FINAL_DECISIONS,urgent_decisions,19.0,count,URGENT final decision count.,URGENT final decision count.
FINAL_DECISIONS,high_priority_decisions,11.0,count,HIGH final decision count.,HIGH final decision count.
FINAL_DECISIONS,medium_priority_decisions,2.0,count,MEDIUM final decision count.,MEDIUM final decision count.
FINAL_DECISIONS,low_priority_decisions,0.0,count,LOW final decision count.,LOW final decision count.
FINAL_DECISIONS,no_action_decisions,0.0,count,NO_ACTION final decision count.,NO_ACTION final decision count.
FINAL_DECISIONS,take_action_now_count,1.0,count,TAKE_ACTION_NOW final decision count.,TAKE_ACTION_NOW final decision count.
FINAL_DECISIONS,review_before_action_count,30.0,count,REVIEW_BEFORE_ACTION final decision count.,REVIEW_BEFORE_ACTION final decision count.
FINAL_DECISIONS,monitor_count,1.0,count,MONITOR final decision count.,MONITOR final decision count.
FINAL_DECISIONS,no_action_required_count,0.0,count,NO_ACTION_REQUIRED final decision count.,NO_ACTION_REQUIRED final decision count.
FINAL_DECISIONS,ready_to_act_count,1.0,count,READY_TO_ACT final decision count.,READY_TO_ACT final decision count.
FINAL_DECISIONS,advisory_review_recommended_count,1.0,count,ADVISORY_REVIEW_RECOMMENDED final decision count.,ADVISORY_REVIEW_RECOMMENDED final decision count.
HUMAN_REVIEW,mandatory_review_required_count,30.0,count,Mandatory review blocks action; advisory review is non-blocking; info warnings are trace-only.,Mandatory review blocks action; advisory review is non-blocking; info warnings are trace-only.
HUMAN_REVIEW,advisory_review_required_count,2.0,count,Mandatory review blocks action; advisory review is non-blocking; info warnings are trace-only.,Mandatory review blocks action; advisory review is non-blocking; info warnings are trace-only.
