sku_id,product_name,category,outbound_to_current_inventory_ratio_90d,outbound_to_current_inventory_ratio_90d_method,outbound_to_current_inventory_ratio_90d_data_quality,inventory_turnover_units_90d,inventory_turnover_method,inventory_turnover_data_quality,days_inventory_on_hand,days_inventory_on_hand_status,unit_fill_rate_proxy,unit_fill_rate_method,unit_fill_rate_data_quality,stockout_rate,stockout_rate_method,stockout_rate_data_quality,max_stock_threshold_units,excess_inventory_units,excess_inventory_rate,excess_inventory_data_quality,dead_stock_rate,expiry_exposure_rate_30d,inventory_reconciliation_accuracy_rate,fefo_compliance_rate,fefo_compliance_method,fefo_compliance_data_quality,inventory_kpi_warning_codes
SKU-COF-001,House Blend Coffee 1kg,Grocery,0.24761904761904763,OUTBOUND_UNITS_90D_DIVIDED_BY_CURRENT_USABLE_INVENTORY_PROXY,AVAILABLE_PROXY,0.24761904761904763,PROXY_NOT_FORMAL_TURNOVER,AVAILABLE_PROXY,9.042499748819452,BALANCED,,UNAVAILABLE_NO_IMMEDIATE_FULFILLMENT_RECORDS,UNAVAILABLE,,UNAVAILABLE_NO_HISTORICAL_STOCKOUT_EVENT_SERIES,UNAVAILABLE,2583.0,0.0,0.0,AVAILABLE_POLICY_THRESHOLD,0.0,0.0,1.0,,UNAVAILABLE_NO_EXPIRY_CONTROLLED_ISSUE_TRACE,UNAVAILABLE,UNIT_FILL_RATE_UNAVAILABLE;STOCKOUT_RATE_UNAVAILABLE;FEFO_COMPLIANCE_UNAVAILABLE
SKU-TEA-002,Iced Tea Peach 500ml,Beverages,,OUTBOUND_UNITS_90D_DIVIDED_BY_CURRENT_USABLE_INVENTORY_PROXY,UNAVAILABLE,,PROXY_NOT_FORMAL_TURNOVER,UNAVAILABLE,0.0,CRITICAL_LOW,,UNAVAILABLE_NO_IMMEDIATE_FULFILLMENT_RECORDS,UNAVAILABLE,,UNAVAILABLE_NO_HISTORICAL_STOCKOUT_EVENT_SERIES,UNAVAILABLE,1289.0,0.0,,AVAILABLE_POLICY_THRESHOLD,,,,,UNAVAILABLE_NO_EXPIRY_CONTROLLED_ISSUE_TRACE,UNAVAILABLE,UNIT_FILL_RATE_UNAVAILABLE;STOCKOUT_RATE_UNAVAILABLE;FEFO_COMPLIANCE_UNAVAILABLE
SKU-SUN-003,SPF 50 Sunscreen 200ml,Personal Care,0.15625,OUTBOUND_UNITS_90D_DIVIDED_BY_CURRENT_USABLE_INVENTORY_PROXY,AVAILABLE_PROXY,0.15625,PROXY_NOT_FORMAL_TURNOVER,AVAILABLE_PROXY,5.875,LOW,,UNAVAILABLE_NO_IMMEDIATE_FULFILLMENT_RECORDS,UNAVAILABLE,,UNAVAILABLE_NO_HISTORICAL_STOCKOUT_EVENT_SERIES,UNAVAILABLE,140.0,1.0,0.0070921985815602835,AVAILABLE_POLICY_THRESHOLD,0.0,0.3617021276595745,1.0,,UNAVAILABLE_NO_EXPIRY_CONTROLLED_ISSUE_TRACE,UNAVAILABLE,UNIT_FILL_RATE_UNAVAILABLE;STOCKOUT_RATE_UNAVAILABLE;FEFO_COMPLIANCE_UNAVAILABLE
SKU-SUP-004,Winter Soup Mix 400g,Grocery,,OUTBOUND_UNITS_90D_DIVIDED_BY_CURRENT_USABLE_INVENTORY_PROXY,UNAVAILABLE,,PROXY_NOT_FORMAL_TURNOVER,UNAVAILABLE,0.0,CRITICAL_LOW,,UNAVAILABLE_NO_IMMEDIATE_FULFILLMENT_RECORDS,UNAVAILABLE,,UNAVAILABLE_NO_HISTORICAL_STOCKOUT_EVENT_SERIES,UNAVAILABLE,2124.0,0.0,,AVAILABLE_POLICY_THRESHOLD,,,,,UNAVAILABLE_NO_EXPIRY_CONTROLLED_ISSUE_TRACE,UNAVAILABLE,UNIT_FILL_RATE_UNAVAILABLE;STOCKOUT_RATE_UNAVAILABLE;FEFO_COMPLIANCE_UNAVAILABLE
SKU-CHC-005,Valentine Chocolate Box 250g,Confectionery,0.17142857142857143,OUTBOUND_UNITS_90D_DIVIDED_BY_CURRENT_USABLE_INVENTORY_PROXY,AVAILABLE_PROXY,0.17142857142857143,PROXY_NOT_FORMAL_TURNOVER,AVAILABLE_PROXY,1.6841750699985265,CRITICAL_LOW,,UNAVAILABLE_NO_IMMEDIATE_FULFILLMENT_RECORDS,UNAVAILABLE,,UNAVAILABLE_NO_HISTORICAL_STOCKOUT_EVENT_SERIES,UNAVAILABLE,296.0,0.0,0.0,AVAILABLE_POLICY_THRESHOLD,0.0,0.0,1.0,,UNAVAILABLE_NO_EXPIRY_CONTROLLED_ISSUE_TRACE,UNAVAILABLE,UNIT_FILL_RATE_UNAVAILABLE;STOCKOUT_RATE_UNAVAILABLE;FEFO_COMPLIANCE_UNAVAILABLE
SKU-BBQ-006,BBQ Charcoal 5kg,Outdoor,,OUTBOUND_UNITS_90D_DIVIDED_BY_CURRENT_USABLE_INVENTORY_PROXY,UNAVAILABLE,,PROXY_NOT_FORMAL_TURNOVER,UNAVAILABLE,25.35381366946465,BALANCED,,UNAVAILABLE_NO_IMMEDIATE_FULFILLMENT_RECORDS,UNAVAILABLE,,UNAVAILABLE_NO_HISTORICAL_STOCKOUT_EVENT_SERIES,UNAVAILABLE,90.0,544.0,0.8580441640378549,AVAILABLE_POLICY_THRESHOLD,1.0,0.0,1.0,,UNAVAILABLE_NO_EXPIRY_CONTROLLED_ISSUE_TRACE,UNAVAILABLE,UNIT_FILL_RATE_UNAVAILABLE;STOCKOUT_RATE_UNAVAILABLE;FEFO_COMPLIANCE_UNAVAILABLE
SKU-UMR-007,Compact Umbrella,Accessories,,OUTBOUND_UNITS_90D_DIVIDED_BY_CURRENT_USABLE_INVENTORY_PROXY,UNAVAILABLE,,PROXY_NOT_FORMAL_TURNOVER,UNAVAILABLE,1.3333333333333333,CRITICAL_LOW,,UNAVAILABLE_NO_IMMEDIATE_FULFILLMENT_RECORDS,UNAVAILABLE,,UNAVAILABLE_NO_HISTORICAL_STOCKOUT_EVENT_SERIES,UNAVAILABLE,78.0,0.0,0.0,AVAILABLE_POLICY_THRESHOLD,0.0,0.0,1.0,,UNAVAILABLE_NO_EXPIRY_CONTROLLED_ISSUE_TRACE,UNAVAILABLE,UNIT_FILL_RATE_UNAVAILABLE;STOCKOUT_RATE_UNAVAILABLE;FEFO_COMPLIANCE_UNAVAILABLE
SKU-BAT-008,Lithium Coin Battery CR2032,Electronics,,OUTBOUND_UNITS_90D_DIVIDED_BY_CURRENT_USABLE_INVENTORY_PROXY,UNAVAILABLE,,PROXY_NOT_FORMAL_TURNOVER,UNAVAILABLE,0.0,CRITICAL_LOW,,UNAVAILABLE_NO_IMMEDIATE_FULFILLMENT_RECORDS,UNAVAILABLE,,UNAVAILABLE_NO_HISTORICAL_STOCKOUT_EVENT_SERIES,UNAVAILABLE,519.0,0.0,,AVAILABLE_POLICY_THRESHOLD,,,,,UNAVAILABLE_NO_EXPIRY_CONTROLLED_ISSUE_TRACE,UNAVAILABLE,UNIT_FILL_RATE_UNAVAILABLE;STOCKOUT_RATE_UNAVAILABLE;FEFO_COMPLIANCE_UNAVAILABLE
SKU-FIL-009,Replacement Water Filter,Home,,OUTBOUND_UNITS_90D_DIVIDED_BY_CURRENT_USABLE_INVENTORY_PROXY,UNAVAILABLE,,PROXY_NOT_FORMAL_TURNOVER,UNAVAILABLE,84.53505718547986,HIGH,,UNAVAILABLE_NO_IMMEDIATE_FULFILLMENT_RECORDS,UNAVAILABLE,,UNAVAILABLE_NO_HISTORICAL_STOCKOUT_EVENT_SERIES,UNAVAILABLE,11.0,74.0,0.8705882352941177,AVAILABLE_POLICY_THRESHOLD,1.0,0.0,1.0,,UNAVAILABLE_NO_EXPIRY_CONTROLLED_ISSUE_TRACE,UNAVAILABLE,UNIT_FILL_RATE_UNAVAILABLE;STOCKOUT_RATE_UNAVAILABLE;FEFO_COMPLIANCE_UNAVAILABLE
SKU-GFT-010,Premium Gift Wrap Roll,Stationery,0.14193548387096774,OUTBOUND_UNITS_90D_DIVIDED_BY_CURRENT_USABLE_INVENTORY_PROXY,AVAILABLE_PROXY,0.14193548387096774,PROXY_NOT_FORMAL_TURNOVER,AVAILABLE_PROXY,414.1326382855488,EXCESSIVE,,UNAVAILABLE_NO_IMMEDIATE_FULFILLMENT_RECORDS,UNAVAILABLE,,UNAVAILABLE_NO_HISTORICAL_STOCKOUT_EVENT_SERIES,UNAVAILABLE,5.0,281.0,0.9825174825174825,AVAILABLE_POLICY_THRESHOLD,0.0,0.0,1.0,,UNAVAILABLE_NO_EXPIRY_CONTROLLED_ISSUE_TRACE,UNAVAILABLE,UNIT_FILL_RATE_UNAVAILABLE;STOCKOUT_RATE_UNAVAILABLE;FEFO_COMPLIANCE_UNAVAILABLE
