movement_id,sku_id,batch_id,warehouse_id,location_id,movement_date,movement_type,quantity,source_location_id,destination_location_id,reason_code,related_po_id,related_order_id,unknown_movement_type_flag
MOV-00001,SKU-COF-001,BATCH-001-01,WH-001,LOC-FP-001,2026-06-02,RECEIPT,12,nan,LOC-FP-001,PO_RECEIPT,PO-1001,nan,False
MOV-00002,SKU-COF-001,BATCH-001-01,WH-001,LOC-FP-001,2026-05-30,PUTAWAY,16,LOC-FP-001,LOC-FP-001,STANDARD_PUTAWAY,PO-1002,nan,False
MOV-00003,SKU-COF-001,BATCH-001-01,WH-001,LOC-FP-001,2026-05-26,PICK,-20,LOC-FP-001,nan,CUSTOMER_PICK,nan,ORD-2003,False
MOV-00004,SKU-COF-001,BATCH-001-01,WH-001,LOC-FP-001,2026-05-22,SHIP,-24,LOC-FP-001,nan,CUSTOMER_SHIPMENT,nan,ORD-2004,False
MOV-00005,SKU-COF-001,BATCH-001-01,WH-001,LOC-FP-001,2026-05-18,DEMAND,-28,LOC-FP-001,nan,DEMAND_CONSUMPTION,nan,ORD-2005,False
MOV-00006,SKU-COF-001,BATCH-001-01,WH-001,LOC-FP-001,2026-05-14,TRANSFER,-32,LOC-FP-001,LOC-FP-001,ZONE_TRANSFER,nan,nan,False
MOV-00007,SKU-COF-001,BATCH-001-01,WH-001,LOC-FP-001,2026-05-10,ADJUSTMENT,4,LOC-FP-001,nan,CYCLE_COUNT,nan,nan,False
MOV-00008,SKU-TEA-002,BATCH-002-01,WH-001,LOC-CP-001,2026-05-31,RECEIPT,12,nan,LOC-CP-001,PO_RECEIPT,PO-1008,nan,False
MOV-00009,SKU-TEA-002,BATCH-002-01,WH-001,LOC-CP-001,2026-05-26,PUTAWAY,16,LOC-CP-001,LOC-CP-001,STANDARD_PUTAWAY,PO-1009,nan,False
MOV-00010,SKU-TEA-002,BATCH-002-01,WH-001,LOC-CP-001,2026-05-19,PICK,-20,LOC-CP-001,nan,CUSTOMER_PICK,nan,ORD-2010,False
MOV-00011,SKU-SUN-003,BATCH-003-01,WH-001,LOC-TC-001,2026-05-27,RECEIPT,12,nan,LOC-TC-001,PO_RECEIPT,PO-1011,nan,False
MOV-00012,SKU-SUN-003,BATCH-003-01,WH-001,LOC-TC-001,2026-05-21,PUTAWAY,16,LOC-TC-001,LOC-TC-001,STANDARD_PUTAWAY,PO-1012,nan,False
MOV-00013,SKU-SUN-003,BATCH-003-01,WH-001,LOC-TC-001,2026-04-30,PICK,-20,LOC-TC-001,nan,CUSTOMER_PICK,nan,ORD-2013,False
MOV-00014,SKU-SUP-004,BATCH-004-01,WH-001,LOC-TC-002,2026-06-03,RECEIPT,12,nan,LOC-TC-002,PO_RECEIPT,PO-1014,nan,False
MOV-00015,SKU-SUP-004,BATCH-004-01,WH-001,LOC-TC-002,2026-06-01,PUTAWAY,16,LOC-TC-002,LOC-TC-002,STANDARD_PUTAWAY,PO-1015,nan,False
MOV-00016,SKU-SUP-004,BATCH-004-01,WH-001,LOC-TC-002,2026-05-28,PICK,-20,LOC-TC-002,nan,CUSTOMER_PICK,nan,ORD-2016,False
MOV-00017,SKU-SUP-004,BATCH-004-01,WH-001,LOC-TC-002,2026-05-23,SHIP,-24,LOC-TC-002,nan,CUSTOMER_SHIPMENT,nan,ORD-2017,False
MOV-00018,SKU-SUP-004,BATCH-004-01,WH-001,LOC-TC-002,2026-05-17,DEMAND,-28,LOC-TC-002,nan,DEMAND_CONSUMPTION,nan,ORD-2018,False
MOV-00019,SKU-CHC-005,BATCH-005-01,WH-001,LOC-TC-003,2026-05-07,RECEIPT,12,nan,LOC-TC-003,PO_RECEIPT,PO-1019,nan,False
MOV-00020,SKU-CHC-005,BATCH-005-01,WH-001,LOC-TC-003,2026-04-19,PUTAWAY,16,LOC-TC-003,LOC-TC-003,STANDARD_PUTAWAY,PO-1020,nan,False
MOV-00021,SKU-BBQ-006,BATCH-006-01,WH-001,LOC-BK-001,2026-04-20,RECEIPT,12,nan,LOC-BK-001,PO_RECEIPT,PO-1021,nan,False
MOV-00022,SKU-BBQ-006,BATCH-006-01,WH-001,LOC-BK-001,2026-03-20,PUTAWAY,16,LOC-BK-001,LOC-BK-001,STANDARD_PUTAWAY,PO-1022,nan,False
MOV-00023,SKU-BBQ-006,BATCH-006-01,WH-001,LOC-BK-001,2026-02-19,PICK,-20,LOC-BK-001,nan,CUSTOMER_PICK,nan,ORD-2023,False
MOV-00024,SKU-UMR-007,BATCH-007-01,WH-001,LOC-SP-001,2026-05-17,RECEIPT,12,nan,LOC-SP-001,PO_RECEIPT,PO-1024,nan,False
