sku_id,warehouse_id,current_inventory,reserved_inventory,available_inventory,inventory_value,inventory_position,unit_cost_inventory,unit_holding_cost,stockout_penalty_per_unit,overstock_penalty_per_unit,storage_location_id,last_restock_date,last_movement_date,inventory_owner_type,item_planning_type,push_pull_boundary_role,unit_volume_m3,unit_weight_kg,stackable,fragile,perishable,temperature_required,security_required,handling_unit,units_per_case,cases_per_pallet,handling_cost_per_unit,handling_cost_per_case,handling_cost_per_pallet,preferred_zone,max_stack_height,heavy_low_storage_required,expiry_tracking_required,fefo_required,batch_count,total_batch_quantity_on_hand,near_expiry_batch_count,near_expiry_units,expired_batch_count,expired_units,earliest_expiry_date,minimum_days_until_expiry,expiry_tracking_present,movement_count,last_movement_date_from_movements,receipt_movement_count,demand_movement_count,pick_ship_movement_count,return_movement_count,adjustment_movement_count,total_movement_quantity,total_outbound_quantity,total_inbound_quantity,days_since_last_movement,product_name,category,demand_behavior_class,zero_demand_ratio,coefficient_of_variation,event_affected_ratio,data_sufficiency_class,total_demand,average_daily_demand,champion_model,champion_confidence_score,champion_risk_level,average_p50_forecast,average_p90_forecast,average_forecast_confidence_score,dominant_forecast_risk_level,seasonal_flag,event_frequency,recent_event_flag,promotion_sensitive_flag,phase1_context_status,phase1_context_source,forecast_demand_7d,forecast_demand_30d,forecast_demand_60d,forecast_demand_90d,average_daily_forecast_demand_30d,forecast_uncertainty_level,underforecast_risk_flag,stockout_censored_demand_flag,demand_urgency_score,recommended_supplier_id,backup_supplier_id,expected_lead_time_days,expected_arrival_date,unit_cost_procurement,moq,batch_size,expected_yield_rate,final_feasible_order_quantity,estimated_total_procurement_cost,estimated_product_cost,estimated_fixed_order_cost,estimated_delivery_cost,estimated_expected_delay_cost,estimated_expected_partial_delivery_cost,estimated_expected_quality_cost,demand_adjusted_procurement_risk_score,demand_adjusted_procurement_risk_class,recommended_supplier_feasible,recommended_supplier_requires_review,recommended_supplier_evidence_status,recommended_supplier_evidence_warning,recommended_supplier_history_status,supplier_trend_status,supplier_watchlist_flag,supplier_watchlist_reason,split_sourcing_recommendation,recommended_primary_share,recommended_backup_share,selection_reason,lead_time_std_days,delay_probability,partial_delivery_rate,defect_rate,procurement_risk_score,procurement_risk_class,supplier_score,adjusted_supplier_score,feasibility_warning,feasibility_reason,supplier_option_count,feasible_supplier_option_count,infeasible_supplier_option_count,lowest_supplier_total_cost,highest_supplier_total_cost,average_supplier_total_cost,best_adjusted_supplier_score,has_watchlist_supplier_option,has_review_required_supplier_option,supplier_accepts_returns,return_window_days,return_deduction_rate,return_transport_cost,return_policy_status,phase2_context_status,phase2_context_source,phase2_schema_version,phase2_allocation_loaded_flag,phase2_legacy_fallback_used_flag,phase2_context_warning_codes,selected_supplier_ids,supplier_allocation_quantities,total_allocated_usable_quantity,total_supplier_purchase_quantity,total_procurement_cost,stockout_signal,stockout_units,zero_inventory_signal,positive_inventory_signal,expiry_risk_signal,non_moving_signal,dead_stock_signal,supplier_review_signal,watchlist_supplier_signal,planning_context_status
SKU-COF-001,WH-001,420,33,387,2730.0,420,6.5,0.0034,35,4,LOC-FP-001,2026-05-28,2026-06-02,PURCHASED,PURCHASED_FINISHED_GOOD,MAKE_TO_STOCK_ITEM,0.004,0.35,True,False,False,False,False,CASE,12.0,80.0,5.0,2.5,1.0,FAST_PICK,5.0,False,False,False,1.0,420.0,0.0,0.0,0.0,0.0,,,False,7.0,2026-06-02,2.0,1.0,2.0,0.0,1.0,-72.0,104.0,32.0,30.0,House Blend Coffee 1kg,Grocery,STABLE,0,0.1603,0,UNKNOWN,0,44.3757,gradient_boosting,0.9789,MEDIUM_RISK,42.79789,42.79789,0.5,MEDIUM_RISK,False,0,False,False,LOADED_FROM_PHASE1,PHASE1_DEMAND_PLANNING_CONTEXT,296.9471,1283.9367,2573.9602,3863.9837,42.7979,LOW,False,False,28.68,UNKNOWN,UNKNOWN,10.0,2026-06-21,3.75,55.0,40.0,0.985,0,0,7200.0,95.0,130.0,1.134,1.625,115.2,0.0361031213017751,LOW,False,True,STRONG_HISTORY,NONE,HISTORICAL,HEALTHY,False,Supplier performance trend is acceptable for current review.,False,1.0,0.0,Single sourcing recommended because supplier has LOW demand-adjusted risk and clearly highest adjusted score. Supplier selected due to lowest estimated total procurement cost and acceptable reliability.,2,0,0,0,0.5,MEDIUM,0,0,UNKNOWN,UNKNOWN,0,0,0,0,0,0,0.711813428300688,True,True,False,0,1.0,0.0,MISSING_SUPPLIER_RETURN_POLICY,LOADED_FROM_PHASE2,PHASE2_PROCUREMENT_ALLOCATION_SUMMARY,1.0,True,False,NONE,SUP-001;SUP-002;SUP-003;SUP-006,SUP-006:728.57;SUP-001:351.43;SUP-003:171.43;SUP-002:240.00,1491.43,1628.0,4511.55,False,0,False,True,False,False,False,True,False,COMPLETE_CONTEXT
SKU-TEA-002,WH-001,0,0,0,0.0,0,4.2,0.0022,30,7,LOC-CP-001,2026-05-22,2026-05-31,PURCHASED,PURCHASED_FINISHED_GOOD,MAKE_TO_STOCK_ITEM,0.003,0.25,True,True,True,True,False,CASE,24.0,60.0,5.0,2.5,1.0,CASE_PICKING,4.0,False,True,True,2.0,0.0,0.0,0.0,2.0,0.0,2026-05-29,-34.0,True,3.0,2026-05-31,2.0,0.0,1.0,0.0,0.0,8.0,20.0,28.0,32.0,Iced Tea Peach 500ml,Beverages,VARIABLE,0,0.605,0,UNKNOWN,0,29.0166,gradient_boosting,0.9135,MEDIUM_RISK,52.73728666666667,52.73728666666667,0.5,MEDIUM_RISK,False,0,False,False,LOADED_FROM_PHASE1,PHASE1_DEMAND_PLANNING_CONTEXT,361.1815,1582.1186,3208.8146,4835.5106,52.7373,LOW,True,False,55.0,UNKNOWN,UNKNOWN,8.0,2026-06-19,5.31,30.0,20.0,0.939,0,0,4991.4,35.7,111.65,9.96216,6.9768,352.641,0.1530007575757575,LOW,False,True,LIMITED_HISTORY,LIMITED_TREND_DATA,HISTORICAL,INSUFFICIENT_DATA,False,Insufficient recent or baseline data for trend detection.,False,1.0,0.0,Single sourcing recommended because supplier has LOW demand-adjusted risk and clearly highest adjusted score. Supplier selected despite limited trend data because it has the best adjusted score and is feasible. Limited trend data is noted for procurement monitoring.,2,0,0,0,0.5,MEDIUM,0,0,UNKNOWN,UNKNOWN,0,0,0,0,0,0,0.6972013175916753,True,True,False,0,1.0,0.0,MISSING_SUPPLIER_RETURN_POLICY,LOADED_FROM_PHASE2,PHASE2_PROCUREMENT_ALLOCATION_SUMMARY,1.0,True,False,NONE,SUP-001;SUP-002;SUP-007,SUP-001:407.14;SUP-007:128.57;SUP-002:278.57,814.28,899.0,4564.68,False,0,True,False,False,False,False,True,False,COMPLETE_CONTEXT
SKU-SUN-003,WH-001,160,19,141,1568.0,160,9.8,0.0051,22,9,LOC-TC-001,2026-05-16,2026-05-23,PURCHASED,PURCHASED_FINISHED_GOOD,MAKE_TO_STOCK_ITEM,0.002,0.18,True,False,True,True,False,EACH,12.0,80.0,5.0,2.5,1.0,CASE_PICKING,4.0,False,True,True,3.0,160.0,1.0,54.0,2.0,106.0,2026-05-29,-34.0,True,4.0,2026-05-29,2.0,0.0,1.0,0.0,0.0,3.0,25.0,28.0,34.0,SPF 50 Sunscreen 200ml,Personal Care,VARIABLE,0,1.0669,0,UNKNOWN,0,9.9392,naive,0.7201,MEDIUM_RISK,24.0,24.0,0.5,MEDIUM_RISK,False,0,False,False,LOADED_FROM_PHASE1,PHASE1_DEMAND_PLANNING_CONTEXT,168.0,720.0,1440.0,2160.0,24.0,MEDIUM,True,False,55.0,UNKNOWN,UNKNOWN,7.0,2026-06-18,6.34,50.0,35.0,0.868,0,0,665.6999999999999,57.2,92.7,4.95,12.9792,203.742,0.1396626570048309,LOW,False,True,STRONG_HISTORY,NONE,HISTORICAL,MIXED,False,Supplier performance trend is acceptable for current review.,False,1.0,0.0,"Single sourcing recommended because supplier has LOW demand-adjusted risk and clearly highest adjusted score. Supplier selected because it is feasible, has strong total cost performance, and has sufficient historical evidence.",2,0,0,0,0.5,MEDIUM,0,0,UNKNOWN,UNKNOWN,0,0,0,0,0,0,0.8951251848135454,True,True,False,0,1.0,0.0,MISSING_SUPPLIER_RETURN_POLICY,LOADED_FROM_PHASE2,PHASE2_PROCUREMENT_ALLOCATION_SUMMARY,1.0,True,False,NONE,SUP-003,SUP-003:89.00,89.0,103.0,766.96,False,0,False,True,True,False,False,True,False,COMPLETE_CONTEXT
SKU-SUP-004,WH-001,-18,1,-19,-97.2,-18,5.4,0.0028,28,6,LOC-TC-002,2026-05-10,2026-06-03,SEMI_PRODUCED,SEMI_FINISHED,MAKE_TO_STOCK_ITEM,0.006,0.55,True,False,True,True,False,CASE,10.0,50.0,5.0,2.5,1.0,PALLET_STORAGE,4.0,False,True,True,4.0,0.0,1.0,0.0,2.0,0.0,2026-05-29,-34.0,True,6.0,2026-06-03,2.0,1.0,2.0,0.0,0.0,-56.0,84.0,28.0,29.0,Winter Soup Mix 400g,Grocery,VARIABLE,0,0.5072,0,UNKNOWN,0,37.2818,moving_average_7,0.8294,MEDIUM_RISK,7.6452366666666665,7.6452366666666665,0.5,MEDIUM_RISK,False,0,False,False,LOADED_FROM_PHASE1,PHASE1_DEMAND_PLANNING_CONTEXT,53.5958,229.3571,458.6437,687.9307,7.6452,MEDIUM,False,False,6.16,UNKNOWN,UNKNOWN,16.0,2026-06-27,5.53,250.0,200.0,0.935,0,0,7742.0,180.0,73.15,36.9873,14.840000000000002,586.95,0.0632500674004917,LOW,False,True,STRONG_HISTORY,WATCHLIST_SUPPLIER,HISTORICAL,WATCHLIST,True,Multiple supplier performance metrics are worsening.,False,1.0,0.0,Single sourcing recommended because supplier has LOW demand-adjusted risk and clearly highest adjusted score. Supplier selected with caution because supplier is on the watchlist. Review recommended.,2,0,0,0,0.5,MEDIUM,0,0,UNKNOWN,UNKNOWN,0,0,0,0,0,0,0.7409068705166232,True,True,False,0,1.0,0.0,MISSING_SUPPLIER_RETURN_POLICY,LOADED_FROM_PHASE2,PHASE2_PROCUREMENT_ALLOCATION_SUMMARY,1.0,True,False,NONE,SUP-001;SUP-006,SUP-006:1071.43;SUP-001:128.57,1200.0,1296.0,8391.16,True,18,False,False,False,False,False,True,True,COMPLETE_CONTEXT
SKU-CHC-005,WH-001,35,3,32,133.0,35,3.8,0.002,24,8,LOC-TC-003,2026-05-04,2026-05-07,PURCHASED,PURCHASED_FINISHED_GOOD,MAKE_TO_STOCK_ITEM,0.0015,0.09,False,True,True,True,False,EACH,24.0,70.0,5.0,2.5,1.0,EACH_PICKING,3.0,False,True,True,1.0,35.0,0.0,0.0,1.0,35.0,2026-05-29,-34.0,True,3.0,2026-05-11,2.0,0.0,0.0,1.0,0.0,22.0,6.0,28.0,52.0,Valentine Chocolate Box 250g,Confectionery,STABLE,0,0.2655,0,UNKNOWN,0,21.1271,gradient_boosting,0.9715,MEDIUM_RISK,19.0004,19.0004,0.5,MEDIUM_RISK,False,0,False,False,LOADED_FROM_PHASE1,PHASE1_DEMAND_PLANNING_CONTEXT,133.0028,570.012,1140.024,1710.036,19.0004,LOW,False,False,26.98,UNKNOWN,UNKNOWN,18.0,2026-06-29,6.81,170.0,135.0,0.929,0,0,2758.05,183.6,70.0,28.224,16.9344,172.53,0.0755950674004917,LOW,False,True,STRONG_HISTORY,WATCHLIST_SUPPLIER,HISTORICAL,WATCHLIST,True,Multiple supplier performance metrics are worsening.,False,1.0,0.0,Single sourcing recommended because supplier has LOW demand-adjusted risk and clearly highest adjusted score. Supplier selected with caution because supplier is on the watchlist. Review recommended.,2,0,0,0,0.5,MEDIUM,0,0,UNKNOWN,UNKNOWN,0,0,0,0,0,0,0.675660870516623,True,True,False,0,1.0,0.0,MISSING_SUPPLIER_RETURN_POLICY,LOADED_FROM_PHASE2,PHASE2_PROCUREMENT_ALLOCATION_SUMMARY,1.0,True,False,NONE,SUP-006,SUP-006:296.00,296.0,319.0,2614.54,False,0,False,True,True,False,False,True,True,COMPLETE_CONTEXT
SKU-BBQ-006,WH-001,720,86,634,9000.0,720,12.5,0.0065,18,12,LOC-BK-001,2026-04-28,2026-04-20,PURCHASED,PURCHASED_FINISHED_GOOD,FINISHED_GOOD_BUFFER,0.025,2.4,True,False,False,False,False,PALLET,6.0,40.0,5.0,2.5,1.0,BULK_STORAGE,3.0,True,False,False,2.0,720.0,0.0,0.0,0.0,0.0,,,False,3.0,2026-04-20,2.0,0.0,1.0,0.0,0.0,8.0,20.0,28.0,73.0,BBQ Charcoal 5kg,Outdoor,VARIABLE,0,0.9664,0,UNKNOWN,0,12.7569,gradient_boosting,0.877,MEDIUM_RISK,25.006096666666668,25.006096666666668,0.5,MEDIUM_RISK,False,0,False,False,LOADED_FROM_PHASE1,PHASE1_DEMAND_PLANNING_CONTEXT,175.058,750.1829,1500.3437,2250.503,25.0061,LOW,True,False,55.0,UNKNOWN,UNKNOWN,19.0,2026-06-30,7.24,195.0,155.0,0.923,0,0,4488.8,187.2,71.05,33.0939,17.36,293.60100000000006,0.1687348674004918,LOW,False,True,STRONG_HISTORY,WATCHLIST_SUPPLIER,HISTORICAL,WATCHLIST,True,Multiple supplier performance metrics are worsening.,False,1.0,0.0,Single sourcing recommended because supplier has LOW demand-adjusted risk and clearly highest adjusted score. Supplier selected with caution because supplier is on the watchlist. Review recommended.,2,0,0,0,0.5,MEDIUM,0,0,UNKNOWN,UNKNOWN,0,0,0,0,0,0,0.8281519973431366,True,True,False,0,1.0,0.0,MISSING_SUPPLIER_RETURN_POLICY,LOADED_FROM_PHASE2,PHASE2_PROCUREMENT_ALLOCATION_SUMMARY,1.0,True,False,NONE,,,0.0,0.0,0.0,False,0,False,True,False,True,False,True,True,COMPLETE_CONTEXT
SKU-UMR-007,WH-001,8,0,8,112.0,8,14.0,0.0073,26,10,LOC-SP-001,2026-04-22,2026-05-17,PURCHASED,PURCHASED_FINISHED_GOOD,MAKE_TO_STOCK_ITEM,0.03,1.1,True,False,False,False,False,EACH,4.0,30.0,5.0,2.5,1.0,SLOW_PICK,3.0,False,False,False,3.0,8.0,0.0,0.0,0.0,0.0,,,False,2.0,2026-05-17,2.0,0.0,0.0,0.0,0.0,28.0,0.0,28.0,46.0,Compact Umbrella,Accessories,STABLE,0,0.1983,0,UNKNOWN,0,6.779,gradient_boosting,0.9781,MEDIUM_RISK,6.0,6.0,0.5,MEDIUM_RISK,False,0,False,False,LOADED_FROM_PHASE1,PHASE1_DEMAND_PLANNING_CONTEXT,42.0,180.0,360.0,540.0,6.0,LOW,False,False,26.55,UNKNOWN,UNKNOWN,7.0,2026-06-18,14.38,35.0,25.0,0.945,0,0,719.0,35.0,113.3,9.792000000000002,5.814,17.325,0.0651632575757575,LOW,False,True,LIMITED_HISTORY,LIMITED_TREND_DATA,HISTORICAL,INSUFFICIENT_DATA,False,Insufficient recent or baseline data for trend detection.,False,1.0,0.0,Single sourcing recommended because supplier has LOW demand-adjusted risk and clearly highest adjusted score. Supplier selected despite limited trend data because it has the best adjusted score and is feasible. Limited trend data is noted for procurement monitoring.,2,0,0,0,0.5,MEDIUM,0,0,UNKNOWN,UNKNOWN,0,0,0,0,0,0,0.8133798432970184,True,True,False,0,1.0,0.0,MISSING_SUPPLIER_RETURN_POLICY,LOADED_FROM_PHASE2,PHASE2_PROCUREMENT_ALLOCATION_SUMMARY,1.0,True,False,NONE,SUP-004,SUP-004:40.00,40.0,42.0,629.74,False,0,False,True,False,False,False,True,False,COMPLETE_CONTEXT
SKU-BAT-008,WH-001,-6,0,-6,-43.2,-6,7.2,0.0037,40,4,LOC-SC-001,2026-04-16,2026-06-01,PURCHASED,PURCHASED_FINISHED_GOOD,RAW_MATERIAL_BUFFER,0.002,0.22,True,False,False,False,True,EACH,20.0,100.0,5.0,2.5,1.0,EACH_PICKING,4.0,False,False,False,4.0,0.0,0.0,0.0,0.0,0.0,,,False,5.0,2026-06-01,2.0,1.0,2.0,0.0,0.0,-44.0,72.0,28.0,31.0,Lithium Coin Battery CR2032,Electronics,ERRATIC,0,1.7253,0,UNKNOWN,0,2.8453,random_forest,0.6767,MEDIUM_RISK,7.21879,7.21879,0.5,MEDIUM_RISK,False,0,False,False,LOADED_FROM_PHASE1,PHASE1_DEMAND_PLANNING_CONTEXT,51.2425,216.5637,423.2377,633.4046,7.2188,LOW,False,True,70.0,UNKNOWN,UNKNOWN,18.0,2026-06-29,9.79,250.0,200.0,0.929,0,0,5873.999999999999,183.6,73.15,36.9873,16.307199999999998,274.77,0.1850350674004917,LOW,False,True,STRONG_HISTORY,WATCHLIST_SUPPLIER,HISTORICAL,WATCHLIST,True,Multiple supplier performance metrics are worsening.,False,1.0,0.0,Single sourcing recommended because supplier has LOW demand-adjusted risk and clearly highest adjusted score. Supplier selected with caution because supplier is on the watchlist. Review recommended.,2,0,0,0,0.5,MEDIUM,0,0,UNKNOWN,UNKNOWN,0,0,0,0,0,0,0.6598358705166231,True,True,False,0,1.0,0.0,MISSING_SUPPLIER_RETURN_POLICY,LOADED_FROM_PHASE2,PHASE2_PROCUREMENT_ALLOCATION_SUMMARY,1.0,True,False,NONE,SUP-006,SUP-006:400.00,400.0,431.0,5076.98,True,6,False,False,False,False,False,True,True,COMPLETE_CONTEXT
SKU-FIL-009,WH-001,96,11,85,1084.8,96,11.3,0.0059,20,5,LOC-EP-001,2026-04-10,2026-03-21,PURCHASED,COMPONENT,ASSEMBLE_TO_ORDER_COMPONENT,0.018,1.8,True,False,False,False,False,CASE,8.0,36.0,5.0,2.5,1.0,EACH_PICKING,3.0,True,False,False,1.0,96.0,0.0,0.0,0.0,0.0,,,False,2.0,2026-03-21,2.0,0.0,0.0,0.0,0.0,28.0,0.0,28.0,103.0,Replacement Water Filter,Home,ERRATIC,0,1.9287,0,UNKNOWN,0,1.0055,gradient_boosting,0.6927,MEDIUM_RISK,0.0,0.0,0.5,MEDIUM_RISK,False,0,False,False,LOADED_FROM_PHASE1,PHASE1_DEMAND_PLANNING_CONTEXT,0.0,0.0,0.0,0.0,0.0,LOW,False,True,30.0,UNKNOWN,UNKNOWN,13.0,2026-06-24,20.74,55.0,40.0,0.973,0,0,1659.1999999999998,98.8,130.0,1.134,3.3761000000000005,8.64,0.0826031213017751,LOW,False,True,STRONG_HISTORY,NONE,HISTORICAL,HEALTHY,False,Supplier performance trend is acceptable for current review.,False,1.0,0.0,Single sourcing recommended because supplier has LOW demand-adjusted risk and clearly highest adjusted score. Flexible supplier preferred because SKU has intermittent demand.,2,0,0,0,0.5,MEDIUM,0,0,UNKNOWN,UNKNOWN,0,0,0,0,0,0,0.9630117230251132,True,True,False,0,1.0,0.0,MISSING_SUPPLIER_RETURN_POLICY,LOADED_FROM_PHASE2,PHASE2_PROCUREMENT_ALLOCATION_SUMMARY,1.0,True,False,NONE,,,0.0,0.0,0.0,False,0,False,True,False,True,False,True,False,COMPLETE_CONTEXT
SKU-GFT-010,WH-001,310,24,286,5115.0,310,16.5,0.0086,32,14,LOC-SC-002,2026-04-04,2026-05-25,PURCHASED,PURCHASED_FINISHED_GOOD,MAKE_TO_STOCK_ITEM,0.015,0.65,False,True,False,False,True,EACH,6.0,48.0,5.0,2.5,1.0,SLOW_PICK,2.0,False,False,False,2.0,310.0,0.0,0.0,0.0,0.0,,,False,5.0,2026-05-25,2.0,0.0,2.0,1.0,0.0,-7.0,44.0,37.0,38.0,Premium Gift Wrap Roll,Stationery,ERRATIC,0,2.2084,0,UNKNOWN,0,0.6906,gradient_boosting,0.6384,MEDIUM_RISK,0.0,0.0,0.5,MEDIUM_RISK,False,0,False,False,LOADED_FROM_PHASE1,PHASE1_DEMAND_PLANNING_CONTEXT,0.0,0.0,0.0,0.0,0.0,LOW,False,True,30.0,UNKNOWN,UNKNOWN,4.0,2026-06-15,18.48,45.0,30.0,0.88,0,0,1108.8,55.0,91.35,5.8401,10.368,103.32,0.0940776570048309,LOW,False,True,STRONG_HISTORY,NONE,HISTORICAL,MIXED,False,Supplier performance trend is acceptable for current review.,False,1.0,0.0,Single sourcing recommended because supplier has LOW demand-adjusted risk and clearly highest adjusted score. Flexible supplier preferred because SKU has intermittent demand.,2,0,0,0,0.5,MEDIUM,0,0,UNKNOWN,UNKNOWN,0,0,0,0,0,0,0.9539370335312484,True,True,False,0,1.0,0.0,MISSING_SUPPLIER_RETURN_POLICY,LOADED_FROM_PHASE2,PHASE2_PROCUREMENT_ALLOCATION_SUMMARY,1.0,True,False,NONE,,,0.0,0.0,0.0,False,0,False,True,False,False,False,True,False,COMPLETE_CONTEXT
