location_id,zone,aisle,rack,shelf,bin,x,y,z,capacity_m3,capacity_kg,assigned_sku_count,assigned_skus,assigned_primary_skus,assigned_replenishment_skus,assigned_quarantine_skus,assigned_fefo_skus,assigned_trace_only_batches,assigned_primary_sku_count,assigned_replenishment_sku_count,assigned_quarantine_batch_count,assigned_fefo_batch_count,assigned_trace_only_batch_count,location_role_summary,location_role_warning_flags,location_role_info_flags,base_used_volume_m3_original,base_used_weight_kg_original,known_current_sku_volume_rebased,known_current_sku_weight_rebased,background_used_volume_m3,background_used_weight_kg,assigned_primary_volume_m3,assigned_quarantine_volume_m3,assigned_fefo_volume_m3,assigned_replenishment_volume_m3,assigned_primary_weight_kg,assigned_quarantine_weight_kg,assigned_fefo_weight_kg,assigned_replenishment_weight_kg,current_used_volume_m3,projected_used_volume_m3,current_utilization_pct,projected_utilization_pct,current_used_weight_kg,projected_used_weight_kg,current_weight_utilization_pct,projected_weight_utilization_pct,remaining_volume_m3,projected_remaining_volume_m3,remaining_weight_kg,projected_remaining_weight_kg,rebased_utilization_applied,batch_level_location_utilization_applied,current_over_capacity_flag,projected_over_capacity_flag,current_capacity_pressure_flag,projected_capacity_pressure_flag,current_capacity_status,projected_capacity_status,location_status,location_warning_flags,map_x,map_y,map_z,map_zone,map_label,map_color_group
LOC-RC-001,RECEIVING,R1,A,1,,6.0,5.0,1.0,35.0,2400.0,19,SKU-COF-001;SP-FORK-SUSP-SEAL-001;SP-ELECTRICAL-SENSOR-001;SP-QC-CALIBRATION-KIT-001;SKU-COMP-WHEEL-ROAD-700C;SKU-COMP-WHEEL-MT-29;SKU-COMP-FRAME-ROAD-001;SKU-COMP-FRAME-MT-001;SKU-COMP-TIRE-MT-29;SKU-COMP-TIRE-ROAD-700C;SKU-UMR-007;SP-LUBE-OIL-001;SP-PACK-BENCH-SPARE-001;SP-FRAME-JIG-PAD-001;SP-BRAKE-BENCH-TOOL-001;SP-FINAL-ASM-JIG-001;SP-BEARING-KIT-001;SP-WHEEL-TRUING-SPARE-001;SKU-FIL-009,SKU-FIL-009,SKU-COF-001;SP-FORK-SUSP-SEAL-001;SP-ELECTRICAL-SENSOR-001;SP-QC-CALIBRATION-KIT-001;SKU-COMP-WHEEL-ROAD-700C;SKU-COMP-WHEEL-MT-29;SKU-COMP-FRAME-ROAD-001;SKU-COMP-FRAME-MT-001;SKU-COMP-TIRE-MT-29;SKU-COMP-TIRE-ROAD-700C;SKU-UMR-007;SP-LUBE-OIL-001;SP-PACK-BENCH-SPARE-001;SP-FRAME-JIG-PAD-001;SP-BRAKE-BENCH-TOOL-001;SP-FINAL-ASM-JIG-001;SP-BEARING-KIT-001;SP-WHEEL-TRUING-SPARE-001,,,,1,18,0,0,0,PRIMARY_AND_REPLENISHMENT,,LOCATION_HAS_PRIMARY_AND_STAGING_ROLES,15.75,1080.0,0.0,0.0,15.75,1080.0,1.73,0.0,0.0,71.0,172.8,0.0,0.0,1430.9,17.48,88.48,49.94,252.8,1252.8,2683.7,52.2,111.82,17.52,-53.48,1147.2,-283.7,False,True,False,True,False,False,UNDERUTILIZED,OVER_CAPACITY,OVER_CAPACITY,INSUFFICIENT_SPACE_AFTER_ORDER;PROJECTED_LOCATION_OVER_CAPACITY;BATCH_LEVEL_LOCATION_UTILIZATION_APPLIED,6.0,5.0,1.0,RECEIVING,LOC-RC-001,OVER_CAPACITY
LOC-PL-001,PALLET_STORAGE,P1,A,1,,14.0,12.0,1.0,90.0,9000.0,0,,,,,,,0,0,0,0,0,EMPTY,,,50.4,5040.0,0.0,0.0,50.4,5040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.4,50.4,56.0,56.0,5040.0,5040.0,56.0,56.0,39.6,39.6,3960.0,3960.0,False,False,False,False,False,False,HEALTHY,HEALTHY,HEALTHY,BATCH_LEVEL_LOCATION_UTILIZATION_NOT_APPLIED,14.0,12.0,1.0,PALLET_STORAGE,LOC-PL-001,HEALTHY
LOC-PL-002,PALLET_STORAGE,P2,B,2,,24.0,16.0,2.0,84.0,8500.0,1,SKU-COMP-TIRE-MT-29,SKU-COMP-TIRE-MT-29,,,,,1,0,0,0,0,PRIMARY_ONLY,,,56.28,5695.0,0.0,0.0,56.28,5695.0,13.5,0.0,0.0,0.0,165.0,0.0,0.0,0.0,69.78,69.78,83.07,83.07,5860.0,5860.0,68.94,68.94,14.22,14.22,2640.0,2640.0,False,True,False,False,False,False,HEALTHY,HEALTHY,HEALTHY,BATCH_LEVEL_LOCATION_UTILIZATION_APPLIED,24.0,16.0,2.0,PALLET_STORAGE,LOC-PL-002,HEALTHY
LOC-CP-001,CASE_PICKING,C1,A,2,,10.0,24.0,2.0,45.0,3500.0,0,,,,,,BATCH-002-01;BATCH-002-02,0,0,0,0,2,EMPTY,,TRACE_ONLY_BATCH_RETAINED_FOR_HISTORY,35.1,2730.0,0.0,0.0,35.1,2730.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.1,35.1,78.0,78.0,2730.0,2730.0,78.0,78.0,9.9,9.9,770.0,770.0,False,False,False,False,False,False,HEALTHY,HEALTHY,HEALTHY,BATCH_LEVEL_LOCATION_UTILIZATION_NOT_APPLIED,10.0,24.0,2.0,CASE_PICKING,LOC-CP-001,HEALTHY
LOC-EP-001,EACH_PICKING,E1,A,3,,8.0,30.0,3.0,20.0,1200.0,1,SKU-COMP-BRAKE-FRONT-001,SKU-COMP-BRAKE-FRONT-001,SKU-COMP-BRAKE-FRONT-001,,,,1,1,0,0,0,PRIMARY_AND_REPLENISHMENT,,LOCATION_HAS_PRIMARY_AND_STAGING_ROLES,17.8,1068.0,1.73,172.8,16.07,895.2,2.4,0.0,0.0,1.2,104.0,0.0,0.0,52.0,18.47,19.67,92.36,98.36,999.2,1051.2,83.27,87.6,1.53,0.33,200.8,148.8,True,True,False,False,True,True,CAPACITY_PRESSURE,CAPACITY_PRESSURE,CAPACITY_PRESSURE,PROJECTED_CAPACITY_PRESSURE;CURRENT_LOCATION_UTILIZATION_REBASED;BATCH_LEVEL_LOCATION_UTILIZATION_APPLIED,8.0,30.0,3.0,EACH_PICKING,LOC-EP-001,CAPACITY_PRESSURE
LOC-FP-001,FAST_PICK,F1,A,1,,12.0,8.0,1.0,40.0,2800.0,1,SKU-COF-001,SKU-COF-001,,,,,1,0,0,0,0,PRIMARY_ONLY,,,18.0,1260.0,1.68,147.0,16.32,1113.0,1.68,0.0,0.0,0.0,147.0,0.0,0.0,0.0,18.0,18.0,45.0,45.0,1260.0,1260.0,45.0,45.0,22.0,22.0,1540.0,1540.0,True,True,False,False,False,False,UNDERUTILIZED,UNDERUTILIZED,UNDERUTILIZED,LOW_LOCATION_UTILIZATION;CURRENT_LOCATION_UTILIZATION_REBASED;BATCH_LEVEL_LOCATION_UTILIZATION_APPLIED,12.0,8.0,1.0,FAST_PICK,LOC-FP-001,UNDERUTILIZED
LOC-SP-001,SLOW_PICK,S1,C,4,,42.0,28.0,4.0,30.0,1800.0,12,SP-FORK-SUSP-SEAL-001;SP-ELECTRICAL-SENSOR-001;SP-QC-CALIBRATION-KIT-001;SKU-UMR-007;SP-LUBE-OIL-001;SP-PACK-BENCH-SPARE-001;SP-FRAME-JIG-PAD-001;SP-BRAKE-BENCH-TOOL-001;SP-FINAL-ASM-JIG-001;SP-BEARING-KIT-001;SP-WHEEL-TRUING-SPARE-001;SKU-COMP-PEDAL-SET-001,SP-FORK-SUSP-SEAL-001;SP-ELECTRICAL-SENSOR-001;SP-QC-CALIBRATION-KIT-001;SKU-UMR-007;SP-LUBE-OIL-001;SP-PACK-BENCH-SPARE-001;SP-FRAME-JIG-PAD-001;SP-BRAKE-BENCH-TOOL-001;SP-FINAL-ASM-JIG-001;SP-BEARING-KIT-001;SP-WHEEL-TRUING-SPARE-001;SKU-COMP-PEDAL-SET-001,,,,,12,0,0,0,0,PRIMARY_ONLY,,,16.8,1008.0,0.24,8.8,16.56,999.2,5.44,0.0,0.0,0.0,213.8,0.0,0.0,0.0,22.0,22.0,73.33,73.33,1213.0,1213.0,67.39,67.39,8.0,8.0,587.0,587.0,True,True,False,False,False,False,HEALTHY,HEALTHY,HEALTHY,CURRENT_LOCATION_UTILIZATION_REBASED;BATCH_LEVEL_LOCATION_UTILIZATION_APPLIED,42.0,28.0,4.0,SLOW_PICK,LOC-SP-001,HEALTHY
LOC-BK-001,BULK_STORAGE,B1,A,1,,48.0,20.0,1.0,160.0,15000.0,2,SKU-COMP-TIRE-ROAD-700C;SKU-BBQ-006,SKU-COMP-TIRE-ROAD-700C;SKU-BBQ-006,,,,,2,0,0,0,0,PRIMARY_ONLY,,,107.2,10050.0,18.0,1728.0,89.2,8322.0,29.9,0.0,0.0,0.0,1836.8,0.0,0.0,0.0,119.1,119.1,74.44,74.44,10158.8,10158.8,67.73,67.73,40.9,40.9,4841.2,4841.2,True,True,False,False,False,False,HEALTHY,HEALTHY,HEALTHY,CURRENT_LOCATION_UTILIZATION_REBASED;BATCH_LEVEL_LOCATION_UTILIZATION_APPLIED,48.0,20.0,1.0,BULK_STORAGE,LOC-BK-001,HEALTHY
LOC-RT-001,RETURNS,R2,A,1,,50.0,6.0,1.0,18.0,1300.0,0,,,,,,,0,0,0,0,0,EMPTY,,,14.04,1014.0,0.0,0.0,14.04,1014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.04,14.04,78.0,78.0,1014.0,1014.0,78.0,78.0,3.96,3.96,286.0,286.0,False,False,False,False,False,False,HEALTHY,HEALTHY,HEALTHY,BATCH_LEVEL_LOCATION_UTILIZATION_NOT_APPLIED,50.0,6.0,1.0,RETURNS,LOC-RT-001,HEALTHY
LOC-QA-001,QUARANTINE,Q1,A,1,,54.0,12.0,1.0,15.0,900.0,2,SKU-SUN-003;SKU-CHC-005,,,SKU-SUN-003;SKU-CHC-005,,,0,0,3,0,0,QUARANTINE_ONLY,,,13.35,801.0,0.0,0.0,13.35,801.0,0.0,0.26,0.0,0.0,0.0,22.23,0.0,0.0,13.61,13.61,90.73,90.73,823.23,823.23,91.47,91.47,1.39,1.39,76.77,76.77,False,True,False,False,True,True,CAPACITY_PRESSURE,CAPACITY_PRESSURE,CAPACITY_PRESSURE,PROJECTED_CAPACITY_PRESSURE;BATCH_LEVEL_LOCATION_UTILIZATION_APPLIED,54.0,12.0,1.0,QUARANTINE,LOC-QA-001,CAPACITY_PRESSURE
