planning_run_id,spare_part_sku,spare_part_name,linked_machine_count,criticality,on_hand_qty,available_qty,reserved_qty,reorder_point,safety_stock,inventory_status,shortage_risk_flag,critical_shortage_flag,coverage_status,source_phase,advisory_only_flag
PHASE4-MPS-20260630115526,SP-LUBE-OIL-001,General Machine Lubricating Oil,2,HIGH,24,24,0,6,4,SUFFICIENT,False,False,COVERED,PHASE3_SPARE_PART_INVENTORY_CHECK,True
PHASE4-MPS-20260630115526,SP-BEARING-KIT-001,General Bearing Replacement Kit,2,CRITICAL,5,5,0,5,3,SUFFICIENT,False,False,COVERED,PHASE3_SPARE_PART_INVENTORY_CHECK,True
PHASE4-MPS-20260630115526,SP-FRAME-JIG-PAD-001,Frame Jig Wear Pad Kit,1,HIGH,6,6,0,6,4,SUFFICIENT,False,False,COVERED,PHASE3_SPARE_PART_INVENTORY_CHECK,True
PHASE4-MPS-20260630115526,SP-WHEEL-TRUING-SPARE-001,Wheel Truing Stand Spare Kit,1,MEDIUM,4,4,0,4,2,SUFFICIENT,False,False,COVERED,PHASE3_SPARE_PART_INVENTORY_CHECK,True
PHASE4-MPS-20260630115526,SP-BRAKE-BENCH-TOOL-001,Brake Bench Tool Spare Set,1,MEDIUM,8,8,0,4,2,SUFFICIENT,False,False,COVERED,PHASE3_SPARE_PART_INVENTORY_CHECK,True
PHASE4-MPS-20260630115526,SP-FORK-SUSP-SEAL-001,Fork Suspension Seal Kit,1,CRITICAL,3,3,0,5,3,BELOW_REORDER_POINT,True,True,LIMITED_COVERAGE,PHASE3_SPARE_PART_INVENTORY_CHECK,True
PHASE4-MPS-20260630115526,SP-FINAL-ASM-JIG-001,Final Assembly Jig Spare Kit,1,HIGH,5,5,0,6,4,BELOW_REORDER_POINT,True,False,LIMITED_COVERAGE,PHASE3_SPARE_PART_INVENTORY_CHECK,True
PHASE4-MPS-20260630115526,SP-QC-CALIBRATION-KIT-001,QC Calibration Kit,1,CRITICAL,2,2,0,5,3,BELOW_SAFETY_STOCK,True,True,LIMITED_COVERAGE,PHASE3_SPARE_PART_INVENTORY_CHECK,True
PHASE4-MPS-20260630115526,SP-PACK-BENCH-SPARE-001,Packaging Bench Spare Kit,1,LOW,10,10,0,2,1,SUFFICIENT,False,False,COVERED,PHASE3_SPARE_PART_INVENTORY_CHECK,True
PHASE4-MPS-20260630115526,SP-ELECTRICAL-SENSOR-001,General Machine Sensor Kit,1,CRITICAL,3,3,0,5,3,BELOW_REORDER_POINT,True,True,LIMITED_COVERAGE,PHASE3_SPARE_PART_INVENTORY_CHECK,True
