summary_type,group_name,location_count,total_capacity_m3,base_used_volume_m3_original,known_sku_volume_rebased,background_used_volume_m3,rebased_utilization_applied_count,batch_level_location_utilization_applied_count,active_primary_volume_m3,active_quarantine_volume_m3,active_fefo_volume_m3,active_replenishment_volume_m3,primary_volume_m3,replenishment_volume_m3,quarantine_volume_m3,fefo_volume_m3,current_over_capacity_location_count,projected_over_capacity_location_count,current_capacity_pressure_location_count,projected_capacity_pressure_location_count,trace_only_batch_count,physical_map_included_batch_count,traceability_layer_batch_count,total_current_used_volume_m3,total_projected_used_volume_m3,current_utilization_pct,projected_utilization_pct,total_capacity_kg,total_current_used_weight_kg,total_projected_used_weight_kg,current_weight_utilization_pct,projected_weight_utilization_pct,space_utilization_cost,projected_space_utilization_cost,utilization_warning
ALL_WAREHOUSE,ALL_WAREHOUSE,16,710.0,452.05,26.67,425.38,7,12,68.09,0.37,0.0,125.26,68.09,125.26,0.37,0.0,0,2,3,4,10,13,23,493.84,619.1,69.55,87.2,58750.0,38272.55,41699.35,65.14,70.98,1927.79,2385.06,WAREHOUSE_HIGH_UTILIZATION
BY_ZONE,BULK_STORAGE,1,160.0,107.2,18.0,89.2,1,1,29.9,0.0,0.0,0.0,29.9,0.0,0.0,0.0,0,0,0,0,0,2,2,119.1,119.1,74.44,74.44,15000.0,10158.8,10158.8,67.73,67.73,381.12,381.12,OK
BY_ZONE,CASE_PICKING,2,73.0,50.78,0.32,50.46,1,1,0.0,0.0,0.0,7.2,0.0,7.2,0.0,0.0,0,0,0,1,2,0,2,50.46,57.66,69.12,78.99,5300.0,3709.2,4369.2,69.98,82.44,232.12,265.24,OK
BY_ZONE,EACH_PICKING,3,52.0,44.3,1.78,42.52,2,3,2.4,0.0,0.0,2.59,2.4,2.59,0.0,0.0,0,0,1,2,4,0,4,44.92,47.51,86.38,91.37,3100.0,2577.05,2762.95,83.13,89.13,215.62,228.05,WAREHOUSE_HIGH_UTILIZATION
BY_ZONE,FAST_PICK,1,40.0,18.0,1.68,16.32,1,1,1.68,0.0,0.0,0.0,1.68,0.0,0.0,0.0,0,0,0,0,0,1,1,18.0,18.0,45.0,45.0,2800.0,1260.0,1260.0,45.0,45.0,93.6,93.6,OK
BY_ZONE,PALLET_STORAGE,3,239.0,150.23,0.0,150.23,0,2,13.5,0.0,0.0,2.64,13.5,2.64,0.0,0.0,0,0,0,0,4,0,4,163.73,166.37,68.51,69.61,22900.0,14518.0,14738.0,63.4,64.36,654.92,665.48,OK
BY_ZONE,QUARANTINE,1,15.0,13.35,0.0,13.35,0,1,0.0,0.37,0.0,0.0,0.0,0.0,0.37,0.0,0,0,1,1,0,4,4,13.72,13.72,91.47,91.47,900.0,832.95,832.95,92.55,92.55,60.37,60.37,WAREHOUSE_HIGH_UTILIZATION
BY_ZONE,RECEIVING,1,35.0,15.75,0.0,15.75,0,1,1.73,0.0,0.0,71.03,1.73,71.03,0.0,0.0,0,1,0,0,0,1,1,17.48,88.51,49.94,252.89,2400.0,1252.8,2686.7,52.2,111.95,69.92,354.04,WAREHOUSE_OVER_CAPACITY
BY_ZONE,RETURNS,1,18.0,14.04,0.0,14.04,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,14.04,14.04,78.0,78.0,1300.0,1014.0,1014.0,78.0,78.0,56.16,56.16,OK
BY_ZONE,SHIPPING,1,32.0,14.4,0.0,14.4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,14.4,14.4,45.0,45.0,2400.0,1080.0,1080.0,45.0,45.0,57.6,57.6,OK
BY_ZONE,SLOW_PICK,2,46.0,24.0,4.89,19.11,2,2,18.88,0.0,0.0,41.8,18.88,41.8,0.0,0.0,0,1,1,0,0,3,3,37.99,79.79,82.59,173.46,2650.0,1869.75,2796.75,70.56,105.54,106.37,223.41,WAREHOUSE_OVER_CAPACITY
