sku_id,product_name,category,current_inventory,inventory_position,recommended_order_quantity,projected_units_after_order,abc_class,fsn_class,movement_class,vitality_class,perishability_class,seasonality_class,inventory_priority_class,main_inventory_status,primary_action,action_priority,main_cost_driver,cost_risk_level,movement_count,handling_unit,unit_volume_m3,unit_weight_kg,temperature_control_required,security_control_required,forklift_required,low_level_required,ergonomic_level_required,forklift_required_reason,low_level_required_reason,fefo_required,expiry_tracking_required,fragile,hazardous,stackable,max_stack_height_m,slotting_priority_score,z_level_score,recommended_storage_zone,recommended_location_id,location_assignment_status,current_location_id,zone,aisle,rack,shelf,bin,assigned_temperature_controlled,assigned_security_controlled,assigned_forklift_accessible,assigned_perishable_allowed,assigned_fragile_allowed,assigned_heavy_allowed,zone_match_type,expired_batch_ids,near_expiry_batch_ids,healthy_batch_ids,expired_batch_count,near_expiry_batch_count,healthy_batch_count,active_expired_batch_count,active_near_expiry_batch_count,active_healthy_batch_count,expired_empty_batch_count,near_expiry_empty_batch_count,healthy_empty_batch_count,quarantine_units,near_expiry_units_for_fefo,normal_storage_units,replenishment_units,historical_expired_or_near_expiry_batch_exists,quarantine_location_id,fefo_location_id,primary_storage_location_id,replenishment_receiving_location_id,batch_split_required,batch_split_reason,active_batch_split_reason,historical_batch_trace_reason,primary_storage_units,quarantine_storage_units,fefo_storage_units,replenishment_storage_units,primary_storage_volume_m3,quarantine_storage_volume_m3,fefo_storage_volume_m3,replenishment_storage_volume_m3,primary_projected_volume_m3,primary_storage_weight_kg,quarantine_storage_weight_kg,fefo_storage_weight_kg,replenishment_storage_weight_kg,primary_projected_weight_kg,current_required_volume_m3,projected_required_volume_m3,current_required_weight_kg,projected_required_weight_kg,location_capacity_m3,location_capacity_kg,location_current_utilization_pct,location_projected_utilization_pct,location_current_weight_utilization_pct,location_projected_weight_utilization_pct,projected_space_shortage_m3,projected_weight_shortage_kg,current_space_utilization_cost,projected_space_utilization_cost,incremental_space_cost_after_order,replenishment_location_projected_utilization_pct,replenishment_location_projected_weight_utilization_pct,replenishment_location_projected_over_capacity_flag,replenishment_location_projected_capacity_pressure_flag,sku_replenishment_volume_m3,sku_replenishment_weight_kg,sku_causes_projected_staging_pressure,sku_replenishment_staging_warning,sku_replenishment_staging_reason,distance_from_receiving_m,distance_to_shipping_m,distance_to_pick_face_m,one_way_operational_distance_m,total_travel_distance_m,travel_distance_basis,travel_threshold_basis,travel_time_min,travel_cost,frequency_adjusted_travel_distance_m,frequency_adjusted_travel_cost,slotting_warning_flags,slotting_info_flags,slotting_action_recommendation,slotting_reason,map_x,map_y,map_z,map_zone,map_label,map_color_group,primary_visual_location_id,replenishment_visual_location_id,quarantine_visual_location_id,fefo_visual_location_id,primary_visual_quantity,replenishment_visual_quantity,quarantine_visual_quantity,fefo_visual_quantity,primary_visual_volume_m3,replenishment_visual_volume_m3,quarantine_visual_volume_m3,fefo_visual_volume_m3,visual_status_group,visual_warning_flags,visual_info_flags
SKU-SUP-004,Winter Soup Mix 400g,Grocery,-18.0,-18.0,1200.0,1200.0,B,S,SLOW_MOVING,VITAL,EXPIRY_TRACKED,NON_SEASONAL,CRITICAL_PRIORITY,STOCKOUT,EXPEDITE_ORDER,URGENT,PURCHASE_COST,CRITICAL,6.0,CASE,0.006,0.55,True,False,False,False,False,NOT_REQUIRED,NOT_REQUIRED,True,True,False,False,True,4.0,0.57,0.45,TEMPERATURE_CONTROLLED,LOC-TC-001,ASSIGNED_WITH_WARNINGS,LOC-TC-002,CASE_PICKING,T1,A,1,,True,False,True,True,True,False,CAPABILITY_MATCH,BATCH-004-01;BATCH-004-02;BATCH-004-03,,BATCH-004-04,3,0,1,0,0,0,3,0,1,0.0,0.0,0.0,1200.0,True,,,LOC-TC-001,LOC-TC-001,False,No batch split required.,No active expired or near-expiry quantity requires operational batch split.,Expired batch IDs exist with zero active quantity; retained for traceability only.,0.0,0.0,0.0,1200.0,0.0,0.0,0.0,7.2,7.2,0.0,0.0,0.0,660.0,660.0,0.0,7.2,0.0,660.0,28.0,1800.0,54.86,80.57,54.4,91.07,0.0,0.0,0.0,43.2,43.2,80.57,91.07,False,True,7.2,660.0,True,PROJECTED_CAPACITY_PRESSURE;SKU_CAUSES_PROJECTED_STAGING_PRESSURE,"Recommended replenishment quantity is staged through LOC-TC-001, whose projected utilization is under pressure. Review staging capacity before ordering.",32.25,48.26,30.41,30.41,80.51,LOCATION_DISTANCE_FIELDS,ONE_WAY,1.34,1.61,483.06,9.66,ZERO_QUANTITY_EXPIRED_BATCH_TRACE_ONLY;PROJECTED_CAPACITY_PRESSURE;SKU_CAUSES_PROJECTED_STAGING_PRESSURE,CAPABILITY_MATCH_NON_EXACT_ZONE;CURRENT_VS_PROJECTED_CAPACITY_SPLIT,MOVE_TO_TEMPERATURE_CONTROLLED,Temperature-controlled storage is required or preferred for this SKU.,18.0,30.0,1.0,CASE_PICKING,SKU-SUP-004 -> LOC-TC-001,STOCKOUT,LOC-TC-001,LOC-TC-001,,,0.0,1200.0,0.0,0.0,0.0,7.2,0.0,0.0,STOCKOUT,,CAPABILITY_MATCH_NON_EXACT_ZONE;CURRENT_VS_PROJECTED_CAPACITY_SPLIT
SKU-TEA-002,Iced Tea Peach 500ml,Beverages,0.0,0.0,880.0,880.0,B,S,SLOW_MOVING,IMPORTANT,EXPIRY_TRACKED,SEASONAL_BUILDUP,HIGH_PRIORITY,ZERO_STOCK,ORDER_RECOMMENDED_QUANTITY,HIGH,PURCHASE_COST,CRITICAL,3.0,CASE,0.003,0.25,True,False,False,True,False,NOT_REQUIRED,FRAGILE_PREFERS_LOW_LEVEL,True,True,True,False,True,4.0,0.51,1.0,TEMPERATURE_CONTROLLED,LOC-TC-002,ASSIGNED_WITH_WARNINGS,LOC-CP-001,PALLET_STORAGE,T2,B,1,,True,False,True,True,True,True,CAPABILITY_MATCH,BATCH-002-01;BATCH-002-02,,,2,0,0,0,0,0,2,0,0,0.0,0.0,0.0,880.0,True,,,LOC-TC-002,LOC-TC-002,False,No batch split required.,No active expired or near-expiry quantity requires operational batch split.,Expired batch IDs exist with zero active quantity; retained for traceability only.,0.0,0.0,0.0,880.0,0.0,0.0,0.0,2.64,2.64,0.0,0.0,0.0,220.0,220.0,0.0,2.64,0.0,220.0,65.0,5400.0,67.0,71.06,67.0,71.07,0.0,0.0,0.0,15.84,15.84,71.06,71.07,False,False,2.64,220.0,False,,Recommended replenishment quantity can be staged through LOC-TC-002 within current configured capacity.,39.6,38.9,37.48,37.48,78.5,LOCATION_DISTANCE_FIELDS,ONE_WAY,1.31,1.57,235.5,4.71,ZERO_QUANTITY_EXPIRED_BATCH_TRACE_ONLY,CAPABILITY_MATCH_NON_EXACT_ZONE;CURRENT_VS_PROJECTED_CAPACITY_SPLIT,MOVE_TO_TEMPERATURE_CONTROLLED,Temperature-controlled storage is required or preferred for this SKU.,30.0,30.0,1.0,PALLET_STORAGE,SKU-TEA-002 -> LOC-TC-002,REORDER_NOW,LOC-TC-002,LOC-TC-002,,,0.0,880.0,0.0,0.0,0.0,2.64,0.0,0.0,REORDER_NOW,,CAPABILITY_MATCH_NON_EXACT_ZONE;CURRENT_VS_PROJECTED_CAPACITY_SPLIT
SKU-BIKE-MT-001,Mountain Bike,Bicycles,14.0,14.0,70.0,84.0,A,N,NON_MOVING,VITAL,NON_PERISHABLE,NON_SEASONAL,HIGH_PRIORITY,CRITICAL_LOW_STOCK,ORDER_RECOMMENDED_QUANTITY,HIGH,PURCHASE_COST,CRITICAL,0.0,EACH,0.58,12.5,False,True,False,True,False,NOT_REQUIRED,FRAGILE_PREFERS_LOW_LEVEL,False,False,True,False,True,2.0,0.44,0.35,SECURITY_CONTROLLED,LOC-SC-002,REVIEW_REQUIRED,LOC-FP-003,SLOW_PICK,SEC2,B,3,,False,True,False,False,True,False,CAPABILITY_MATCH,,,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,70.0,False,,,LOC-SC-002,LOC-SC-002,False,No batch split required.,No active expired or near-expiry quantity requires operational batch split.,No historical expired or near-expiry batch trace issue.,14.0,0.0,0.0,70.0,8.12,0.0,0.0,40.6,48.72,175.0,0.0,0.0,875.0,1050.0,8.12,48.72,175.0,1050.0,16.0,850.0,66.69,320.44,41.88,144.82,35.27,381.0,45.47,272.83,227.36,361.19,186.32,True,False,40.6,875.0,True,REPLENISHMENT_STAGING_OVER_CAPACITY;SKU_CAUSES_PROJECTED_STAGING_PRESSURE,"Recommended replenishment quantity is staged through LOC-SC-002, whose projected utilization exceeds capacity. Review receiving/staging capacity before ordering.",53.25,31.38,31.38,31.38,84.63,LOCATION_DISTANCE_FIELDS,ONE_WAY,1.41,1.69,84.63,1.69,INSUFFICIENT_SPACE_AFTER_ORDER;FRAGILE_ITEM_HIGH_LEVEL;REPLENISHMENT_STAGING_OVER_CAPACITY;SKU_CAUSES_PROJECTED_STAGING_PRESSURE,CAPABILITY_MATCH_NON_EXACT_ZONE;CURRENT_VS_PROJECTED_CAPACITY_SPLIT,REVIEW_CAPACITY_BEFORE_ORDER,Projected inventory after recommended order exceeds assigned location capacity; review capacity before ordering.,46.0,32.0,3.0,SLOW_PICK,SKU-BIKE-MT-001 -> LOC-SC-002,REORDER_NOW,LOC-SC-002,LOC-SC-002,,,14.0,70.0,0.0,0.0,8.12,40.6,0.0,0.0,REORDER_NOW,REPLENISHMENT_STAGING_OVER_CAPACITY,CAPABILITY_MATCH_NON_EXACT_ZONE;CURRENT_VS_PROJECTED_CAPACITY_SPLIT
SKU-COF-001,House Blend Coffee 1kg,Grocery,420.0,420.0,1880.0,2300.0,B,S,SLOW_MOVING,VITAL,NON_PERISHABLE,NON_SEASONAL,HIGH_PRIORITY,REORDER_NOW,REVIEW_SUPPLIER_BEFORE_ORDER,HIGH,PURCHASE_COST,CRITICAL,7.0,CASE,0.004,0.35,False,False,False,False,False,NOT_REQUIRED,NOT_REQUIRED,False,False,False,False,True,5.0,0.44,0.45,CASE_PICKING,LOC-FP-001,ASSIGNED_WITH_WARNINGS,LOC-FP-001,FAST_PICK,F1,A,1,,False,False,True,False,True,False,COMPATIBLE_ZONE_MATCH,,,BATCH-001-01,0,0,1,0,0,1,0,0,0,0.0,0.0,420.0,1880.0,False,,,LOC-FP-001,LOC-RC-001,False,No batch split required.,No active expired or near-expiry quantity requires operational batch split.,No historical expired or near-expiry batch trace issue.,420.0,0.0,0.0,1880.0,1.68,0.0,0.0,7.52,9.2,147.0,0.0,0.0,658.0,805.0,1.68,9.2,147.0,805.0,40.0,2800.0,45.0,63.8,45.0,68.5,0.0,0.0,8.74,47.84,39.1,252.89,111.95,True,False,7.52,658.0,True,REPLENISHMENT_STAGING_OVER_CAPACITY;SKU_CAUSES_PROJECTED_STAGING_PRESSURE;RECEIVING_CAPACITY_REVIEW_REQUIRED,"Recommended replenishment quantity is staged through LOC-RC-001, whose projected utilization exceeds capacity. Review receiving/staging capacity before ordering.",11.66,46.27,9.43,9.43,57.93,LOCATION_DISTANCE_FIELDS,ONE_WAY,0.97,1.16,405.51,8.12,SLOW_OR_NON_MOVING_ITEM_IN_FAST_PICK;PRIME_SPACE_USED_BY_SLOW_ITEM;REPLENISHMENT_STAGING_OVER_CAPACITY;SKU_CAUSES_PROJECTED_STAGING_PRESSURE;RECEIVING_CAPACITY_REVIEW_REQUIRED,PRIMARY_REPLENISHMENT_LOCATION_ROLE_SPLIT;REPLENISHMENT_STAGED_IN_RECEIVING;CURRENT_VS_PROJECTED_CAPACITY_SPLIT,MOVE_SLOW_ITEM_OUT_OF_FAST_PICK,Slow/non-moving SKU is occupying prime pick space; review relocation to slow-pick or bulk storage to free fast-pick capacity.,12.0,8.0,1.0,FAST_PICK,SKU-COF-001 -> LOC-FP-001,REORDER_NOW,LOC-FP-001,LOC-RC-001,,,420.0,1880.0,0.0,0.0,1.68,7.52,0.0,0.0,REORDER_NOW,REPLENISHMENT_STAGING_OVER_CAPACITY;RECEIVING_CAPACITY_REVIEW_REQUIRED,REPLENISHMENT_STAGED_IN_RECEIVING;CURRENT_VS_PROJECTED_CAPACITY_SPLIT
SKU-BAT-008,Lithium Coin Battery CR2032,Electronics,-6.0,-6.0,400.0,400.0,C,S,SLOW_MOVING,VITAL,NON_PERISHABLE,NON_SEASONAL,CRITICAL_PRIORITY,STOCKOUT,EXPEDITE_ORDER,URGENT,PURCHASE_COST,CRITICAL,5.0,EACH,0.002,0.22,False,True,False,False,False,NOT_REQUIRED,NOT_REQUIRED,False,False,False,False,True,4.0,0.42,0.75,SECURITY_CONTROLLED,LOC-SC-001,ASSIGNED_WITH_WARNINGS,LOC-SC-001,EACH_PICKING,SEC1,A,2,,False,True,False,False,True,False,CAPABILITY_MATCH,,,BATCH-008-01;BATCH-008-02;BATCH-008-03;BATCH-008-04,0,0,4,0,0,0,0,0,4,0.0,0.0,0.0,400.0,False,,,LOC-SC-001,LOC-SC-001,False,No batch split required.,No active expired or near-expiry quantity requires operational batch split.,No historical expired or near-expiry batch trace issue.,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.8,0.8,0.0,0.0,0.0,88.0,88.0,0.0,0.8,0.0,88.0,14.0,900.0,89.0,94.71,89.0,98.78,0.0,0.0,0.0,4.48,4.48,94.71,98.78,False,True,0.8,88.0,True,PROJECTED_CAPACITY_PRESSURE;SKU_CAUSES_PROJECTED_STAGING_PRESSURE,"Recommended replenishment quantity is staged through LOC-SC-001, whose projected utilization is under pressure. Review staging capacity before ordering.",32.56,24.52,24.52,24.52,57.08,LOCATION_DISTANCE_FIELDS,ONE_WAY,0.95,1.14,285.4,5.7,PROJECTED_CAPACITY_PRESSURE;SKU_CAUSES_PROJECTED_STAGING_PRESSURE,CAPABILITY_MATCH_NON_EXACT_ZONE;CURRENT_VS_PROJECTED_CAPACITY_SPLIT,REVIEW_CAPACITY_BEFORE_ORDER,"Location is assigned with warehouse handling, capacity, or travel warnings.",34.0,8.0,2.0,EACH_PICKING,SKU-BAT-008 -> LOC-SC-001,STOCKOUT,LOC-SC-001,LOC-SC-001,,,0.0,400.0,0.0,0.0,0.0,0.8,0.0,0.0,STOCKOUT,,CAPABILITY_MATCH_NON_EXACT_ZONE;CURRENT_VS_PROJECTED_CAPACITY_SPLIT
SKU-BIKE-ROAD-001,Road Bike,Bicycles,18.0,18.0,86.0,104.0,B,N,NON_MOVING,VITAL,NON_PERISHABLE,NON_SEASONAL,HIGH_PRIORITY,CRITICAL_LOW_STOCK,ORDER_RECOMMENDED_QUANTITY,HIGH,PURCHASE_COST,CRITICAL,0.0,EACH,0.45,9.2,False,True,False,True,False,NOT_REQUIRED,FRAGILE_PREFERS_LOW_LEVEL,False,False,True,False,True,2.0,0.34,1.0,SECURITY_CONTROLLED,,NO_FEASIBLE_LOCATION,LOC-FP-002,EACH_PICKING,SEC1,A,2,,False,True,False,False,True,False,NO_FEASIBLE_LOCATION,,,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,86.0,False,,,,,False,No batch split required.,No active expired or near-expiry quantity requires operational batch split.,No historical expired or near-expiry batch trace issue.,18.0,0.0,0.0,86.0,8.1,0.0,0.0,38.7,46.8,165.6,0.0,0.0,791.2,956.8,8.1,46.8,165.6,956.8,10.0,1000.0,0.0,468.0,0.0,95.68,36.8,0.0,45.36,262.08,216.72,0.0,0.0,False,False,38.7,791.2,,,No replenishment staging quantity is assigned for this SKU.,32.56,24.52,24.52,24.52,57.08,LOCATION_DISTANCE_FIELDS,ONE_WAY,0.95,1.14,57.08,1.14,NO_FEASIBLE_LOCATION_FOUND;MISSING_LOCATION_DATA;INSUFFICIENT_SPACE_AFTER_ORDER,,REVIEW_MANUALLY,No feasible location found that satisfies capacity and handling constraints.,34.0,8.0,2.0,EACH_PICKING,SKU-BIKE-ROAD-001 -> LOC-SC-001,NO_FEASIBLE_LOCATION,,,,,18.0,86.0,0.0,0.0,8.1,38.7,0.0,0.0,NO_FEASIBLE_LOCATION,NO_FEASIBLE_LOCATION_FOUND,
SKU-COMP-BRAKE-FRONT-001,UNKNOWN,UNKNOWN,160.0,160.0,80.0,240.0,B,N,NON_MOVING,VITAL,NON_PERISHABLE,NON_SEASONAL,HIGH_PRIORITY,OVERSTOCK,REDUCE_FUTURE_ORDERS,MEDIUM,OVERSTOCK_COST,HIGH,0.0,EACH,0.015,0.65,False,True,False,False,False,NOT_REQUIRED,NOT_REQUIRED,False,False,False,False,True,4.0,0.29,0.75,SECURITY_CONTROLLED,LOC-EP-001,ASSIGNED_WITH_WARNINGS,LOC-EP-002,EACH_PICKING,E1,A,3,,False,True,False,False,True,False,CAPABILITY_MATCH,,,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,80.0,False,,,LOC-EP-001,LOC-EP-001,False,No batch split required.,No active expired or near-expiry quantity requires operational batch split.,No historical expired or near-expiry batch trace issue.,160.0,0.0,0.0,80.0,2.4,0.0,0.0,1.2,3.6,104.0,0.0,0.0,52.0,156.0,2.4,3.6,104.0,156.0,20.0,1200.0,92.36,98.36,83.27,87.6,0.0,0.0,13.44,20.16,6.72,98.36,87.6,False,True,1.2,52.0,True,PROJECTED_CAPACITY_PRESSURE;SKU_CAUSES_PROJECTED_STAGING_PRESSURE,"Recommended replenishment quantity is staged through LOC-EP-001, whose projected utilization is under pressure. Review staging capacity before ordering.",28.64,56.82,27.29,27.29,85.46,LOCATION_DISTANCE_FIELDS,ONE_WAY,1.42,1.71,85.46,1.71,PROJECTED_CAPACITY_PRESSURE;SKU_CAUSES_PROJECTED_STAGING_PRESSURE,CAPABILITY_MATCH_NON_EXACT_ZONE;CURRENT_VS_PROJECTED_CAPACITY_SPLIT,REVIEW_CAPACITY_BEFORE_ORDER,"Location is assigned with warehouse handling, capacity, or travel warnings.",8.0,30.0,3.0,EACH_PICKING,SKU-COMP-BRAKE-FRONT-001 -> LOC-EP-001,OVERSTOCK,LOC-EP-001,LOC-EP-001,,,160.0,80.0,0.0,0.0,2.4,1.2,0.0,0.0,OVERSTOCK,,CAPABILITY_MATCH_NON_EXACT_ZONE;CURRENT_VS_PROJECTED_CAPACITY_SPLIT
SKU-COMP-BRAKE-REAR-001,UNKNOWN,UNKNOWN,155.0,155.0,80.0,235.0,B,N,NON_MOVING,VITAL,NON_PERISHABLE,NON_SEASONAL,HIGH_PRIORITY,OVERSTOCK,REDUCE_FUTURE_ORDERS,MEDIUM,OVERSTOCK_COST,HIGH,0.0,EACH,0.015,0.65,False,True,False,False,False,NOT_REQUIRED,NOT_REQUIRED,False,False,False,False,True,4.0,0.29,0.75,SECURITY_CONTROLLED,LOC-SC-002,REVIEW_REQUIRED,LOC-EP-003,SLOW_PICK,SEC2,B,3,,False,True,False,False,True,False,CAPABILITY_MATCH,,,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,80.0,False,,,LOC-SC-002,LOC-SC-002,False,No batch split required.,No active expired or near-expiry quantity requires operational batch split.,No historical expired or near-expiry batch trace issue.,155.0,0.0,0.0,80.0,2.32,0.0,0.0,1.2,3.52,100.75,0.0,0.0,52.0,152.75,2.32,3.52,100.75,152.75,16.0,850.0,81.22,342.47,53.74,162.79,38.79,533.75,13.02,19.74,6.72,361.19,186.32,True,False,1.2,52.0,True,REPLENISHMENT_STAGING_OVER_CAPACITY;SKU_CAUSES_PROJECTED_STAGING_PRESSURE,"Recommended replenishment quantity is staged through LOC-SC-002, whose projected utilization exceeds capacity. Review receiving/staging capacity before ordering.",53.25,31.38,31.38,31.38,84.63,LOCATION_DISTANCE_FIELDS,ONE_WAY,1.41,1.69,84.63,1.69,INSUFFICIENT_SPACE_AFTER_ORDER;REPLENISHMENT_STAGING_OVER_CAPACITY;SKU_CAUSES_PROJECTED_STAGING_PRESSURE,CAPABILITY_MATCH_NON_EXACT_ZONE;CURRENT_VS_PROJECTED_CAPACITY_SPLIT,REVIEW_CAPACITY_BEFORE_ORDER,Projected inventory after recommended order exceeds assigned location capacity; review capacity before ordering.,46.0,32.0,3.0,SLOW_PICK,SKU-COMP-BRAKE-REAR-001 -> LOC-SC-002,OVERSTOCK,LOC-SC-002,LOC-SC-002,,,155.0,80.0,0.0,0.0,2.32,1.2,0.0,0.0,PROJECTED_OVER_CAPACITY,REPLENISHMENT_STAGING_OVER_CAPACITY,CAPABILITY_MATCH_NON_EXACT_ZONE;CURRENT_VS_PROJECTED_CAPACITY_SPLIT
SKU-SUN-003,SPF 50 Sunscreen 200ml,Personal Care,160.0,160.0,180.0,340.0,C,S,SLOW_MOVING,IMPORTANT,SPOILAGE_RISK,NON_SEASONAL,LIQUIDATION_PRIORITY,UNKNOWN_STATUS,REVIEW_POLICY_PARAMETERS,HIGH,EXPIRY_COST,HIGH,4.0,EACH,0.002,0.18,True,False,False,False,False,NOT_REQUIRED,NOT_REQUIRED,True,True,False,False,True,4.0,0.29,0.75,TEMPERATURE_CONTROLLED,LOC-TC-003,ASSIGNED_WITH_WARNINGS,LOC-TC-001,EACH_PICKING,T3,C,2,,True,False,False,True,True,False,CAPABILITY_MATCH,BATCH-003-01;BATCH-003-02;BATCH-003-03,,,3,0,0,3,0,0,0,0,0,160.0,0.0,0.0,180.0,True,LOC-QA-001,,LOC-TC-003,LOC-TC-003,True,Expired batches are assigned separately to quarantine; primary SKU location remains normal storage for sellable or replenishment inventory.,Active expired units require quarantine; healthy/replenishment units remain in normal storage.,Historical expired or near-expiry batch records exist and active quantities are handled separately.,0.0,160.0,0.0,180.0,0.0,0.32,0.0,0.36,0.36,0.0,28.8,0.0,32.4,32.4,0.0,0.36,0.0,32.4,18.0,1000.0,77.71,79.71,77.69,80.92,0.0,0.0,0.0,2.16,2.16,80.99,82.27,False,False,0.36,32.4,False,,Recommended replenishment quantity can be staged through LOC-TC-003 within current configured capacity.,34.99,47.8,33.12,33.12,82.79,LOCATION_DISTANCE_FIELDS,ONE_WAY,1.38,1.66,331.16,6.64,WHOLE_SKU_QUARANTINE_AVOIDED_BY_BATCH_SPLIT;SKU_VOLUME_SPLIT_BY_BATCH_STATUS,CAPABILITY_MATCH_NON_EXACT_ZONE;CURRENT_VS_PROJECTED_CAPACITY_SPLIT,QUARANTINE_EXPIRED_BATCHES_ONLY,"Expired batches are assigned to quarantine separately, while sellable and replenishment inventory remains in normal storage.",20.0,32.0,2.0,EACH_PICKING,SKU-SUN-003 -> LOC-TC-003,PERISHABLE,LOC-TC-003,LOC-TC-003,LOC-QA-001,,0.0,180.0,160.0,0.0,0.0,0.36,0.32,0.0,QUARANTINE_EXPIRED,,CAPABILITY_MATCH_NON_EXACT_ZONE;CURRENT_VS_PROJECTED_CAPACITY_SPLIT
SP-FORK-SUSP-SEAL-001,Fork Suspension Seal Kit,Maintenance Spare Parts,3.0,3.0,14.0,17.0,B,N,NON_MOVING,VITAL,NON_PERISHABLE,NON_SEASONAL,HIGH_PRIORITY,CRITICAL_LOW_STOCK,ORDER_RECOMMENDED_QUANTITY,HIGH,PURCHASE_COST,MEDIUM,0.0,,0.01,1.0,False,False,False,False,False,NOT_REQUIRED,NOT_REQUIRED,False,False,False,False,False,1.8,0.29,1.0,SLOW_PICK,LOC-SP-001,ASSIGNED_WITH_WARNINGS,LOC-SC-005,SLOW_PICK,S1,C,4,,False,False,False,False,True,False,EXACT_ZONE_MATCH,,,,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,14.0,False,,,LOC-SP-001,LOC-RC-001,False,No batch split required.,No active expired or near-expiry quantity requires operational batch split.,No historical expired or near-expiry batch trace issue.,3.0,0.0,0.0,14.0,0.03,0.0,0.0,0.14,0.17,3.0,0.0,0.0,14.0,17.0,0.03,0.17,3.0,17.0,30.0,1800.0,55.3,55.77,55.68,56.46,0.0,0.0,0.08,0.48,0.39,252.89,111.95,True,False,0.14,14.0,True,REPLENISHMENT_STAGING_OVER_CAPACITY;SKU_CAUSES_PROJECTED_STAGING_PRESSURE;RECEIVING_CAPACITY_REVIEW_REQUIRED,"Recommended replenishment quantity is staged through LOC-RC-001, whose projected utilization exceeds capacity. Review receiving/staging capacity before ordering.",47.71,29.68,29.68,29.68,77.39,LOCATION_DISTANCE_FIELDS,ONE_WAY,1.29,1.55,77.39,1.55,MISSING_SKU_STORAGE_REQUIREMENTS;REPLENISHMENT_STAGING_OVER_CAPACITY;SKU_CAUSES_PROJECTED_STAGING_PRESSURE;RECEIVING_CAPACITY_REVIEW_REQUIRED,PRIMARY_REPLENISHMENT_LOCATION_ROLE_SPLIT;REPLENISHMENT_STAGED_IN_RECEIVING;CURRENT_VS_PROJECTED_CAPACITY_SPLIT,MOVE_TO_SLOW_PICK,Slow or non-moving SKU can be placed in slow-pick space to protect prime locations.,42.0,28.0,4.0,SLOW_PICK,SP-FORK-SUSP-SEAL-001 -> LOC-SP-001,REORDER_NOW,LOC-SP-001,LOC-RC-001,,,3.0,14.0,0.0,0.0,0.03,0.14,0.0,0.0,REORDER_NOW,REPLENISHMENT_STAGING_OVER_CAPACITY;RECEIVING_CAPACITY_REVIEW_REQUIRED,REPLENISHMENT_STAGED_IN_RECEIVING;CURRENT_VS_PROJECTED_CAPACITY_SPLIT
