grid_row,grid_col,grid_z,location_id,zone,visual_cell_label,visual_color_group,visual_color_name,current_utilization_pct,projected_utilization_pct,current_location_status,projected_location_status,primary_skus,replenishment_skus,quarantine_batches,fefo_batches,trace_only_batches,warning_count,info_count,visual_problem_summary
5,6,1,LOC-RC-001,RECEIVING,RC-001\n73% proj\nREPL,REPLENISHMENT_STAGING,BLUE,45.0,72.91,UNDERUTILIZED,HEALTHY,,SKU-COF-001;SKU-UMR-007,,,,1,0,BATCH_LEVEL_LOCATION_UTILIZATION_APPLIED
12,14,1,LOC-PL-001,PALLET_STORAGE,PL-001\n76% proj\nPRIM,PRIMARY_STORAGE,GREEN,76.0,76.0,HEALTHY,HEALTHY,SKU-BBQ-006,,,,,1,0,BATCH_LEVEL_LOCATION_UTILIZATION_APPLIED
16,24,2,LOC-PL-002,PALLET_STORAGE,PL-002\n67% proj\nEMPTY,NORMAL,GREEN,67.0,67.0,HEALTHY,HEALTHY,,,,,,1,0,BATCH_LEVEL_LOCATION_UTILIZATION_NOT_APPLIED
24,10,2,LOC-CP-001,CASE_PICKING,CP-001\n78% proj\nEMPTY,NORMAL,GREEN,78.0,78.0,HEALTHY,HEALTHY,,,,,BATCH-002-01;BATCH-002-02,1,1,BATCH_LEVEL_LOCATION_UTILIZATION_NOT_APPLIED
30,8,3,LOC-EP-001,EACH_PICKING,EP-001\n80% proj\nEMPTY,NORMAL,GREEN,80.36,80.36,HEALTHY,HEALTHY,,,,,,2,0,CURRENT_LOCATION_UTILIZATION_REBASED; BATCH_LEVEL_LOCATION_UTILIZATION_NOT_APPLIED
8,12,1,LOC-FP-001,FAST_PICK,FP-001\n45% proj\nPRIM,PRIMARY_STORAGE,GREEN,45.0,45.0,UNDERUTILIZED,UNDERUTILIZED,SKU-COF-001,,,,,3,0,LOW_LOCATION_UTILIZATION; CURRENT_LOCATION_UTILIZATION_REBASED; BATCH_LEVEL_LOCATION_UTILIZATION_APPLIED
28,42,4,LOC-SP-001,SLOW_PICK,SP-001\n55% proj\nEMPTY,NORMAL,GREEN,55.2,55.2,HEALTHY,HEALTHY,,,,,,2,0,CURRENT_LOCATION_UTILIZATION_REBASED; BATCH_LEVEL_LOCATION_UTILIZATION_NOT_APPLIED
20,48,1,LOC-BK-001,BULK_STORAGE,BK-001\n57% proj\nPRIM,PRIMARY_STORAGE,GREEN,56.83,56.83,HEALTHY,HEALTHY,SKU-FIL-009,,,,,2,0,CURRENT_LOCATION_UTILIZATION_REBASED; BATCH_LEVEL_LOCATION_UTILIZATION_APPLIED
6,50,1,LOC-RT-001,RETURNS,RT-001\n78% proj\nEMPTY,NORMAL,GREEN,78.0,78.0,HEALTHY,HEALTHY,,,,,,1,0,BATCH_LEVEL_LOCATION_UTILIZATION_NOT_APPLIED
12,54,1,LOC-QA-001,QUARANTINE,QA-001\n90% proj\nQUAR,CAPACITY_PRESSURE,YELLOW,90.07,90.07,CAPACITY_PRESSURE,CAPACITY_PRESSURE,,,SKU-CHC-005;SKU-SUN-003,,,2,0,PROJECTED_CAPACITY_PRESSURE; BATCH_LEVEL_LOCATION_UTILIZATION_APPLIED
4,56,1,LOC-SH-001,SHIPPING,SH-001\n45% proj\nEMPTY,NORMAL,GREEN,45.0,45.0,UNDERUTILIZED,UNDERUTILIZED,,,,,,2,0,LOW_LOCATION_UTILIZATION; BATCH_LEVEL_LOCATION_UTILIZATION_NOT_APPLIED
30,18,1,LOC-TC-001,CASE_PICKING,TC-001\n81% proj\nREPL,CAPACITY_PRESSURE,YELLOW,55.25,80.96,HEALTHY,CAPACITY_PRESSURE,,SKU-SUP-004,,SKU-SUN-003,,3,1,CURRENT_LOCATION_UTILIZATION_REBASED; BATCH_LEVEL_LOCATION_UTILIZATION_APPLIED; LOCATION_ROLE_MIXED_USAGE_REVIEW; LOCATION_ROLE_MIXED_USAGE_REVIEW
30,30,1,LOC-TC-002,PALLET_STORAGE,TC-002\n71% proj\nREPL,REPLENISHMENT_STAGING,BLUE,67.0,71.06,HEALTHY,HEALTHY,,SKU-TEA-002,,,BATCH-004-01;BATCH-004-02;BATCH-004-03;BATCH-004-04,1,1,BATCH_LEVEL_LOCATION_UTILIZATION_APPLIED
32,20,2,LOC-TC-003,EACH_PICKING,TC-003\n84% proj\nREPL,REPLENISHMENT_STAGING,BLUE,79.65,84.21,HEALTHY,HEALTHY,SKU-UMR-007;SKU-SUN-003,SKU-CHC-005;SKU-SUN-003,,,,2,1,CURRENT_LOCATION_UTILIZATION_REBASED; BATCH_LEVEL_LOCATION_UTILIZATION_APPLIED
8,34,2,LOC-SC-001,EACH_PICKING,SC-001\n95% proj\nREPL,CAPACITY_PRESSURE,YELLOW,89.0,94.71,HEALTHY,CAPACITY_PRESSURE,,SKU-BAT-008,,,BATCH-008-01;BATCH-008-02;BATCH-008-03;BATCH-008-04,2,1,PROJECTED_CAPACITY_PRESSURE; BATCH_LEVEL_LOCATION_UTILIZATION_APPLIED
32,46,3,LOC-SC-002,SLOW_PICK,SC-002\n45% proj\nPRIM,PRIMARY_STORAGE,GREEN,45.0,45.0,UNDERUTILIZED,UNDERUTILIZED,SKU-GFT-010,,,,,3,0,LOW_LOCATION_UTILIZATION; CURRENT_LOCATION_UTILIZATION_REBASED; BATCH_LEVEL_LOCATION_UTILIZATION_APPLIED
