summary_type,group_name,row_count,location_count,sku_count,batch_count,physical_map_batch_count,trace_only_batch_count,warning_count,info_count
ALL_VISUALS,ALL,16,16,10,23,13,10,16,16
BY_VISUAL_COLOR_GROUP,CAPACITY_PRESSURE,3,3,0,0,0,0,8,2
BY_VISUAL_COLOR_GROUP,NORMAL,6,6,0,0,0,0,9,1
BY_VISUAL_COLOR_GROUP,PRIMARY_STORAGE,4,4,0,0,0,0,9,0
BY_VISUAL_COLOR_GROUP,REPLENISHMENT_STAGING,3,3,0,0,0,0,4,2
BY_LOCATION_STATUS,CAPACITY_PRESSURE,3,3,0,0,0,0,8,2
BY_LOCATION_STATUS,HEALTHY,10,10,0,0,0,0,14,3
BY_LOCATION_STATUS,UNDERUTILIZED,3,3,0,0,0,0,8,0
BY_PROJECTED_LOCATION_STATUS,CAPACITY_PRESSURE,3,3,0,0,0,0,8,2
BY_PROJECTED_LOCATION_STATUS,HEALTHY,10,10,0,0,0,0,14,3
BY_PROJECTED_LOCATION_STATUS,UNDERUTILIZED,3,3,0,0,0,0,8,0
BY_ZONE,BULK_STORAGE,1,1,0,0,0,0,2,0
BY_ZONE,CASE_PICKING,2,2,0,0,0,0,5,2
BY_ZONE,EACH_PICKING,3,3,0,0,0,0,6,2
BY_ZONE,FAST_PICK,1,1,0,0,0,0,3,0
BY_ZONE,PALLET_STORAGE,3,3,0,0,0,0,3,1
BY_ZONE,QUARANTINE,1,1,0,0,0,0,2,0
BY_ZONE,RECEIVING,1,1,0,0,0,0,1,0
BY_ZONE,RETURNS,1,1,0,0,0,0,1,0
BY_ZONE,SHIPPING,1,1,0,0,0,0,2,0
BY_ZONE,SLOW_PICK,2,2,0,0,0,0,5,0
BY_VISUAL_LAYER,FEFO_NEAR_EXPIRY,1,0,0,1,1,0,0,0
BY_VISUAL_LAYER,PRIMARY_STORAGE,10,0,0,10,10,0,0,0
BY_VISUAL_LAYER,QUARANTINE_EXPIRED,2,0,0,2,2,0,0,0
BY_VISUAL_LAYER,TRACE_ONLY_BATCH,10,0,0,10,0,10,10,20
BY_BATCH_STATUS,EXPIRED_BATCH,4,0,0,4,2,2,2,4
BY_BATCH_STATUS,HEALTHY_BATCH,16,0,0,16,10,6,6,12
BY_BATCH_STATUS,NEAR_EXPIRY_BATCH,3,0,0,3,1,2,2,4
BY_SKU_STATUS,CRITICAL_LOW_STOCK,1,0,1,0,0,0,4,5
BY_SKU_STATUS,OVERSTOCK,4,0,4,0,0,0,7,7
BY_SKU_STATUS,REORDER_NOW,1,0,1,0,0,0,0,5
BY_SKU_STATUS,STOCKOUT,2,0,2,0,0,0,11,9
BY_SKU_STATUS,UNKNOWN_STATUS,1,0,1,0,0,0,2,4
BY_SKU_STATUS,ZERO_STOCK,1,0,1,0,0,0,2,4
BY_TRAVEL_RISK_GROUP,FAST_MOVING_TOO_FAR,2,0,0,0,0,0,2,2
BY_TRAVEL_RISK_GROUP,NORMAL_TRAVEL,8,0,0,0,0,0,0,0
