period_start,period_end,finished_sku,operation_id,workstation_id,units_processed,defect_count,rework_count,scrap_count,avg_processing_time_minutes,standard_processing_time_minutes,data_source_type,advisory_only_flag
2026-03-02,2026-03-08,SKU-BIKE-ROAD-001,ROAD-OP-010,WS-FRAME-PREP,42,2,1,0,19.0,18,SYNTHETIC_PLANNING_HISTORY,True
2026-03-09,2026-03-15,SKU-BIKE-ROAD-001,ROAD-OP-010,WS-FRAME-PREP,44,2,1,0,18.7,18,SYNTHETIC_PLANNING_HISTORY,True
2026-03-16,2026-03-22,SKU-BIKE-ROAD-001,ROAD-OP-010,WS-FRAME-PREP,46,1,1,0,18.3,18,SYNTHETIC_PLANNING_HISTORY,True
2026-03-23,2026-03-29,SKU-BIKE-ROAD-001,ROAD-OP-010,WS-FRAME-PREP,48,1,0,0,18.1,18,SYNTHETIC_PLANNING_HISTORY,True
2026-03-02,2026-03-08,SKU-BIKE-ROAD-001,ROAD-OP-020,WS-WHEEL-SUB,42,2,1,0,22.4,22,SYNTHETIC_PLANNING_HISTORY,True
2026-03-09,2026-03-15,SKU-BIKE-ROAD-001,ROAD-OP-020,WS-WHEEL-SUB,44,2,1,0,22.7,22,SYNTHETIC_PLANNING_HISTORY,True
2026-03-16,2026-03-22,SKU-BIKE-ROAD-001,ROAD-OP-020,WS-WHEEL-SUB,46,3,2,0,23.4,22,SYNTHETIC_PLANNING_HISTORY,True
2026-03-23,2026-03-29,SKU-BIKE-ROAD-001,ROAD-OP-020,WS-WHEEL-SUB,48,4,2,1,24.0,22,SYNTHETIC_PLANNING_HISTORY,True
2026-03-02,2026-03-08,SKU-BIKE-ROAD-001,ROAD-OP-030,WS-BRAKE-SUB,42,1,1,0,16.3,16,SYNTHETIC_PLANNING_HISTORY,True
2026-03-09,2026-03-15,SKU-BIKE-ROAD-001,ROAD-OP-030,WS-BRAKE-SUB,44,1,1,0,16.1,16,SYNTHETIC_PLANNING_HISTORY,True
2026-03-16,2026-03-22,SKU-BIKE-ROAD-001,ROAD-OP-030,WS-BRAKE-SUB,46,1,0,0,16.0,16,SYNTHETIC_PLANNING_HISTORY,True
2026-03-23,2026-03-29,SKU-BIKE-ROAD-001,ROAD-OP-030,WS-BRAKE-SUB,48,1,0,0,15.9,16,SYNTHETIC_PLANNING_HISTORY,True
2026-03-02,2026-03-08,SKU-BIKE-ROAD-001,ROAD-OP-040,WS-FINAL-ASM,42,3,2,1,35.0,34,SYNTHETIC_PLANNING_HISTORY,True
2026-03-09,2026-03-15,SKU-BIKE-ROAD-001,ROAD-OP-040,WS-FINAL-ASM,44,4,3,1,36.5,34,SYNTHETIC_PLANNING_HISTORY,True
2026-03-16,2026-03-22,SKU-BIKE-ROAD-001,ROAD-OP-040,WS-FINAL-ASM,46,5,4,1,38.2,34,SYNTHETIC_PLANNING_HISTORY,True
2026-03-23,2026-03-29,SKU-BIKE-ROAD-001,ROAD-OP-040,WS-FINAL-ASM,48,7,5,2,40.0,34,SYNTHETIC_PLANNING_HISTORY,True
2026-03-02,2026-03-08,SKU-BIKE-ROAD-001,ROAD-OP-050,WS-QC,42,2,1,0,14.2,14,SYNTHETIC_PLANNING_HISTORY,True
2026-03-09,2026-03-15,SKU-BIKE-ROAD-001,ROAD-OP-050,WS-QC,44,2,1,0,14.1,14,SYNTHETIC_PLANNING_HISTORY,True
2026-03-16,2026-03-22,SKU-BIKE-ROAD-001,ROAD-OP-050,WS-QC,46,2,1,0,14.0,14,SYNTHETIC_PLANNING_HISTORY,True
2026-03-23,2026-03-29,SKU-BIKE-ROAD-001,ROAD-OP-050,WS-QC,48,1,1,0,13.9,14,SYNTHETIC_PLANNING_HISTORY,True
2026-03-02,2026-03-08,SKU-BIKE-ROAD-001,ROAD-OP-060,WS-PACK,42,1,0,0,12.1,12,SYNTHETIC_PLANNING_HISTORY,True
2026-03-09,2026-03-15,SKU-BIKE-ROAD-001,ROAD-OP-060,WS-PACK,44,1,0,0,12.0,12,SYNTHETIC_PLANNING_HISTORY,True
2026-03-16,2026-03-22,SKU-BIKE-ROAD-001,ROAD-OP-060,WS-PACK,46,1,0,0,12.0,12,SYNTHETIC_PLANNING_HISTORY,True
2026-03-23,2026-03-29,SKU-BIKE-ROAD-001,ROAD-OP-060,WS-PACK,48,1,0,0,12.2,12,SYNTHETIC_PLANNING_HISTORY,True
2026-03-02,2026-03-08,SKU-BIKE-MT-001,MT-OP-010,WS-FRAME-PREP,36,2,1,0,23.0,22,SYNTHETIC_PLANNING_HISTORY,True
2026-03-09,2026-03-15,SKU-BIKE-MT-001,MT-OP-010,WS-FRAME-PREP,38,2,1,0,22.6,22,SYNTHETIC_PLANNING_HISTORY,True
2026-03-16,2026-03-22,SKU-BIKE-MT-001,MT-OP-010,WS-FRAME-PREP,40,1,1,0,22.2,22,SYNTHETIC_PLANNING_HISTORY,True
2026-03-23,2026-03-29,SKU-BIKE-MT-001,MT-OP-010,WS-FRAME-PREP,42,1,0,0,21.9,22,SYNTHETIC_PLANNING_HISTORY,True
2026-03-02,2026-03-08,SKU-BIKE-MT-001,MT-OP-020,WS-FORK-SUSP,36,2,1,0,26.4,26,SYNTHETIC_PLANNING_HISTORY,True
2026-03-09,2026-03-15,SKU-BIKE-MT-001,MT-OP-020,WS-FORK-SUSP,38,2,1,0,26.8,26,SYNTHETIC_PLANNING_HISTORY,True
2026-03-16,2026-03-22,SKU-BIKE-MT-001,MT-OP-020,WS-FORK-SUSP,40,3,2,0,27.6,26,SYNTHETIC_PLANNING_HISTORY,True
2026-03-23,2026-03-29,SKU-BIKE-MT-001,MT-OP-020,WS-FORK-SUSP,42,4,3,1,28.5,26,SYNTHETIC_PLANNING_HISTORY,True
2026-03-02,2026-03-08,SKU-BIKE-MT-001,MT-OP-030,WS-WHEEL-SUB,36,2,1,0,26.8,26,SYNTHETIC_PLANNING_HISTORY,True
2026-03-09,2026-03-15,SKU-BIKE-MT-001,MT-OP-030,WS-WHEEL-SUB,38,2,2,0,27.2,26,SYNTHETIC_PLANNING_HISTORY,True
2026-03-16,2026-03-22,SKU-BIKE-MT-001,MT-OP-030,WS-WHEEL-SUB,40,3,2,0,28.0,26,SYNTHETIC_PLANNING_HISTORY,True
2026-03-23,2026-03-29,SKU-BIKE-MT-001,MT-OP-030,WS-WHEEL-SUB,42,4,3,1,29.2,26,SYNTHETIC_PLANNING_HISTORY,True
2026-03-02,2026-03-08,SKU-BIKE-MT-001,MT-OP-040,WS-BRAKE-SUB,36,1,1,0,20.3,20,SYNTHETIC_PLANNING_HISTORY,True
2026-03-09,2026-03-15,SKU-BIKE-MT-001,MT-OP-040,WS-BRAKE-SUB,38,1,1,0,20.2,20,SYNTHETIC_PLANNING_HISTORY,True
2026-03-16,2026-03-22,SKU-BIKE-MT-001,MT-OP-040,WS-BRAKE-SUB,40,1,0,0,20.0,20,SYNTHETIC_PLANNING_HISTORY,True
2026-03-23,2026-03-29,SKU-BIKE-MT-001,MT-OP-040,WS-BRAKE-SUB,42,1,0,0,19.9,20,SYNTHETIC_PLANNING_HISTORY,True
