calendar_id,resource_scope,resource_id,weekday,shift_start,shift_end,planned_break_minutes,available_flag,notes
CAL-WS-FRAME-PREP-MON,WORKSTATION,WS-FRAME-PREP,Monday,08:00,16:00,45,True,Standard production shift
CAL-WS-FRAME-PREP-TUE,WORKSTATION,WS-FRAME-PREP,Tuesday,08:00,16:00,45,True,Standard production shift
CAL-WS-FRAME-PREP-WED,WORKSTATION,WS-FRAME-PREP,Wednesday,08:00,16:00,45,True,Standard production shift
CAL-WS-FRAME-PREP-THU,WORKSTATION,WS-FRAME-PREP,Thursday,08:00,16:00,45,True,Standard production shift
CAL-WS-FRAME-PREP-FRI,WORKSTATION,WS-FRAME-PREP,Friday,08:00,16:00,45,True,Standard production shift
CAL-WS-WHEEL-SUB-MON,WORKSTATION,WS-WHEEL-SUB,Monday,08:00,16:00,45,True,Standard production shift
CAL-WS-WHEEL-SUB-TUE,WORKSTATION,WS-WHEEL-SUB,Tuesday,08:00,16:00,45,True,Standard production shift
CAL-WS-WHEEL-SUB-WED,WORKSTATION,WS-WHEEL-SUB,Wednesday,08:00,16:00,45,True,Standard production shift
CAL-WS-WHEEL-SUB-THU,WORKSTATION,WS-WHEEL-SUB,Thursday,08:00,16:00,45,True,Standard production shift
CAL-WS-WHEEL-SUB-FRI,WORKSTATION,WS-WHEEL-SUB,Friday,08:00,16:00,45,True,Standard production shift
CAL-WS-BRAKE-SUB-MON,WORKSTATION,WS-BRAKE-SUB,Monday,08:00,16:00,45,True,Standard production shift
CAL-WS-BRAKE-SUB-TUE,WORKSTATION,WS-BRAKE-SUB,Tuesday,08:00,16:00,45,True,Standard production shift
CAL-WS-BRAKE-SUB-WED,WORKSTATION,WS-BRAKE-SUB,Wednesday,08:00,16:00,45,True,Standard production shift
CAL-WS-BRAKE-SUB-THU,WORKSTATION,WS-BRAKE-SUB,Thursday,08:00,16:00,45,True,Standard production shift
CAL-WS-BRAKE-SUB-FRI,WORKSTATION,WS-BRAKE-SUB,Friday,08:00,16:00,45,True,Standard production shift
CAL-WS-FORK-SUSP-MON,WORKSTATION,WS-FORK-SUSP,Monday,08:00,16:00,45,True,Standard production shift
CAL-WS-FORK-SUSP-TUE,WORKSTATION,WS-FORK-SUSP,Tuesday,08:00,16:00,45,True,Standard production shift
CAL-WS-FORK-SUSP-WED,WORKSTATION,WS-FORK-SUSP,Wednesday,08:00,16:00,45,True,Standard production shift
CAL-WS-FORK-SUSP-THU,WORKSTATION,WS-FORK-SUSP,Thursday,08:00,16:00,45,True,Standard production shift
CAL-WS-FORK-SUSP-FRI,WORKSTATION,WS-FORK-SUSP,Friday,08:00,16:00,45,True,Standard production shift
CAL-WS-FINAL-ASM-MON,WORKSTATION,WS-FINAL-ASM,Monday,08:00,16:00,45,True,Standard production shift
CAL-WS-FINAL-ASM-TUE,WORKSTATION,WS-FINAL-ASM,Tuesday,08:00,16:00,45,True,Standard production shift
CAL-WS-FINAL-ASM-WED,WORKSTATION,WS-FINAL-ASM,Wednesday,08:00,16:00,45,True,Standard production shift
CAL-WS-FINAL-ASM-THU,WORKSTATION,WS-FINAL-ASM,Thursday,08:00,16:00,45,True,Standard production shift
CAL-WS-FINAL-ASM-FRI,WORKSTATION,WS-FINAL-ASM,Friday,08:00,16:00,45,True,Standard production shift
CAL-WS-QC-MON,WORKSTATION,WS-QC,Monday,08:00,16:00,45,True,Standard production shift
CAL-WS-QC-TUE,WORKSTATION,WS-QC,Tuesday,08:00,16:00,45,True,Standard production shift
CAL-WS-QC-WED,WORKSTATION,WS-QC,Wednesday,08:00,16:00,45,True,Standard production shift
CAL-WS-QC-THU,WORKSTATION,WS-QC,Thursday,08:00,16:00,45,True,Standard production shift
CAL-WS-QC-FRI,WORKSTATION,WS-QC,Friday,08:00,16:00,45,True,Standard production shift
CAL-WS-PACK-MON,WORKSTATION,WS-PACK,Monday,08:00,16:00,45,True,Standard production shift
CAL-WS-PACK-TUE,WORKSTATION,WS-PACK,Tuesday,08:00,16:00,45,True,Standard production shift
CAL-WS-PACK-WED,WORKSTATION,WS-PACK,Wednesday,08:00,16:00,45,True,Standard production shift
CAL-WS-PACK-THU,WORKSTATION,WS-PACK,Thursday,08:00,16:00,45,True,Standard production shift
CAL-WS-PACK-FRI,WORKSTATION,WS-PACK,Friday,08:00,16:00,45,True,Standard production shift
