planning_run_id,component_sku,component_name,finished_sku,schedule_candidate_id,consuming_operation_id,consuming_operation_name,workstation_id,component_operation_mapping_status,component_operation_mapping_source,required_date,expected_inbound_date,required_qty,inventory_used_qty,inbound_used_qty,remaining_shortage_qty,shortage_timing_status,late_days,source_phase,advisory_only_flag
PHASE4-MPS-20260726202343,SKU-COMP-BOLT-KIT-001,Bolts and Nuts Kit,SKU-BIKE-MT-001,PSC-SKU-BIKE-MT-001-20260810,MT-OP-050,Final Assembly,WS-FINAL-ASM,EXPLICIT_CONSUMING_OPERATION_MAPPED,PLANNING_MASTER_FROM_BOM_ROUTING_DESIGN,2026-10-20,2026-08-02,76.9741,0.0,25.6942,51.2799,UNRESOLVED_SHORTAGE,0,INTEGRATED_PHASE234_ADVISORY_PLANNING_REFRESH,True
PHASE4-MPS-20260726202343,SKU-COMP-BOLT-KIT-001,Bolts and Nuts Kit,SKU-BIKE-ROAD-001,PSC-SKU-BIKE-ROAD-001-20260810,ROAD-OP-040,Final Assembly,WS-FINAL-ASM,EXPLICIT_CONSUMING_OPERATION_MAPPED,PLANNING_MASTER_FROM_BOM_ROUTING_DESIGN,,2026-08-02,99.414,0.0,0.0,99.414,REQUIRED_DATE_UNAVAILABLE_REVIEW,0,INTEGRATED_PHASE234_ADVISORY_PLANNING_REFRESH,True
PHASE4-MPS-20260726202343,SKU-COMP-BOLT-KIT-001,Bolts and Nuts Kit,SKU-BIKE-MT-001,PSC-SKU-BIKE-MT-001-20260817,MT-OP-050,Final Assembly,WS-FINAL-ASM,EXPLICIT_CONSUMING_OPERATION_MAPPED,PLANNING_MASTER_FROM_BOM_ROUTING_DESIGN,,2026-08-02,76.9741,0.0,0.0,76.9741,REQUIRED_DATE_UNAVAILABLE_REVIEW,0,INTEGRATED_PHASE234_ADVISORY_PLANNING_REFRESH,True
PHASE4-MPS-20260726202343,SKU-COMP-BOLT-KIT-001,Bolts and Nuts Kit,SKU-BIKE-ROAD-001,PSC-SKU-BIKE-ROAD-001-20260817,ROAD-OP-040,Final Assembly,WS-FINAL-ASM,EXPLICIT_CONSUMING_OPERATION_MAPPED,PLANNING_MASTER_FROM_BOM_ROUTING_DESIGN,,2026-08-02,99.414,0.0,0.0,99.414,REQUIRED_DATE_UNAVAILABLE_REVIEW,0,INTEGRATED_PHASE234_ADVISORY_PLANNING_REFRESH,True
PHASE4-MPS-20260726202343,SKU-COMP-BOLT-KIT-001,Bolts and Nuts Kit,SKU-BIKE-MT-001,PSC-SKU-BIKE-MT-001-20260824,MT-OP-050,Final Assembly,WS-FINAL-ASM,EXPLICIT_CONSUMING_OPERATION_MAPPED,PLANNING_MASTER_FROM_BOM_ROUTING_DESIGN,,2026-08-02,76.9741,0.0,0.0,76.9741,REQUIRED_DATE_UNAVAILABLE_REVIEW,0,INTEGRATED_PHASE234_ADVISORY_PLANNING_REFRESH,True
PHASE4-MPS-20260726202343,SKU-COMP-BOLT-KIT-001,Bolts and Nuts Kit,SKU-BIKE-ROAD-001,PSC-SKU-BIKE-ROAD-001-20260824,ROAD-OP-040,Final Assembly,WS-FINAL-ASM,EXPLICIT_CONSUMING_OPERATION_MAPPED,PLANNING_MASTER_FROM_BOM_ROUTING_DESIGN,,2026-08-02,99.414,0.0,0.0,99.414,REQUIRED_DATE_UNAVAILABLE_REVIEW,0,INTEGRATED_PHASE234_ADVISORY_PLANNING_REFRESH,True
PHASE4-MPS-20260726202343,SKU-COMP-BOLT-KIT-001,Bolts and Nuts Kit,SKU-BIKE-MT-001,PSC-SKU-BIKE-MT-001-20260831,MT-OP-050,Final Assembly,WS-FINAL-ASM,EXPLICIT_CONSUMING_OPERATION_MAPPED,PLANNING_MASTER_FROM_BOM_ROUTING_DESIGN,,2026-08-02,76.9741,0.0,0.0,76.9741,REQUIRED_DATE_UNAVAILABLE_REVIEW,0,INTEGRATED_PHASE234_ADVISORY_PLANNING_REFRESH,True
PHASE4-MPS-20260726202343,SKU-COMP-BOLT-KIT-001,Bolts and Nuts Kit,SKU-BIKE-ROAD-001,PSC-SKU-BIKE-ROAD-001-20260831,ROAD-OP-040,Final Assembly,WS-FINAL-ASM,EXPLICIT_CONSUMING_OPERATION_MAPPED,PLANNING_MASTER_FROM_BOM_ROUTING_DESIGN,,2026-08-02,99.414,0.0,0.0,99.414,REQUIRED_DATE_UNAVAILABLE_REVIEW,0,INTEGRATED_PHASE234_ADVISORY_PLANNING_REFRESH,True
PHASE4-MPS-20260726202343,SKU-COMP-BOLT-KIT-001,Bolts and Nuts Kit,SKU-BIKE-MT-001,PSC-SKU-BIKE-MT-001-20260907,MT-OP-050,Final Assembly,WS-FINAL-ASM,EXPLICIT_CONSUMING_OPERATION_MAPPED,PLANNING_MASTER_FROM_BOM_ROUTING_DESIGN,,2026-08-02,76.9741,0.0,0.0,76.9741,REQUIRED_DATE_UNAVAILABLE_REVIEW,0,INTEGRATED_PHASE234_ADVISORY_PLANNING_REFRESH,True
PHASE4-MPS-20260726202343,SKU-COMP-BOLT-KIT-001,Bolts and Nuts Kit,SKU-BIKE-ROAD-001,PSC-SKU-BIKE-ROAD-001-20260907,ROAD-OP-040,Final Assembly,WS-FINAL-ASM,EXPLICIT_CONSUMING_OPERATION_MAPPED,PLANNING_MASTER_FROM_BOM_ROUTING_DESIGN,,2026-08-02,99.414,0.0,0.0,99.414,REQUIRED_DATE_UNAVAILABLE_REVIEW,0,INTEGRATED_PHASE234_ADVISORY_PLANNING_REFRESH,True
PHASE4-MPS-20260726202343,SKU-COMP-BOLT-KIT-001,Bolts and Nuts Kit,SKU-BIKE-MT-001,PSC-SKU-BIKE-MT-001-20260914,MT-OP-050,Final Assembly,WS-FINAL-ASM,EXPLICIT_CONSUMING_OPERATION_MAPPED,PLANNING_MASTER_FROM_BOM_ROUTING_DESIGN,,2026-08-02,76.9741,0.0,0.0,76.9741,REQUIRED_DATE_UNAVAILABLE_REVIEW,0,INTEGRATED_PHASE234_ADVISORY_PLANNING_REFRESH,True
PHASE4-MPS-20260726202343,SKU-COMP-BOLT-KIT-001,Bolts and Nuts Kit,SKU-BIKE-ROAD-001,PSC-SKU-BIKE-ROAD-001-20260914,ROAD-OP-040,Final Assembly,WS-FINAL-ASM,EXPLICIT_CONSUMING_OPERATION_MAPPED,PLANNING_MASTER_FROM_BOM_ROUTING_DESIGN,,2026-08-02,99.414,0.0,0.0,99.414,REQUIRED_DATE_UNAVAILABLE_REVIEW,0,INTEGRATED_PHASE234_ADVISORY_PLANNING_REFRESH,True
PHASE4-MPS-20260726202343,SKU-COMP-BOLT-KIT-001,Bolts and Nuts Kit,SKU-BIKE-MT-001,PSC-SKU-BIKE-MT-001-20260921,MT-OP-050,Final Assembly,WS-FINAL-ASM,EXPLICIT_CONSUMING_OPERATION_MAPPED,PLANNING_MASTER_FROM_BOM_ROUTING_DESIGN,,2026-08-02,76.9741,0.0,0.0,76.9741,REQUIRED_DATE_UNAVAILABLE_REVIEW,0,INTEGRATED_PHASE234_ADVISORY_PLANNING_REFRESH,True
PHASE4-MPS-20260726202343,SKU-COMP-BOLT-KIT-001,Bolts and Nuts Kit,SKU-BIKE-ROAD-001,PSC-SKU-BIKE-ROAD-001-20260921,ROAD-OP-040,Final Assembly,WS-FINAL-ASM,EXPLICIT_CONSUMING_OPERATION_MAPPED,PLANNING_MASTER_FROM_BOM_ROUTING_DESIGN,,2026-08-02,99.414,0.0,0.0,99.414,REQUIRED_DATE_UNAVAILABLE_REVIEW,0,INTEGRATED_PHASE234_ADVISORY_PLANNING_REFRESH,True
PHASE4-MPS-20260726202343,SKU-COMP-BOLT-KIT-001,Bolts and Nuts Kit,SKU-BIKE-MT-001,PSC-SKU-BIKE-MT-001-20260928,MT-OP-050,Final Assembly,WS-FINAL-ASM,EXPLICIT_CONSUMING_OPERATION_MAPPED,PLANNING_MASTER_FROM_BOM_ROUTING_DESIGN,2026-09-30,2026-08-02,10.9963,0.0,0.0,10.9963,UNRESOLVED_SHORTAGE,0,INTEGRATED_PHASE234_ADVISORY_PLANNING_REFRESH,True
PHASE4-MPS-20260726202343,SKU-COMP-BOLT-KIT-001,Bolts and Nuts Kit,SKU-BIKE-ROAD-001,PSC-SKU-BIKE-ROAD-001-20260928,ROAD-OP-040,Final Assembly,WS-FINAL-ASM,EXPLICIT_CONSUMING_OPERATION_MAPPED,PLANNING_MASTER_FROM_BOM_ROUTING_DESIGN,,2026-08-02,14.202,0.0,0.0,14.202,REQUIRED_DATE_UNAVAILABLE_REVIEW,0,INTEGRATED_PHASE234_ADVISORY_PLANNING_REFRESH,True
PHASE4-MPS-20260726202343,SKU-COMP-BRAKE-FRONT-001,Front Brake Assembly,SKU-BIKE-MT-001,PSC-SKU-BIKE-MT-001-20260706,MT-OP-040,Brake Subassembly,WS-BRAKE-SUB,EXPLICIT_CONSUMING_OPERATION_MAPPED,PLANNING_MASTER_FROM_BOM_ROUTING_DESIGN,2026-07-10,2026-08-08,76.9741,52.019,0.0,24.9551,LATE_INBOUND,29,INTEGRATED_PHASE234_ADVISORY_PLANNING_REFRESH,True
PHASE4-MPS-20260726202343,SKU-COMP-BRAKE-FRONT-001,Front Brake Assembly,SKU-BIKE-ROAD-001,PSC-SKU-BIKE-ROAD-001-20260706,ROAD-OP-030,Brake Subassembly,WS-BRAKE-SUB,EXPLICIT_CONSUMING_OPERATION_MAPPED,PLANNING_MASTER_FROM_BOM_ROUTING_DESIGN,2026-07-10,2026-08-08,99.0098,0.0,0.0,99.0098,LATE_INBOUND,29,INTEGRATED_PHASE234_ADVISORY_PLANNING_REFRESH,True
PHASE4-MPS-20260726202343,SKU-COMP-BRAKE-FRONT-001,Front Brake Assembly,SKU-BIKE-MT-001,PSC-SKU-BIKE-MT-001-20260713,MT-OP-040,Brake Subassembly,WS-BRAKE-SUB,EXPLICIT_CONSUMING_OPERATION_MAPPED,PLANNING_MASTER_FROM_BOM_ROUTING_DESIGN,2026-07-17,2026-08-08,76.9741,0.0,0.0,76.9741,LATE_INBOUND,22,INTEGRATED_PHASE234_ADVISORY_PLANNING_REFRESH,True
PHASE4-MPS-20260726202343,SKU-COMP-BRAKE-FRONT-001,Front Brake Assembly,SKU-BIKE-ROAD-001,PSC-SKU-BIKE-ROAD-001-20260713,ROAD-OP-030,Brake Subassembly,WS-BRAKE-SUB,EXPLICIT_CONSUMING_OPERATION_MAPPED,PLANNING_MASTER_FROM_BOM_ROUTING_DESIGN,2026-07-31,2026-08-08,99.414,0.0,0.0,99.414,LATE_INBOUND,8,INTEGRATED_PHASE234_ADVISORY_PLANNING_REFRESH,True
PHASE4-MPS-20260726202343,SKU-COMP-BRAKE-FRONT-001,Front Brake Assembly,SKU-BIKE-MT-001,PSC-SKU-BIKE-MT-001-20260720,MT-OP-040,Brake Subassembly,WS-BRAKE-SUB,EXPLICIT_CONSUMING_OPERATION_MAPPED,PLANNING_MASTER_FROM_BOM_ROUTING_DESIGN,2026-08-07,2026-08-08,76.9741,0.0,0.0,76.9741,LATE_INBOUND,1,INTEGRATED_PHASE234_ADVISORY_PLANNING_REFRESH,True
PHASE4-MPS-20260726202343,SKU-COMP-BRAKE-FRONT-001,Front Brake Assembly,SKU-BIKE-ROAD-001,PSC-SKU-BIKE-ROAD-001-20260810,ROAD-OP-030,Brake Subassembly,WS-BRAKE-SUB,EXPLICIT_CONSUMING_OPERATION_MAPPED,PLANNING_MASTER_FROM_BOM_ROUTING_DESIGN,2026-10-12,2026-08-08,99.414,0.0,76.7299,22.6841,UNRESOLVED_SHORTAGE,0,INTEGRATED_PHASE234_ADVISORY_PLANNING_REFRESH,True
PHASE4-MPS-20260726202343,SKU-COMP-BRAKE-FRONT-001,Front Brake Assembly,SKU-BIKE-MT-001,PSC-SKU-BIKE-MT-001-20260817,MT-OP-040,Brake Subassembly,WS-BRAKE-SUB,EXPLICIT_CONSUMING_OPERATION_MAPPED,PLANNING_MASTER_FROM_BOM_ROUTING_DESIGN,2026-10-01,2026-08-08,76.9741,0.0,0.0,76.9741,UNRESOLVED_SHORTAGE,0,INTEGRATED_PHASE234_ADVISORY_PLANNING_REFRESH,True
PHASE4-MPS-20260726202343,SKU-COMP-BRAKE-FRONT-001,Front Brake Assembly,SKU-BIKE-ROAD-001,PSC-SKU-BIKE-ROAD-001-20260817,ROAD-OP-030,Brake Subassembly,WS-BRAKE-SUB,EXPLICIT_CONSUMING_OPERATION_MAPPED,PLANNING_MASTER_FROM_BOM_ROUTING_DESIGN,,2026-08-08,99.414,0.0,0.0,99.414,REQUIRED_DATE_UNAVAILABLE_REVIEW,0,INTEGRATED_PHASE234_ADVISORY_PLANNING_REFRESH,True
