planning_run_id,period_start,period_end,workstation_id,workstation_name,workstation_capacity_status,workstation_utilization_pct,workstation_overload_flag,machine_constraint_flag,overloaded_machine_types,highest_machine_utilization_pct,labor_constraint_flag,overloaded_labor_skills,labor_high_utilization_warning_flag,labor_hard_overload_flag,high_utilization_labor_skills,highest_labor_utilization_pct,workstation_capacity_basis,workstation_capacity_interpretation,combined_constraint_type,constraint_interpretation,constraint_review_required_flag,capacity_planning_basis,source_phase,advisory_only_flag
PHASE4-MPS-20260706124809,2026-06-29,2026-07-05,WS-FRAME-PREP,Frame Preparation Station,OVERLOADED,111.24087356321839,True,False,,25.203010416666665,False,,False,False,,50.40602083333333,SINGLE_STATION_CALENDAR,SINGLE_CALENDAR_SLOT_OVERLOADED,WORKSTATION_ONLY,WORKSTATION_CALENDAR_LIMITED_MACHINE_AND_LABOR_OK,True,MPS_ROUTING_CAPACITY_CONSTRAINT_BRIDGE,PHASE4_WORKSTATION_MACHINE_LABOR_CAPACITY,True
PHASE4-MPS-20260706124809,2026-06-29,2026-07-05,WS-WHEEL-SUB,Wheel Subassembly Station,OVERLOADED,128.06496551724138,True,False,,12.895430555555556,False,,False,False,,38.68629166666667,SINGLE_STATION_CALENDAR,SINGLE_CALENDAR_SLOT_OVERLOADED,WORKSTATION_ONLY,WORKSTATION_CALENDAR_LIMITED_MACHINE_AND_LABOR_OK,True,MPS_ROUTING_CAPACITY_CONSTRAINT_BRIDGE,PHASE4_WORKSTATION_MACHINE_LABOR_CAPACITY,True
PHASE4-MPS-20260706124809,2026-06-29,2026-07-05,WS-BRAKE-SUB,Brake Subassembly Station,OVERLOADED,101.40354022988505,True,False,,22.97423958333333,False,,False,False,,45.94847916666666,SINGLE_STATION_CALENDAR,SINGLE_CALENDAR_SLOT_OVERLOADED,WORKSTATION_ONLY,WORKSTATION_CALENDAR_LIMITED_MACHINE_AND_LABOR_OK,True,MPS_ROUTING_CAPACITY_CONSTRAINT_BRIDGE,PHASE4_WORKSTATION_MACHINE_LABOR_CAPACITY,True
PHASE4-MPS-20260706124809,2026-06-29,2026-07-05,WS-FORK-SUSP,Fork and Suspension Prep Station,FEASIBLE,60.57133333333332,False,False,,13.723192708333332,False,,False,False,,27.446385416666665,SINGLE_STATION_CALENDAR,SINGLE_CALENDAR_SLOT_FEASIBLE,NONE,NO_CONSTRAINT_DETECTED,False,MPS_ROUTING_CAPACITY_CONSTRAINT_BRIDGE,PHASE4_WORKSTATION_MACHINE_LABOR_CAPACITY,True
PHASE4-MPS-20260706124809,2026-06-29,2026-07-05,WS-FINAL-ASM,Final Assembly Station,OVERLOADED,193.7973333333333,True,False,,10.976802083333332,False,,False,False,,43.90720833333333,SINGLE_STATION_CALENDAR,SINGLE_CALENDAR_SLOT_OVERLOADED,WORKSTATION_ONLY,WORKSTATION_CALENDAR_LIMITED_MACHINE_AND_LABOR_OK,True,MPS_ROUTING_CAPACITY_CONSTRAINT_BRIDGE,PHASE4_WORKSTATION_MACHINE_LABOR_CAPACITY,True
PHASE4-MPS-20260706124809,2026-06-29,2026-07-05,WS-QC,Final Quality Control Station,NEAR_CAPACITY,87.79696551724136,False,False,,19.891499999999997,False,,False,False,,39.782999999999994,SINGLE_STATION_CALENDAR,SINGLE_CALENDAR_SLOT_NEAR_CAPACITY,NONE,NO_CONSTRAINT_DETECTED,False,MPS_ROUTING_CAPACITY_CONSTRAINT_BRIDGE,PHASE4_WORKSTATION_MACHINE_LABOR_CAPACITY,True
PHASE4-MPS-20260706124809,2026-06-29,2026-07-05,WS-PACK,Packaging Station,FEASIBLE,70.55990804597701,False,False,,15.986229166666668,False,,False,False,,31.972458333333336,SINGLE_STATION_CALENDAR,SINGLE_CALENDAR_SLOT_FEASIBLE,NONE,NO_CONSTRAINT_DETECTED,False,MPS_ROUTING_CAPACITY_CONSTRAINT_BRIDGE,PHASE4_WORKSTATION_MACHINE_LABOR_CAPACITY,True
PHASE4-MPS-20260706124809,2026-07-06,2026-07-12,WS-FRAME-PREP,Frame Preparation Station,OVERLOADED,202.2770620689655,True,False,,45.828396874999996,False,,True,False,FRAME_TECHNICIAN,91.65679374999999,SINGLE_STATION_CALENDAR,SINGLE_CALENDAR_SLOT_OVERLOADED,WORKSTATION_WITH_LABOR_HIGH_UTILIZATION_WARNING,WORKSTATION_CALENDAR_LIMITED_WITH_LABOR_STRESS_WARNING,True,MPS_ROUTING_CAPACITY_CONSTRAINT_BRIDGE,PHASE4_WORKSTATION_MACHINE_LABOR_CAPACITY,True
PHASE4-MPS-20260706124809,2026-07-06,2026-07-12,WS-WHEEL-SUB,Wheel Subassembly Station,OVERLOADED,233.81433103448282,True,False,,23.54380416666667,False,,False,False,,70.63141250000001,SINGLE_STATION_CALENDAR,SINGLE_CALENDAR_SLOT_OVERLOADED,WORKSTATION_ONLY,WORKSTATION_CALENDAR_LIMITED_MACHINE_AND_LABOR_OK,True,MPS_ROUTING_CAPACITY_CONSTRAINT_BRIDGE,PHASE4_WORKSTATION_MACHINE_LABOR_CAPACITY,True
PHASE4-MPS-20260706124809,2026-07-06,2026-07-12,WS-BRAKE-SUB,Brake Subassembly Station,OVERLOADED,185.08314022988503,True,False,,41.93289895833333,False,,True,False,BRAKE_ASSEMBLY_TECHNICIAN,83.86579791666666,SINGLE_STATION_CALENDAR,SINGLE_CALENDAR_SLOT_OVERLOADED,WORKSTATION_WITH_LABOR_HIGH_UTILIZATION_WARNING,WORKSTATION_CALENDAR_LIMITED_WITH_LABOR_STRESS_WARNING,True,MPS_ROUTING_CAPACITY_CONSTRAINT_BRIDGE,PHASE4_WORKSTATION_MACHINE_LABOR_CAPACITY,True
