planning_run_id,flow_review_item_id,finished_sku,finished_product_name,operation_id,operation_name,workstation_id,workstation_name,flow_issue_type,flow_issue_severity,flow_issue_description,evidence_layers,suggested_review_action,auto_action_allowed,advisory_only_flag
PHASE4-MPS-20260702135436,FLOW-REV-0001,SKU-BIKE-MT-001,Mountain Bike,MT-OP-010,Frame Preparation,WS-FRAME-PREP,Frame Preparation Station,CRITICAL_FLOW_STEP_RISK,CRITICAL,BOTTLENECK_VISIBILITY_AT_FLOW_STEP;QUEUE_PRESSURE_AT_FLOW_STEP,WORKSTATION_CAPACITY;LABOR_STRESS;QUEUE_PRESSURE,REVIEW_BEFORE_ACTION,False,True
PHASE4-MPS-20260702135436,FLOW-REV-0002,SKU-BIKE-MT-001,Mountain Bike,MT-OP-020,Fork and Suspension Prep,WS-FORK-SUSP,Fork and Suspension Prep Station,QUEUE_PRESSURE_AT_FLOW_STEP,HIGH,BOTTLENECK_VISIBILITY_AT_FLOW_STEP;QUEUE_PRESSURE_AT_FLOW_STEP,WORKSTATION_CAPACITY;QUEUE_PRESSURE,REVIEW_QUEUE_PRESSURE,False,True
PHASE4-MPS-20260702135436,FLOW-REV-0003,SKU-BIKE-MT-001,Mountain Bike,MT-OP-030,Wheel Subassembly,WS-WHEEL-SUB,Wheel Subassembly Station,CRITICAL_FLOW_STEP_RISK,CRITICAL,BOTTLENECK_VISIBILITY_AT_FLOW_STEP;QUEUE_PRESSURE_AT_FLOW_STEP,WORKSTATION_CAPACITY;QUEUE_PRESSURE,REVIEW_BEFORE_ACTION,False,True
PHASE4-MPS-20260702135436,FLOW-REV-0004,SKU-BIKE-MT-001,Mountain Bike,MT-OP-040,Brake Subassembly,WS-BRAKE-SUB,Brake Subassembly Station,CRITICAL_FLOW_STEP_RISK,CRITICAL,BOTTLENECK_VISIBILITY_AT_FLOW_STEP;QUEUE_PRESSURE_AT_FLOW_STEP,WORKSTATION_CAPACITY;LABOR_STRESS;QUEUE_PRESSURE,REVIEW_BEFORE_ACTION,False,True
PHASE4-MPS-20260702135436,FLOW-REV-0005,SKU-BIKE-MT-001,Mountain Bike,MT-OP-050,Final Assembly,WS-FINAL-ASM,Final Assembly Station,CRITICAL_FLOW_STEP_RISK,CRITICAL,BOTTLENECK_VISIBILITY_AT_FLOW_STEP;QUEUE_PRESSURE_AT_FLOW_STEP;FINAL_ASSEMBLY_JOIN_PRESSURE,WORKSTATION_CAPACITY;LABOR_STRESS;QUEUE_PRESSURE;ROUTING_JOIN_PRESSURE,REVIEW_ROUTING_JOIN_ASSUMPTIONS,False,True
PHASE4-MPS-20260702135436,FLOW-REV-0006,SKU-BIKE-MT-001,Mountain Bike,MT-OP-060,Final Quality Control,WS-QC,Final Quality Control Station,QUEUE_PRESSURE_AT_FLOW_STEP,HIGH,BOTTLENECK_VISIBILITY_AT_FLOW_STEP;QUEUE_PRESSURE_AT_FLOW_STEP,WORKSTATION_CAPACITY;QUEUE_PRESSURE,REVIEW_QUEUE_PRESSURE,False,True
PHASE4-MPS-20260702135436,FLOW-REV-0007,SKU-BIKE-MT-001,Mountain Bike,MT-OP-070,Packaging,WS-PACK,Packaging Station,QUEUE_PRESSURE_AT_FLOW_STEP,HIGH,BOTTLENECK_VISIBILITY_AT_FLOW_STEP;QUEUE_PRESSURE_AT_FLOW_STEP,WORKSTATION_CAPACITY;QUEUE_PRESSURE,REVIEW_QUEUE_PRESSURE,False,True
PHASE4-MPS-20260702135436,FLOW-REV-0008,SKU-BIKE-ROAD-001,Road Bike,ROAD-OP-010,Frame Preparation,WS-FRAME-PREP,Frame Preparation Station,CRITICAL_FLOW_STEP_RISK,CRITICAL,BOTTLENECK_VISIBILITY_AT_FLOW_STEP;QUEUE_PRESSURE_AT_FLOW_STEP,WORKSTATION_CAPACITY;LABOR_STRESS;QUEUE_PRESSURE,REVIEW_BEFORE_ACTION,False,True
PHASE4-MPS-20260702135436,FLOW-REV-0009,SKU-BIKE-ROAD-001,Road Bike,ROAD-OP-020,Wheel Subassembly,WS-WHEEL-SUB,Wheel Subassembly Station,CRITICAL_FLOW_STEP_RISK,CRITICAL,BOTTLENECK_VISIBILITY_AT_FLOW_STEP;QUEUE_PRESSURE_AT_FLOW_STEP,WORKSTATION_CAPACITY;QUEUE_PRESSURE,REVIEW_BEFORE_ACTION,False,True
PHASE4-MPS-20260702135436,FLOW-REV-0010,SKU-BIKE-ROAD-001,Road Bike,ROAD-OP-030,Brake Subassembly,WS-BRAKE-SUB,Brake Subassembly Station,CRITICAL_FLOW_STEP_RISK,CRITICAL,BOTTLENECK_VISIBILITY_AT_FLOW_STEP;QUEUE_PRESSURE_AT_FLOW_STEP,WORKSTATION_CAPACITY;LABOR_STRESS;QUEUE_PRESSURE,REVIEW_BEFORE_ACTION,False,True
