planning_run_id,finished_sku,finished_product_name,workstation_id,workstation_name,operation_count_for_product,operation_names,parallel_operation_flag,join_operation_flag,max_workstation_utilization_pct,max_estimated_queue_pressure_score,bottleneck_visibility_level,bottleneck_visibility_rank,flow_step_risk_level,flow_step_risk_score,flow_step_risk_reason,recommended_review_focus,confirmation_status,source_phase,advisory_only_flag
PHASE4-MPS-20260630131851,SKU-BIKE-MT-001,Mountain Bike,WS-BRAKE-SUB,Brake Subassembly Station,1,Brake Subassembly,True,False,185.4734022988506,100.0,CRITICAL,3,CRITICAL,120.0,BOTTLENECK_VISIBILITY_AT_FLOW_STEP;QUEUE_PRESSURE_AT_FLOW_STEP,REVIEW_PARALLEL_BRANCH_BALANCE,PLANNING_EVIDENCE_ONLY_NOT_SIMULATION_CONFIRMED,PHASE4_STEP5C_PRODUCTION_FLOW_VIEW,True
PHASE4-MPS-20260630131851,SKU-BIKE-MT-001,Mountain Bike,WS-FINAL-ASM,Final Assembly Station,1,Final Assembly,False,True,354.5433011494253,185.0,CRITICAL,1,CRITICAL,152.0,BOTTLENECK_VISIBILITY_AT_FLOW_STEP;QUEUE_PRESSURE_AT_FLOW_STEP;FINAL_ASSEMBLY_JOIN_PRESSURE,REVIEW_FINAL_ASSEMBLY_CAPACITY,PLANNING_EVIDENCE_ONLY_NOT_SIMULATION_CONFIRMED,PHASE4_STEP5C_PRODUCTION_FLOW_VIEW,True
PHASE4-MPS-20260630131851,SKU-BIKE-MT-001,Mountain Bike,WS-FORK-SUSP,Fork and Suspension Prep Station,1,Fork and Suspension Prep,True,False,110.44584367816093,60.0,HIGH,7,HIGH,82.0,BOTTLENECK_VISIBILITY_AT_FLOW_STEP;QUEUE_PRESSURE_AT_FLOW_STEP,REVIEW_PARALLEL_BRANCH_BALANCE,PLANNING_EVIDENCE_ONLY_NOT_SIMULATION_CONFIRMED,PHASE4_STEP5C_PRODUCTION_FLOW_VIEW,True
PHASE4-MPS-20260630131851,SKU-BIKE-MT-001,Mountain Bike,WS-FRAME-PREP,Frame Preparation Station,1,Frame Preparation,False,False,202.70449195402296,100.0,CRITICAL,2,CRITICAL,120.0,BOTTLENECK_VISIBILITY_AT_FLOW_STEP;QUEUE_PRESSURE_AT_FLOW_STEP,REVIEW_QUEUE_PRESSURE,PLANNING_EVIDENCE_ONLY_NOT_SIMULATION_CONFIRMED,PHASE4_STEP5C_PRODUCTION_FLOW_VIEW,True
PHASE4-MPS-20260630131851,SKU-BIKE-MT-001,Mountain Bike,WS-PACK,Packaging Station,1,Packaging,False,False,129.2307908045977,60.0,HIGH,6,HIGH,82.0,BOTTLENECK_VISIBILITY_AT_FLOW_STEP;QUEUE_PRESSURE_AT_FLOW_STEP,REVIEW_QUEUE_PRESSURE,PLANNING_EVIDENCE_ONLY_NOT_SIMULATION_CONFIRMED,PHASE4_STEP5C_PRODUCTION_FLOW_VIEW,True
PHASE4-MPS-20260630131851,SKU-BIKE-MT-001,Mountain Bike,WS-QC,Final Quality Control Station,1,Final Quality Control,False,False,160.7761931034483,80.0,HIGH,5,HIGH,86.0,BOTTLENECK_VISIBILITY_AT_FLOW_STEP;QUEUE_PRESSURE_AT_FLOW_STEP,REVIEW_QUEUE_PRESSURE,PLANNING_EVIDENCE_ONLY_NOT_SIMULATION_CONFIRMED,PHASE4_STEP5C_PRODUCTION_FLOW_VIEW,True
PHASE4-MPS-20260630131851,SKU-BIKE-MT-001,Mountain Bike,WS-WHEEL-SUB,Wheel Subassembly Station,1,Wheel Subassembly,True,False,234.31609655172417,100.0,CRITICAL,4,CRITICAL,120.0,BOTTLENECK_VISIBILITY_AT_FLOW_STEP;QUEUE_PRESSURE_AT_FLOW_STEP,REVIEW_PARALLEL_BRANCH_BALANCE,PLANNING_EVIDENCE_ONLY_NOT_SIMULATION_CONFIRMED,PHASE4_STEP5C_PRODUCTION_FLOW_VIEW,True
PHASE4-MPS-20260630131851,SKU-BIKE-ROAD-001,Road Bike,WS-BRAKE-SUB,Brake Subassembly Station,1,Brake Subassembly,True,False,185.4734022988506,100.0,CRITICAL,3,CRITICAL,120.0,BOTTLENECK_VISIBILITY_AT_FLOW_STEP;QUEUE_PRESSURE_AT_FLOW_STEP,REVIEW_PARALLEL_BRANCH_BALANCE,PLANNING_EVIDENCE_ONLY_NOT_SIMULATION_CONFIRMED,PHASE4_STEP5C_PRODUCTION_FLOW_VIEW,True
PHASE4-MPS-20260630131851,SKU-BIKE-ROAD-001,Road Bike,WS-FINAL-ASM,Final Assembly Station,1,Final Assembly,False,True,354.5433011494253,185.0,CRITICAL,1,CRITICAL,152.0,BOTTLENECK_VISIBILITY_AT_FLOW_STEP;QUEUE_PRESSURE_AT_FLOW_STEP;FINAL_ASSEMBLY_JOIN_PRESSURE,REVIEW_FINAL_ASSEMBLY_CAPACITY,PLANNING_EVIDENCE_ONLY_NOT_SIMULATION_CONFIRMED,PHASE4_STEP5C_PRODUCTION_FLOW_VIEW,True
PHASE4-MPS-20260630131851,SKU-BIKE-ROAD-001,Road Bike,WS-FRAME-PREP,Frame Preparation Station,1,Frame Preparation,False,False,202.70449195402296,100.0,CRITICAL,2,CRITICAL,120.0,BOTTLENECK_VISIBILITY_AT_FLOW_STEP;QUEUE_PRESSURE_AT_FLOW_STEP,REVIEW_QUEUE_PRESSURE,PLANNING_EVIDENCE_ONLY_NOT_SIMULATION_CONFIRMED,PHASE4_STEP5C_PRODUCTION_FLOW_VIEW,True
