planning_run_id,period_start,period_end,component_sku,component_name,gross_component_requirement_qty,component_on_hand_qty,component_available_qty,period_sequence,period_starting_component_inventory_qty,net_component_requirement_qty,projected_component_ending_inventory_qty,projected_component_shortage_qty,mrp_recommendation_status,mrp_review_required_flag,mrp_planning_basis,component_period_summary_flag,source_phase,advisory_only_flag
PHASE4-MPS-20260711134649,2026-06-29,2026-07-05,SKU-COMP-BOLT-KIT-001,Bolts and Nuts Kit,95.981,500,460,1,460.0,0.0,364.019,0.0,COVERED_BY_COMPONENT_INVENTORY,False,MPS_BOM_COMPONENT_NETTING_COMPONENT_PERIOD,True,PHASE4_MPS_BOM_MRP_COMPONENT_PERIOD_NETTING,True
PHASE4-MPS-20260711134649,2026-07-06,2026-07-12,SKU-COMP-BOLT-KIT-001,Bolts and Nuts Kit,175.9839,500,460,2,364.019,0.0,188.0351,0.0,COVERED_BY_COMPONENT_INVENTORY,False,MPS_BOM_COMPONENT_NETTING_COMPONENT_PERIOD,True,PHASE4_MPS_BOM_MRP_COMPONENT_PERIOD_NETTING,True
PHASE4-MPS-20260711134649,2026-07-13,2026-07-19,SKU-COMP-BOLT-KIT-001,Bolts and Nuts Kit,176.3881,500,460,3,188.0351,0.0,11.647,0.0,COVERED_BY_COMPONENT_INVENTORY,False,MPS_BOM_COMPONENT_NETTING_COMPONENT_PERIOD,True,PHASE4_MPS_BOM_MRP_COMPONENT_PERIOD_NETTING,True
PHASE4-MPS-20260711134649,2026-07-20,2026-07-26,SKU-COMP-BOLT-KIT-001,Bolts and Nuts Kit,176.3881,500,460,4,11.647,164.7411,0.0,0.0,NET_REQUIREMENT_IDENTIFIED,False,MPS_BOM_COMPONENT_NETTING_COMPONENT_PERIOD,True,PHASE4_MPS_BOM_MRP_COMPONENT_PERIOD_NETTING,True
PHASE4-MPS-20260711134649,2026-07-27,2026-08-02,SKU-COMP-BOLT-KIT-001,Bolts and Nuts Kit,176.3881,500,460,5,0.0,176.3881,0.0,0.0,NET_REQUIREMENT_IDENTIFIED,False,MPS_BOM_COMPONENT_NETTING_COMPONENT_PERIOD,True,PHASE4_MPS_BOM_MRP_COMPONENT_PERIOD_NETTING,True
PHASE4-MPS-20260711134649,2026-08-03,2026-08-09,SKU-COMP-BOLT-KIT-001,Bolts and Nuts Kit,176.3881,500,460,6,0.0,176.3881,0.0,0.0,NET_REQUIREMENT_IDENTIFIED,False,MPS_BOM_COMPONENT_NETTING_COMPONENT_PERIOD,True,PHASE4_MPS_BOM_MRP_COMPONENT_PERIOD_NETTING,True
PHASE4-MPS-20260711134649,2026-08-10,2026-08-16,SKU-COMP-BOLT-KIT-001,Bolts and Nuts Kit,176.3881,500,460,7,0.0,176.3881,0.0,0.0,NET_REQUIREMENT_IDENTIFIED,False,MPS_BOM_COMPONENT_NETTING_COMPONENT_PERIOD,True,PHASE4_MPS_BOM_MRP_COMPONENT_PERIOD_NETTING,True
PHASE4-MPS-20260711134649,2026-08-17,2026-08-23,SKU-COMP-BOLT-KIT-001,Bolts and Nuts Kit,176.3881,500,460,8,0.0,176.3881,0.0,0.0,NET_REQUIREMENT_IDENTIFIED,False,MPS_BOM_COMPONENT_NETTING_COMPONENT_PERIOD,True,PHASE4_MPS_BOM_MRP_COMPONENT_PERIOD_NETTING,True
PHASE4-MPS-20260711134649,2026-08-24,2026-08-30,SKU-COMP-BOLT-KIT-001,Bolts and Nuts Kit,176.3881,500,460,9,0.0,176.3881,0.0,0.0,NET_REQUIREMENT_IDENTIFIED,False,MPS_BOM_COMPONENT_NETTING_COMPONENT_PERIOD,True,PHASE4_MPS_BOM_MRP_COMPONENT_PERIOD_NETTING,True
PHASE4-MPS-20260711134649,2026-08-31,2026-09-06,SKU-COMP-BOLT-KIT-001,Bolts and Nuts Kit,176.3881,500,460,10,0.0,176.3881,0.0,0.0,NET_REQUIREMENT_IDENTIFIED,False,MPS_BOM_COMPONENT_NETTING_COMPONENT_PERIOD,True,PHASE4_MPS_BOM_MRP_COMPONENT_PERIOD_NETTING,True
PHASE4-MPS-20260711134649,2026-09-07,2026-09-13,SKU-COMP-BOLT-KIT-001,Bolts and Nuts Kit,176.3881,500,460,11,0.0,176.3881,0.0,0.0,NET_REQUIREMENT_IDENTIFIED,False,MPS_BOM_COMPONENT_NETTING_COMPONENT_PERIOD,True,PHASE4_MPS_BOM_MRP_COMPONENT_PERIOD_NETTING,True
PHASE4-MPS-20260711134649,2026-09-14,2026-09-20,SKU-COMP-BOLT-KIT-001,Bolts and Nuts Kit,176.3881,500,460,12,0.0,176.3881,0.0,0.0,NET_REQUIREMENT_IDENTIFIED,False,MPS_BOM_COMPONENT_NETTING_COMPONENT_PERIOD,True,PHASE4_MPS_BOM_MRP_COMPONENT_PERIOD_NETTING,True
