planning_run_id,period_start,period_end,finished_sku,component_sku,component_name,gross_component_requirement_qty,component_on_hand_qty,component_available_qty,period_starting_component_inventory_qty,net_component_requirement_qty,projected_component_ending_inventory_qty,projected_component_shortage_qty,mrp_recommendation_status,mrp_review_required_flag,mrp_planning_basis,component_period_mrp_planning_basis,source_phase,advisory_only_flag
PHASE4-MPS-20260701122722,2026-06-29,2026-07-05,SKU-BIKE-MT-001,SKU-COMP-FRAME-MT-001,Mountain Bike Reinforced Frame,41.9815,90,82,82.0,0.0,40.0185,0.0,COVERED_BY_COMPONENT_INVENTORY,False,MPS_BOM_COMPONENT_NETTING,MPS_BOM_COMPONENT_NETTING_COMPONENT_PERIOD,PHASE4_MPS_BOM_MRP_NETTING_COMPATIBILITY_DETAIL,True
PHASE4-MPS-20260701122722,2026-06-29,2026-07-05,SKU-BIKE-MT-001,SKU-COMP-WHEEL-MT-29,Mountain Bike 29 Inch Wheel,83.963,210,192,192.0,0.0,108.037,0.0,COVERED_BY_COMPONENT_INVENTORY,False,MPS_BOM_COMPONENT_NETTING,MPS_BOM_COMPONENT_NETTING_COMPONENT_PERIOD,PHASE4_MPS_BOM_MRP_NETTING_COMPATIBILITY_DETAIL,True
PHASE4-MPS-20260701122722,2026-06-29,2026-07-05,SKU-BIKE-MT-001,SKU-COMP-TIRE-MT-29,Mountain Bike 29 Inch Tire,83.963,300,278,278.0,0.0,194.037,0.0,COVERED_BY_COMPONENT_INVENTORY,False,MPS_BOM_COMPONENT_NETTING,MPS_BOM_COMPONENT_NETTING_COMPONENT_PERIOD,PHASE4_MPS_BOM_MRP_NETTING_COMPATIBILITY_DETAIL,True
PHASE4-MPS-20260701122722,2026-06-29,2026-07-05,SKU-BIKE-MT-001,SKU-COMP-BRAKE-FRONT-001,Front Brake Assembly,41.9815,160,148,148.0,0.0,52.019,0.0,COVERED_BY_COMPONENT_INVENTORY,False,MPS_BOM_COMPONENT_NETTING,MPS_BOM_COMPONENT_NETTING_COMPONENT_PERIOD,PHASE4_MPS_BOM_MRP_NETTING_COMPATIBILITY_DETAIL,True
PHASE4-MPS-20260701122722,2026-06-29,2026-07-05,SKU-BIKE-MT-001,SKU-COMP-BRAKE-REAR-001,Rear Brake Assembly,41.9815,155,143,143.0,0.0,47.019,0.0,COVERED_BY_COMPONENT_INVENTORY,False,MPS_BOM_COMPONENT_NETTING,MPS_BOM_COMPONENT_NETTING_COMPONENT_PERIOD,PHASE4_MPS_BOM_MRP_NETTING_COMPATIBILITY_DETAIL,True
PHASE4-MPS-20260701122722,2026-06-29,2026-07-05,SKU-BIKE-MT-001,SKU-COMP-PEDAL-SET-001,Pedal Set,41.9815,180,166,166.0,0.0,70.019,0.0,COVERED_BY_COMPONENT_INVENTORY,False,MPS_BOM_COMPONENT_NETTING,MPS_BOM_COMPONENT_NETTING_COMPONENT_PERIOD,PHASE4_MPS_BOM_MRP_NETTING_COMPATIBILITY_DETAIL,True
PHASE4-MPS-20260701122722,2026-06-29,2026-07-05,SKU-BIKE-MT-001,SKU-COMP-BOLT-KIT-001,Bolts and Nuts Kit,41.9815,500,460,460.0,0.0,364.019,0.0,COVERED_BY_COMPONENT_INVENTORY,False,MPS_BOM_COMPONENT_NETTING,MPS_BOM_COMPONENT_NETTING_COMPONENT_PERIOD,PHASE4_MPS_BOM_MRP_NETTING_COMPATIBILITY_DETAIL,True
PHASE4-MPS-20260701122722,2026-07-06,2026-07-12,SKU-BIKE-MT-001,SKU-COMP-FRAME-MT-001,Mountain Bike Reinforced Frame,76.9741,90,82,40.0185,36.9556,0.0,0.0,NET_REQUIREMENT_IDENTIFIED,False,MPS_BOM_COMPONENT_NETTING,MPS_BOM_COMPONENT_NETTING_COMPONENT_PERIOD,PHASE4_MPS_BOM_MRP_NETTING_COMPATIBILITY_DETAIL,True
PHASE4-MPS-20260701122722,2026-07-06,2026-07-12,SKU-BIKE-MT-001,SKU-COMP-WHEEL-MT-29,Mountain Bike 29 Inch Wheel,153.9482,210,192,108.037,45.9112,0.0,0.0,NET_REQUIREMENT_IDENTIFIED,False,MPS_BOM_COMPONENT_NETTING,MPS_BOM_COMPONENT_NETTING_COMPONENT_PERIOD,PHASE4_MPS_BOM_MRP_NETTING_COMPATIBILITY_DETAIL,True
PHASE4-MPS-20260701122722,2026-07-06,2026-07-12,SKU-BIKE-MT-001,SKU-COMP-TIRE-MT-29,Mountain Bike 29 Inch Tire,153.9482,300,278,194.037,0.0,40.0888,0.0,COVERED_BY_COMPONENT_INVENTORY,False,MPS_BOM_COMPONENT_NETTING,MPS_BOM_COMPONENT_NETTING_COMPONENT_PERIOD,PHASE4_MPS_BOM_MRP_NETTING_COMPATIBILITY_DETAIL,True
PHASE4-MPS-20260701122722,2026-07-06,2026-07-12,SKU-BIKE-MT-001,SKU-COMP-BRAKE-FRONT-001,Front Brake Assembly,76.9741,160,148,52.019,54.2214,0.0,0.0,NET_REQUIREMENT_IDENTIFIED,False,MPS_BOM_COMPONENT_NETTING,MPS_BOM_COMPONENT_NETTING_COMPONENT_PERIOD,PHASE4_MPS_BOM_MRP_NETTING_COMPATIBILITY_DETAIL,True
PHASE4-MPS-20260701122722,2026-07-06,2026-07-12,SKU-BIKE-MT-001,SKU-COMP-BRAKE-REAR-001,Rear Brake Assembly,76.9741,155,143,47.019,56.4083,0.0,0.0,NET_REQUIREMENT_IDENTIFIED,False,MPS_BOM_COMPONENT_NETTING,MPS_BOM_COMPONENT_NETTING_COMPONENT_PERIOD,PHASE4_MPS_BOM_MRP_NETTING_COMPATIBILITY_DETAIL,True
PHASE4-MPS-20260701122722,2026-07-06,2026-07-12,SKU-BIKE-MT-001,SKU-COMP-PEDAL-SET-001,Pedal Set,76.9741,180,166,70.019,46.3483,0.0,0.0,NET_REQUIREMENT_IDENTIFIED,False,MPS_BOM_COMPONENT_NETTING,MPS_BOM_COMPONENT_NETTING_COMPONENT_PERIOD,PHASE4_MPS_BOM_MRP_NETTING_COMPATIBILITY_DETAIL,True
PHASE4-MPS-20260701122722,2026-07-06,2026-07-12,SKU-BIKE-MT-001,SKU-COMP-BOLT-KIT-001,Bolts and Nuts Kit,76.9741,500,460,364.019,0.0,188.0351,0.0,COVERED_BY_COMPONENT_INVENTORY,False,MPS_BOM_COMPONENT_NETTING,MPS_BOM_COMPONENT_NETTING_COMPONENT_PERIOD,PHASE4_MPS_BOM_MRP_NETTING_COMPATIBILITY_DETAIL,True
PHASE4-MPS-20260701122722,2026-07-13,2026-07-19,SKU-BIKE-MT-001,SKU-COMP-FRAME-MT-001,Mountain Bike Reinforced Frame,76.9741,90,82,0.0,76.9741,0.0,0.0,NET_REQUIREMENT_IDENTIFIED,False,MPS_BOM_COMPONENT_NETTING,MPS_BOM_COMPONENT_NETTING_COMPONENT_PERIOD,PHASE4_MPS_BOM_MRP_NETTING_COMPATIBILITY_DETAIL,True
PHASE4-MPS-20260701122722,2026-07-13,2026-07-19,SKU-BIKE-MT-001,SKU-COMP-WHEEL-MT-29,Mountain Bike 29 Inch Wheel,153.9482,210,192,0.0,153.9482,0.0,0.0,NET_REQUIREMENT_IDENTIFIED,False,MPS_BOM_COMPONENT_NETTING,MPS_BOM_COMPONENT_NETTING_COMPONENT_PERIOD,PHASE4_MPS_BOM_MRP_NETTING_COMPATIBILITY_DETAIL,True
PHASE4-MPS-20260701122722,2026-07-13,2026-07-19,SKU-BIKE-MT-001,SKU-COMP-TIRE-MT-29,Mountain Bike 29 Inch Tire,153.9482,300,278,40.0888,113.8594,0.0,0.0,NET_REQUIREMENT_IDENTIFIED,False,MPS_BOM_COMPONENT_NETTING,MPS_BOM_COMPONENT_NETTING_COMPONENT_PERIOD,PHASE4_MPS_BOM_MRP_NETTING_COMPATIBILITY_DETAIL,True
PHASE4-MPS-20260701122722,2026-07-13,2026-07-19,SKU-BIKE-MT-001,SKU-COMP-BRAKE-FRONT-001,Front Brake Assembly,76.9741,160,148,0.0,76.9741,0.0,0.0,NET_REQUIREMENT_IDENTIFIED,False,MPS_BOM_COMPONENT_NETTING,MPS_BOM_COMPONENT_NETTING_COMPONENT_PERIOD,PHASE4_MPS_BOM_MRP_NETTING_COMPATIBILITY_DETAIL,True
PHASE4-MPS-20260701122722,2026-07-13,2026-07-19,SKU-BIKE-MT-001,SKU-COMP-BRAKE-REAR-001,Rear Brake Assembly,76.9741,155,143,0.0,76.9741,0.0,0.0,NET_REQUIREMENT_IDENTIFIED,False,MPS_BOM_COMPONENT_NETTING,MPS_BOM_COMPONENT_NETTING_COMPONENT_PERIOD,PHASE4_MPS_BOM_MRP_NETTING_COMPATIBILITY_DETAIL,True
