planning_run_id,period_start,period_end,component_sku,component_name,finished_sku,finished_product_name,mps_planned_production_qty,quantity_per_finished_unit,pegged_gross_component_requirement_qty,component_period_gross_requirement_qty,pegged_requirement_share_pct,component_period_net_requirement_qty,pegged_net_requirement_qty,pegging_type,source_phase,advisory_only_flag
PHASE4-MPS-20260628112806,2026-06-29,2026-07-05,SKU-COMP-BOLT-KIT-001,Bolts and Nuts Kit,SKU-BIKE-MT-001,Mountain Bike,41.9815,1,41.9815,95.981,0.43739386,0.0,0.0,SOFT_PEGGING_FINISHED_GOODS_DEMAND,PHASE4_MRP_COMPONENT_PERIOD_SOFT_PEGGING,True
PHASE4-MPS-20260628112806,2026-06-29,2026-07-05,SKU-COMP-BOLT-KIT-001,Bolts and Nuts Kit,SKU-BIKE-ROAD-001,Road Bike,53.9995,1,53.9995,95.981,0.56260614,0.0,0.0,SOFT_PEGGING_FINISHED_GOODS_DEMAND,PHASE4_MRP_COMPONENT_PERIOD_SOFT_PEGGING,True
PHASE4-MPS-20260628112806,2026-06-29,2026-07-05,SKU-COMP-BRAKE-FRONT-001,Front Brake Assembly,SKU-BIKE-MT-001,Mountain Bike,41.9815,1,41.9815,95.981,0.43739386,0.0,0.0,SOFT_PEGGING_FINISHED_GOODS_DEMAND,PHASE4_MRP_COMPONENT_PERIOD_SOFT_PEGGING,True
PHASE4-MPS-20260628112806,2026-06-29,2026-07-05,SKU-COMP-BRAKE-FRONT-001,Front Brake Assembly,SKU-BIKE-ROAD-001,Road Bike,53.9995,1,53.9995,95.981,0.56260614,0.0,0.0,SOFT_PEGGING_FINISHED_GOODS_DEMAND,PHASE4_MRP_COMPONENT_PERIOD_SOFT_PEGGING,True
PHASE4-MPS-20260628112806,2026-06-29,2026-07-05,SKU-COMP-BRAKE-REAR-001,Rear Brake Assembly,SKU-BIKE-MT-001,Mountain Bike,41.9815,1,41.9815,95.981,0.43739386,0.0,0.0,SOFT_PEGGING_FINISHED_GOODS_DEMAND,PHASE4_MRP_COMPONENT_PERIOD_SOFT_PEGGING,True
PHASE4-MPS-20260628112806,2026-06-29,2026-07-05,SKU-COMP-BRAKE-REAR-001,Rear Brake Assembly,SKU-BIKE-ROAD-001,Road Bike,53.9995,1,53.9995,95.981,0.56260614,0.0,0.0,SOFT_PEGGING_FINISHED_GOODS_DEMAND,PHASE4_MRP_COMPONENT_PERIOD_SOFT_PEGGING,True
PHASE4-MPS-20260628112806,2026-06-29,2026-07-05,SKU-COMP-FRAME-MT-001,Mountain Bike Reinforced Frame,SKU-BIKE-MT-001,Mountain Bike,41.9815,1,41.9815,41.9815,1.0,0.0,0.0,SOFT_PEGGING_FINISHED_GOODS_DEMAND,PHASE4_MRP_COMPONENT_PERIOD_SOFT_PEGGING,True
PHASE4-MPS-20260628112806,2026-06-29,2026-07-05,SKU-COMP-FRAME-ROAD-001,Road Bike Aluminum Frame,SKU-BIKE-ROAD-001,Road Bike,53.9995,1,53.9995,53.9995,1.0,0.0,0.0,SOFT_PEGGING_FINISHED_GOODS_DEMAND,PHASE4_MRP_COMPONENT_PERIOD_SOFT_PEGGING,True
PHASE4-MPS-20260628112806,2026-06-29,2026-07-05,SKU-COMP-PEDAL-SET-001,Pedal Set,SKU-BIKE-MT-001,Mountain Bike,41.9815,1,41.9815,95.981,0.43739386,0.0,0.0,SOFT_PEGGING_FINISHED_GOODS_DEMAND,PHASE4_MRP_COMPONENT_PERIOD_SOFT_PEGGING,True
PHASE4-MPS-20260628112806,2026-06-29,2026-07-05,SKU-COMP-PEDAL-SET-001,Pedal Set,SKU-BIKE-ROAD-001,Road Bike,53.9995,1,53.9995,95.981,0.56260614,0.0,0.0,SOFT_PEGGING_FINISHED_GOODS_DEMAND,PHASE4_MRP_COMPONENT_PERIOD_SOFT_PEGGING,True
PHASE4-MPS-20260628112806,2026-06-29,2026-07-05,SKU-COMP-TIRE-MT-29,Mountain Bike 29 Inch Tire,SKU-BIKE-MT-001,Mountain Bike,41.9815,2,83.963,83.963,1.0,0.0,0.0,SOFT_PEGGING_FINISHED_GOODS_DEMAND,PHASE4_MRP_COMPONENT_PERIOD_SOFT_PEGGING,True
PHASE4-MPS-20260628112806,2026-06-29,2026-07-05,SKU-COMP-TIRE-ROAD-700C,Road Bike 700C Tire,SKU-BIKE-ROAD-001,Road Bike,53.9995,2,107.999,107.999,1.0,0.0,0.0,SOFT_PEGGING_FINISHED_GOODS_DEMAND,PHASE4_MRP_COMPONENT_PERIOD_SOFT_PEGGING,True
PHASE4-MPS-20260628112806,2026-06-29,2026-07-05,SKU-COMP-WHEEL-MT-29,Mountain Bike 29 Inch Wheel,SKU-BIKE-MT-001,Mountain Bike,41.9815,2,83.963,83.963,1.0,0.0,0.0,SOFT_PEGGING_FINISHED_GOODS_DEMAND,PHASE4_MRP_COMPONENT_PERIOD_SOFT_PEGGING,True
PHASE4-MPS-20260628112806,2026-06-29,2026-07-05,SKU-COMP-WHEEL-ROAD-700C,Road Bike 700C Wheel,SKU-BIKE-ROAD-001,Road Bike,53.9995,2,107.999,107.999,1.0,0.0,0.0,SOFT_PEGGING_FINISHED_GOODS_DEMAND,PHASE4_MRP_COMPONENT_PERIOD_SOFT_PEGGING,True
PHASE4-MPS-20260628112806,2026-07-06,2026-07-12,SKU-COMP-BOLT-KIT-001,Bolts and Nuts Kit,SKU-BIKE-MT-001,Mountain Bike,76.9741,1,76.9741,175.9839,0.43739285,0.0,0.0,SOFT_PEGGING_FINISHED_GOODS_DEMAND,PHASE4_MRP_COMPONENT_PERIOD_SOFT_PEGGING,True
PHASE4-MPS-20260628112806,2026-07-06,2026-07-12,SKU-COMP-BOLT-KIT-001,Bolts and Nuts Kit,SKU-BIKE-ROAD-001,Road Bike,99.0098,1,99.0098,175.9839,0.56260715,0.0,0.0,SOFT_PEGGING_FINISHED_GOODS_DEMAND,PHASE4_MRP_COMPONENT_PERIOD_SOFT_PEGGING,True
PHASE4-MPS-20260628112806,2026-07-06,2026-07-12,SKU-COMP-BRAKE-FRONT-001,Front Brake Assembly,SKU-BIKE-MT-001,Mountain Bike,76.9741,1,76.9741,175.9839,0.43739285,123.9649,54.2214,SOFT_PEGGING_FINISHED_GOODS_DEMAND,PHASE4_MRP_COMPONENT_PERIOD_SOFT_PEGGING,True
PHASE4-MPS-20260628112806,2026-07-06,2026-07-12,SKU-COMP-BRAKE-FRONT-001,Front Brake Assembly,SKU-BIKE-ROAD-001,Road Bike,99.0098,1,99.0098,175.9839,0.56260715,123.9649,69.7435,SOFT_PEGGING_FINISHED_GOODS_DEMAND,PHASE4_MRP_COMPONENT_PERIOD_SOFT_PEGGING,True
PHASE4-MPS-20260628112806,2026-07-06,2026-07-12,SKU-COMP-BRAKE-REAR-001,Rear Brake Assembly,SKU-BIKE-MT-001,Mountain Bike,76.9741,1,76.9741,175.9839,0.43739285,128.9649,56.4083,SOFT_PEGGING_FINISHED_GOODS_DEMAND,PHASE4_MRP_COMPONENT_PERIOD_SOFT_PEGGING,True
PHASE4-MPS-20260628112806,2026-07-06,2026-07-12,SKU-COMP-BRAKE-REAR-001,Rear Brake Assembly,SKU-BIKE-ROAD-001,Road Bike,99.0098,1,99.0098,175.9839,0.56260715,128.9649,72.5566,SOFT_PEGGING_FINISHED_GOODS_DEMAND,PHASE4_MRP_COMPONENT_PERIOD_SOFT_PEGGING,True
PHASE4-MPS-20260628112806,2026-07-06,2026-07-12,SKU-COMP-FRAME-MT-001,Mountain Bike Reinforced Frame,SKU-BIKE-MT-001,Mountain Bike,76.9741,1,76.9741,76.9741,1.0,36.9556,36.9556,SOFT_PEGGING_FINISHED_GOODS_DEMAND,PHASE4_MRP_COMPONENT_PERIOD_SOFT_PEGGING,True
PHASE4-MPS-20260628112806,2026-07-06,2026-07-12,SKU-COMP-FRAME-ROAD-001,Road Bike Aluminum Frame,SKU-BIKE-ROAD-001,Road Bike,99.0098,1,99.0098,99.0098,1.0,43.0093,43.0093,SOFT_PEGGING_FINISHED_GOODS_DEMAND,PHASE4_MRP_COMPONENT_PERIOD_SOFT_PEGGING,True
PHASE4-MPS-20260628112806,2026-07-06,2026-07-12,SKU-COMP-PEDAL-SET-001,Pedal Set,SKU-BIKE-MT-001,Mountain Bike,76.9741,1,76.9741,175.9839,0.43739285,105.9649,46.3483,SOFT_PEGGING_FINISHED_GOODS_DEMAND,PHASE4_MRP_COMPONENT_PERIOD_SOFT_PEGGING,True
PHASE4-MPS-20260628112806,2026-07-06,2026-07-12,SKU-COMP-PEDAL-SET-001,Pedal Set,SKU-BIKE-ROAD-001,Road Bike,99.0098,1,99.0098,175.9839,0.56260715,105.9649,59.6166,SOFT_PEGGING_FINISHED_GOODS_DEMAND,PHASE4_MRP_COMPONENT_PERIOD_SOFT_PEGGING,True
PHASE4-MPS-20260628112806,2026-07-06,2026-07-12,SKU-COMP-TIRE-MT-29,Mountain Bike 29 Inch Tire,SKU-BIKE-MT-001,Mountain Bike,76.9741,2,153.9482,153.9482,1.0,0.0,0.0,SOFT_PEGGING_FINISHED_GOODS_DEMAND,PHASE4_MRP_COMPONENT_PERIOD_SOFT_PEGGING,True
PHASE4-MPS-20260628112806,2026-07-06,2026-07-12,SKU-COMP-TIRE-ROAD-700C,Road Bike 700C Tire,SKU-BIKE-ROAD-001,Road Bike,99.0098,2,198.0196,198.0196,1.0,0.0,0.0,SOFT_PEGGING_FINISHED_GOODS_DEMAND,PHASE4_MRP_COMPONENT_PERIOD_SOFT_PEGGING,True
PHASE4-MPS-20260628112806,2026-07-06,2026-07-12,SKU-COMP-WHEEL-MT-29,Mountain Bike 29 Inch Wheel,SKU-BIKE-MT-001,Mountain Bike,76.9741,2,153.9482,153.9482,1.0,45.9112,45.9112,SOFT_PEGGING_FINISHED_GOODS_DEMAND,PHASE4_MRP_COMPONENT_PERIOD_SOFT_PEGGING,True
PHASE4-MPS-20260628112806,2026-07-06,2026-07-12,SKU-COMP-WHEEL-ROAD-700C,Road Bike 700C Wheel,SKU-BIKE-ROAD-001,Road Bike,99.0098,2,198.0196,198.0196,1.0,66.0186,66.0186,SOFT_PEGGING_FINISHED_GOODS_DEMAND,PHASE4_MRP_COMPONENT_PERIOD_SOFT_PEGGING,True
PHASE4-MPS-20260628112806,2026-07-13,2026-07-19,SKU-COMP-BOLT-KIT-001,Bolts and Nuts Kit,SKU-BIKE-MT-001,Mountain Bike,76.9741,1,76.9741,176.3881,0.43639055,0.0,0.0,SOFT_PEGGING_FINISHED_GOODS_DEMAND,PHASE4_MRP_COMPONENT_PERIOD_SOFT_PEGGING,True
PHASE4-MPS-20260628112806,2026-07-13,2026-07-19,SKU-COMP-BOLT-KIT-001,Bolts and Nuts Kit,SKU-BIKE-ROAD-001,Road Bike,99.414,1,99.414,176.3881,0.56360945,0.0,0.0,SOFT_PEGGING_FINISHED_GOODS_DEMAND,PHASE4_MRP_COMPONENT_PERIOD_SOFT_PEGGING,True
PHASE4-MPS-20260628112806,2026-07-13,2026-07-19,SKU-COMP-BRAKE-FRONT-001,Front Brake Assembly,SKU-BIKE-MT-001,Mountain Bike,76.9741,1,76.9741,176.3881,0.43639055,176.3881,76.9741,SOFT_PEGGING_FINISHED_GOODS_DEMAND,PHASE4_MRP_COMPONENT_PERIOD_SOFT_PEGGING,True
PHASE4-MPS-20260628112806,2026-07-13,2026-07-19,SKU-COMP-BRAKE-FRONT-001,Front Brake Assembly,SKU-BIKE-ROAD-001,Road Bike,99.414,1,99.414,176.3881,0.56360945,176.3881,99.414,SOFT_PEGGING_FINISHED_GOODS_DEMAND,PHASE4_MRP_COMPONENT_PERIOD_SOFT_PEGGING,True
PHASE4-MPS-20260628112806,2026-07-13,2026-07-19,SKU-COMP-BRAKE-REAR-001,Rear Brake Assembly,SKU-BIKE-MT-001,Mountain Bike,76.9741,1,76.9741,176.3881,0.43639055,176.3881,76.9741,SOFT_PEGGING_FINISHED_GOODS_DEMAND,PHASE4_MRP_COMPONENT_PERIOD_SOFT_PEGGING,True
PHASE4-MPS-20260628112806,2026-07-13,2026-07-19,SKU-COMP-BRAKE-REAR-001,Rear Brake Assembly,SKU-BIKE-ROAD-001,Road Bike,99.414,1,99.414,176.3881,0.56360945,176.3881,99.414,SOFT_PEGGING_FINISHED_GOODS_DEMAND,PHASE4_MRP_COMPONENT_PERIOD_SOFT_PEGGING,True
PHASE4-MPS-20260628112806,2026-07-13,2026-07-19,SKU-COMP-FRAME-MT-001,Mountain Bike Reinforced Frame,SKU-BIKE-MT-001,Mountain Bike,76.9741,1,76.9741,76.9741,1.0,76.9741,76.9741,SOFT_PEGGING_FINISHED_GOODS_DEMAND,PHASE4_MRP_COMPONENT_PERIOD_SOFT_PEGGING,True
