planning_run_id,schedule_candidate_id,finished_sku,operation_id,operation_name,operation_sequence,predecessor_operation_ids,successor_operation_ids,workstation_id,workstation_name,machine_id,machine_name,candidate_schedule_period,candidate_schedule_day,candidate_schedule_shift,estimated_operation_duration_minutes,earliest_start_offset_minutes,earliest_finish_offset_minutes,slack_time_minutes,critical_path_flag,can_run_in_parallel_flag,merge_operation_flag,operation_precedence_status,operation_schedule_status,source_phase,advisory_only_flag
PHASE4-MPS-20260711131832,PSC-SKU-BIKE-MT-001-20260629,SKU-BIKE-MT-001,MT-OP-010,Frame Preparation,10,,MT-OP-020;MT-OP-030;MT-OP-040,WS-FRAME-PREP,Frame Preparation Station,M-FRAME-JIG-001,Frame Jig and Alignment Fixture,2026-06-29,2026-06-29,SHIFT-A,27.344,0.0,27.344,0.0,True,False,False,PRECEDENCE_OK,MAINTENANCE_REVIEW,PHASE4_STEP8B_ADVISORY_PRODUCTION_SCHEDULE_CANDIDATES,True
PHASE4-MPS-20260711131832,PSC-SKU-BIKE-MT-001-20260629,SKU-BIKE-MT-001,MT-OP-020,Fork and Suspension Prep,20,MT-OP-010,MT-OP-050,WS-FORK-SUSP,Fork and Suspension Prep Station,M-FORK-BENCH-001,Fork and Suspension Prep Bench,2026-06-29,2026-06-29,SHIFT-A,33.5408,27.344,60.8849,0.1376,False,True,False,PRECEDENCE_OK,MAINTENANCE_REVIEW,PHASE4_STEP8B_ADVISORY_PRODUCTION_SCHEDULE_CANDIDATES,True
PHASE4-MPS-20260711131832,PSC-SKU-BIKE-MT-001-20260629,SKU-BIKE-MT-001,MT-OP-030,Wheel Subassembly,30,MT-OP-010,MT-OP-050,WS-WHEEL-SUB,Wheel Subassembly Station,M-WHEEL-TRUE-001,Wheel Truing Stand,2026-06-29,2026-06-29,SHIFT-A,33.6785,27.344,61.0225,0.0,True,True,False,PRECEDENCE_OK,MAINTENANCE_REVIEW,PHASE4_STEP8B_ADVISORY_PRODUCTION_SCHEDULE_CANDIDATES,True
PHASE4-MPS-20260711131832,PSC-SKU-BIKE-MT-001-20260629,SKU-BIKE-MT-001,MT-OP-040,Brake Subassembly,40,MT-OP-010,MT-OP-050,WS-BRAKE-SUB,Brake Subassembly Station,M-BRAKE-BENCH-001,Brake Assembly Bench and Tooling,2026-06-29,2026-06-29,SHIFT-A,25.472,27.344,52.816,8.2064,False,True,False,PRECEDENCE_OK,MAINTENANCE_REVIEW,PHASE4_STEP8B_ADVISORY_PRODUCTION_SCHEDULE_CANDIDATES,True
PHASE4-MPS-20260711131832,PSC-SKU-BIKE-MT-001-20260629,SKU-BIKE-MT-001,MT-OP-050,Final Assembly,50,MT-OP-020;MT-OP-030;MT-OP-040,MT-OP-060,WS-FINAL-ASM,Final Assembly Station,M-FINAL-STAND-001,Final Assembly Stand,2026-06-29,2026-06-29,SHIFT-A,54.504,61.0225,115.5265,0.0,True,False,True,PRECEDENCE_OK,MAINTENANCE_REVIEW,PHASE4_STEP8B_ADVISORY_PRODUCTION_SCHEDULE_CANDIDATES,True
PHASE4-MPS-20260711131832,PSC-SKU-BIKE-MT-001-20260629,SKU-BIKE-MT-001,MT-OP-060,Final Quality Control,60,MT-OP-050,MT-OP-070,WS-QC,Final Quality Control Station,M-QC-TOOLS-001,QC Inspection Tool Set,2026-06-29,2026-06-29,SHIFT-A,22.6647,115.5265,138.1912,0.0,True,False,False,PRECEDENCE_OK,MAINTENANCE_REVIEW,PHASE4_STEP8B_ADVISORY_PRODUCTION_SCHEDULE_CANDIDATES,True
PHASE4-MPS-20260711131832,PSC-SKU-BIKE-MT-001-20260629,SKU-BIKE-MT-001,MT-OP-070,Packaging,70,MT-OP-060,,WS-PACK,Packaging Station,M-PACK-BENCH-001,Packaging Bench and Tool Set,2026-06-29,2026-06-29,SHIFT-A,17.121,138.1912,155.3122,0.0,True,False,False,PRECEDENCE_OK,MAINTENANCE_REVIEW,PHASE4_STEP8B_ADVISORY_PRODUCTION_SCHEDULE_CANDIDATES,True
PHASE4-MPS-20260711131832,PSC-SKU-BIKE-MT-001-20260706,SKU-BIKE-MT-001,MT-OP-010,Frame Preparation,10,,MT-OP-020;MT-OP-030;MT-OP-040,WS-FRAME-PREP,Frame Preparation Station,M-FRAME-JIG-001,Frame Jig and Alignment Fixture,2026-07-06,2026-07-07,SHIFT-B,27.344,0.0,27.344,0.0,True,False,False,PRECEDENCE_OK,MAINTENANCE_REVIEW,PHASE4_STEP8B_ADVISORY_PRODUCTION_SCHEDULE_CANDIDATES,True
PHASE4-MPS-20260711131832,PSC-SKU-BIKE-MT-001-20260706,SKU-BIKE-MT-001,MT-OP-020,Fork and Suspension Prep,20,MT-OP-010,MT-OP-050,WS-FORK-SUSP,Fork and Suspension Prep Station,M-FORK-BENCH-001,Fork and Suspension Prep Bench,2026-07-06,2026-07-07,SHIFT-B,33.5408,27.344,60.8849,0.1376,False,True,False,PRECEDENCE_OK,MAINTENANCE_REVIEW,PHASE4_STEP8B_ADVISORY_PRODUCTION_SCHEDULE_CANDIDATES,True
PHASE4-MPS-20260711131832,PSC-SKU-BIKE-MT-001-20260706,SKU-BIKE-MT-001,MT-OP-030,Wheel Subassembly,30,MT-OP-010,MT-OP-050,WS-WHEEL-SUB,Wheel Subassembly Station,M-WHEEL-TRUE-001,Wheel Truing Stand,2026-07-06,2026-07-07,SHIFT-B,33.6785,27.344,61.0225,0.0,True,True,False,PRECEDENCE_OK,MAINTENANCE_REVIEW,PHASE4_STEP8B_ADVISORY_PRODUCTION_SCHEDULE_CANDIDATES,True
PHASE4-MPS-20260711131832,PSC-SKU-BIKE-MT-001-20260706,SKU-BIKE-MT-001,MT-OP-040,Brake Subassembly,40,MT-OP-010,MT-OP-050,WS-BRAKE-SUB,Brake Subassembly Station,M-BRAKE-BENCH-001,Brake Assembly Bench and Tooling,2026-07-06,2026-07-07,SHIFT-B,25.472,27.344,52.816,8.2064,False,True,False,PRECEDENCE_OK,MAINTENANCE_REVIEW,PHASE4_STEP8B_ADVISORY_PRODUCTION_SCHEDULE_CANDIDATES,True
PHASE4-MPS-20260711131832,PSC-SKU-BIKE-MT-001-20260706,SKU-BIKE-MT-001,MT-OP-050,Final Assembly,50,MT-OP-020;MT-OP-030;MT-OP-040,MT-OP-060,WS-FINAL-ASM,Final Assembly Station,M-FINAL-STAND-001,Final Assembly Stand,2026-07-06,2026-07-07,SHIFT-B,54.504,61.0225,115.5265,0.0,True,False,True,PRECEDENCE_OK,MAINTENANCE_REVIEW,PHASE4_STEP8B_ADVISORY_PRODUCTION_SCHEDULE_CANDIDATES,True
PHASE4-MPS-20260711131832,PSC-SKU-BIKE-MT-001-20260706,SKU-BIKE-MT-001,MT-OP-060,Final Quality Control,60,MT-OP-050,MT-OP-070,WS-QC,Final Quality Control Station,M-QC-TOOLS-001,QC Inspection Tool Set,2026-07-06,2026-07-07,SHIFT-B,22.6647,115.5265,138.1912,0.0,True,False,False,PRECEDENCE_OK,MAINTENANCE_REVIEW,PHASE4_STEP8B_ADVISORY_PRODUCTION_SCHEDULE_CANDIDATES,True
PHASE4-MPS-20260711131832,PSC-SKU-BIKE-MT-001-20260706,SKU-BIKE-MT-001,MT-OP-070,Packaging,70,MT-OP-060,,WS-PACK,Packaging Station,M-PACK-BENCH-001,Packaging Bench and Tool Set,2026-07-06,2026-07-07,SHIFT-B,17.121,138.1912,155.3122,0.0,True,False,False,PRECEDENCE_OK,MAINTENANCE_REVIEW,PHASE4_STEP8B_ADVISORY_PRODUCTION_SCHEDULE_CANDIDATES,True
PHASE4-MPS-20260711131832,PSC-SKU-BIKE-MT-001-20260713,SKU-BIKE-MT-001,MT-OP-010,Frame Preparation,10,,MT-OP-020;MT-OP-030;MT-OP-040,WS-FRAME-PREP,Frame Preparation Station,M-FRAME-JIG-001,Frame Jig and Alignment Fixture,2026-07-13,2026-07-15,SHIFT-A,27.344,0.0,27.344,0.0,True,False,False,PRECEDENCE_OK,MAINTENANCE_REVIEW,PHASE4_STEP8B_ADVISORY_PRODUCTION_SCHEDULE_CANDIDATES,True
PHASE4-MPS-20260711131832,PSC-SKU-BIKE-MT-001-20260713,SKU-BIKE-MT-001,MT-OP-020,Fork and Suspension Prep,20,MT-OP-010,MT-OP-050,WS-FORK-SUSP,Fork and Suspension Prep Station,M-FORK-BENCH-001,Fork and Suspension Prep Bench,2026-07-13,2026-07-15,SHIFT-A,33.5408,27.344,60.8849,0.1376,False,True,False,PRECEDENCE_OK,MAINTENANCE_REVIEW,PHASE4_STEP8B_ADVISORY_PRODUCTION_SCHEDULE_CANDIDATES,True
PHASE4-MPS-20260711131832,PSC-SKU-BIKE-MT-001-20260713,SKU-BIKE-MT-001,MT-OP-030,Wheel Subassembly,30,MT-OP-010,MT-OP-050,WS-WHEEL-SUB,Wheel Subassembly Station,M-WHEEL-TRUE-001,Wheel Truing Stand,2026-07-13,2026-07-15,SHIFT-A,33.6785,27.344,61.0225,0.0,True,True,False,PRECEDENCE_OK,MAINTENANCE_REVIEW,PHASE4_STEP8B_ADVISORY_PRODUCTION_SCHEDULE_CANDIDATES,True
PHASE4-MPS-20260711131832,PSC-SKU-BIKE-MT-001-20260713,SKU-BIKE-MT-001,MT-OP-040,Brake Subassembly,40,MT-OP-010,MT-OP-050,WS-BRAKE-SUB,Brake Subassembly Station,M-BRAKE-BENCH-001,Brake Assembly Bench and Tooling,2026-07-13,2026-07-15,SHIFT-A,25.472,27.344,52.816,8.2064,False,True,False,PRECEDENCE_OK,MAINTENANCE_REVIEW,PHASE4_STEP8B_ADVISORY_PRODUCTION_SCHEDULE_CANDIDATES,True
PHASE4-MPS-20260711131832,PSC-SKU-BIKE-MT-001-20260713,SKU-BIKE-MT-001,MT-OP-050,Final Assembly,50,MT-OP-020;MT-OP-030;MT-OP-040,MT-OP-060,WS-FINAL-ASM,Final Assembly Station,M-FINAL-STAND-001,Final Assembly Stand,2026-07-13,2026-07-15,SHIFT-A,54.504,61.0225,115.5265,0.0,True,False,True,PRECEDENCE_OK,MAINTENANCE_REVIEW,PHASE4_STEP8B_ADVISORY_PRODUCTION_SCHEDULE_CANDIDATES,True
PHASE4-MPS-20260711131832,PSC-SKU-BIKE-MT-001-20260713,SKU-BIKE-MT-001,MT-OP-060,Final Quality Control,60,MT-OP-050,MT-OP-070,WS-QC,Final Quality Control Station,M-QC-TOOLS-001,QC Inspection Tool Set,2026-07-13,2026-07-15,SHIFT-A,22.6647,115.5265,138.1912,0.0,True,False,False,PRECEDENCE_OK,MAINTENANCE_REVIEW,PHASE4_STEP8B_ADVISORY_PRODUCTION_SCHEDULE_CANDIDATES,True
PHASE4-MPS-20260711131832,PSC-SKU-BIKE-MT-001-20260713,SKU-BIKE-MT-001,MT-OP-070,Packaging,70,MT-OP-060,,WS-PACK,Packaging Station,M-PACK-BENCH-001,Packaging Bench and Tool Set,2026-07-13,2026-07-15,SHIFT-A,17.121,138.1912,155.3122,0.0,True,False,False,PRECEDENCE_OK,MAINTENANCE_REVIEW,PHASE4_STEP8B_ADVISORY_PRODUCTION_SCHEDULE_CANDIDATES,True
PHASE4-MPS-20260711131832,PSC-SKU-BIKE-MT-001-20260720,SKU-BIKE-MT-001,MT-OP-010,Frame Preparation,10,,MT-OP-020;MT-OP-030;MT-OP-040,WS-FRAME-PREP,Frame Preparation Station,M-FRAME-JIG-001,Frame Jig and Alignment Fixture,2026-07-20,2026-07-23,SHIFT-B,27.344,0.0,27.344,0.0,True,False,False,PRECEDENCE_OK,MAINTENANCE_REVIEW,PHASE4_STEP8B_ADVISORY_PRODUCTION_SCHEDULE_CANDIDATES,True
PHASE4-MPS-20260711131832,PSC-SKU-BIKE-MT-001-20260720,SKU-BIKE-MT-001,MT-OP-020,Fork and Suspension Prep,20,MT-OP-010,MT-OP-050,WS-FORK-SUSP,Fork and Suspension Prep Station,M-FORK-BENCH-001,Fork and Suspension Prep Bench,2026-07-20,2026-07-23,SHIFT-B,33.5408,27.344,60.8849,0.1376,False,True,False,PRECEDENCE_OK,MAINTENANCE_REVIEW,PHASE4_STEP8B_ADVISORY_PRODUCTION_SCHEDULE_CANDIDATES,True
PHASE4-MPS-20260711131832,PSC-SKU-BIKE-MT-001-20260720,SKU-BIKE-MT-001,MT-OP-030,Wheel Subassembly,30,MT-OP-010,MT-OP-050,WS-WHEEL-SUB,Wheel Subassembly Station,M-WHEEL-TRUE-001,Wheel Truing Stand,2026-07-20,2026-07-23,SHIFT-B,33.6785,27.344,61.0225,0.0,True,True,False,PRECEDENCE_OK,MAINTENANCE_REVIEW,PHASE4_STEP8B_ADVISORY_PRODUCTION_SCHEDULE_CANDIDATES,True
PHASE4-MPS-20260711131832,PSC-SKU-BIKE-MT-001-20260720,SKU-BIKE-MT-001,MT-OP-040,Brake Subassembly,40,MT-OP-010,MT-OP-050,WS-BRAKE-SUB,Brake Subassembly Station,M-BRAKE-BENCH-001,Brake Assembly Bench and Tooling,2026-07-20,2026-07-23,SHIFT-B,25.472,27.344,52.816,8.2064,False,True,False,PRECEDENCE_OK,MAINTENANCE_REVIEW,PHASE4_STEP8B_ADVISORY_PRODUCTION_SCHEDULE_CANDIDATES,True
PHASE4-MPS-20260711131832,PSC-SKU-BIKE-MT-001-20260720,SKU-BIKE-MT-001,MT-OP-050,Final Assembly,50,MT-OP-020;MT-OP-030;MT-OP-040,MT-OP-060,WS-FINAL-ASM,Final Assembly Station,M-FINAL-STAND-001,Final Assembly Stand,2026-07-20,2026-07-23,SHIFT-B,54.504,61.0225,115.5265,0.0,True,False,True,PRECEDENCE_OK,MAINTENANCE_REVIEW,PHASE4_STEP8B_ADVISORY_PRODUCTION_SCHEDULE_CANDIDATES,True
PHASE4-MPS-20260711131832,PSC-SKU-BIKE-MT-001-20260720,SKU-BIKE-MT-001,MT-OP-060,Final Quality Control,60,MT-OP-050,MT-OP-070,WS-QC,Final Quality Control Station,M-QC-TOOLS-001,QC Inspection Tool Set,2026-07-20,2026-07-23,SHIFT-B,22.6647,115.5265,138.1912,0.0,True,False,False,PRECEDENCE_OK,MAINTENANCE_REVIEW,PHASE4_STEP8B_ADVISORY_PRODUCTION_SCHEDULE_CANDIDATES,True
PHASE4-MPS-20260711131832,PSC-SKU-BIKE-MT-001-20260720,SKU-BIKE-MT-001,MT-OP-070,Packaging,70,MT-OP-060,,WS-PACK,Packaging Station,M-PACK-BENCH-001,Packaging Bench and Tool Set,2026-07-20,2026-07-23,SHIFT-B,17.121,138.1912,155.3122,0.0,True,False,False,PRECEDENCE_OK,MAINTENANCE_REVIEW,PHASE4_STEP8B_ADVISORY_PRODUCTION_SCHEDULE_CANDIDATES,True
PHASE4-MPS-20260711131832,PSC-SKU-BIKE-MT-001-20260727,SKU-BIKE-MT-001,MT-OP-010,Frame Preparation,10,,MT-OP-020;MT-OP-030;MT-OP-040,WS-FRAME-PREP,Frame Preparation Station,M-FRAME-JIG-001,Frame Jig and Alignment Fixture,2026-07-27,2026-07-31,SHIFT-A,27.344,0.0,27.344,0.0,True,False,False,PRECEDENCE_OK,MAINTENANCE_REVIEW,PHASE4_STEP8B_ADVISORY_PRODUCTION_SCHEDULE_CANDIDATES,True
PHASE4-MPS-20260711131832,PSC-SKU-BIKE-MT-001-20260727,SKU-BIKE-MT-001,MT-OP-020,Fork and Suspension Prep,20,MT-OP-010,MT-OP-050,WS-FORK-SUSP,Fork and Suspension Prep Station,M-FORK-BENCH-001,Fork and Suspension Prep Bench,2026-07-27,2026-07-31,SHIFT-A,33.5408,27.344,60.8849,0.1376,False,True,False,PRECEDENCE_OK,MAINTENANCE_REVIEW,PHASE4_STEP8B_ADVISORY_PRODUCTION_SCHEDULE_CANDIDATES,True
PHASE4-MPS-20260711131832,PSC-SKU-BIKE-MT-001-20260727,SKU-BIKE-MT-001,MT-OP-030,Wheel Subassembly,30,MT-OP-010,MT-OP-050,WS-WHEEL-SUB,Wheel Subassembly Station,M-WHEEL-TRUE-001,Wheel Truing Stand,2026-07-27,2026-07-31,SHIFT-A,33.6785,27.344,61.0225,0.0,True,True,False,PRECEDENCE_OK,MAINTENANCE_REVIEW,PHASE4_STEP8B_ADVISORY_PRODUCTION_SCHEDULE_CANDIDATES,True
