planning_run_id,finished_sku,operation_id,operation_name,workstation_id,machine_type_id,setup_family_id,setup_family_name,setup_sensitive_flag,batching_preferred_flag,critical_path_flag,bottleneck_risk_flag,queue_risk_flag,default_setup_time_minutes,setup_profile_status,source_phase,advisory_only_flag
PHASE4-MPS-20260726202343,SKU-BIKE-MT-001,MT-OP-010,Frame Preparation,WS-FRAME-PREP,FRAME_ALIGNMENT_FIXTURE,MTB_FRAME_PREP,Mountain Frame Prep,True,True,True,True,True,24.0,SETUP_PROFILE_READY,PHASE4_STEP8E_WIP_ACCESS_SETUP_CHANGEOVER_FOUNDATION,True
PHASE4-MPS-20260726202343,SKU-BIKE-MT-001,MT-OP-020,Fork and Suspension Prep,WS-FORK-SUSP,FORK_SUSPENSION_BENCH,FORK_PREP,Fork and Suspension Prep,True,True,False,True,True,16.0,SETUP_PROFILE_READY,PHASE4_STEP8E_WIP_ACCESS_SETUP_CHANGEOVER_FOUNDATION,True
PHASE4-MPS-20260726202343,SKU-BIKE-MT-001,MT-OP-030,Wheel Subassembly,WS-WHEEL-SUB,WHEEL_TRUING_STAND,MTB_WHEEL_SUBASSEMBLY,Mountain Wheel Subassembly,True,True,True,True,True,14.0,SETUP_PROFILE_READY,PHASE4_STEP8E_WIP_ACCESS_SETUP_CHANGEOVER_FOUNDATION,True
PHASE4-MPS-20260726202343,SKU-BIKE-MT-001,MT-OP-040,Brake Subassembly,WS-BRAKE-SUB,BRAKE_ASSEMBLY_TOOLS,MTB_BRAKE_SUBASSEMBLY,Mountain Brake Subassembly,True,True,False,True,True,12.0,SETUP_PROFILE_READY,PHASE4_STEP8E_WIP_ACCESS_SETUP_CHANGEOVER_FOUNDATION,True
PHASE4-MPS-20260726202343,SKU-BIKE-MT-001,MT-OP-050,Final Assembly,WS-FINAL-ASM,BIKE_ASSEMBLY_STAND,MTB_FINAL_ASSEMBLY,Mountain Final Assembly,True,True,True,True,True,22.0,SETUP_PROFILE_READY,PHASE4_STEP8E_WIP_ACCESS_SETUP_CHANGEOVER_FOUNDATION,True
PHASE4-MPS-20260726202343,SKU-BIKE-MT-001,MT-OP-060,Final Quality Control,WS-QC,INSPECTION_TOOLS,MTB_QC_TESTING,Mountain QC Testing,True,False,True,True,True,8.0,SETUP_PROFILE_READY,PHASE4_STEP8E_WIP_ACCESS_SETUP_CHANGEOVER_FOUNDATION,True
PHASE4-MPS-20260726202343,SKU-BIKE-MT-001,MT-OP-070,Packaging,WS-PACK,PACKAGING_TOOLS,MTB_PACKAGING,Mountain Packaging,False,True,True,True,True,6.0,SETUP_PROFILE_READY,PHASE4_STEP8E_WIP_ACCESS_SETUP_CHANGEOVER_FOUNDATION,True
PHASE4-MPS-20260726202343,SKU-BIKE-ROAD-001,ROAD-OP-010,Frame Preparation,WS-FRAME-PREP,FRAME_ALIGNMENT_FIXTURE,ROAD_FRAME_PREP,Road Frame Prep,True,True,True,True,True,20.0,SETUP_PROFILE_READY,PHASE4_STEP8E_WIP_ACCESS_SETUP_CHANGEOVER_FOUNDATION,True
PHASE4-MPS-20260726202343,SKU-BIKE-ROAD-001,ROAD-OP-020,Wheel Subassembly,WS-WHEEL-SUB,WHEEL_TRUING_STAND,ROAD_WHEEL_SUBASSEMBLY,Road Wheel Subassembly,True,True,True,True,True,12.0,SETUP_PROFILE_READY,PHASE4_STEP8E_WIP_ACCESS_SETUP_CHANGEOVER_FOUNDATION,True
PHASE4-MPS-20260726202343,SKU-BIKE-ROAD-001,ROAD-OP-030,Brake Subassembly,WS-BRAKE-SUB,BRAKE_ASSEMBLY_TOOLS,ROAD_BRAKE_SUBASSEMBLY,Road Brake Subassembly,True,True,False,True,True,10.0,SETUP_PROFILE_READY,PHASE4_STEP8E_WIP_ACCESS_SETUP_CHANGEOVER_FOUNDATION,True
PHASE4-MPS-20260726202343,SKU-BIKE-ROAD-001,ROAD-OP-040,Final Assembly,WS-FINAL-ASM,BIKE_ASSEMBLY_STAND,ROAD_FINAL_ASSEMBLY,Road Final Assembly,True,True,True,True,True,18.0,SETUP_PROFILE_READY,PHASE4_STEP8E_WIP_ACCESS_SETUP_CHANGEOVER_FOUNDATION,True
PHASE4-MPS-20260726202343,SKU-BIKE-ROAD-001,ROAD-OP-050,Final Quality Control,WS-QC,INSPECTION_TOOLS,ROAD_QC_TESTING,Road QC Testing,True,False,True,True,True,6.0,SETUP_PROFILE_READY,PHASE4_STEP8E_WIP_ACCESS_SETUP_CHANGEOVER_FOUNDATION,True
PHASE4-MPS-20260726202343,SKU-BIKE-ROAD-001,ROAD-OP-060,Packaging,WS-PACK,PACKAGING_TOOLS,ROAD_PACKAGING,Road Packaging,False,True,True,True,True,5.0,SETUP_PROFILE_READY,PHASE4_STEP8E_WIP_ACCESS_SETUP_CHANGEOVER_FOUNDATION,True
