planning_run_id,finished_sku,operation_id,operation_name,workstation_id,workstation_name,earliest_start_offset_minutes,earliest_finish_offset_minutes,latest_start_offset_minutes,latest_finish_offset_minutes,slack_time_minutes,slack_status,critical_path_flag,low_slack_warning_flag,bottleneck_visibility_level,queue_risk_level,operation_schedule_sensitivity,source_phase,advisory_only_flag
PHASE4-MPS-20260726202343,SKU-BIKE-MT-001,MT-OP-010,Frame Preparation,WS-FRAME-PREP,Frame Preparation Station,0.0,27.344,0.0,27.344,0.0,ZERO_SLACK_CRITICAL,True,False,CRITICAL,CRITICAL,CRITICAL_PATH_WITH_CAPACITY_OR_QUEUE_RISK,PHASE4_STEP8A_ROUTING_GRAPH_ANALYSIS,True
PHASE4-MPS-20260726202343,SKU-BIKE-MT-001,MT-OP-020,Fork and Suspension Prep,WS-FORK-SUSP,Fork and Suspension Prep Station,27.344,60.8849,27.4816,61.0225,0.137604,LOW_SLACK_WARNING,False,True,HIGH,HIGH,LOW_SLACK_REVIEW,PHASE4_STEP8A_ROUTING_GRAPH_ANALYSIS,True
PHASE4-MPS-20260726202343,SKU-BIKE-MT-001,MT-OP-030,Wheel Subassembly,WS-WHEEL-SUB,Wheel Subassembly Station,27.344,61.0225,27.344,61.0225,0.0,ZERO_SLACK_CRITICAL,True,False,CRITICAL,CRITICAL,CRITICAL_PATH_WITH_CAPACITY_OR_QUEUE_RISK,PHASE4_STEP8A_ROUTING_GRAPH_ANALYSIS,True
PHASE4-MPS-20260726202343,SKU-BIKE-MT-001,MT-OP-040,Brake Subassembly,WS-BRAKE-SUB,Brake Subassembly Station,27.344,52.816,35.5505,61.0225,8.206437,LOW_SLACK_WARNING,False,True,CRITICAL,CRITICAL,LOW_SLACK_REVIEW,PHASE4_STEP8A_ROUTING_GRAPH_ANALYSIS,True
PHASE4-MPS-20260726202343,SKU-BIKE-MT-001,MT-OP-050,Final Assembly,WS-FINAL-ASM,Final Assembly Station,61.0225,115.5265,61.0225,115.5265,0.0,ZERO_SLACK_CRITICAL,True,False,CRITICAL,CRITICAL,CRITICAL_PATH_WITH_CAPACITY_OR_QUEUE_RISK,PHASE4_STEP8A_ROUTING_GRAPH_ANALYSIS,True
PHASE4-MPS-20260726202343,SKU-BIKE-MT-001,MT-OP-060,Final Quality Control,WS-QC,Final Quality Control Station,115.5265,138.1912,115.5265,138.1912,0.0,ZERO_SLACK_CRITICAL,True,False,HIGH,HIGH,CRITICAL_PATH_OPERATION,PHASE4_STEP8A_ROUTING_GRAPH_ANALYSIS,True
PHASE4-MPS-20260726202343,SKU-BIKE-MT-001,MT-OP-070,Packaging,WS-PACK,Packaging Station,138.1912,155.3122,138.1912,155.3122,0.0,ZERO_SLACK_CRITICAL,True,False,HIGH,HIGH,CRITICAL_PATH_OPERATION,PHASE4_STEP8A_ROUTING_GRAPH_ANALYSIS,True
PHASE4-MPS-20260726202343,SKU-BIKE-ROAD-001,ROAD-OP-010,Frame Preparation,WS-FRAME-PREP,Frame Preparation Station,0.0,23.2221,0.0,23.2221,0.0,ZERO_SLACK_CRITICAL,True,False,CRITICAL,CRITICAL,CRITICAL_PATH_WITH_CAPACITY_OR_QUEUE_RISK,PHASE4_STEP8A_ROUTING_GRAPH_ANALYSIS,True
PHASE4-MPS-20260726202343,SKU-BIKE-ROAD-001,ROAD-OP-020,Wheel Subassembly,WS-WHEEL-SUB,Wheel Subassembly Station,23.2221,52.4383,23.2221,52.4383,0.0,ZERO_SLACK_CRITICAL,True,False,CRITICAL,CRITICAL,CRITICAL_PATH_WITH_CAPACITY_OR_QUEUE_RISK,PHASE4_STEP8A_ROUTING_GRAPH_ANALYSIS,True
PHASE4-MPS-20260726202343,SKU-BIKE-ROAD-001,ROAD-OP-030,Brake Subassembly,WS-BRAKE-SUB,Brake Subassembly Station,23.2221,44.6131,31.0473,52.4383,7.825185,LOW_SLACK_WARNING,False,True,CRITICAL,CRITICAL,LOW_SLACK_REVIEW,PHASE4_STEP8A_ROUTING_GRAPH_ANALYSIS,True
PHASE4-MPS-20260726202343,SKU-BIKE-ROAD-001,ROAD-OP-040,Final Assembly,WS-FINAL-ASM,Final Assembly Station,52.4383,97.7092,52.4383,97.7092,0.0,ZERO_SLACK_CRITICAL,True,False,CRITICAL,CRITICAL,CRITICAL_PATH_WITH_CAPACITY_OR_QUEUE_RISK,PHASE4_STEP8A_ROUTING_GRAPH_ANALYSIS,True
PHASE4-MPS-20260726202343,SKU-BIKE-ROAD-001,ROAD-OP-050,Final Quality Control,WS-QC,Final Quality Control Station,97.7092,116.2758,97.7092,116.2758,0.0,ZERO_SLACK_CRITICAL,True,False,HIGH,HIGH,CRITICAL_PATH_OPERATION,PHASE4_STEP8A_ROUTING_GRAPH_ANALYSIS,True
PHASE4-MPS-20260726202343,SKU-BIKE-ROAD-001,ROAD-OP-060,Packaging,WS-PACK,Packaging Station,116.2758,131.3614,116.2758,131.3614,0.0,ZERO_SLACK_CRITICAL,True,False,HIGH,HIGH,CRITICAL_PATH_OPERATION,PHASE4_STEP8A_ROUTING_GRAPH_ANALYSIS,True
