review_item_id,planning_run_id,schedule_candidate_id,finished_sku,operation_id,issue_type,issue_severity,issue_description,recommended_review_action,auto_action_allowed,advisory_only_flag
PSR-0001,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-MT-001-20260629,SKU-BIKE-MT-001,,CAPACITY_BLOCKED_SCHEDULE_CANDIDATE,HIGH,Capacity feasibility blocks or requires review for one or more operations.,REVIEW_WORKSTATION_CAPACITY,False,True
PSR-0002,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-MT-001-20260629,SKU-BIKE-MT-001,,MAINTENANCE_BLOCKED_SCHEDULE_CANDIDATE,HIGH,Maintenance feasibility or machine availability risk blocks or requires review.,REVIEW_MAINTENANCE_WINDOW,False,True
PSR-0003,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-MT-001-20260629,SKU-BIKE-MT-001,,CRITICAL_PATH_SCHEDULE_RISK,MEDIUM,Candidate contains zero/low-slack critical-path operations.,REVIEW_CRITICAL_PATH_SEQUENCE,False,True
PSR-0004,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-MT-001-20260629,SKU-BIKE-MT-001,,BOTTLENECK_SCHEDULE_RISK,HIGH,Candidate touches high/critical bottleneck visibility workstations.,REVIEW_BOTTLENECK_CAPACITY,False,True
PSR-0005,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-MT-001-20260629,SKU-BIKE-MT-001,,QUEUE_RISK_SCHEDULE_CANDIDATE,HIGH,Candidate touches high/critical estimated queue-risk workstations.,REVIEW_QUEUE_PRESSURE,False,True
PSR-0006,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-MT-001-20260629,SKU-BIKE-MT-001,,MULTI_BLOCKED_SCHEDULE_CANDIDATE,CRITICAL,Candidate has multiple blocker layers.,REVIEW_BEFORE_ACTION,False,True
PSR-0007,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-MT-001-20260706,SKU-BIKE-MT-001,,CAPACITY_BLOCKED_SCHEDULE_CANDIDATE,HIGH,Capacity feasibility blocks or requires review for one or more operations.,REVIEW_WORKSTATION_CAPACITY,False,True
PSR-0008,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-MT-001-20260706,SKU-BIKE-MT-001,,MAINTENANCE_BLOCKED_SCHEDULE_CANDIDATE,HIGH,Maintenance feasibility or machine availability risk blocks or requires review.,REVIEW_MAINTENANCE_WINDOW,False,True
PSR-0009,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-MT-001-20260706,SKU-BIKE-MT-001,,CRITICAL_PATH_SCHEDULE_RISK,MEDIUM,Candidate contains zero/low-slack critical-path operations.,REVIEW_CRITICAL_PATH_SEQUENCE,False,True
PSR-0010,PHASE4-MPS-20260711134649,PSC-SKU-BIKE-MT-001-20260706,SKU-BIKE-MT-001,,BOTTLENECK_SCHEDULE_RISK,HIGH,Candidate touches high/critical bottleneck visibility workstations.,REVIEW_BOTTLENECK_CAPACITY,False,True
