planning_run_id,period_start,period_end,finished_sku,finished_product_name,operation_id,operation_name,workstation_id,workstation_name,units_processed,defect_count,rework_count,scrap_count,avg_processing_time_minutes,standard_processing_time_minutes,defect_rate,rework_rate,scrap_rate,processing_time_variance_pct,data_source_type,advisory_only_flag
PHASE4-MPS-20260706124809,2026-03-02,2026-03-08,SKU-BIKE-ROAD-001,Road Bike,ROAD-OP-010,Frame Preparation,WS-FRAME-PREP,Frame Preparation Station,42,2,1,0,19.0,18,0.047619047619047616,0.023809523809523808,0.0,0.05555555555555558,SYNTHETIC_PLANNING_HISTORY,True
PHASE4-MPS-20260706124809,2026-03-09,2026-03-15,SKU-BIKE-ROAD-001,Road Bike,ROAD-OP-010,Frame Preparation,WS-FRAME-PREP,Frame Preparation Station,44,2,1,0,18.7,18,0.045454545454545456,0.022727272727272728,0.0,0.03888888888888875,SYNTHETIC_PLANNING_HISTORY,True
PHASE4-MPS-20260706124809,2026-03-16,2026-03-22,SKU-BIKE-ROAD-001,Road Bike,ROAD-OP-010,Frame Preparation,WS-FRAME-PREP,Frame Preparation Station,46,1,1,0,18.3,18,0.021739130434782608,0.021739130434782608,0.0,0.016666666666666607,SYNTHETIC_PLANNING_HISTORY,True
PHASE4-MPS-20260706124809,2026-03-23,2026-03-29,SKU-BIKE-ROAD-001,Road Bike,ROAD-OP-010,Frame Preparation,WS-FRAME-PREP,Frame Preparation Station,48,1,0,0,18.1,18,0.020833333333333332,0.0,0.0,0.005555555555555536,SYNTHETIC_PLANNING_HISTORY,True
PHASE4-MPS-20260706124809,2026-03-02,2026-03-08,SKU-BIKE-ROAD-001,Road Bike,ROAD-OP-020,Wheel Subassembly,WS-WHEEL-SUB,Wheel Subassembly Station,42,2,1,0,22.4,22,0.047619047619047616,0.023809523809523808,0.0,0.018181818181818077,SYNTHETIC_PLANNING_HISTORY,True
PHASE4-MPS-20260706124809,2026-03-09,2026-03-15,SKU-BIKE-ROAD-001,Road Bike,ROAD-OP-020,Wheel Subassembly,WS-WHEEL-SUB,Wheel Subassembly Station,44,2,1,0,22.7,22,0.045454545454545456,0.022727272727272728,0.0,0.031818181818181746,SYNTHETIC_PLANNING_HISTORY,True
PHASE4-MPS-20260706124809,2026-03-16,2026-03-22,SKU-BIKE-ROAD-001,Road Bike,ROAD-OP-020,Wheel Subassembly,WS-WHEEL-SUB,Wheel Subassembly Station,46,3,2,0,23.4,22,0.06521739130434782,0.043478260869565216,0.0,0.06363636363636349,SYNTHETIC_PLANNING_HISTORY,True
PHASE4-MPS-20260706124809,2026-03-23,2026-03-29,SKU-BIKE-ROAD-001,Road Bike,ROAD-OP-020,Wheel Subassembly,WS-WHEEL-SUB,Wheel Subassembly Station,48,4,2,1,24.0,22,0.08333333333333333,0.041666666666666664,0.020833333333333332,0.09090909090909083,SYNTHETIC_PLANNING_HISTORY,True
PHASE4-MPS-20260706124809,2026-03-02,2026-03-08,SKU-BIKE-ROAD-001,Road Bike,ROAD-OP-030,Brake Subassembly,WS-BRAKE-SUB,Brake Subassembly Station,42,1,1,0,16.3,16,0.023809523809523808,0.023809523809523808,0.0,0.018750000000000044,SYNTHETIC_PLANNING_HISTORY,True
PHASE4-MPS-20260706124809,2026-03-09,2026-03-15,SKU-BIKE-ROAD-001,Road Bike,ROAD-OP-030,Brake Subassembly,WS-BRAKE-SUB,Brake Subassembly Station,44,1,1,0,16.1,16,0.022727272727272728,0.022727272727272728,0.0,0.006250000000000089,SYNTHETIC_PLANNING_HISTORY,True
