review_item_id,planning_run_id,period_start,period_end,workstation_id,workstation_name,operation_id,issue_type,issue_severity,issue_description,recommended_review_action,auto_action_allowed,advisory_only_flag
QAC-REV-0001,PHASE4-MPS-20260701125813,2026-06-29,2026-07-05,WS-FRAME-PREP,Frame Preparation Station,MT-OP-010,LARGE_OTHER_DEFECT_DISPOSITION,MEDIUM,defect_rate=0.0400; rework_hours=0.20; processing_trend=IMPROVING; adjusted_hours=19.29,REVIEW_QUALITY_REWORK_AND_PROCESSING_TIME,False,True
QAC-REV-0002,PHASE4-MPS-20260701125813,2026-06-29,2026-07-05,WS-FORK-SUSP,Fork and Suspension Prep Station,MT-OP-020,HIGH_EXPECTED_LOSS_UNITS,HIGH,defect_rate=0.0500; rework_hours=0.50; processing_trend=WORSENING; adjusted_hours=23.58,REVIEW_QUALITY_REWORK_AND_PROCESSING_TIME,False,True
QAC-REV-0003,PHASE4-MPS-20260701125813,2026-06-29,2026-07-05,WS-WHEEL-SUB,Wheel Subassembly Station,MT-OP-030,HIGH_EXPECTED_LOSS_UNITS,HIGH,defect_rate=0.0500; rework_hours=0.42; processing_trend=WORSENING; adjusted_hours=23.66,REVIEW_QUALITY_REWORK_AND_PROCESSING_TIME,False,True
QAC-REV-0004,PHASE4-MPS-20260701125813,2026-06-29,2026-07-05,WS-FINAL-ASM,Final Assembly Station,MT-OP-050,HIGH_EXPECTED_LOSS_UNITS,HIGH,defect_rate=0.0700; rework_hours=1.01; processing_trend=WORSENING; adjusted_hours=38.30,REVIEW_QUALITY_REWORK_AND_PROCESSING_TIME,False,True
QAC-REV-0005,PHASE4-MPS-20260701125813,2026-06-29,2026-07-05,WS-QC,Final Quality Control Station,MT-OP-060,HIGH_EXPECTED_LOSS_UNITS,MEDIUM,defect_rate=0.0450; rework_hours=0.38; processing_trend=STABLE; adjusted_hours=15.91,REVIEW_QUALITY_REWORK_AND_PROCESSING_TIME,False,True
QAC-REV-0006,PHASE4-MPS-20260701125813,2026-06-29,2026-07-05,WS-PACK,Packaging Station,MT-OP-070,LARGE_OTHER_DEFECT_DISPOSITION,MEDIUM,defect_rate=0.0200; rework_hours=0.02; processing_trend=STABLE; adjusted_hours=12.02,REVIEW_QUALITY_REWORK_AND_PROCESSING_TIME,False,True
QAC-REV-0007,PHASE4-MPS-20260701125813,2026-07-06,2026-07-12,WS-FRAME-PREP,Frame Preparation Station,MT-OP-010,HIGH_EXPECTED_LOSS_UNITS,MEDIUM,defect_rate=0.0400; rework_hours=0.36; processing_trend=IMPROVING; adjusted_hours=35.04,REVIEW_QUALITY_REWORK_AND_PROCESSING_TIME,False,True
QAC-REV-0008,PHASE4-MPS-20260701125813,2026-07-06,2026-07-12,WS-FORK-SUSP,Fork and Suspension Prep Station,MT-OP-020,HIGH_EXPECTED_LOSS_UNITS,HIGH,defect_rate=0.0500; rework_hours=0.92; processing_trend=WORSENING; adjusted_hours=43.00,REVIEW_QUALITY_REWORK_AND_PROCESSING_TIME,False,True
QAC-REV-0009,PHASE4-MPS-20260701125813,2026-07-06,2026-07-12,WS-WHEEL-SUB,Wheel Subassembly Station,MT-OP-030,HIGH_EXPECTED_LOSS_UNITS,HIGH,defect_rate=0.0500; rework_hours=0.77; processing_trend=WORSENING; adjusted_hours=43.18,REVIEW_QUALITY_REWORK_AND_PROCESSING_TIME,False,True
QAC-REV-0010,PHASE4-MPS-20260701125813,2026-07-06,2026-07-12,WS-BRAKE-SUB,Brake Subassembly Station,MT-OP-040,HIGH_EXPECTED_LOSS_UNITS,MEDIUM,defect_rate=0.0350; rework_hours=0.38; processing_trend=STABLE; adjusted_hours=32.66,REVIEW_QUALITY_REWORK_AND_PROCESSING_TIME,False,True
QAC-REV-0011,PHASE4-MPS-20260701125813,2026-07-06,2026-07-12,WS-FINAL-ASM,Final Assembly Station,MT-OP-050,HIGH_EXPECTED_LOSS_UNITS,HIGH,defect_rate=0.0700; rework_hours=1.85; processing_trend=WORSENING; adjusted_hours=69.88,REVIEW_QUALITY_REWORK_AND_PROCESSING_TIME,False,True
