planning_run_id,review_item_id,workstation_id,workstation_name,operation_id,issue_type,issue_severity,issue_description,recommended_review_action,auto_action_allowed,advisory_only_flag
PHASE4-MPS-20260711131832,QLT-REV-0001,WS-FORK-SUSP,Fork and Suspension Prep Station,MT-OP-020,QUALITY_TREND_WORSENING,HIGH,defect_rate_trend=WORSENING; rework_rate_trend=WORSENING; scrap_rate_trend=WORSENING,REVIEW_DEFECT_REWORK_SCRAP_TRENDS,False,True
PHASE4-MPS-20260711131832,QLT-REV-0002,WS-WHEEL-SUB,Wheel Subassembly Station,MT-OP-030,QUALITY_TREND_WORSENING,HIGH,defect_rate_trend=WORSENING; rework_rate_trend=WORSENING; scrap_rate_trend=WORSENING,REVIEW_DEFECT_REWORK_SCRAP_TRENDS,False,True
PHASE4-MPS-20260711131832,QLT-REV-0003,WS-FINAL-ASM,Final Assembly Station,MT-OP-050,QUALITY_TREND_WORSENING,HIGH,defect_rate_trend=WORSENING; rework_rate_trend=WORSENING; scrap_rate_trend=WORSENING,REVIEW_DEFECT_REWORK_SCRAP_TRENDS,False,True
PHASE4-MPS-20260711131832,QLT-REV-0004,WS-WHEEL-SUB,Wheel Subassembly Station,ROAD-OP-020,QUALITY_TREND_WORSENING,HIGH,defect_rate_trend=WORSENING; rework_rate_trend=WORSENING; scrap_rate_trend=WORSENING,REVIEW_DEFECT_REWORK_SCRAP_TRENDS,False,True
PHASE4-MPS-20260711131832,QLT-REV-0005,WS-FINAL-ASM,Final Assembly Station,ROAD-OP-040,QUALITY_TREND_WORSENING,HIGH,defect_rate_trend=WORSENING; rework_rate_trend=WORSENING; scrap_rate_trend=WORSENING,REVIEW_DEFECT_REWORK_SCRAP_TRENDS,False,True
PHASE4-MPS-20260711131832,QLT-REV-0006,WS-FINAL-ASM,Final Assembly Station,,PROCESSING_TIME_WORSENING,HIGH,Average processing time variance increased in recent planning-history periods.,REVIEW_WORKSTATION_METHOD_AND_STANDARD_TIME,False,True
PHASE4-MPS-20260711131832,QLT-REV-0007,WS-FORK-SUSP,Fork and Suspension Prep Station,,PROCESSING_TIME_WORSENING,HIGH,Average processing time variance increased in recent planning-history periods.,REVIEW_WORKSTATION_METHOD_AND_STANDARD_TIME,False,True
PHASE4-MPS-20260711131832,QLT-REV-0008,WS-WHEEL-SUB,Wheel Subassembly Station,,PROCESSING_TIME_WORSENING,HIGH,Average processing time variance increased in recent planning-history periods.,REVIEW_WORKSTATION_METHOD_AND_STANDARD_TIME,False,True
PHASE4-MPS-20260711131832,QLT-REV-0009,WS-FINAL-ASM,Final Assembly Station,,CAPACITY_RISK_TREND_WORSENING,HIGH,Capacity risk trend is worsening for Final Assembly Station.,REVIEW_CAPACITY_RISK_AND_QUALITY_DRIVERS,False,True
PHASE4-MPS-20260711131832,QLT-REV-0010,WS-FORK-SUSP,Fork and Suspension Prep Station,,CAPACITY_RISK_TREND_WORSENING,HIGH,Capacity risk trend is worsening for Fork and Suspension Prep Station.,REVIEW_CAPACITY_RISK_AND_QUALITY_DRIVERS,False,True
PHASE4-MPS-20260711131832,QLT-REV-0011,WS-WHEEL-SUB,Wheel Subassembly Station,,CAPACITY_RISK_TREND_WORSENING,HIGH,Capacity risk trend is worsening for Wheel Subassembly Station.,REVIEW_CAPACITY_RISK_AND_QUALITY_DRIVERS,False,True
