planning_run_id,finished_sku,operation_id,operation_name,workstation_id,workstation_name,periods_observed,total_units_processed,avg_defect_rate,avg_rework_rate,avg_scrap_rate,defect_rate_trend,rework_rate_trend,scrap_rate_trend,quality_trend_overall,trend_reason,data_source_type,advisory_only_flag
PHASE4-MPS-20260630135450,SKU-BIKE-MT-001,MT-OP-010,Frame Preparation,WS-FRAME-PREP,Frame Preparation Station,4,156,0.03924916457811194,0.0197733918128655,0.0,IMPROVING,IMPROVING,STABLE,STABLE,defect_rate_trend=IMPROVING; rework_rate_trend=IMPROVING; scrap_rate_trend=STABLE,SYNTHETIC_PLANNING_HISTORY,True
PHASE4-MPS-20260630135450,SKU-BIKE-MT-001,MT-OP-020,Fork and Suspension Prep,WS-FORK-SUSP,Fork and Suspension Prep Station,4,156,0.0696063074352548,0.04388053467000835,0.005952380952380952,WORSENING,WORSENING,WORSENING,WORSENING,defect_rate_trend=WORSENING; rework_rate_trend=WORSENING; scrap_rate_trend=WORSENING,SYNTHETIC_PLANNING_HISTORY,True
PHASE4-MPS-20260630135450,SKU-BIKE-MT-001,MT-OP-030,Wheel Subassembly,WS-WHEEL-SUB,Wheel Subassembly Station,4,156,0.0696063074352548,0.050459482038429405,0.005952380952380952,WORSENING,WORSENING,WORSENING,WORSENING,defect_rate_trend=WORSENING; rework_rate_trend=WORSENING; scrap_rate_trend=WORSENING,SYNTHETIC_PLANNING_HISTORY,True
PHASE4-MPS-20260630135450,SKU-BIKE-MT-001,MT-OP-040,Brake Subassembly,WS-BRAKE-SUB,Brake Subassembly Station,4,156,0.02572577276524645,0.013523391812865496,0.0,STABLE,IMPROVING,STABLE,STABLE,defect_rate_trend=STABLE; rework_rate_trend=IMPROVING; scrap_rate_trend=STABLE,SYNTHETIC_PLANNING_HISTORY,True
PHASE4-MPS-20260630135450,SKU-BIKE-MT-001,MT-OP-050,Final Assembly,WS-FINAL-ASM,Final Assembly Station,4,156,0.12006578947368421,0.0883876357560568,0.0316781537176274,WORSENING,WORSENING,WORSENING,WORSENING,defect_rate_trend=WORSENING; rework_rate_trend=WORSENING; scrap_rate_trend=WORSENING,SYNTHETIC_PLANNING_HISTORY,True
PHASE4-MPS-20260630135450,SKU-BIKE-MT-001,MT-OP-060,Final Quality Control,WS-QC,Final Quality Control Station,4,156,0.03924916457811194,0.0197733918128655,0.0,IMPROVING,IMPROVING,STABLE,STABLE,defect_rate_trend=IMPROVING; rework_rate_trend=IMPROVING; scrap_rate_trend=STABLE,SYNTHETIC_PLANNING_HISTORY,True
PHASE4-MPS-20260630135450,SKU-BIKE-MT-001,MT-OP-070,Packaging,WS-PACK,Packaging Station,4,156,0.02572577276524645,0.0,0.0,STABLE,STABLE,STABLE,STABLE,defect_rate_trend=STABLE; rework_rate_trend=STABLE; scrap_rate_trend=STABLE,SYNTHETIC_PLANNING_HISTORY,True
PHASE4-MPS-20260630135450,SKU-BIKE-ROAD-001,ROAD-OP-010,Frame Preparation,WS-FRAME-PREP,Frame Preparation Station,4,180,0.033911514210427256,0.017068981742894784,0.0,IMPROVING,IMPROVING,STABLE,STABLE,defect_rate_trend=IMPROVING; rework_rate_trend=IMPROVING; scrap_rate_trend=STABLE,SYNTHETIC_PLANNING_HISTORY,True
PHASE4-MPS-20260630135450,SKU-BIKE-ROAD-001,ROAD-OP-020,Wheel Subassembly,WS-WHEEL-SUB,Wheel Subassembly Station,4,180,0.06040607942781856,0.032920431018257104,0.005208333333333333,WORSENING,WORSENING,WORSENING,WORSENING,defect_rate_trend=WORSENING; rework_rate_trend=WORSENING; scrap_rate_trend=WORSENING,SYNTHETIC_PLANNING_HISTORY,True
PHASE4-MPS-20260630135450,SKU-BIKE-ROAD-001,ROAD-OP-030,Brake Subassembly,WS-BRAKE-SUB,Brake Subassembly Station,4,180,0.022277315076228116,0.011634199134199134,0.0,STABLE,IMPROVING,STABLE,STABLE,defect_rate_trend=STABLE; rework_rate_trend=IMPROVING; scrap_rate_trend=STABLE,SYNTHETIC_PLANNING_HISTORY,True
PHASE4-MPS-20260630135450,SKU-BIKE-ROAD-001,ROAD-OP-040,Final Assembly,WS-FINAL-ASM,Final Assembly Station,4,180,0.10421666196122717,0.07673101355166573,0.02748564840956145,WORSENING,WORSENING,WORSENING,WORSENING,defect_rate_trend=WORSENING; rework_rate_trend=WORSENING; scrap_rate_trend=WORSENING,SYNTHETIC_PLANNING_HISTORY,True
PHASE4-MPS-20260630135450,SKU-BIKE-ROAD-001,ROAD-OP-050,Final Quality Control,WS-QC,Final Quality Control Station,4,180,0.039346296819122904,0.022277315076228116,0.0,IMPROVING,STABLE,STABLE,STABLE,defect_rate_trend=IMPROVING; rework_rate_trend=STABLE; scrap_rate_trend=STABLE,SYNTHETIC_PLANNING_HISTORY,True
PHASE4-MPS-20260630135450,SKU-BIKE-ROAD-001,ROAD-OP-060,Packaging,WS-PACK,Packaging Station,4,180,0.022277315076228116,0.0,0.0,STABLE,STABLE,STABLE,STABLE,defect_rate_trend=STABLE; rework_rate_trend=STABLE; scrap_rate_trend=STABLE,SYNTHETIC_PLANNING_HISTORY,True
