planning_run_id,queue_review_item_id,period_start,period_end,workstation_id,workstation_name,queue_issue_type,queue_issue_severity,estimated_queue_pressure_score,estimated_queue_pressure_level,estimated_wip_risk_level,queue_issue_description,suggested_review_action,auto_action_allowed,advisory_only_flag
PHASE4-MPS-20260630135450,QUEUE-REV-0001,2026-06-29,2026-07-05,WS-FRAME-PREP,Frame Preparation Station,WORKSTATION_OVERLOAD_QUEUE_RISK,HIGH,60.0,HIGH,HIGH,Frame Preparation Station has HIGH estimated queue pressure from HIGH_UTILIZATION_WITH_NEGATIVE_CAPACITY_GAP.,REVIEW_WORKSTATION_CALENDAR,False,True
PHASE4-MPS-20260630135450,QUEUE-REV-0002,2026-06-29,2026-07-05,WS-WHEEL-SUB,Wheel Subassembly Station,WORKSTATION_OVERLOAD_QUEUE_RISK,HIGH,60.0,HIGH,HIGH,Wheel Subassembly Station has HIGH estimated queue pressure from HIGH_UTILIZATION_WITH_NEGATIVE_CAPACITY_GAP.,REVIEW_WORKSTATION_CALENDAR,False,True
PHASE4-MPS-20260630135450,QUEUE-REV-0003,2026-06-29,2026-07-05,WS-BRAKE-SUB,Brake Subassembly Station,WORKSTATION_OVERLOAD_QUEUE_RISK,HIGH,60.0,HIGH,HIGH,Brake Subassembly Station has HIGH estimated queue pressure from HIGH_UTILIZATION_WITH_NEGATIVE_CAPACITY_GAP.,REVIEW_WORKSTATION_CALENDAR,False,True
PHASE4-MPS-20260630135450,QUEUE-REV-0004,2026-06-29,2026-07-05,WS-FINAL-ASM,Final Assembly Station,WORKSTATION_OVERLOAD_QUEUE_RISK,CRITICAL,115.0,CRITICAL,CRITICAL,Final Assembly Station has CRITICAL estimated queue pressure from PARALLEL_BRANCH_JOIN_PRESSURE.,REVIEW_PARALLEL_BRANCH_BALANCE,False,True
PHASE4-MPS-20260630135450,QUEUE-REV-0005,2026-07-06,2026-07-12,WS-FRAME-PREP,Frame Preparation Station,LABOR_STRESS_QUEUE_RISK,CRITICAL,100.0,CRITICAL,CRITICAL,Frame Preparation Station has CRITICAL estimated queue pressure from WORKSTATION_OVERLOAD_AND_LABOR_STRESS.,REVIEW_LABOR_STRESS,False,True
PHASE4-MPS-20260630135450,QUEUE-REV-0006,2026-07-06,2026-07-12,WS-WHEEL-SUB,Wheel Subassembly Station,WORKSTATION_OVERLOAD_QUEUE_RISK,CRITICAL,100.0,CRITICAL,CRITICAL,Wheel Subassembly Station has CRITICAL estimated queue pressure from HIGH_UTILIZATION_WITH_NEGATIVE_CAPACITY_GAP.,REVIEW_WORKSTATION_CALENDAR,False,True
PHASE4-MPS-20260630135450,QUEUE-REV-0007,2026-07-06,2026-07-12,WS-BRAKE-SUB,Brake Subassembly Station,LABOR_STRESS_QUEUE_RISK,CRITICAL,100.0,CRITICAL,CRITICAL,Brake Subassembly Station has CRITICAL estimated queue pressure from WORKSTATION_OVERLOAD_AND_LABOR_STRESS.,REVIEW_LABOR_STRESS,False,True
PHASE4-MPS-20260630135450,QUEUE-REV-0008,2026-07-06,2026-07-12,WS-FORK-SUSP,Fork and Suspension Prep Station,WORKSTATION_OVERLOAD_QUEUE_RISK,HIGH,60.0,HIGH,HIGH,Fork and Suspension Prep Station has HIGH estimated queue pressure from HIGH_UTILIZATION_WITH_NEGATIVE_CAPACITY_GAP.,REVIEW_WORKSTATION_CALENDAR,False,True
PHASE4-MPS-20260630135450,QUEUE-REV-0009,2026-07-06,2026-07-12,WS-FINAL-ASM,Final Assembly Station,LABOR_STRESS_QUEUE_RISK,CRITICAL,185.0,CRITICAL,CRITICAL,Final Assembly Station has CRITICAL estimated queue pressure from WORKSTATION_OVERLOAD_AND_LABOR_STRESS.,REVIEW_LABOR_STRESS,False,True
PHASE4-MPS-20260630135450,QUEUE-REV-0010,2026-07-06,2026-07-12,WS-QC,Final Quality Control Station,WORKSTATION_OVERLOAD_QUEUE_RISK,HIGH,80.0,HIGH,HIGH,Final Quality Control Station has HIGH estimated queue pressure from HIGH_UTILIZATION_WITH_NEGATIVE_CAPACITY_GAP.,REVIEW_WORKSTATION_CALENDAR,False,True
