planning_run_id,period_start,period_end,workstation_id,workstation_name,workstation_capacity_status,workstation_utilization_pct,total_required_hours,available_hours,capacity_gap_hours,overload_flag,near_capacity_flag,labor_high_utilization_warning_flag,machine_constraint_flag,labor_constraint_flag,workstation_capacity_basis,routing_join_pressure_flag,parallel_merge_pressure_flag,upstream_parallel_operation_count,downstream_join_operation_count,estimated_queue_pressure_score,estimated_queue_pressure_level,estimated_wip_risk_level,queue_risk_reason,queue_measurement_type,actual_queue_length_available_flag,actual_wait_time_available_flag,queue_supported_flag,future_actual_queue_tracking_flag,source_phase,advisory_only_flag
PHASE4-MPS-20260628102440,2026-06-29,2026-07-05,WS-FRAME-PREP,Frame Preparation Station,OVERLOADED,111.2408735632184,40.32481666666666,36.25,-4.074816666666663,True,False,False,False,False,SINGLE_STATION_CALENDAR,False,False,0,0,60.0,HIGH,HIGH,HIGH_UTILIZATION_WITH_NEGATIVE_CAPACITY_GAP,ESTIMATED_FROM_CAPACITY_PLAN,False,False,True,True,PHASE4_STEP5A_ESTIMATED_QUEUE_PRESSURE,True
PHASE4-MPS-20260628102440,2026-06-29,2026-07-05,WS-WHEEL-SUB,Wheel Subassembly Station,OVERLOADED,128.06496551724138,46.42355,36.25,-10.17355,True,False,False,False,False,SINGLE_STATION_CALENDAR,False,False,0,0,60.0,HIGH,HIGH,HIGH_UTILIZATION_WITH_NEGATIVE_CAPACITY_GAP,ESTIMATED_FROM_CAPACITY_PLAN,False,False,True,True,PHASE4_STEP5A_ESTIMATED_QUEUE_PRESSURE,True
PHASE4-MPS-20260628102440,2026-06-29,2026-07-05,WS-BRAKE-SUB,Brake Subassembly Station,OVERLOADED,101.40354022988504,36.75878333333333,36.25,-0.5087833333333265,True,False,False,False,False,SINGLE_STATION_CALENDAR,False,False,0,0,60.0,HIGH,HIGH,HIGH_UTILIZATION_WITH_NEGATIVE_CAPACITY_GAP,ESTIMATED_FROM_CAPACITY_PLAN,False,False,True,True,PHASE4_STEP5A_ESTIMATED_QUEUE_PRESSURE,True
PHASE4-MPS-20260628102440,2026-06-29,2026-07-05,WS-FORK-SUSP,Fork and Suspension Prep Station,FEASIBLE,60.57133333333332,21.95710833333333,36.25,14.29289166666667,False,False,False,False,False,SINGLE_STATION_CALENDAR,False,False,0,0,0.0,LOW,LOW,NO_SIGNIFICANT_QUEUE_PRESSURE,ESTIMATED_FROM_CAPACITY_PLAN,False,False,True,True,PHASE4_STEP5A_ESTIMATED_QUEUE_PRESSURE,True
PHASE4-MPS-20260628102440,2026-06-29,2026-07-05,WS-FINAL-ASM,Final Assembly Station,OVERLOADED,193.7973333333333,70.25153333333333,36.25,-34.00153333333333,True,False,False,False,False,SINGLE_STATION_CALENDAR,True,True,3,2,115.0,CRITICAL,CRITICAL,PARALLEL_BRANCH_JOIN_PRESSURE,ESTIMATED_FROM_CAPACITY_PLAN,False,False,True,True,PHASE4_STEP5A_ESTIMATED_QUEUE_PRESSURE,True
PHASE4-MPS-20260628102440,2026-06-29,2026-07-05,WS-QC,Final Quality Control Station,NEAR_CAPACITY,87.79696551724136,31.8264,36.25,4.423600000000004,False,True,False,False,False,SINGLE_STATION_CALENDAR,False,False,0,0,15.0,LOW,LOW,NO_SIGNIFICANT_QUEUE_PRESSURE,ESTIMATED_FROM_CAPACITY_PLAN,False,False,True,True,PHASE4_STEP5A_ESTIMATED_QUEUE_PRESSURE,True
PHASE4-MPS-20260628102440,2026-06-29,2026-07-05,WS-PACK,Packaging Station,FEASIBLE,70.55990804597701,25.57796666666667,36.25,10.672033333333331,False,False,False,False,False,SINGLE_STATION_CALENDAR,False,False,0,0,0.0,LOW,LOW,NO_SIGNIFICANT_QUEUE_PRESSURE,ESTIMATED_FROM_CAPACITY_PLAN,False,False,True,True,PHASE4_STEP5A_ESTIMATED_QUEUE_PRESSURE,True
PHASE4-MPS-20260628102440,2026-07-06,2026-07-12,WS-FRAME-PREP,Frame Preparation Station,OVERLOADED,202.2770620689655,73.325435,36.25,-37.075435,True,False,True,False,False,SINGLE_STATION_CALENDAR,False,False,0,0,100.0,CRITICAL,CRITICAL,WORKSTATION_OVERLOAD_AND_LABOR_STRESS,ESTIMATED_FROM_CAPACITY_PLAN,False,False,True,True,PHASE4_STEP5A_ESTIMATED_QUEUE_PRESSURE,True
PHASE4-MPS-20260628102440,2026-07-06,2026-07-12,WS-WHEEL-SUB,Wheel Subassembly Station,OVERLOADED,233.8143310344828,84.75769500000001,36.25,-48.50769500000001,True,False,False,False,False,SINGLE_STATION_CALENDAR,False,False,0,0,100.0,CRITICAL,CRITICAL,HIGH_UTILIZATION_WITH_NEGATIVE_CAPACITY_GAP,ESTIMATED_FROM_CAPACITY_PLAN,False,False,True,True,PHASE4_STEP5A_ESTIMATED_QUEUE_PRESSURE,True
PHASE4-MPS-20260628102440,2026-07-06,2026-07-12,WS-BRAKE-SUB,Brake Subassembly Station,OVERLOADED,185.08314022988503,67.09263833333333,36.25,-30.842638333333326,True,False,True,False,False,SINGLE_STATION_CALENDAR,False,False,0,0,100.0,CRITICAL,CRITICAL,WORKSTATION_OVERLOAD_AND_LABOR_STRESS,ESTIMATED_FROM_CAPACITY_PLAN,False,False,True,True,PHASE4_STEP5A_ESTIMATED_QUEUE_PRESSURE,True
