planning_run_id,alternative_id,workstation_id,machine_id,operation_id,proposed_schedule_period,proposed_schedule_day,proposed_schedule_shift,maintenance_feasibility_status,breakdown_risk_level,maintenance_conflict_flag,maintenance_conflict_penalty,breakdown_risk_penalty,maintenance_avoidance_applied_flag,original_maintenance_conflict_flag,selected_window_maintenance_conflict_flag,selected_window_maintenance_status,maintenance_conflict_avoided_flag,maintenance_avoidance_evidence,note_no_maintenance_order_created_flag,source_phase,advisory_only_flag
PHASE4-MPS-20260726202343,ALT-BASELINE,WS-FRAME-PREP,M-FRAME-JIG-001,MT-OP-010,2026-06-29,2026-06-29,SHIFT-A,FEASIBLE,CRITICAL,False,0.0,675.0,True,True,False,FEASIBLE,True,Selected later non-conflicting real resource-calendar window.,True,PHASE4_STEP8F_FINITE_CAPACITY_SCHEDULE_ALTERNATIVES,True
PHASE4-MPS-20260726202343,ALT-BASELINE,WS-FORK-SUSP,M-FORK-BENCH-001,MT-OP-020,2026-07-01,2026-07-01,SHIFT-A,FEASIBLE,CRITICAL,False,0.0,675.0,True,True,False,FEASIBLE,True,Selected later non-conflicting real resource-calendar window.,True,PHASE4_STEP8F_FINITE_CAPACITY_SCHEDULE_ALTERNATIVES,True
PHASE4-MPS-20260726202343,ALT-BASELINE,WS-WHEEL-SUB,M-WHEEL-TRUE-001,MT-OP-030,2026-07-01,2026-07-01,SHIFT-A,FEASIBLE,CRITICAL,False,0.0,675.0,True,True,False,FEASIBLE,True,Selected later non-conflicting real resource-calendar window.,True,PHASE4_STEP8F_FINITE_CAPACITY_SCHEDULE_ALTERNATIVES,True
PHASE4-MPS-20260726202343,ALT-BASELINE,WS-BRAKE-SUB,M-BRAKE-BENCH-001,MT-OP-040,2026-07-01,2026-07-01,SHIFT-A,FEASIBLE,CRITICAL,False,0.0,675.0,True,True,False,FEASIBLE,True,Selected later non-conflicting real resource-calendar window.,True,PHASE4_STEP8F_FINITE_CAPACITY_SCHEDULE_ALTERNATIVES,True
PHASE4-MPS-20260726202343,ALT-BASELINE,WS-FINAL-ASM,M-FINAL-STAND-001,MT-OP-050,2026-07-06,2026-07-06,SHIFT-A,FEASIBLE,CRITICAL,False,0.0,675.0,True,True,False,FEASIBLE,True,Selected later non-conflicting real resource-calendar window.,True,PHASE4_STEP8F_FINITE_CAPACITY_SCHEDULE_ALTERNATIVES,True
PHASE4-MPS-20260726202343,ALT-BASELINE,WS-QC,M-QC-TOOLS-001,MT-OP-060,2026-07-14,2026-07-14,SHIFT-A,FEASIBLE,CRITICAL,False,0.0,675.0,True,True,False,FEASIBLE,True,Selected later non-conflicting real resource-calendar window.,True,PHASE4_STEP8F_FINITE_CAPACITY_SCHEDULE_ALTERNATIVES,True
PHASE4-MPS-20260726202343,ALT-BASELINE,WS-PACK,M-PACK-BENCH-001,MT-OP-070,2026-07-16,2026-07-16,SHIFT-A,FEASIBLE,MEDIUM,False,0.0,150.0,True,True,False,FEASIBLE,True,Selected later non-conflicting real resource-calendar window.,True,PHASE4_STEP8F_FINITE_CAPACITY_SCHEDULE_ALTERNATIVES,True
PHASE4-MPS-20260726202343,ALT-BASELINE,WS-FRAME-PREP,M-FRAME-JIG-001,ROAD-OP-010,2026-06-29,2026-06-29,SHIFT-A,FEASIBLE,CRITICAL,False,0.0,675.0,True,True,False,FEASIBLE,True,Selected later non-conflicting real resource-calendar window.,True,PHASE4_STEP8F_FINITE_CAPACITY_SCHEDULE_ALTERNATIVES,True
PHASE4-MPS-20260726202343,ALT-BASELINE,WS-WHEEL-SUB,M-WHEEL-TRUE-001,ROAD-OP-020,2026-07-01,2026-07-01,SHIFT-A,FEASIBLE,CRITICAL,False,0.0,675.0,True,True,False,FEASIBLE,True,Selected later non-conflicting real resource-calendar window.,True,PHASE4_STEP8F_FINITE_CAPACITY_SCHEDULE_ALTERNATIVES,True
PHASE4-MPS-20260726202343,ALT-BASELINE,WS-BRAKE-SUB,M-BRAKE-BENCH-001,ROAD-OP-030,2026-07-01,2026-07-01,SHIFT-A,FEASIBLE,CRITICAL,False,0.0,675.0,True,True,False,FEASIBLE,True,Selected later non-conflicting real resource-calendar window.,True,PHASE4_STEP8F_FINITE_CAPACITY_SCHEDULE_ALTERNATIVES,True
PHASE4-MPS-20260726202343,ALT-BASELINE,WS-FINAL-ASM,M-FINAL-STAND-001,ROAD-OP-040,2026-07-14,2026-07-14,SHIFT-A,FEASIBLE,CRITICAL,False,0.0,675.0,True,True,False,FEASIBLE,True,Selected later non-conflicting real resource-calendar window.,True,PHASE4_STEP8F_FINITE_CAPACITY_SCHEDULE_ALTERNATIVES,True
PHASE4-MPS-20260726202343,ALT-BASELINE,WS-QC,M-QC-TOOLS-001,ROAD-OP-050,2026-07-21,2026-07-21,SHIFT-A,FEASIBLE,CRITICAL,False,0.0,675.0,True,True,False,FEASIBLE,True,Selected later non-conflicting real resource-calendar window.,True,PHASE4_STEP8F_FINITE_CAPACITY_SCHEDULE_ALTERNATIVES,True
PHASE4-MPS-20260726202343,ALT-BASELINE,WS-PACK,M-PACK-BENCH-001,ROAD-OP-060,2026-07-23,2026-07-23,SHIFT-A,FEASIBLE,MEDIUM,False,0.0,150.0,True,True,False,FEASIBLE,True,Selected later non-conflicting real resource-calendar window.,True,PHASE4_STEP8F_FINITE_CAPACITY_SCHEDULE_ALTERNATIVES,True
PHASE4-MPS-20260726202343,ALT-BASELINE,WS-FRAME-PREP,M-FRAME-JIG-001,MT-OP-010,2026-07-06,2026-07-06,SHIFT-A,FEASIBLE,CRITICAL,False,0.0,675.0,True,True,False,FEASIBLE,True,Selected later non-conflicting real resource-calendar window.,True,PHASE4_STEP8F_FINITE_CAPACITY_SCHEDULE_ALTERNATIVES,True
PHASE4-MPS-20260726202343,ALT-BASELINE,WS-FORK-SUSP,M-FORK-BENCH-001,MT-OP-020,2026-07-10,2026-07-10,SHIFT-A,FEASIBLE,CRITICAL,False,0.0,675.0,True,True,False,FEASIBLE,True,Selected later non-conflicting real resource-calendar window.,True,PHASE4_STEP8F_FINITE_CAPACITY_SCHEDULE_ALTERNATIVES,True
PHASE4-MPS-20260726202343,ALT-BASELINE,WS-WHEEL-SUB,M-WHEEL-TRUE-001,MT-OP-030,2026-07-10,2026-07-10,SHIFT-A,FEASIBLE,CRITICAL,False,0.0,675.0,True,True,False,FEASIBLE,True,Selected later non-conflicting real resource-calendar window.,True,PHASE4_STEP8F_FINITE_CAPACITY_SCHEDULE_ALTERNATIVES,True
PHASE4-MPS-20260726202343,ALT-BASELINE,WS-BRAKE-SUB,M-BRAKE-BENCH-001,MT-OP-040,2026-07-10,2026-07-10,SHIFT-A,FEASIBLE,CRITICAL,False,0.0,675.0,True,True,False,FEASIBLE,True,Selected later non-conflicting real resource-calendar window.,True,PHASE4_STEP8F_FINITE_CAPACITY_SCHEDULE_ALTERNATIVES,True
PHASE4-MPS-20260726202343,ALT-BASELINE,WS-FINAL-ASM,M-FINAL-STAND-001,MT-OP-050,2026-07-21,2026-07-21,SHIFT-A,FEASIBLE,CRITICAL,False,0.0,675.0,True,True,False,FEASIBLE,True,Selected later non-conflicting real resource-calendar window.,True,PHASE4_STEP8F_FINITE_CAPACITY_SCHEDULE_ALTERNATIVES,True
PHASE4-MPS-20260726202343,ALT-BASELINE,WS-QC,M-QC-TOOLS-001,MT-OP-060,2026-07-31,2026-07-31,SHIFT-A,FEASIBLE,CRITICAL,False,0.0,675.0,True,True,False,FEASIBLE,True,Selected later non-conflicting real resource-calendar window.,True,PHASE4_STEP8F_FINITE_CAPACITY_SCHEDULE_ALTERNATIVES,True
PHASE4-MPS-20260726202343,ALT-BASELINE,WS-PACK,M-PACK-BENCH-001,MT-OP-070,2026-08-04,2026-08-04,SHIFT-A,FEASIBLE,MEDIUM,False,0.0,150.0,True,True,False,FEASIBLE,True,Selected later non-conflicting real resource-calendar window.,True,PHASE4_STEP8F_FINITE_CAPACITY_SCHEDULE_ALTERNATIVES,True
PHASE4-MPS-20260726202343,ALT-BASELINE,WS-FRAME-PREP,M-FRAME-JIG-001,ROAD-OP-010,2026-07-06,2026-07-06,SHIFT-A,FEASIBLE,CRITICAL,False,0.0,675.0,True,True,False,FEASIBLE,True,Selected later non-conflicting real resource-calendar window.,True,PHASE4_STEP8F_FINITE_CAPACITY_SCHEDULE_ALTERNATIVES,True
PHASE4-MPS-20260726202343,ALT-BASELINE,WS-WHEEL-SUB,M-WHEEL-TRUE-001,ROAD-OP-020,2026-07-10,2026-07-10,SHIFT-A,FEASIBLE,CRITICAL,False,0.0,675.0,True,True,False,FEASIBLE,True,Selected later non-conflicting real resource-calendar window.,True,PHASE4_STEP8F_FINITE_CAPACITY_SCHEDULE_ALTERNATIVES,True
PHASE4-MPS-20260726202343,ALT-BASELINE,WS-BRAKE-SUB,M-BRAKE-BENCH-001,ROAD-OP-030,2026-07-10,2026-07-10,SHIFT-A,FEASIBLE,CRITICAL,False,0.0,675.0,True,True,False,FEASIBLE,True,Selected later non-conflicting real resource-calendar window.,True,PHASE4_STEP8F_FINITE_CAPACITY_SCHEDULE_ALTERNATIVES,True
PHASE4-MPS-20260726202343,ALT-BASELINE,WS-FINAL-ASM,M-FINAL-STAND-001,ROAD-OP-040,2026-07-31,2026-07-31,SHIFT-A,FEASIBLE,CRITICAL,False,0.0,675.0,True,True,False,FEASIBLE,True,Selected later non-conflicting real resource-calendar window.,True,PHASE4_STEP8F_FINITE_CAPACITY_SCHEDULE_ALTERNATIVES,True
PHASE4-MPS-20260726202343,ALT-BASELINE,WS-QC,M-QC-TOOLS-001,ROAD-OP-050,2026-08-07,2026-08-07,SHIFT-A,FEASIBLE,CRITICAL,False,0.0,675.0,True,True,False,FEASIBLE,True,Selected later non-conflicting real resource-calendar window.,True,PHASE4_STEP8F_FINITE_CAPACITY_SCHEDULE_ALTERNATIVES,True
PHASE4-MPS-20260726202343,ALT-BASELINE,WS-PACK,M-PACK-BENCH-001,ROAD-OP-060,2026-08-11,2026-08-11,SHIFT-A,FEASIBLE,MEDIUM,False,0.0,150.0,True,True,False,FEASIBLE,True,Selected later non-conflicting real resource-calendar window.,True,PHASE4_STEP8F_FINITE_CAPACITY_SCHEDULE_ALTERNATIVES,True
