review_item_id,planning_run_id,alternative_id,schedule_candidate_id,finished_sku,operation_id,issue_type,issue_severity,issue_description,recommended_review_action,auto_action_allowed,advisory_only_flag
SALT-REV-0001,PHASE4-MPS-20260726202343,ALT-BASELINE,,,,HIGH_PROXY_COST_ASSUMPTION,HIGH,Alternative uses high proxy penalties; these are not real euros.,REVIEW_COST_ASSUMPTIONS,False,True
SALT-REV-0002,PHASE4-MPS-20260726202343,ALT-BASELINE,,,,LOW_DEMAND_COVERAGE,HIGH,Completed full-route quantity does not cover planned demand.,REVIEW_DEMAND_SATISFACTION,False,True
SALT-REV-0003,PHASE4-MPS-20260726202343,ALT-MAINT,,,,HIGH_PROXY_COST_ASSUMPTION,HIGH,Alternative uses high proxy penalties; these are not real euros.,REVIEW_COST_ASSUMPTIONS,False,True
SALT-REV-0004,PHASE4-MPS-20260726202343,ALT-MAINT,,,,LOW_DEMAND_COVERAGE,HIGH,Completed full-route quantity does not cover planned demand.,REVIEW_DEMAND_SATISFACTION,False,True
SALT-REV-0005,PHASE4-MPS-20260726202343,ALT-WIP,,,,HIGH_PROXY_COST_ASSUMPTION,HIGH,Alternative uses high proxy penalties; these are not real euros.,REVIEW_COST_ASSUMPTIONS,False,True
SALT-REV-0006,PHASE4-MPS-20260726202343,ALT-WIP,,,,LOW_DEMAND_COVERAGE,HIGH,Completed full-route quantity does not cover planned demand.,REVIEW_DEMAND_SATISFACTION,False,True
SALT-REV-0007,PHASE4-MPS-20260726202343,ALT-COMBINED,,,,HIGH_PROXY_COST_ASSUMPTION,HIGH,Alternative uses high proxy penalties; these are not real euros.,REVIEW_COST_ASSUMPTIONS,False,True
SALT-REV-0008,PHASE4-MPS-20260726202343,ALT-COMBINED,,,,LOW_DEMAND_COVERAGE,HIGH,Completed full-route quantity does not cover planned demand.,REVIEW_DEMAND_SATISFACTION,False,True
SALT-REV-0009,PHASE4-MPS-20260726202343,ALT-BN-CP,,,,HIGH_PROXY_COST_ASSUMPTION,HIGH,Alternative uses high proxy penalties; these are not real euros.,REVIEW_COST_ASSUMPTIONS,False,True
SALT-REV-0010,PHASE4-MPS-20260726202343,ALT-BN-CP,,,,LOW_DEMAND_COVERAGE,HIGH,Completed full-route quantity does not cover planned demand.,REVIEW_DEMAND_SATISFACTION,False,True
SALT-REV-0011,PHASE4-MPS-20260726202343,ALT-SETUP,,,,HIGH_PROXY_COST_ASSUMPTION,HIGH,Alternative uses high proxy penalties; these are not real euros.,REVIEW_COST_ASSUMPTIONS,False,True
SALT-REV-0012,PHASE4-MPS-20260726202343,ALT-SETUP,,,,LOW_DEMAND_COVERAGE,HIGH,Completed full-route quantity does not cover planned demand.,REVIEW_DEMAND_SATISFACTION,False,True
SALT-REV-0013,PHASE4-MPS-20260726202343,ALT-BASELINE,PSC-SKU-BIKE-MT-001-20260629,SKU-BIKE-MT-001,MT-OP-020,REVIEW_REQUIRED,HIGH,Allocated across real dated resource calendar window(s). Output buffer space reserved at completion time.,REVIEW_OPERATION_PLACEMENT,False,True
SALT-REV-0014,PHASE4-MPS-20260726202343,ALT-BASELINE,PSC-SKU-BIKE-MT-001-20260629,SKU-BIKE-MT-001,MT-OP-030,REVIEW_REQUIRED,HIGH,Allocated across real dated resource calendar window(s). Output buffer space reserved at completion time.,REVIEW_OPERATION_PLACEMENT,False,True
SALT-REV-0015,PHASE4-MPS-20260726202343,ALT-BASELINE,PSC-SKU-BIKE-MT-001-20260629,SKU-BIKE-MT-001,MT-OP-040,REVIEW_REQUIRED,HIGH,Allocated across real dated resource calendar window(s). Output buffer space reserved at completion time.,REVIEW_OPERATION_PLACEMENT,False,True
SALT-REV-0016,PHASE4-MPS-20260726202343,ALT-BASELINE,PSC-SKU-BIKE-MT-001-20260629,SKU-BIKE-MT-001,MT-OP-070,REVIEW_REQUIRED,HIGH,Allocated across real dated resource calendar window(s). Output buffer space reserved at completion time.,REVIEW_OPERATION_PLACEMENT,False,True
SALT-REV-0017,PHASE4-MPS-20260726202343,ALT-BASELINE,PSC-SKU-BIKE-ROAD-001-20260629,SKU-BIKE-ROAD-001,ROAD-OP-020,REVIEW_REQUIRED,HIGH,Allocated across real dated resource calendar window(s). Output buffer space reserved at completion time.,REVIEW_OPERATION_PLACEMENT,False,True
SALT-REV-0018,PHASE4-MPS-20260726202343,ALT-BASELINE,PSC-SKU-BIKE-ROAD-001-20260629,SKU-BIKE-ROAD-001,ROAD-OP-030,REVIEW_REQUIRED,HIGH,Allocated across real dated resource calendar window(s). Output buffer space reserved at completion time.,REVIEW_OPERATION_PLACEMENT,False,True
SALT-REV-0019,PHASE4-MPS-20260726202343,ALT-BASELINE,PSC-SKU-BIKE-ROAD-001-20260629,SKU-BIKE-ROAD-001,ROAD-OP-060,REVIEW_REQUIRED,HIGH,Allocated across real dated resource calendar window(s). Output buffer space reserved at completion time.,REVIEW_OPERATION_PLACEMENT,False,True
SALT-REV-0020,PHASE4-MPS-20260726202343,ALT-BASELINE,PSC-SKU-BIKE-MT-001-20260810,SKU-BIKE-MT-001,MT-OP-060,REVIEW_REQUIRED,HIGH,No real calendar window has enough remaining cumulative capacity.,REVIEW_OPERATION_PLACEMENT,False,True
SALT-REV-0021,PHASE4-MPS-20260726202343,ALT-BASELINE,PSC-SKU-BIKE-MT-001-20260810,SKU-BIKE-MT-001,MT-OP-070,REVIEW_REQUIRED,HIGH,NO_PREDECESSOR_OR_SHADOW_WIP_QUANTITY_AVAILABLE,REVIEW_OPERATION_PLACEMENT,False,True
SALT-REV-0022,PHASE4-MPS-20260726202343,ALT-BASELINE,PSC-SKU-BIKE-ROAD-001-20260810,SKU-BIKE-ROAD-001,ROAD-OP-040,REVIEW_REQUIRED,HIGH,No real calendar window has enough remaining cumulative capacity.,REVIEW_OPERATION_PLACEMENT,False,True
