planning_run_id,alternative_id,schedule_candidate_id,finished_sku,operation_id,operation_name,predecessor_operation_id,direct_input_wip_item_id,direct_input_wip_buffer_id,required_input_qty_per_output_unit,quantity_ratio_basis,requested_output_qty,predecessor_completed_qty_available,starting_accepted_wip_available,advisory_wip_produced_available,advisory_wip_already_drawn,total_input_qty_available,maximum_supported_output_qty,scheduled_output_qty,unscheduled_output_qty,quantity_flow_status,quantity_balance_check,quantity_balance_status,advisory_only_flag
PHASE4-MPS-20260721170405,ALT-BASELINE,PSC-SKU-BIKE-MT-001-20260629,SKU-BIKE-MT-001,MT-OP-010,Frame Preparation,,,,1.0,ASSUMED_ONE_TO_ONE,41.9815,0.0,0.0,0.0,0.0,0.0,41.9815,41.9815,0.0,NO_INPUT_REQUIRED_FIRST_OPERATION,0.0,BALANCED,True
PHASE4-MPS-20260721170405,ALT-BASELINE,PSC-SKU-BIKE-MT-001-20260629,SKU-BIKE-MT-001,MT-OP-020,Fork and Suspension Prep,MT-OP-010,WIP-MT-FRAME-TO-FORK,BUF-MT-FRAME-FORK,1.0,ASSUMED_ONE_TO_ONE,41.9815,41.9815,0.0,41.9815,41.9815,41.9815,41.9815,41.9815,0.0,FULL_QUANTITY_SUPPORTED,0.0,BALANCED,True
PHASE4-MPS-20260721170405,ALT-BASELINE,PSC-SKU-BIKE-MT-001-20260629,SKU-BIKE-MT-001,MT-OP-030,Wheel Subassembly,MT-OP-010,WIP-MT-FRAME-TO-WHEEL,BUF-MT-FRAME-WHEEL,1.0,ASSUMED_ONE_TO_ONE,41.9815,41.9815,0.0,41.9815,41.9815,41.9815,41.9815,41.9815,0.0,FULL_QUANTITY_SUPPORTED,0.0,BALANCED,True
PHASE4-MPS-20260721170405,ALT-BASELINE,PSC-SKU-BIKE-MT-001-20260629,SKU-BIKE-MT-001,MT-OP-040,Brake Subassembly,MT-OP-010,WIP-MT-FRAME-TO-BRAKE,BUF-MT-FRAME-BRAKE,1.0,ASSUMED_ONE_TO_ONE,41.9815,41.9815,0.0,41.9815,41.9815,41.9815,41.9815,41.9815,0.0,FULL_QUANTITY_SUPPORTED,0.0,BALANCED,True
PHASE4-MPS-20260721170405,ALT-BASELINE,PSC-SKU-BIKE-MT-001-20260629,SKU-BIKE-MT-001,MT-OP-050,Final Assembly,MT-OP-020,WIP-MT-FORK-READY,BUF-MT-FORK,1.0,ASSUMED_ONE_TO_ONE,41.9815,41.9815,0.0,41.9815,41.9815,41.9815,41.9815,41.9815,0.0,FULL_QUANTITY_SUPPORTED,0.0,BALANCED,True
PHASE4-MPS-20260721170405,ALT-BASELINE,PSC-SKU-BIKE-MT-001-20260629,SKU-BIKE-MT-001,MT-OP-050,Final Assembly,MT-OP-030,WIP-MT-WHEEL-SET-READY,BUF-MT-WHEEL,1.0,ASSUMED_ONE_TO_ONE,41.9815,41.9815,45.0,41.9815,41.9815,86.9815,41.9815,41.9815,0.0,FULL_QUANTITY_SUPPORTED,0.0,BALANCED,True
PHASE4-MPS-20260721170405,ALT-BASELINE,PSC-SKU-BIKE-MT-001-20260629,SKU-BIKE-MT-001,MT-OP-050,Final Assembly,MT-OP-040,WIP-MT-BRAKE-SET-READY,BUF-MT-BRAKE,1.0,ASSUMED_ONE_TO_ONE,41.9815,41.9815,39.0,41.9815,41.9815,80.9815,41.9815,41.9815,0.0,FULL_QUANTITY_SUPPORTED,0.0,BALANCED,True
PHASE4-MPS-20260721170405,ALT-BASELINE,PSC-SKU-BIKE-MT-001-20260629,SKU-BIKE-MT-001,MT-OP-060,Final Quality Control,MT-OP-050,WIP-MT-FINAL-ASSEMBLY-READY,BUF-MT-ASM,1.0,ASSUMED_ONE_TO_ONE,41.9815,41.9815,0.0,41.9815,41.9815,41.9815,41.9815,41.9815,0.0,PARTIAL_QUANTITY_SUPPORTED,0.0,BALANCED,True
PHASE4-MPS-20260721170405,ALT-BASELINE,PSC-SKU-BIKE-MT-001-20260629,SKU-BIKE-MT-001,MT-OP-070,Packaging,MT-OP-060,WIP-MT-QC-PASSED,BUF-MT-QC,1.0,ASSUMED_ONE_TO_ONE,41.9815,41.9815,18.0,41.9815,41.9815,59.9815,59.9815,41.9815,0.0,FULL_QUANTITY_SUPPORTED,0.0,BALANCED,True
PHASE4-MPS-20260721170405,ALT-BASELINE,PSC-SKU-BIKE-ROAD-001-20260629,SKU-BIKE-ROAD-001,ROAD-OP-010,Frame Preparation,,,,1.0,ASSUMED_ONE_TO_ONE,53.9995,0.0,0.0,0.0,0.0,0.0,53.9995,53.9995,0.0,NO_INPUT_REQUIRED_FIRST_OPERATION,0.0,BALANCED,True
