review_item_id,planning_run_id,schedule_candidate_id,finished_sku,operation_id,workstation_id,wip_item_id,wip_buffer_id,setup_family_id,issue_type,issue_severity,issue_description,recommended_review_action,auto_action_allowed,advisory_only_flag
SETUP8E-REV-0001,PHASE4-MPS-20260726202343,PSC-SKU-BIKE-MT-001-20260629,SKU-BIKE-MT-001,MT-OP-050,WS-FINAL-ASM,,,MTB_FINAL_ASSEMBLY,AVOID_SEQUENCE_REVIEW,HIGH,Avoid-sequence changeover appears in advisory sequence.,REVIEW_AVOID_SEQUENCE,False,True
SETUP8E-REV-0002,PHASE4-MPS-20260726202343,PSC-SKU-BIKE-MT-001-20260706,SKU-BIKE-MT-001,MT-OP-050,WS-FINAL-ASM,,,MTB_FINAL_ASSEMBLY,AVOID_SEQUENCE_REVIEW,HIGH,Avoid-sequence changeover appears in advisory sequence.,REVIEW_AVOID_SEQUENCE,False,True
SETUP8E-REV-0003,PHASE4-MPS-20260726202343,PSC-SKU-BIKE-MT-001-20260713,SKU-BIKE-MT-001,MT-OP-050,WS-FINAL-ASM,,,MTB_FINAL_ASSEMBLY,AVOID_SEQUENCE_REVIEW,HIGH,Avoid-sequence changeover appears in advisory sequence.,REVIEW_AVOID_SEQUENCE,False,True
SETUP8E-REV-0004,PHASE4-MPS-20260726202343,PSC-SKU-BIKE-MT-001-20260720,SKU-BIKE-MT-001,MT-OP-050,WS-FINAL-ASM,,,MTB_FINAL_ASSEMBLY,AVOID_SEQUENCE_REVIEW,HIGH,Avoid-sequence changeover appears in advisory sequence.,REVIEW_AVOID_SEQUENCE,False,True
SETUP8E-REV-0005,PHASE4-MPS-20260726202343,PSC-SKU-BIKE-MT-001-20260727,SKU-BIKE-MT-001,MT-OP-050,WS-FINAL-ASM,,,MTB_FINAL_ASSEMBLY,AVOID_SEQUENCE_REVIEW,HIGH,Avoid-sequence changeover appears in advisory sequence.,REVIEW_AVOID_SEQUENCE,False,True
SETUP8E-REV-0006,PHASE4-MPS-20260726202343,PSC-SKU-BIKE-MT-001-20260803,SKU-BIKE-MT-001,MT-OP-050,WS-FINAL-ASM,,,MTB_FINAL_ASSEMBLY,AVOID_SEQUENCE_REVIEW,HIGH,Avoid-sequence changeover appears in advisory sequence.,REVIEW_AVOID_SEQUENCE,False,True
SETUP8E-REV-0007,PHASE4-MPS-20260726202343,PSC-SKU-BIKE-MT-001-20260810,SKU-BIKE-MT-001,MT-OP-050,WS-FINAL-ASM,,,MTB_FINAL_ASSEMBLY,AVOID_SEQUENCE_REVIEW,HIGH,Avoid-sequence changeover appears in advisory sequence.,REVIEW_AVOID_SEQUENCE,False,True
SETUP8E-REV-0008,PHASE4-MPS-20260726202343,PSC-SKU-BIKE-MT-001-20260817,SKU-BIKE-MT-001,MT-OP-050,WS-FINAL-ASM,,,MTB_FINAL_ASSEMBLY,AVOID_SEQUENCE_REVIEW,HIGH,Avoid-sequence changeover appears in advisory sequence.,REVIEW_AVOID_SEQUENCE,False,True
SETUP8E-REV-0009,PHASE4-MPS-20260726202343,PSC-SKU-BIKE-MT-001-20260824,SKU-BIKE-MT-001,MT-OP-050,WS-FINAL-ASM,,,MTB_FINAL_ASSEMBLY,AVOID_SEQUENCE_REVIEW,HIGH,Avoid-sequence changeover appears in advisory sequence.,REVIEW_AVOID_SEQUENCE,False,True
SETUP8E-REV-0010,PHASE4-MPS-20260726202343,PSC-SKU-BIKE-MT-001-20260831,SKU-BIKE-MT-001,MT-OP-050,WS-FINAL-ASM,,,MTB_FINAL_ASSEMBLY,AVOID_SEQUENCE_REVIEW,HIGH,Avoid-sequence changeover appears in advisory sequence.,REVIEW_AVOID_SEQUENCE,False,True
SETUP8E-REV-0011,PHASE4-MPS-20260726202343,PSC-SKU-BIKE-MT-001-20260907,SKU-BIKE-MT-001,MT-OP-050,WS-FINAL-ASM,,,MTB_FINAL_ASSEMBLY,AVOID_SEQUENCE_REVIEW,HIGH,Avoid-sequence changeover appears in advisory sequence.,REVIEW_AVOID_SEQUENCE,False,True
SETUP8E-REV-0012,PHASE4-MPS-20260726202343,PSC-SKU-BIKE-MT-001-20260914,SKU-BIKE-MT-001,MT-OP-050,WS-FINAL-ASM,,,MTB_FINAL_ASSEMBLY,AVOID_SEQUENCE_REVIEW,HIGH,Avoid-sequence changeover appears in advisory sequence.,REVIEW_AVOID_SEQUENCE,False,True
SETUP8E-REV-0013,PHASE4-MPS-20260726202343,PSC-SKU-BIKE-MT-001-20260921,SKU-BIKE-MT-001,MT-OP-050,WS-FINAL-ASM,,,MTB_FINAL_ASSEMBLY,AVOID_SEQUENCE_REVIEW,HIGH,Avoid-sequence changeover appears in advisory sequence.,REVIEW_AVOID_SEQUENCE,False,True
SETUP8E-REV-0014,PHASE4-MPS-20260726202343,PSC-SKU-BIKE-MT-001-20260928,SKU-BIKE-MT-001,MT-OP-050,WS-FINAL-ASM,,,MTB_FINAL_ASSEMBLY,AVOID_SEQUENCE_REVIEW,HIGH,Avoid-sequence changeover appears in advisory sequence.,REVIEW_AVOID_SEQUENCE,False,True
SETUP8E-REV-0015,PHASE4-MPS-20260726202343,PSC-SKU-BIKE-MT-001-20260629,SKU-BIKE-MT-001,MT-OP-040,WS-BRAKE-SUB,,,MTB_BRAKE_SUBASSEMBLY,BATCHING_OPPORTUNITY_REVIEW,MEDIUM,Batching similar setup families may reduce future setup loss.,REVIEW_BATCHING_OPPORTUNITY,False,True
SETUP8E-REV-0016,PHASE4-MPS-20260726202343,PSC-SKU-BIKE-MT-001-20260706,SKU-BIKE-MT-001,MT-OP-040,WS-BRAKE-SUB,,,MTB_BRAKE_SUBASSEMBLY,BATCHING_OPPORTUNITY_REVIEW,MEDIUM,Batching similar setup families may reduce future setup loss.,REVIEW_BATCHING_OPPORTUNITY,False,True
SETUP8E-REV-0017,PHASE4-MPS-20260726202343,PSC-SKU-BIKE-MT-001-20260713,SKU-BIKE-MT-001,MT-OP-040,WS-BRAKE-SUB,,,MTB_BRAKE_SUBASSEMBLY,BATCHING_OPPORTUNITY_REVIEW,MEDIUM,Batching similar setup families may reduce future setup loss.,REVIEW_BATCHING_OPPORTUNITY,False,True
SETUP8E-REV-0018,PHASE4-MPS-20260726202343,PSC-SKU-BIKE-MT-001-20260720,SKU-BIKE-MT-001,MT-OP-040,WS-BRAKE-SUB,,,MTB_BRAKE_SUBASSEMBLY,BATCHING_OPPORTUNITY_REVIEW,MEDIUM,Batching similar setup families may reduce future setup loss.,REVIEW_BATCHING_OPPORTUNITY,False,True
SETUP8E-REV-0019,PHASE4-MPS-20260726202343,PSC-SKU-BIKE-MT-001-20260727,SKU-BIKE-MT-001,MT-OP-040,WS-BRAKE-SUB,,,MTB_BRAKE_SUBASSEMBLY,BATCHING_OPPORTUNITY_REVIEW,MEDIUM,Batching similar setup families may reduce future setup loss.,REVIEW_BATCHING_OPPORTUNITY,False,True
SETUP8E-REV-0020,PHASE4-MPS-20260726202343,PSC-SKU-BIKE-MT-001-20260803,SKU-BIKE-MT-001,MT-OP-040,WS-BRAKE-SUB,,,MTB_BRAKE_SUBASSEMBLY,BATCHING_OPPORTUNITY_REVIEW,MEDIUM,Batching similar setup families may reduce future setup loss.,REVIEW_BATCHING_OPPORTUNITY,False,True
SETUP8E-REV-0021,PHASE4-MPS-20260726202343,PSC-SKU-BIKE-MT-001-20260810,SKU-BIKE-MT-001,MT-OP-040,WS-BRAKE-SUB,,,MTB_BRAKE_SUBASSEMBLY,BATCHING_OPPORTUNITY_REVIEW,MEDIUM,Batching similar setup families may reduce future setup loss.,REVIEW_BATCHING_OPPORTUNITY,False,True
SETUP8E-REV-0022,PHASE4-MPS-20260726202343,PSC-SKU-BIKE-MT-001-20260817,SKU-BIKE-MT-001,MT-OP-040,WS-BRAKE-SUB,,,MTB_BRAKE_SUBASSEMBLY,BATCHING_OPPORTUNITY_REVIEW,MEDIUM,Batching similar setup families may reduce future setup loss.,REVIEW_BATCHING_OPPORTUNITY,False,True
SETUP8E-REV-0023,PHASE4-MPS-20260726202343,PSC-SKU-BIKE-MT-001-20260824,SKU-BIKE-MT-001,MT-OP-040,WS-BRAKE-SUB,,,MTB_BRAKE_SUBASSEMBLY,BATCHING_OPPORTUNITY_REVIEW,MEDIUM,Batching similar setup families may reduce future setup loss.,REVIEW_BATCHING_OPPORTUNITY,False,True
SETUP8E-REV-0024,PHASE4-MPS-20260726202343,PSC-SKU-BIKE-MT-001-20260831,SKU-BIKE-MT-001,MT-OP-040,WS-BRAKE-SUB,,,MTB_BRAKE_SUBASSEMBLY,BATCHING_OPPORTUNITY_REVIEW,MEDIUM,Batching similar setup families may reduce future setup loss.,REVIEW_BATCHING_OPPORTUNITY,False,True
SETUP8E-REV-0025,PHASE4-MPS-20260726202343,PSC-SKU-BIKE-MT-001-20260907,SKU-BIKE-MT-001,MT-OP-040,WS-BRAKE-SUB,,,MTB_BRAKE_SUBASSEMBLY,BATCHING_OPPORTUNITY_REVIEW,MEDIUM,Batching similar setup families may reduce future setup loss.,REVIEW_BATCHING_OPPORTUNITY,False,True
SETUP8E-REV-0026,PHASE4-MPS-20260726202343,PSC-SKU-BIKE-MT-001-20260914,SKU-BIKE-MT-001,MT-OP-040,WS-BRAKE-SUB,,,MTB_BRAKE_SUBASSEMBLY,BATCHING_OPPORTUNITY_REVIEW,MEDIUM,Batching similar setup families may reduce future setup loss.,REVIEW_BATCHING_OPPORTUNITY,False,True
SETUP8E-REV-0027,PHASE4-MPS-20260726202343,PSC-SKU-BIKE-MT-001-20260921,SKU-BIKE-MT-001,MT-OP-040,WS-BRAKE-SUB,,,MTB_BRAKE_SUBASSEMBLY,BATCHING_OPPORTUNITY_REVIEW,MEDIUM,Batching similar setup families may reduce future setup loss.,REVIEW_BATCHING_OPPORTUNITY,False,True
SETUP8E-REV-0028,PHASE4-MPS-20260726202343,PSC-SKU-BIKE-MT-001-20260928,SKU-BIKE-MT-001,MT-OP-040,WS-BRAKE-SUB,,,MTB_BRAKE_SUBASSEMBLY,BATCHING_OPPORTUNITY_REVIEW,MEDIUM,Batching similar setup families may reduce future setup loss.,REVIEW_BATCHING_OPPORTUNITY,False,True
SETUP8E-REV-0029,PHASE4-MPS-20260726202343,PSC-SKU-BIKE-ROAD-001-20260629,SKU-BIKE-ROAD-001,ROAD-OP-010,WS-FRAME-PREP,,,ROAD_FRAME_PREP,BATCHING_OPPORTUNITY_REVIEW,MEDIUM,Batching similar setup families may reduce future setup loss.,REVIEW_BATCHING_OPPORTUNITY,False,True
SETUP8E-REV-0030,PHASE4-MPS-20260726202343,PSC-SKU-BIKE-ROAD-001-20260706,SKU-BIKE-ROAD-001,ROAD-OP-010,WS-FRAME-PREP,,,ROAD_FRAME_PREP,BATCHING_OPPORTUNITY_REVIEW,MEDIUM,Batching similar setup families may reduce future setup loss.,REVIEW_BATCHING_OPPORTUNITY,False,True
SETUP8E-REV-0031,PHASE4-MPS-20260726202343,PSC-SKU-BIKE-ROAD-001-20260713,SKU-BIKE-ROAD-001,ROAD-OP-010,WS-FRAME-PREP,,,ROAD_FRAME_PREP,BATCHING_OPPORTUNITY_REVIEW,MEDIUM,Batching similar setup families may reduce future setup loss.,REVIEW_BATCHING_OPPORTUNITY,False,True
SETUP8E-REV-0032,PHASE4-MPS-20260726202343,PSC-SKU-BIKE-ROAD-001-20260720,SKU-BIKE-ROAD-001,ROAD-OP-010,WS-FRAME-PREP,,,ROAD_FRAME_PREP,BATCHING_OPPORTUNITY_REVIEW,MEDIUM,Batching similar setup families may reduce future setup loss.,REVIEW_BATCHING_OPPORTUNITY,False,True
SETUP8E-REV-0033,PHASE4-MPS-20260726202343,PSC-SKU-BIKE-ROAD-001-20260727,SKU-BIKE-ROAD-001,ROAD-OP-010,WS-FRAME-PREP,,,ROAD_FRAME_PREP,BATCHING_OPPORTUNITY_REVIEW,MEDIUM,Batching similar setup families may reduce future setup loss.,REVIEW_BATCHING_OPPORTUNITY,False,True
SETUP8E-REV-0034,PHASE4-MPS-20260726202343,PSC-SKU-BIKE-ROAD-001-20260803,SKU-BIKE-ROAD-001,ROAD-OP-010,WS-FRAME-PREP,,,ROAD_FRAME_PREP,BATCHING_OPPORTUNITY_REVIEW,MEDIUM,Batching similar setup families may reduce future setup loss.,REVIEW_BATCHING_OPPORTUNITY,False,True
SETUP8E-REV-0035,PHASE4-MPS-20260726202343,PSC-SKU-BIKE-ROAD-001-20260810,SKU-BIKE-ROAD-001,ROAD-OP-010,WS-FRAME-PREP,,,ROAD_FRAME_PREP,BATCHING_OPPORTUNITY_REVIEW,MEDIUM,Batching similar setup families may reduce future setup loss.,REVIEW_BATCHING_OPPORTUNITY,False,True
SETUP8E-REV-0036,PHASE4-MPS-20260726202343,PSC-SKU-BIKE-ROAD-001-20260817,SKU-BIKE-ROAD-001,ROAD-OP-010,WS-FRAME-PREP,,,ROAD_FRAME_PREP,BATCHING_OPPORTUNITY_REVIEW,MEDIUM,Batching similar setup families may reduce future setup loss.,REVIEW_BATCHING_OPPORTUNITY,False,True
SETUP8E-REV-0037,PHASE4-MPS-20260726202343,PSC-SKU-BIKE-ROAD-001-20260824,SKU-BIKE-ROAD-001,ROAD-OP-010,WS-FRAME-PREP,,,ROAD_FRAME_PREP,BATCHING_OPPORTUNITY_REVIEW,MEDIUM,Batching similar setup families may reduce future setup loss.,REVIEW_BATCHING_OPPORTUNITY,False,True
SETUP8E-REV-0038,PHASE4-MPS-20260726202343,PSC-SKU-BIKE-ROAD-001-20260831,SKU-BIKE-ROAD-001,ROAD-OP-010,WS-FRAME-PREP,,,ROAD_FRAME_PREP,BATCHING_OPPORTUNITY_REVIEW,MEDIUM,Batching similar setup families may reduce future setup loss.,REVIEW_BATCHING_OPPORTUNITY,False,True
SETUP8E-REV-0039,PHASE4-MPS-20260726202343,PSC-SKU-BIKE-ROAD-001-20260907,SKU-BIKE-ROAD-001,ROAD-OP-010,WS-FRAME-PREP,,,ROAD_FRAME_PREP,BATCHING_OPPORTUNITY_REVIEW,MEDIUM,Batching similar setup families may reduce future setup loss.,REVIEW_BATCHING_OPPORTUNITY,False,True
SETUP8E-REV-0040,PHASE4-MPS-20260726202343,PSC-SKU-BIKE-ROAD-001-20260914,SKU-BIKE-ROAD-001,ROAD-OP-010,WS-FRAME-PREP,,,ROAD_FRAME_PREP,BATCHING_OPPORTUNITY_REVIEW,MEDIUM,Batching similar setup families may reduce future setup loss.,REVIEW_BATCHING_OPPORTUNITY,False,True
