review_item_id,planning_run_id,schedule_candidate_id,finished_sku,operation_id,wip_item_id,wip_buffer_id,issue_type,issue_severity,issue_description,recommended_review_action,auto_action_allowed,advisory_only_flag
WIP8D-REV-0001,PHASE4-MPS-20260711141513,PSC-SKU-BIKE-MT-001-20260629,SKU-BIKE-MT-001,MT-OP-010,,,CAPACITY_STILL_BLOCKED_AFTER_WIP,CRITICAL,Capacity remains blocked after WIP is considered.,REVIEW_CAPACITY_CONSTRAINT,False,True
WIP8D-REV-0002,PHASE4-MPS-20260711141513,PSC-SKU-BIKE-MT-001-20260629,SKU-BIKE-MT-001,MT-OP-010,,,MAINTENANCE_STILL_BLOCKED_AFTER_WIP,CRITICAL,Maintenance remains blocked after WIP is considered.,REVIEW_MAINTENANCE_BLOCKER,False,True
WIP8D-REV-0003,PHASE4-MPS-20260711141513,PSC-SKU-BIKE-MT-001-20260629,SKU-BIKE-MT-001,MT-OP-020,WIP-MT-FRAME-TO-FORK,BUF-MT-FRAME-FORK,WIP_SHORTAGE_SCHEDULE_RISK,HIGH,Accepted WIP does not cover the downstream operation requirement.,REVIEW_WIP_BUFFER_BUILD_PLAN,False,True
WIP8D-REV-0004,PHASE4-MPS-20260711141513,PSC-SKU-BIKE-MT-001-20260629,SKU-BIKE-MT-001,MT-OP-020,WIP-MT-FRAME-TO-FORK,BUF-MT-FRAME-FORK,MAINTENANCE_STILL_BLOCKED_AFTER_WIP,CRITICAL,Maintenance remains blocked after WIP is considered.,REVIEW_MAINTENANCE_BLOCKER,False,True
WIP8D-REV-0005,PHASE4-MPS-20260711141513,PSC-SKU-BIKE-MT-001-20260629,SKU-BIKE-MT-001,MT-OP-030,WIP-MT-FRAME-TO-WHEEL,BUF-MT-FRAME-WHEEL,WIP_SHORTAGE_SCHEDULE_RISK,HIGH,Accepted WIP does not cover the downstream operation requirement.,REVIEW_WIP_BUFFER_BUILD_PLAN,False,True
WIP8D-REV-0006,PHASE4-MPS-20260711141513,PSC-SKU-BIKE-MT-001-20260629,SKU-BIKE-MT-001,MT-OP-030,WIP-MT-FRAME-TO-WHEEL,BUF-MT-FRAME-WHEEL,CAPACITY_STILL_BLOCKED_AFTER_WIP,CRITICAL,Capacity remains blocked after WIP is considered.,REVIEW_CAPACITY_CONSTRAINT,False,True
WIP8D-REV-0007,PHASE4-MPS-20260711141513,PSC-SKU-BIKE-MT-001-20260629,SKU-BIKE-MT-001,MT-OP-030,WIP-MT-FRAME-TO-WHEEL,BUF-MT-FRAME-WHEEL,MAINTENANCE_STILL_BLOCKED_AFTER_WIP,CRITICAL,Maintenance remains blocked after WIP is considered.,REVIEW_MAINTENANCE_BLOCKER,False,True
WIP8D-REV-0008,PHASE4-MPS-20260711141513,PSC-SKU-BIKE-MT-001-20260629,SKU-BIKE-MT-001,MT-OP-040,WIP-MT-FRAME-TO-BRAKE,BUF-MT-FRAME-BRAKE,WIP_SHORTAGE_SCHEDULE_RISK,HIGH,Accepted WIP does not cover the downstream operation requirement.,REVIEW_WIP_BUFFER_BUILD_PLAN,False,True
WIP8D-REV-0009,PHASE4-MPS-20260711141513,PSC-SKU-BIKE-MT-001-20260629,SKU-BIKE-MT-001,MT-OP-040,WIP-MT-FRAME-TO-BRAKE,BUF-MT-FRAME-BRAKE,CAPACITY_STILL_BLOCKED_AFTER_WIP,CRITICAL,Capacity remains blocked after WIP is considered.,REVIEW_CAPACITY_CONSTRAINT,False,True
WIP8D-REV-0010,PHASE4-MPS-20260711141513,PSC-SKU-BIKE-MT-001-20260629,SKU-BIKE-MT-001,MT-OP-040,WIP-MT-FRAME-TO-BRAKE,BUF-MT-FRAME-BRAKE,MAINTENANCE_STILL_BLOCKED_AFTER_WIP,CRITICAL,Maintenance remains blocked after WIP is considered.,REVIEW_MAINTENANCE_BLOCKER,False,True
