planning_run_id,finished_sku,operation_id,operation_name,workstation_id,allowed_input_wip_item_id,allowed_input_wip_buffer_id,allowed_output_wip_item_id,allowed_output_wip_buffer_id,predecessor_operation_id,successor_operation_id,buffer_access_rule_type,merge_operation_flag,parallel_branch_flag,access_rule_status,source_phase,advisory_only_flag
PHASE4-MPS-20260726202343,SKU-BIKE-MT-001,MT-OP-010,Frame Preparation,WS-FRAME-PREP,,,WIP-MT-FRAME-TO-FORK,BUF-MT-FRAME-FORK,,MT-OP-020,FIRST_OPERATION_NO_INPUT_WIP,False,False,VALID_ACCESS_RULE,PHASE4_STEP8E_WIP_ACCESS_SETUP_CHANGEOVER_FOUNDATION,True
PHASE4-MPS-20260726202343,SKU-BIKE-MT-001,MT-OP-010,Frame Preparation,WS-FRAME-PREP,,,WIP-MT-FRAME-TO-WHEEL,BUF-MT-FRAME-WHEEL,,MT-OP-030,FIRST_OPERATION_NO_INPUT_WIP,False,False,VALID_ACCESS_RULE,PHASE4_STEP8E_WIP_ACCESS_SETUP_CHANGEOVER_FOUNDATION,True
PHASE4-MPS-20260726202343,SKU-BIKE-MT-001,MT-OP-010,Frame Preparation,WS-FRAME-PREP,,,WIP-MT-FRAME-TO-BRAKE,BUF-MT-FRAME-BRAKE,,MT-OP-040,FIRST_OPERATION_NO_INPUT_WIP,False,False,VALID_ACCESS_RULE,PHASE4_STEP8E_WIP_ACCESS_SETUP_CHANGEOVER_FOUNDATION,True
PHASE4-MPS-20260726202343,SKU-BIKE-MT-001,MT-OP-020,Fork and Suspension Prep,WS-FORK-SUSP,WIP-MT-FRAME-TO-FORK,BUF-MT-FRAME-FORK,WIP-MT-FORK-READY,BUF-MT-FORK,MT-OP-010,MT-OP-050,STRICT_PREDECESSOR_INPUT_BUFFER,False,True,VALID_ACCESS_RULE,PHASE4_STEP8E_WIP_ACCESS_SETUP_CHANGEOVER_FOUNDATION,True
PHASE4-MPS-20260726202343,SKU-BIKE-MT-001,MT-OP-030,Wheel Subassembly,WS-WHEEL-SUB,WIP-MT-FRAME-TO-WHEEL,BUF-MT-FRAME-WHEEL,WIP-MT-WHEEL-SET-READY,BUF-MT-WHEEL,MT-OP-010,MT-OP-050,STRICT_PREDECESSOR_INPUT_BUFFER,False,True,VALID_ACCESS_RULE,PHASE4_STEP8E_WIP_ACCESS_SETUP_CHANGEOVER_FOUNDATION,True
PHASE4-MPS-20260726202343,SKU-BIKE-MT-001,MT-OP-040,Brake Subassembly,WS-BRAKE-SUB,WIP-MT-FRAME-TO-BRAKE,BUF-MT-FRAME-BRAKE,WIP-MT-BRAKE-SET-READY,BUF-MT-BRAKE,MT-OP-010,MT-OP-050,STRICT_PREDECESSOR_INPUT_BUFFER,False,True,VALID_ACCESS_RULE,PHASE4_STEP8E_WIP_ACCESS_SETUP_CHANGEOVER_FOUNDATION,True
PHASE4-MPS-20260726202343,SKU-BIKE-MT-001,MT-OP-050,Final Assembly,WS-FINAL-ASM,WIP-MT-FORK-READY,BUF-MT-FORK,WIP-MT-FINAL-ASSEMBLY-READY,BUF-MT-ASM,MT-OP-020,MT-OP-060,MERGE_OPERATION_MULTIPLE_VALID_INPUT_BUFFERS,True,False,VALID_ACCESS_RULE,PHASE4_STEP8E_WIP_ACCESS_SETUP_CHANGEOVER_FOUNDATION,True
PHASE4-MPS-20260726202343,SKU-BIKE-MT-001,MT-OP-050,Final Assembly,WS-FINAL-ASM,WIP-MT-WHEEL-SET-READY,BUF-MT-WHEEL,WIP-MT-FINAL-ASSEMBLY-READY,BUF-MT-ASM,MT-OP-030,MT-OP-060,MERGE_OPERATION_MULTIPLE_VALID_INPUT_BUFFERS,True,False,VALID_ACCESS_RULE,PHASE4_STEP8E_WIP_ACCESS_SETUP_CHANGEOVER_FOUNDATION,True
PHASE4-MPS-20260726202343,SKU-BIKE-MT-001,MT-OP-050,Final Assembly,WS-FINAL-ASM,WIP-MT-BRAKE-SET-READY,BUF-MT-BRAKE,WIP-MT-FINAL-ASSEMBLY-READY,BUF-MT-ASM,MT-OP-040,MT-OP-060,MERGE_OPERATION_MULTIPLE_VALID_INPUT_BUFFERS,True,False,VALID_ACCESS_RULE,PHASE4_STEP8E_WIP_ACCESS_SETUP_CHANGEOVER_FOUNDATION,True
PHASE4-MPS-20260726202343,SKU-BIKE-MT-001,MT-OP-060,Final Quality Control,WS-QC,WIP-MT-FINAL-ASSEMBLY-READY,BUF-MT-ASM,WIP-MT-QC-PASSED,BUF-MT-QC,MT-OP-050,MT-OP-070,STRICT_PREDECESSOR_INPUT_BUFFER,False,False,VALID_ACCESS_RULE,PHASE4_STEP8E_WIP_ACCESS_SETUP_CHANGEOVER_FOUNDATION,True
