planning_run_id,wip_buffer_id,wip_buffer_name,wip_item_id,linked_workstation_id,max_buffer_qty,target_buffer_qty,min_buffer_qty,current_wip_qty,accepted_wip_qty,blocked_wip_qty,available_buffer_capacity_qty,buffer_utilization_pct,buffer_status,upstream_can_continue_flag,downstream_can_consume_wip_flag,overflow_risk_flag,shortage_risk_flag,source_phase,advisory_only_flag
PHASE4-MPS-20260726202343,BUF-ROAD-FRAME-WHEEL,Road Frame Wheel Branch Line Buffer,WIP-ROAD-FRAME-TO-WHEEL,WS-WHEEL-SUB,80.0,50.0,10.0,0.0,0.0,0.0,80.0,0.0,BELOW_MINIMUM,True,False,False,True,PHASE4_STEP8C_WIP_BATCH_TRACKING_BUFFER_FOUNDATION,True
PHASE4-MPS-20260726202343,BUF-ROAD-FRAME-BRAKE,Road Frame Brake Branch Line Buffer,WIP-ROAD-FRAME-TO-BRAKE,WS-BRAKE-SUB,80.0,50.0,10.0,0.0,0.0,0.0,80.0,0.0,BELOW_MINIMUM,True,False,False,True,PHASE4_STEP8C_WIP_BATCH_TRACKING_BUFFER_FOUNDATION,True
PHASE4-MPS-20260726202343,BUF-ROAD-WHEEL,Road Wheel Set WIP Storage,WIP-ROAD-WHEEL-SET-READY,WS-FINAL-ASM,120.0,80.0,20.0,42.0,40.0,2.0,78.0,35.0,WITHIN_TARGET,True,True,False,False,PHASE4_STEP8C_WIP_BATCH_TRACKING_BUFFER_FOUNDATION,True
PHASE4-MPS-20260726202343,BUF-ROAD-BRAKE,Road Brake Set WIP Storage,WIP-ROAD-BRAKE-SET-READY,WS-FINAL-ASM,120.0,80.0,20.0,38.0,38.0,0.0,82.0,31.6667,WITHIN_TARGET,True,True,False,False,PHASE4_STEP8C_WIP_BATCH_TRACKING_BUFFER_FOUNDATION,True
PHASE4-MPS-20260726202343,BUF-ROAD-ASM,Road Assembled Bike QC Buffer,WIP-ROAD-FINAL-ASSEMBLY-READY,WS-QC,60.0,35.0,5.0,16.0,0.0,2.0,44.0,26.6667,WITHIN_TARGET,True,False,False,False,PHASE4_STEP8C_WIP_BATCH_TRACKING_BUFFER_FOUNDATION,True
PHASE4-MPS-20260726202343,BUF-ROAD-QC,Road QC Passed Packaging Buffer,WIP-ROAD-QC-PASSED,WS-PACK,60.0,35.0,5.0,20.0,20.0,0.0,40.0,33.3333,WITHIN_TARGET,True,True,False,False,PHASE4_STEP8C_WIP_BATCH_TRACKING_BUFFER_FOUNDATION,True
PHASE4-MPS-20260726202343,BUF-MT-FRAME-FORK,Mountain Frame Fork Branch Line Buffer,WIP-MT-FRAME-TO-FORK,WS-FORK-SUSP,80.0,50.0,10.0,0.0,0.0,0.0,80.0,0.0,BELOW_MINIMUM,True,False,False,True,PHASE4_STEP8C_WIP_BATCH_TRACKING_BUFFER_FOUNDATION,True
PHASE4-MPS-20260726202343,BUF-MT-FRAME-WHEEL,Mountain Frame Wheel Branch Line Buffer,WIP-MT-FRAME-TO-WHEEL,WS-WHEEL-SUB,80.0,50.0,10.0,0.0,0.0,0.0,80.0,0.0,BELOW_MINIMUM,True,False,False,True,PHASE4_STEP8C_WIP_BATCH_TRACKING_BUFFER_FOUNDATION,True
PHASE4-MPS-20260726202343,BUF-MT-FRAME-BRAKE,Mountain Frame Brake Branch Line Buffer,WIP-MT-FRAME-TO-BRAKE,WS-BRAKE-SUB,80.0,50.0,10.0,0.0,0.0,0.0,80.0,0.0,BELOW_MINIMUM,True,False,False,True,PHASE4_STEP8C_WIP_BATCH_TRACKING_BUFFER_FOUNDATION,True
PHASE4-MPS-20260726202343,BUF-MT-FORK,Mountain Fork WIP Storage,WIP-MT-FORK-READY,WS-FINAL-ASM,120.0,80.0,20.0,30.0,0.0,2.0,90.0,25.0,WITHIN_TARGET,True,False,False,False,PHASE4_STEP8C_WIP_BATCH_TRACKING_BUFFER_FOUNDATION,True
PHASE4-MPS-20260726202343,BUF-MT-WHEEL,Mountain Wheel Set WIP Storage,WIP-MT-WHEEL-SET-READY,WS-FINAL-ASM,120.0,80.0,20.0,45.0,45.0,0.0,75.0,37.5,WITHIN_TARGET,True,True,False,False,PHASE4_STEP8C_WIP_BATCH_TRACKING_BUFFER_FOUNDATION,True
PHASE4-MPS-20260726202343,BUF-MT-BRAKE,Mountain Brake Set WIP Storage,WIP-MT-BRAKE-SET-READY,WS-FINAL-ASM,120.0,80.0,20.0,40.0,39.0,1.0,80.0,33.3333,WITHIN_TARGET,True,True,False,False,PHASE4_STEP8C_WIP_BATCH_TRACKING_BUFFER_FOUNDATION,True
PHASE4-MPS-20260726202343,BUF-MT-ASM,Mountain Assembled Bike QC Buffer,WIP-MT-FINAL-ASSEMBLY-READY,WS-QC,60.0,35.0,5.0,12.0,0.0,2.0,48.0,20.0,WITHIN_TARGET,True,False,False,False,PHASE4_STEP8C_WIP_BATCH_TRACKING_BUFFER_FOUNDATION,True
PHASE4-MPS-20260726202343,BUF-MT-QC,Mountain QC Passed Packaging Buffer,WIP-MT-QC-PASSED,WS-PACK,60.0,35.0,5.0,18.0,18.0,0.0,42.0,30.0,WITHIN_TARGET,True,True,False,False,PHASE4_STEP8C_WIP_BATCH_TRACKING_BUFFER_FOUNDATION,True
