planning_run_id,finished_sku,blocking_operation_id,blocking_operation_name,blocking_reason,upstream_operation_id,upstream_operation_name,upstream_workstation_id,wip_item_id,wip_buffer_id,current_accepted_wip_qty,target_buffer_qty,available_buffer_capacity_qty,upstream_can_continue_flag,downstream_can_resume_from_wip_flag,suggested_continuity_action,maintenance_opportunity_flag,continuity_status,source_phase,advisory_only_flag
PHASE4-MPS-20260721170405,SKU-BIKE-ROAD-001,ROAD-OP-020,Wheel Subassembly,DOWNSTREAM_MAINTENANCE_BLOCKED,ROAD-OP-010,Frame Preparation,WS-FRAME-PREP,WIP-ROAD-FRAME-TO-WHEEL,BUF-ROAD-FRAME-WHEEL,0.0,50.0,80.0,True,False,BUILD_WIP_TO_TARGET,False,CONTINUITY_SUPPORTED,PHASE4_STEP8C_WIP_BATCH_TRACKING_BUFFER_FOUNDATION,True
PHASE4-MPS-20260721170405,SKU-BIKE-ROAD-001,ROAD-OP-030,Brake Subassembly,DOWNSTREAM_MAINTENANCE_BLOCKED,ROAD-OP-010,Frame Preparation,WS-FRAME-PREP,WIP-ROAD-FRAME-TO-BRAKE,BUF-ROAD-FRAME-BRAKE,0.0,50.0,80.0,True,False,BUILD_WIP_TO_TARGET,False,CONTINUITY_SUPPORTED,PHASE4_STEP8C_WIP_BATCH_TRACKING_BUFFER_FOUNDATION,True
PHASE4-MPS-20260721170405,SKU-BIKE-ROAD-001,ROAD-OP-040,Final Assembly,DOWNSTREAM_MAINTENANCE_BLOCKED,ROAD-OP-020,Wheel Subassembly,WS-WHEEL-SUB,WIP-ROAD-WHEEL-SET-READY,BUF-ROAD-WHEEL,40.0,80.0,78.0,True,True,USE_WIP_FOR_DOWNSTREAM_RESUME,False,DOWNSTREAM_CAN_RESUME_FROM_WIP,PHASE4_STEP8C_WIP_BATCH_TRACKING_BUFFER_FOUNDATION,True
PHASE4-MPS-20260721170405,SKU-BIKE-ROAD-001,ROAD-OP-040,Final Assembly,DOWNSTREAM_MAINTENANCE_BLOCKED,ROAD-OP-030,Brake Subassembly,WS-BRAKE-SUB,WIP-ROAD-BRAKE-SET-READY,BUF-ROAD-BRAKE,38.0,80.0,82.0,True,True,USE_WIP_FOR_DOWNSTREAM_RESUME,False,DOWNSTREAM_CAN_RESUME_FROM_WIP,PHASE4_STEP8C_WIP_BATCH_TRACKING_BUFFER_FOUNDATION,True
PHASE4-MPS-20260721170405,SKU-BIKE-ROAD-001,ROAD-OP-050,Final Quality Control,DOWNSTREAM_MAINTENANCE_BLOCKED,ROAD-OP-040,Final Assembly,WS-FINAL-ASM,WIP-ROAD-FINAL-ASSEMBLY-READY,BUF-ROAD-ASM,0.0,35.0,44.0,True,False,BUILD_WIP_TO_TARGET,False,CONTINUITY_SUPPORTED,PHASE4_STEP8C_WIP_BATCH_TRACKING_BUFFER_FOUNDATION,True
PHASE4-MPS-20260721170405,SKU-BIKE-ROAD-001,ROAD-OP-060,Packaging,DOWNSTREAM_MAINTENANCE_BLOCKED,ROAD-OP-050,Final Quality Control,WS-QC,WIP-ROAD-QC-PASSED,BUF-ROAD-QC,20.0,35.0,40.0,True,True,USE_WIP_FOR_DOWNSTREAM_RESUME,False,DOWNSTREAM_CAN_RESUME_FROM_WIP,PHASE4_STEP8C_WIP_BATCH_TRACKING_BUFFER_FOUNDATION,True
PHASE4-MPS-20260721170405,SKU-BIKE-MT-001,MT-OP-020,Fork and Suspension Prep,DOWNSTREAM_CAPACITY_BLOCKED,MT-OP-010,Frame Preparation,WS-FRAME-PREP,WIP-MT-FRAME-TO-FORK,BUF-MT-FRAME-FORK,0.0,50.0,80.0,True,False,BUILD_WIP_TO_TARGET,False,CONTINUITY_SUPPORTED,PHASE4_STEP8C_WIP_BATCH_TRACKING_BUFFER_FOUNDATION,True
PHASE4-MPS-20260721170405,SKU-BIKE-MT-001,MT-OP-030,Wheel Subassembly,DOWNSTREAM_MAINTENANCE_BLOCKED,MT-OP-010,Frame Preparation,WS-FRAME-PREP,WIP-MT-FRAME-TO-WHEEL,BUF-MT-FRAME-WHEEL,0.0,50.0,80.0,True,False,BUILD_WIP_TO_TARGET,False,CONTINUITY_SUPPORTED,PHASE4_STEP8C_WIP_BATCH_TRACKING_BUFFER_FOUNDATION,True
PHASE4-MPS-20260721170405,SKU-BIKE-MT-001,MT-OP-040,Brake Subassembly,DOWNSTREAM_MAINTENANCE_BLOCKED,MT-OP-010,Frame Preparation,WS-FRAME-PREP,WIP-MT-FRAME-TO-BRAKE,BUF-MT-FRAME-BRAKE,0.0,50.0,80.0,True,False,BUILD_WIP_TO_TARGET,False,CONTINUITY_SUPPORTED,PHASE4_STEP8C_WIP_BATCH_TRACKING_BUFFER_FOUNDATION,True
PHASE4-MPS-20260721170405,SKU-BIKE-MT-001,MT-OP-050,Final Assembly,DOWNSTREAM_MAINTENANCE_BLOCKED,MT-OP-020,Fork and Suspension Prep,WS-FORK-SUSP,WIP-MT-FORK-READY,BUF-MT-FORK,0.0,80.0,90.0,True,False,BUILD_WIP_TO_TARGET,False,CONTINUITY_SUPPORTED,PHASE4_STEP8C_WIP_BATCH_TRACKING_BUFFER_FOUNDATION,True
