review_item_id,planning_run_id,wip_batch_id,wip_item_id,wip_buffer_id,operation_id,issue_type,issue_severity,issue_description,recommended_review_action,auto_action_allowed,advisory_only_flag
WIPR-0001,PHASE4-MPS-20260726202343,,WIP-ROAD-FRAME-TO-WHEEL,BUF-ROAD-FRAME-WHEEL,,WIP_SHORTAGE_RISK,MEDIUM,WIP buffer is below minimum target.,REVIEW_WIP_BUILD_PLAN,False,True
WIPR-0002,PHASE4-MPS-20260726202343,,WIP-ROAD-FRAME-TO-BRAKE,BUF-ROAD-FRAME-BRAKE,,WIP_SHORTAGE_RISK,MEDIUM,WIP buffer is below minimum target.,REVIEW_WIP_BUILD_PLAN,False,True
WIPR-0003,PHASE4-MPS-20260726202343,,WIP-MT-FRAME-TO-FORK,BUF-MT-FRAME-FORK,,WIP_SHORTAGE_RISK,MEDIUM,WIP buffer is below minimum target.,REVIEW_WIP_BUILD_PLAN,False,True
WIPR-0004,PHASE4-MPS-20260726202343,,WIP-MT-FRAME-TO-WHEEL,BUF-MT-FRAME-WHEEL,,WIP_SHORTAGE_RISK,MEDIUM,WIP buffer is below minimum target.,REVIEW_WIP_BUILD_PLAN,False,True
WIPR-0005,PHASE4-MPS-20260726202343,,WIP-MT-FRAME-TO-BRAKE,BUF-MT-FRAME-BRAKE,,WIP_SHORTAGE_RISK,MEDIUM,WIP buffer is below minimum target.,REVIEW_WIP_BUILD_PLAN,False,True
WIPR-0006,PHASE4-MPS-20260726202343,WIPB-ROAD-ASM-001,WIP-ROAD-FINAL-ASSEMBLY-READY,,,WIP_QUALITY_REVIEW,HIGH,WIP batch requires quality or rework review.,REVIEW_WIP_QUALITY,False,True
WIPR-0007,PHASE4-MPS-20260726202343,WIPB-MT-FORK-001,WIP-MT-FORK-READY,,,WIP_QUALITY_REVIEW,HIGH,WIP batch requires quality or rework review.,REVIEW_WIP_QUALITY,False,True
WIPR-0008,PHASE4-MPS-20260726202343,WIPB-MT-ASM-001,WIP-MT-FINAL-ASSEMBLY-READY,,,WIP_QUALITY_REVIEW,HIGH,WIP batch requires quality or rework review.,REVIEW_WIP_QUALITY,False,True
WIPR-0009,PHASE4-MPS-20260726202343,WIPB-ROAD-ASM-001,WIP-ROAD-FINAL-ASSEMBLY-READY,,ROAD-OP-050,WIP_BLOCKED,HIGH,WIP batch is blocked before next operation.,REVIEW_BLOCKED_WIP,False,True
WIPR-0010,PHASE4-MPS-20260726202343,WIPB-MT-FORK-001,WIP-MT-FORK-READY,,MT-OP-050,WIP_BLOCKED,HIGH,WIP batch is blocked before next operation.,REVIEW_BLOCKED_WIP,False,True
WIPR-0011,PHASE4-MPS-20260726202343,WIPB-MT-ASM-001,WIP-MT-FINAL-ASSEMBLY-READY,,MT-OP-060,WIP_BLOCKED,HIGH,WIP batch is blocked before next operation.,REVIEW_BLOCKED_WIP,False,True
