planning_run_id,finished_sku,wip_item_id,wip_item_name,produced_by_operation_id,produced_by_operation_name,consumed_by_operation_id,consumed_by_operation_name,produced_by_workstation_id,consumed_by_workstation_id,routing_edge_id,parallel_branch_flag,merge_dependency_flag,final_assembly_input_flag,flow_map_status,source_phase,advisory_only_flag
PHASE4-MPS-20260721170405,SKU-BIKE-ROAD-001,WIP-ROAD-FRAME-TO-WHEEL,Road Frame Ready For Wheel Branch,ROAD-OP-010,Frame Preparation,ROAD-OP-020,Wheel Subassembly,WS-FRAME-PREP,WS-WHEEL-SUB,ROAD-OP-010->ROAD-OP-020,True,False,False,VALID_FLOW,PHASE4_STEP8C_WIP_BATCH_TRACKING_BUFFER_FOUNDATION,True
PHASE4-MPS-20260721170405,SKU-BIKE-ROAD-001,WIP-ROAD-FRAME-TO-BRAKE,Road Frame Ready For Brake Branch,ROAD-OP-010,Frame Preparation,ROAD-OP-030,Brake Subassembly,WS-FRAME-PREP,WS-BRAKE-SUB,ROAD-OP-010->ROAD-OP-030,True,False,False,VALID_FLOW,PHASE4_STEP8C_WIP_BATCH_TRACKING_BUFFER_FOUNDATION,True
PHASE4-MPS-20260721170405,SKU-BIKE-ROAD-001,WIP-ROAD-WHEEL-SET-READY,Road Wheel Set Ready,ROAD-OP-020,Wheel Subassembly,ROAD-OP-040,Final Assembly,WS-WHEEL-SUB,WS-FINAL-ASM,ROAD-OP-020->ROAD-OP-040,False,True,True,VALID_FLOW,PHASE4_STEP8C_WIP_BATCH_TRACKING_BUFFER_FOUNDATION,True
PHASE4-MPS-20260721170405,SKU-BIKE-ROAD-001,WIP-ROAD-BRAKE-SET-READY,Road Brake Set Ready,ROAD-OP-030,Brake Subassembly,ROAD-OP-040,Final Assembly,WS-BRAKE-SUB,WS-FINAL-ASM,ROAD-OP-030->ROAD-OP-040,False,True,True,VALID_FLOW,PHASE4_STEP8C_WIP_BATCH_TRACKING_BUFFER_FOUNDATION,True
PHASE4-MPS-20260721170405,SKU-BIKE-ROAD-001,WIP-ROAD-FINAL-ASSEMBLY-READY,Road Final Assembly Ready,ROAD-OP-040,Final Assembly,ROAD-OP-050,Final Quality Control,WS-FINAL-ASM,WS-QC,ROAD-OP-040->ROAD-OP-050,False,False,False,VALID_FLOW,PHASE4_STEP8C_WIP_BATCH_TRACKING_BUFFER_FOUNDATION,True
PHASE4-MPS-20260721170405,SKU-BIKE-ROAD-001,WIP-ROAD-QC-PASSED,Road QC Passed,ROAD-OP-050,Final Quality Control,ROAD-OP-060,Packaging,WS-QC,WS-PACK,ROAD-OP-050->ROAD-OP-060,False,False,False,VALID_FLOW,PHASE4_STEP8C_WIP_BATCH_TRACKING_BUFFER_FOUNDATION,True
PHASE4-MPS-20260721170405,SKU-BIKE-MT-001,WIP-MT-FRAME-TO-FORK,Mountain Frame Ready For Fork Branch,MT-OP-010,Frame Preparation,MT-OP-020,Fork and Suspension Prep,WS-FRAME-PREP,WS-FORK-SUSP,MT-OP-010->MT-OP-020,True,False,False,VALID_FLOW,PHASE4_STEP8C_WIP_BATCH_TRACKING_BUFFER_FOUNDATION,True
PHASE4-MPS-20260721170405,SKU-BIKE-MT-001,WIP-MT-FRAME-TO-WHEEL,Mountain Frame Ready For Wheel Branch,MT-OP-010,Frame Preparation,MT-OP-030,Wheel Subassembly,WS-FRAME-PREP,WS-WHEEL-SUB,MT-OP-010->MT-OP-030,True,False,False,VALID_FLOW,PHASE4_STEP8C_WIP_BATCH_TRACKING_BUFFER_FOUNDATION,True
PHASE4-MPS-20260721170405,SKU-BIKE-MT-001,WIP-MT-FRAME-TO-BRAKE,Mountain Frame Ready For Brake Branch,MT-OP-010,Frame Preparation,MT-OP-040,Brake Subassembly,WS-FRAME-PREP,WS-BRAKE-SUB,MT-OP-010->MT-OP-040,True,False,False,VALID_FLOW,PHASE4_STEP8C_WIP_BATCH_TRACKING_BUFFER_FOUNDATION,True
PHASE4-MPS-20260721170405,SKU-BIKE-MT-001,WIP-MT-FORK-READY,Mountain Fork Ready,MT-OP-020,Fork and Suspension Prep,MT-OP-050,Final Assembly,WS-FORK-SUSP,WS-FINAL-ASM,MT-OP-020->MT-OP-050,False,True,True,VALID_FLOW,PHASE4_STEP8C_WIP_BATCH_TRACKING_BUFFER_FOUNDATION,True
PHASE4-MPS-20260721170405,SKU-BIKE-MT-001,WIP-MT-WHEEL-SET-READY,Mountain Wheel Set Ready,MT-OP-030,Wheel Subassembly,MT-OP-050,Final Assembly,WS-WHEEL-SUB,WS-FINAL-ASM,MT-OP-030->MT-OP-050,False,True,True,VALID_FLOW,PHASE4_STEP8C_WIP_BATCH_TRACKING_BUFFER_FOUNDATION,True
