po_id,sku_id,supplier_id,order_date,ordered_quantity,promised_delivery_date,expected_unit_cost
PO-00001,SKU-COF-001,SUP-001,2026-02-18,80,2026-03-07,2.35
PO-00002,SKU-TEA-002,SUP-001,2026-02-21,285,2026-03-11,3.67
PO-00003,SKU-SUP-004,SUP-001,2026-02-27,120,2026-03-16,6.48
PO-00004,SKU-BBQ-006,SUP-001,2026-02-28,285,2026-03-20,8.47
PO-00005,SKU-BAT-008,SUP-001,2026-03-06,120,2026-03-24,11.46
PO-00006,SKU-GFT-010,SUP-001,2026-03-11,285,2026-03-28,14.69
PO-00007,SKU-COF-001,SUP-001,2026-03-16,80,2026-04-02,2.35
PO-00008,SKU-TEA-002,SUP-001,2026-03-19,285,2026-04-06,3.67
PO-00009,SKU-SUP-004,SUP-001,2026-03-24,120,2026-04-10,6.48
PO-00010,SKU-BBQ-006,SUP-001,2026-03-26,285,2026-04-15,8.47
PO-00011,SKU-BAT-008,SUP-001,2026-04-01,120,2026-04-19,11.46
PO-00012,SKU-GFT-010,SUP-001,2026-04-06,285,2026-04-23,14.69
PO-00013,SKU-COF-001,SUP-001,2026-04-11,80,2026-04-28,2.35
PO-00014,SKU-TEA-002,SUP-001,2026-04-14,285,2026-05-02,3.67
PO-00015,SKU-SUP-004,SUP-001,2026-04-19,120,2026-05-06,6.48
PO-00016,SKU-BBQ-006,SUP-001,2026-04-20,285,2026-05-10,8.47
PO-00017,SKU-BAT-008,SUP-001,2026-04-27,120,2026-05-15,11.46
PO-00018,SKU-GFT-010,SUP-001,2026-05-02,285,2026-05-19,14.69
PO-00019,SKU-COF-001,SUP-001,2026-05-18,240,2026-06-02,2.05
PO-00020,SKU-TEA-002,SUP-001,2026-05-19,95,2026-06-05,3.2
PO-00021,SKU-SUP-004,SUP-001,2026-05-23,360,2026-06-07,5.64
PO-00022,SKU-BBQ-006,SUP-001,2026-05-22,95,2026-06-10,7.37
PO-00023,SKU-BAT-008,SUP-001,2026-05-27,360,2026-06-12,9.97
