sku_id,supplier_id,unit_cost,moq,batch_size,lead_time_mean_days,lead_time_std_days,yield_rate,defect_rate,delay_probability,partial_delivery_rate,fixed_order_cost,delivery_cost,cost_per_late_day,partial_delivery_penalty,quality_rejection_cost_per_unit,supplier_priority,is_primary_supplier
SKU-COF-001,SUP-001,2.18,80,60,15,6.2,0.86,0.14,0.43,0.28,65.0,180.0,55.0,260.0,9.0,1,True
SKU-COF-001,SUP-002,3.75,55,40,10,1.4,0.985,0.015,0.045,0.025,95.0,130.0,18.0,65.0,4.0,2,False
SKU-COF-001,SUP-003,2.97,40,25,4,1.1,0.88,0.12,0.12,0.08,55.0,90.0,30.0,120.0,14.0,3,False
SKU-COF-001,SUP-006,2.02,170,135,16,4.2,0.935,0.065,0.24,0.1,180.0,70.0,28.0,140.0,6.0,4,False
SKU-TEA-002,SUP-001,3.4,95,70,16,6.5,0.854,0.146,0.445,0.292,66.3,182.7,56.65,265.2,9.22,1,True
SKU-TEA-002,SUP-002,5.84,65,50,12,1.6,0.979,0.021,0.06,0.037,96.9,131.95,18.54,66.3,4.1,2,False
SKU-TEA-002,SUP-005,4.27,65,45,14,8.1,0.904,0.096,0.375,0.232,71.4,152.25,46.35,224.4,8.2,3,False
SKU-TEA-002,SUP-007,5.31,30,20,8,2.6,0.939,0.061,0.155,0.072,35.7,111.65,24.72,96.9,6.15,4,False
SKU-SUN-003,SUP-002,8.02,75,55,13,1.4,0.973,0.027,0.075,0.049,98.8,133.9,18.0,67.6,4.2,1,True
SKU-SUN-003,SUP-003,6.34,50,35,7,1.1,0.868,0.132,0.15,0.104,57.2,92.7,30.0,124.8,14.7,2,False
SKU-SUN-003,SUP-004,6.7,85,60,25,2.0,0.953,0.047,0.1,0.064,88.4,77.25,20.0,83.2,5.25,3,False
SKU-SUN-003,SUP-005,5.87,70,55,16,7.8,0.898,0.102,0.39,0.244,72.8,154.5,45.0,228.8,8.4,4,False
SKU-SUP-004,SUP-001,6.0,120,90,15,6.5,0.86,0.14,0.475,0.28,65.0,188.1,56.65,275.6,9.67,1,True
SKU-SUP-004,SUP-004,8.61,95,70,22,2.2,0.965,0.035,0.115,0.04,85.0,78.38,20.6,84.8,5.38,2,False
SKU-SUP-004,SUP-006,5.53,250,200,16,4.5,0.935,0.065,0.285,0.1,180.0,73.15,28.84,148.4,6.45,3,False
SKU-SUP-004,SUP-007,9.38,40,30,7,2.6,0.945,0.055,0.185,0.06,35.0,114.95,24.72,100.7,6.45,4,False
SKU-CHC-005,SUP-002,12.68,55,40,12,1.4,0.979,0.021,0.045,0.037,96.9,130.0,18.0,70.2,4.0,1,True
SKU-CHC-005,SUP-003,10.03,40,25,6,1.1,0.874,0.126,0.12,0.092,56.1,90.0,30.0,129.6,14.0,2,False
SKU-CHC-005,SUP-005,9.27,55,40,14,7.8,0.904,0.096,0.36,0.232,71.4,150.0,45.0,237.6,8.0,3,False
SKU-CHC-005,SUP-006,6.81,170,135,18,4.2,0.929,0.071,0.24,0.112,183.6,70.0,28.0,151.2,6.0,4,False
SKU-BBQ-006,SUP-001,7.84,95,70,18,6.5,0.848,0.152,0.445,0.304,67.6,182.7,56.65,260.0,9.22,1,True
SKU-BBQ-006,SUP-004,11.26,75,55,25,2.2,0.953,0.047,0.085,0.064,88.4,76.12,20.6,80.0,5.12,2,False
SKU-BBQ-006,SUP-005,9.85,65,45,16,8.1,0.898,0.102,0.375,0.244,72.8,152.25,46.35,220.0,8.2,3,False
SKU-BBQ-006,SUP-006,7.24,195,155,19,4.5,0.923,0.077,0.255,0.124,187.2,71.05,28.84,140.0,6.15,4,False
SKU-UMR-007,SUP-002,15.8,75,55,10,1.4,0.985,0.015,0.075,0.025,95.0,133.9,18.0,66.3,4.2,1,True
SKU-UMR-007,SUP-003,12.49,50,35,4,1.1,0.88,0.12,0.15,0.08,55.0,92.7,30.0,122.4,14.7,2,False
SKU-UMR-007,SUP-004,13.2,85,60,22,2.0,0.965,0.035,0.1,0.04,85.0,77.25,20.0,81.6,5.25,3,False
