sku_id,recommended_supplier_id,backup_supplier_id,recommended_supplier_feasible,backup_supplier_feasible,recommended_supplier_history_status,backup_supplier_history_status,supplier_trend_status,supplier_watchlist_flag,supplier_watchlist_reason,recommended_supplier_evidence_status,recommended_supplier_evidence_warning,recommended_supplier_requires_review,backup_supplier_evidence_status,backup_supplier_evidence_warning,backup_supplier_requires_review,expected_lead_time_days,expected_arrival_date,unit_cost,moq,batch_size,expected_yield_rate,final_feasible_order_quantity,feasibility_warning,feasibility_reason,cost_score_basis,normalized_total_cost_score,demand_behavior_class,champion_confidence_score,champion_risk_level,average_p50_forecast,average_p90_forecast,demand_adjusted_procurement_risk_score,demand_adjusted_procurement_risk_class,demand_context_status,adjusted_supplier_score,estimated_total_procurement_cost,estimated_product_cost,estimated_fixed_order_cost,estimated_delivery_cost,estimated_expected_delay_cost,estimated_expected_partial_delivery_cost,estimated_expected_quality_cost,reference_order_quantity,procurement_risk_score,procurement_risk_class,split_sourcing_recommendation,recommended_primary_share,recommended_backup_share,selection_reason
SKU-BAT-008,SUP-007,SUP-001,True,True,HISTORICAL,HISTORICAL,INSUFFICIENT_DATA,False,Insufficient recent or baseline data for trend detection.,LIMITED_HISTORY,LIMITED_TREND_DATA,False,STRONG_HISTORY,NONE,False,8,2026-06-19,16.59,40,30,0.939,40.0,HIGH_MOQ_VS_DEMAND,MOQ is high compared to expected demand.,estimated_total_procurement_cost,1.0,intermittent,0.6767428727151423,MEDIUM_RISK,3.4730487734487734,3.4730487734487734,0.30232269327461886,MEDIUM,LOADED_FROM_PHASE1,0.8688221313131312,848.9919200000002,663.6,35.7,114.95,11.89032,7.113599999999999,15.738,40.0,0.19212303030303032,LOW,False,1.0,0.0,Single sourcing recommended because supplier has LOW demand-adjusted risk and clearly highest adjusted score. Supplier selected despite limited trend data because it has the best adjusted score and is feasible. Limited trend data is noted for procurement monitoring.
SKU-BBQ-006,SUP-004,SUP-001,True,True,HISTORICAL,HISTORICAL,WATCHLIST,True,Delay trend is worsening.,STRONG_HISTORY,WATCHLIST_SUPPLIER,True,STRONG_HISTORY,NONE,False,25,2026-07-06,11.26,75,55,0.953,75.0,NONE,Supplier option is feasible.,estimated_total_procurement_cost,1.0,variable,0.8770335782591818,LOW_RISK,24.56454571903451,25.68258726432594,0.13039803301932493,LOW,LOADED_FROM_PHASE1,0.7191191151671363,1036.0402,844.5,88.4,76.12,3.8522000000000007,5.12,18.048,75.0,0.10037721446574584,LOW,False,1.0,0.0,Single sourcing recommended because supplier has LOW demand-adjusted risk and clearly highest adjusted score. Supplier selected with caution because supplier is on the watchlist. Review recommended.
SKU-CHC-005,SUP-003,SUP-002,True,True,HISTORICAL,HISTORICAL,MIXED,False,Supplier performance trend is acceptable for current review.,STRONG_HISTORY,NONE,False,STRONG_HISTORY,NONE,False,6,2026-06-17,10.03,40,25,0.874,40.0,LOW_YIELD_REQUIRES_EXTRA_ORDERING,Low yield requires ordering extra quantity.,estimated_total_procurement_cost,1.0,smooth,0.9715421832144412,LOW_RISK,18.99866977844311,19.083469838866268,0.11164839660191503,LOW,LOADED_FROM_PHASE1,0.9696224758467822,633.7431999999999,401.2,56.1,90.0,3.96,11.9232,70.56,40.0,0.10463062801932367,LOW,False,1.0,0.0,Single sourcing recommended because supplier has LOW demand-adjusted risk and clearly highest adjusted score. Supplier selected due to lowest estimated total procurement cost and acceptable reliability.
SKU-COF-001,SUP-003,SUP-002,True,True,HISTORICAL,HISTORICAL,MIXED,False,Supplier performance trend is acceptable for current review.,STRONG_HISTORY,NONE,False,STRONG_HISTORY,NONE,False,4,2026-06-15,2.97,40,25,0.88,50.0,LOW_YIELD_REQUIRES_EXTRA_ORDERING,Low yield requires ordering extra quantity.,estimated_total_procurement_cost,1.0,smooth,0.9788810204272372,LOW_RISK,43.667053050294236,43.671395652516075,0.10568382150967567,LOW,LOADED_FROM_PHASE1,0.9706847610138412,391.06,148.5,55.0,90.0,3.96,9.6,84.0,50.0,0.10121062801932368,LOW,False,1.0,0.0,Single sourcing recommended because supplier has LOW demand-adjusted risk and clearly highest adjusted score. Supplier selected due to lowest estimated total procurement cost and acceptable reliability.
SKU-FIL-009,SUP-002,SUP-004,True,True,HISTORICAL,HISTORICAL,HEALTHY,False,Supplier performance trend is acceptable for current review.,STRONG_HISTORY,NONE,False,STRONG_HISTORY,WATCHLIST_SUPPLIER,True,13,2026-06-24,20.74,55,40,0.973,55.0,HIGH_MOQ_VS_DEMAND,MOQ is high compared to expected demand.,estimated_total_procurement_cost,0.9046325778168054,intermittent,0.6927365724790615,MEDIUM_RISK,0.8333375407174547,0.8334174444298107,0.18271942327289264,LOW,LOADED_FROM_PHASE1,0.9727733026303592,1379.9500999999998,1140.6999999999998,98.8,130.0,1.134,3.3761000000000005,5.9399999999999995,55.0,0.0652124852071006,LOW,False,1.0,0.0,Single sourcing recommended because supplier has LOW demand-adjusted risk and clearly highest adjusted score. Cheapest supplier was not selected because MOQ is too high relative to expected demand.
SKU-GFT-010,SUP-003,SUP-007,True,True,HISTORICAL,HISTORICAL,MIXED,False,Supplier performance trend is acceptable for current review.,STRONG_HISTORY,NONE,False,LIMITED_HISTORY,LIMITED_TREND_DATA,False,4,2026-06-15,18.48,45,30,0.88,45.0,HIGH_MOQ_VS_DEMAND;LOW_YIELD_REQUIRES_EXTRA_ORDERING,MOQ is high compared to expected demand.,estimated_total_procurement_cost,0.8705542695287578,intermittent,0.638439161333911,MEDIUM_RISK,0.6666712161685019,0.6667109230857101,0.235511460659731,LOW,LOADED_FROM_PHASE1,0.9456460020938122,1071.6481,831.6,55.0,91.35,5.8401,10.368,77.49,45.0,0.11111062801932367,LOW,False,1.0,0.0,Single sourcing recommended because supplier has LOW demand-adjusted risk and clearly highest adjusted score. Cheapest supplier was not selected because MOQ is too high relative to expected demand.
SKU-SUN-003,SUP-003,SUP-004,True,True,HISTORICAL,HISTORICAL,MIXED,False,Supplier performance trend is acceptable for current review.,STRONG_HISTORY,NONE,False,STRONG_HISTORY,WATCHLIST_SUPPLIER,True,7,2026-06-18,6.34,50,35,0.868,70.0,LOW_YIELD_REQUIRES_EXTRA_ORDERING,Low yield requires ordering extra quantity.,estimated_total_procurement_cost,1.0,erratic,0.72010023085242,MEDIUM_RISK,27.866666666666667,32.86666666666667,0.18830834621046738,LOW,LOADED_FROM_PHASE1,0.9614497552334943,747.4572000000001,443.8,57.2,92.7,4.95,12.979199999999999,135.828,70.0,0.11465062801932367,LOW,False,1.0,0.0,"Single sourcing recommended because supplier has LOW demand-adjusted risk and clearly highest adjusted score. Supplier selected because it is feasible, has strong total cost performance, and has sufficient historical evidence."
SKU-SUP-004,SUP-007,SUP-004,True,True,HISTORICAL,HISTORICAL,INSUFFICIENT_DATA,False,Insufficient recent or baseline data for trend detection.,LIMITED_HISTORY,LIMITED_TREND_DATA,False,STRONG_HISTORY,WATCHLIST_SUPPLIER,True,7,2026-06-18,9.38,40,30,0.945,40.0,NONE,Supplier option is feasible.,estimated_total_procurement_cost,1.0,variable,0.8294245150932132,MEDIUM_RISK,12.03809523809524,13.380952380952381,0.2390816737088639,LOW,LOADED_FROM_PHASE1,0.8398931313131313,557.2723200000001,375.20000000000005,35.0,114.95,11.89032,6.042,14.190000000000001,40.0,0.18870303030303032,LOW,False,1.0,0.0,Single sourcing recommended because supplier has LOW demand-adjusted risk and clearly highest adjusted score. Supplier selected despite limited trend data because it has the best adjusted score and is feasible. Limited trend data is noted for procurement monitoring.
SKU-TEA-002,SUP-007,SUP-002,True,True,HISTORICAL,HISTORICAL,INSUFFICIENT_DATA,False,Insufficient recent or baseline data for trend detection.,LIMITED_HISTORY,LIMITED_TREND_DATA,False,STRONG_HISTORY,NONE,False,8,2026-06-19,5.31,30,20,0.939,60.0,NONE,Supplier option is feasible.,estimated_total_procurement_cost,1.0,variable,0.9135356253188412,LOW_RISK,47.510914203685545,47.83557365015667,0.20281053627111012,LOW,LOADED_FROM_PHASE1,0.8391521313131312,505.39795999999996,318.59999999999997,35.7,111.65,9.96216,6.9768,22.509000000000004,60.0,0.1855230303030303,LOW,False,1.0,0.0,Single sourcing recommended because supplier has LOW demand-adjusted risk and clearly highest adjusted score. Supplier selected despite limited trend data because it has the best adjusted score and is feasible. Limited trend data is noted for procurement monitoring.
SKU-UMR-007,SUP-003,SUP-007,True,True,HISTORICAL,HISTORICAL,MIXED,False,Supplier performance trend is acceptable for current review.,STRONG_HISTORY,NONE,False,LIMITED_HISTORY,LIMITED_TREND_DATA,False,4,2026-06-15,12.49,50,35,0.88,50.0,HIGH_MOQ_VS_DEMAND;LOW_YIELD_REQUIRES_EXTRA_ORDERING,MOQ is high compared to expected demand.,estimated_total_procurement_cost,0.73640519681923,smooth,0.9781453479708776,LOW_RISK,5.800035273741638,5.8000377103658325,0.11308721088693155,LOW,LOADED_FROM_PHASE1,0.8863335741202248,875.142,624.5,55.0,92.7,4.95,9.792,88.19999999999999,50.0,0.10781062801932367,LOW,False,1.0,0.0,Single sourcing recommended because supplier has LOW demand-adjusted risk and clearly highest adjusted score. Cheapest supplier was not selected because MOQ is too high relative to expected demand.
