sku_id,supplier_id,unit_cost,moq,batch_size,lead_time_mean_days,lead_time_std_days,yield_rate,defect_rate,delay_probability,partial_delivery_rate,fixed_order_cost,delivery_cost,cost_per_late_day,partial_delivery_penalty,quality_rejection_cost_per_unit,supplier_history_status,supplier_trend_status,supplier_watchlist_flag,supplier_watchlist_reason,supplier_evidence_status,supplier_evidence_warning,supplier_requires_review,reference_order_quantity,estimated_product_cost,estimated_fixed_order_cost,estimated_delivery_cost,estimated_expected_delay_cost,estimated_expected_partial_delivery_cost,estimated_expected_quality_cost,estimated_total_procurement_cost,cost_score_basis,normalized_total_cost_score,demand_behavior_class,zero_demand_ratio,coefficient_of_variation,event_affected_ratio,data_sufficiency_class,champion_model,champion_confidence_score,champion_risk_level,average_p50_forecast,average_p90_forecast,average_forecast_confidence_score,dominant_forecast_risk_level,demand_context_status,demand_adjusted_procurement_risk_score,demand_adjusted_procurement_risk_class,demand_context_adjustment,supplier_trend_adjustment,reference_usable_quantity,reference_quantity_source,yield_adjusted_order_quantity,batch_rounded_order_quantity,moq_adjusted_order_quantity,final_feasible_order_quantity,is_supplier_active,is_feasible_supplier_option,feasibility_warning,feasibility_reason,supplier_score,adjusted_supplier_score,procurement_risk_score,procurement_risk_class
SKU-BAT-008,SUP-001,10.61,120,90,16,6.5,0.854,0.146,0.475,0.292,66.3,188.1,56.65,270.4,9.67,HISTORICAL,IMPROVING,False,Supplier performance is improving across most metrics.,STRONG_HISTORY,NONE,False,120.0,1273.1999999999998,66.3,188.1,174.90687499999999,78.95679999999999,169.4184,1950.8820749999995,estimated_total_procurement_cost,0.4553295478950672,intermittent,0.6574585635359116,1.7252946396530315,0.0828729281767955,high,random_forest,0.6767428727151423,MEDIUM_RISK,3.4730487734487734,3.4730487734487734,0.6767428727151424,MEDIUM_RISK,LOADED_FROM_PHASE1,0.5033251737036817,HIGH,0.0032665762093717354,0.02,3.4730487734487734,AVERAGE_P90_FORECAST,4.06680184244587,90.0,120.0,120.0,True,True,HIGH_MOQ_VS_DEMAND;LOW_YIELD_REQUIRES_EXTRA_ORDERING,MOQ is high compared to expected demand.,0.5037998816731801,0.5270664578825519,0.3931255107320932,MEDIUM
SKU-BAT-008,SUP-005,13.33,80,60,14,8.1,0.904,0.096,0.405,0.232,71.4,156.75,46.35,228.8,8.6,HISTORICAL,WATCHLIST,True,Multiple supplier performance metrics are worsening.,STRONG_HISTORY,WATCHLIST_SUPPLIER,True,80.0,1066.4,71.4,156.75,152.051175,53.08160000000001,66.048,1565.7307750000002,estimated_total_procurement_cost,0.6457119846088268,intermittent,0.6574585635359116,1.7252946396530315,0.0828729281767955,high,random_forest,0.6767428727151423,MEDIUM_RISK,3.4730487734487734,3.4730487734487734,0.6767428727151424,MEDIUM_RISK,LOADED_FROM_PHASE1,0.48074064301527286,MEDIUM,0.02449579831932773,-0.05,3.4730487734487734,AVERAGE_P90_FORECAST,3.841868112222094,60.0,80.0,80.0,False,False,INACTIVE_SUPPLIER;HIGH_MOQ_VS_DEMAND,Supplier is inactive.,0.6528705122047647,0.6273663105240923,0.3705409800436843,MEDIUM
SKU-BAT-008,SUP-006,9.79,250,200,18,4.5,0.929,0.071,0.285,0.112,183.6,73.15,28.84,145.6,6.45,HISTORICAL,WATCHLIST,True,Multiple supplier performance metrics are worsening.,STRONG_HISTORY,WATCHLIST_SUPPLIER,True,250.0,2447.5,183.6,73.15,36.9873,16.307199999999998,114.4875,2872.032,estimated_total_procurement_cost,0.0,intermittent,0.6574585635359116,1.7252946396530315,0.0828729281767955,high,random_forest,0.6767428727151423,MEDIUM_RISK,3.4730487734487734,3.4730487734487734,0.6767428727151424,MEDIUM_RISK,LOADED_FROM_PHASE1,0.34813993257355563,MEDIUM,0.0,-0.05,3.4730487734487734,AVERAGE_P90_FORECAST,3.738480918674675,200.0,250.0,250.0,True,True,HIGH_MOQ_VS_DEMAND,MOQ is high compared to expected demand.,0.35983587051662314,0.30983587051662315,0.2379402696019671,LOW
SKU-BAT-008,SUP-007,16.59,40,30,8,2.6,0.939,0.061,0.185,0.072,35.7,114.95,24.72,98.8,6.45,HISTORICAL,INSUFFICIENT_DATA,False,Insufficient recent or baseline data for trend detection.,LIMITED_HISTORY,LIMITED_TREND_DATA,False,40.0,663.6,35.7,114.95,11.89032,7.113599999999999,15.738,848.9919200000002,estimated_total_procurement_cost,1.0,intermittent,0.6574585635359116,1.7252946396530315,0.0828729281767955,high,random_forest,0.6767428727151423,MEDIUM_RISK,3.4730487734487734,3.4730487734487734,0.6767428727151424,MEDIUM_RISK,LOADED_FROM_PHASE1,0.30232269327461886,MEDIUM,0.03,-0.03,3.4730487734487734,AVERAGE_P90_FORECAST,3.6986674903607812,30.0,40.0,40.0,True,True,HIGH_MOQ_VS_DEMAND,MOQ is high compared to expected demand.,0.8688221313131312,0.8688221313131312,0.19212303030303032,LOW
SKU-BBQ-006,SUP-001,7.84,95,70,18,6.5,0.848,0.152,0.445,0.304,67.6,182.7,56.65,260.0,9.22,HISTORICAL,IMPROVING,False,Supplier performance is improving across most metrics.,STRONG_HISTORY,NONE,False,95.0,744.8,67.6,182.7,163.860125,79.03999999999999,133.1368,1371.1369249999998,estimated_total_procurement_cost,0.5686223502793717,variable,0.0828729281767955,0.9663958061029084,0.1270718232044199,high,gradient_boosting,0.8770335782591818,LOW_RISK,24.56454571903451,25.68258726432594,0.8770335782591818,LOW_RISK,LOADED_FROM_PHASE1,0.4199663292856723,MEDIUM,0.0,0.02,25.68258726432594,AVERAGE_P90_FORECAST,30.286069887176815,70.0,95.0,95.0,True,True,HIGH_MOQ_VS_DEMAND;LOW_YIELD_REQUIRES_EXTRA_ORDERING,MOQ is high compared to expected demand.,0.6582669180632422,0.6782669180632422,0.3899455107320932,MEDIUM
SKU-BBQ-006,SUP-004,11.26,75,55,25,2.2,0.953,0.047,0.085,0.064,88.4,76.12,20.6,80.0,5.12,HISTORICAL,WATCHLIST,True,Delay trend is worsening.,STRONG_HISTORY,WATCHLIST_SUPPLIER,True,75.0,844.5,88.4,76.12,3.8522000000000007,5.12,18.048,1036.0402,estimated_total_procurement_cost,1.0,variable,0.0828729281767955,0.9663958061029084,0.1270718232044199,high,gradient_boosting,0.8770335782591818,LOW_RISK,24.56454571903451,25.68258726432594,0.8770335782591818,LOW_RISK,LOADED_FROM_PHASE1,0.13039803301932493,LOW,0.0,-0.05,25.68258726432594,AVERAGE_P90_FORECAST,26.949199647771184,55.0,75.0,75.0,True,True,NONE,Supplier option is feasible.,0.7691191151671364,0.7191191151671363,0.10037721446574584,LOW
SKU-BBQ-006,SUP-005,9.85,65,45,16,8.1,0.898,0.102,0.375,0.244,72.8,152.25,46.35,220.0,8.2,HISTORICAL,WATCHLIST,True,Multiple supplier performance metrics are worsening.,STRONG_HISTORY,WATCHLIST_SUPPLIER,True,65.0,640.25,72.8,152.25,140.78812499999998,53.68,54.36599999999999,1114.134125,estimated_total_procurement_cost,0.8994679108727216,variable,0.0828729281767955,0.9663958061029084,0.1270718232044199,high,gradient_boosting,0.8770335782591818,LOW_RISK,24.56454571903451,25.68258726432594,0.8770335782591818,LOW_RISK,LOADED_FROM_PHASE1,0.39738179859726336,MEDIUM,0.0,-0.05,25.68258726432594,AVERAGE_P90_FORECAST,28.599763100585676,45.0,65.0,65.0,False,False,INACTIVE_SUPPLIER;LOW_YIELD_REQUIRES_EXTRA_ORDERING,Supplier is inactive.,0.8609440863971278,0.8109440863971278,0.3673609800436843,MEDIUM
SKU-BBQ-006,SUP-006,7.24,195,155,19,4.5,0.923,0.077,0.255,0.124,187.2,71.05,28.84,140.0,6.15,HISTORICAL,WATCHLIST,True,Multiple supplier performance metrics are worsening.,STRONG_HISTORY,WATCHLIST_SUPPLIER,True,195.0,1411.8,187.2,71.05,33.0939,17.36,92.34225,1812.8461499999999,estimated_total_procurement_cost,0.0,variable,0.0828729281767955,0.9663958061029084,0.1270718232044199,high,gradient_boosting,0.8770335782591818,LOW_RISK,24.56454571903451,25.68258726432594,0.8770335782591818,LOW_RISK,LOADED_FROM_PHASE1,0.2647810881555462,MEDIUM,0.0,-0.05,25.68258726432594,AVERAGE_P90_FORECAST,27.825121629822252,155.0,195.0,195.0,True,True,HIGH_MOQ_VS_DEMAND,MOQ is high compared to expected demand.,0.49242820384995645,0.44242820384995646,0.2347602696019671,LOW
SKU-CHC-005,SUP-002,12.68,55,40,12,1.4,0.979,0.021,0.045,0.037,96.9,130.0,18.0,70.2,4.0,HISTORICAL,HEALTHY,False,Supplier performance trend is acceptable for current review.,STRONG_HISTORY,NONE,False,55.0,697.4,96.9,130.0,1.134,2.5974,4.62,932.6514,estimated_total_procurement_cost,0.6660748007675266,smooth,0.0,0.2655149787728912,0.1602209944751381,high,gradient_boosting,0.9715421832144412,LOW_RISK,18.99866977844311,19.083469838866268,0.9715421832144414,LOW_RISK,LOADED_FROM_PHASE1,0.06881025378969197,LOW,0.0,0.0,19.083469838866268,AVERAGE_P90_FORECAST,19.49281903867852,40.0,55.0,55.0,True,True,NONE,Supplier option is feasible.,0.7603490806631115,0.7603490806631115,0.06179248520710061,LOW
SKU-CHC-005,SUP-003,10.03,40,25,6,1.1,0.874,0.126,0.12,0.092,56.1,90.0,30.0,129.6,14.0,HISTORICAL,MIXED,False,Supplier performance trend is acceptable for current review.,STRONG_HISTORY,NONE,False,40.0,401.2,56.1,90.0,3.96,11.9232,70.56,633.7431999999999,estimated_total_procurement_cost,1.0,smooth,0.0,0.2655149787728912,0.1602209944751381,high,gradient_boosting,0.9715421832144412,LOW_RISK,18.99866977844311,19.083469838866268,0.9715421832144414,LOW_RISK,LOADED_FROM_PHASE1,0.11164839660191503,LOW,0.006771720613287905,0.0,19.083469838866268,AVERAGE_P90_FORECAST,21.83463368291335,25.0,40.0,40.0,True,True,LOW_YIELD_REQUIRES_EXTRA_ORDERING,Low yield requires ordering extra quantity.,0.9628507552334943,0.9696224758467822,0.10463062801932367,LOW
