calendar_id,crew_id,weekday,shift_start,shift_end,planned_break_minutes,available_flag,calendar_type,notes
CAL-PROD-FRAME-MON,CREW-PROD-FRAME,Monday,08:00,16:30,30,True,NORMAL_SHIFT,Normal production shift.
CAL-PROD-FRAME-TUE,CREW-PROD-FRAME,Tuesday,08:00,16:30,30,True,NORMAL_SHIFT,Normal production shift.
CAL-PROD-FRAME-WED,CREW-PROD-FRAME,Wednesday,08:00,16:30,30,True,NORMAL_SHIFT,Normal production shift.
CAL-PROD-FRAME-THU,CREW-PROD-FRAME,Thursday,08:00,16:30,30,True,NORMAL_SHIFT,Normal production shift.
CAL-PROD-FRAME-FRI,CREW-PROD-FRAME,Friday,08:00,16:30,30,True,NORMAL_SHIFT,Normal production shift.
CAL-PROD-WHEEL-MON,CREW-PROD-WHEEL,Monday,08:00,16:30,30,True,NORMAL_SHIFT,Normal production shift.
CAL-PROD-WHEEL-TUE,CREW-PROD-WHEEL,Tuesday,08:00,16:30,30,True,NORMAL_SHIFT,Normal production shift.
CAL-PROD-WHEEL-WED,CREW-PROD-WHEEL,Wednesday,08:00,16:30,30,True,NORMAL_SHIFT,Normal production shift.
CAL-PROD-WHEEL-THU,CREW-PROD-WHEEL,Thursday,08:00,16:30,30,True,NORMAL_SHIFT,Normal production shift.
CAL-PROD-WHEEL-FRI,CREW-PROD-WHEEL,Friday,08:00,16:30,30,True,NORMAL_SHIFT,Normal production shift.
CAL-PROD-BRAKE-MON,CREW-PROD-BRAKE,Monday,08:00,16:30,30,True,NORMAL_SHIFT,Normal production shift.
CAL-PROD-BRAKE-TUE,CREW-PROD-BRAKE,Tuesday,08:00,16:30,30,True,NORMAL_SHIFT,Normal production shift.
CAL-PROD-BRAKE-WED,CREW-PROD-BRAKE,Wednesday,08:00,16:30,30,True,NORMAL_SHIFT,Normal production shift.
CAL-PROD-BRAKE-THU,CREW-PROD-BRAKE,Thursday,08:00,16:30,30,True,NORMAL_SHIFT,Normal production shift.
CAL-PROD-BRAKE-FRI,CREW-PROD-BRAKE,Friday,08:00,16:30,30,True,NORMAL_SHIFT,Normal production shift.
CAL-PROD-FINAL-MON,CREW-PROD-FINAL,Monday,08:00,16:30,30,True,NORMAL_SHIFT,Normal production shift.
CAL-PROD-FINAL-TUE,CREW-PROD-FINAL,Tuesday,08:00,16:30,30,True,NORMAL_SHIFT,Normal production shift.
CAL-PROD-FINAL-WED,CREW-PROD-FINAL,Wednesday,08:00,16:30,30,True,NORMAL_SHIFT,Normal production shift.
CAL-PROD-FINAL-THU,CREW-PROD-FINAL,Thursday,08:00,16:30,30,True,NORMAL_SHIFT,Normal production shift.
CAL-PROD-FINAL-FRI,CREW-PROD-FINAL,Friday,08:00,16:30,30,True,NORMAL_SHIFT,Normal production shift.
CAL-PROD-QC-MON,CREW-PROD-QC,Monday,08:00,16:30,30,True,NORMAL_SHIFT,Normal production shift.
CAL-PROD-QC-TUE,CREW-PROD-QC,Tuesday,08:00,16:30,30,True,NORMAL_SHIFT,Normal production shift.
CAL-PROD-QC-WED,CREW-PROD-QC,Wednesday,08:00,16:30,30,True,NORMAL_SHIFT,Normal production shift.
CAL-PROD-QC-THU,CREW-PROD-QC,Thursday,08:00,16:30,30,True,NORMAL_SHIFT,Normal production shift.
