planning_run_id,machine_id,machine_name,failure_mode_id,required_skill_id,required_skill_name,required_maintenance_level,active_maintenance_crew_count,authorized_repair_crew_count,crew_skill_coverage_status,breakdown_crew_review_required_flag,note_no_scheduling_flag,source_phase,advisory_only_flag
PHASE4-MPS-20260711131832,M-FRAME-JIG-001,Frame Jig and Alignment Fixture,FM-FRAME-ALIGN-001,SKILL-MECH-MAINT,mechanical_maintenance,MEDIUM,1,1,LIMITED_COVERAGE,False,True,SHARED_STEP7D_BREAKDOWN_RISK_FORECAST,True
PHASE4-MPS-20260711131832,M-FRAME-JIG-001,Frame Jig and Alignment Fixture,FM-FRAME-BEAR-001,SKILL-MECH-MAINT,mechanical_maintenance,MEDIUM,1,1,LIMITED_COVERAGE,False,True,SHARED_STEP7D_BREAKDOWN_RISK_FORECAST,True
PHASE4-MPS-20260711131832,M-WHEEL-TRUE-001,Wheel Truing Stand,FM-WHEEL-BEAR-001,SKILL-MECH-MAINT,mechanical_maintenance,MEDIUM,1,1,LIMITED_COVERAGE,False,True,SHARED_STEP7D_BREAKDOWN_RISK_FORECAST,True
PHASE4-MPS-20260711131832,M-WHEEL-TRUE-001,Wheel Truing Stand,FM-WHEEL-ALIGN-001,SKILL-BASIC-ADJUSTMENT,basic_adjustment,LIGHT,0,1,NO_ACTIVE_COVERAGE,True,True,SHARED_STEP7D_BREAKDOWN_RISK_FORECAST,True
PHASE4-MPS-20260711131832,M-BRAKE-BENCH-001,Brake Assembly Bench and Tooling,FM-BRAKE-TOOL-001,SKILL-BASIC-ADJUSTMENT,basic_adjustment,LIGHT,0,1,NO_ACTIVE_COVERAGE,True,True,SHARED_STEP7D_BREAKDOWN_RISK_FORECAST,True
PHASE4-MPS-20260711131832,M-BRAKE-BENCH-001,Brake Assembly Bench and Tooling,FM-BRAKE-SENSOR-001,SKILL-ELEC-MAINT,electrical_maintenance,MEDIUM,1,1,LIMITED_COVERAGE,False,True,SHARED_STEP7D_BREAKDOWN_RISK_FORECAST,True
PHASE4-MPS-20260711131832,M-FORK-BENCH-001,Fork and Suspension Prep Bench,FM-FORK-SEAL-001,SKILL-MECH-MAINT,mechanical_maintenance,MEDIUM,1,1,LIMITED_COVERAGE,False,True,SHARED_STEP7D_BREAKDOWN_RISK_FORECAST,True
PHASE4-MPS-20260711131832,M-FORK-BENCH-001,Fork and Suspension Prep Bench,FM-FORK-LUBE-001,SKILL-LUBRICATION,lubrication,LIGHT,0,1,NO_ACTIVE_COVERAGE,True,True,SHARED_STEP7D_BREAKDOWN_RISK_FORECAST,True
PHASE4-MPS-20260711131832,M-FINAL-STAND-001,Final Assembly Stand,FM-FINAL-JIG-001,SKILL-HEAVY-OVERHAUL,heavy_overhaul,HEAVY,1,1,LIMITED_COVERAGE,False,True,SHARED_STEP7D_BREAKDOWN_RISK_FORECAST,True
PHASE4-MPS-20260711131832,M-FINAL-STAND-001,Final Assembly Stand,FM-FINAL-BEAR-001,SKILL-MECH-MAINT,mechanical_maintenance,MEDIUM,1,1,LIMITED_COVERAGE,False,True,SHARED_STEP7D_BREAKDOWN_RISK_FORECAST,True
PHASE4-MPS-20260711131832,M-QC-TOOLS-001,QC Inspection Tool Set,FM-QC-CAL-001,SKILL-ELEC-MAINT,electrical_maintenance,CALIBRATION,1,1,LIMITED_COVERAGE,False,True,SHARED_STEP7D_BREAKDOWN_RISK_FORECAST,True
PHASE4-MPS-20260711131832,M-QC-TOOLS-001,QC Inspection Tool Set,FM-QC-SENSOR-001,SKILL-ELEC-MAINT,electrical_maintenance,MEDIUM,1,1,LIMITED_COVERAGE,False,True,SHARED_STEP7D_BREAKDOWN_RISK_FORECAST,True
PHASE4-MPS-20260711131832,M-PACK-BENCH-001,Packaging Bench and Tool Set,FM-PACK-TOOL-001,SKILL-CLEANING,cleaning,LIGHT,0,1,NO_ACTIVE_COVERAGE,True,True,SHARED_STEP7D_BREAKDOWN_RISK_FORECAST,True
PHASE4-MPS-20260711131832,M-PACK-BENCH-001,Packaging Bench and Tool Set,FM-PACK-ELECT-001,SKILL-ELEC-MAINT,electrical_maintenance,MEDIUM,1,1,LIMITED_COVERAGE,False,True,SHARED_STEP7D_BREAKDOWN_RISK_FORECAST,True
