planning_run_id,breakdown_history_id,machine_id,machine_name,machine_type,period_start,period_end,breakdown_count,minor_stop_count,downtime_hours,repair_hours,failure_mode_id,root_cause_category,spare_part_sku_used,maintenance_deferred_flag,operations_since_last_maintenance,days_since_last_maintenance,breakdown_history_source,data_source_type,source_phase,advisory_only_flag
PHASE4-MPS-20260711131832,BDH-FRAME-2026W01,M-FRAME-JIG-001,Frame Jig and Alignment Fixture,FRAME_ALIGNMENT_FIXTURE,2026-03-02,2026-03-08,0,1,0.5,0.3,FM-FRAME-ALIGN-001,ALIGNMENT,SP-FRAME-JIG-PAD-001,False,600,45,SYNTHETIC_PLANNING_HISTORY,SYNTHETIC_PLANNING_HISTORY,SHARED_STEP7D_BREAKDOWN_RISK_FORECAST,True
PHASE4-MPS-20260711131832,BDH-FRAME-2026W02,M-FRAME-JIG-001,Frame Jig and Alignment Fixture,FRAME_ALIGNMENT_FIXTURE,2026-03-09,2026-03-15,1,2,2.5,1.8,FM-FRAME-BEAR-001,WEAR,SP-BEARING-KIT-001,True,880,58,SYNTHETIC_PLANNING_HISTORY,SYNTHETIC_PLANNING_HISTORY,SHARED_STEP7D_BREAKDOWN_RISK_FORECAST,True
PHASE4-MPS-20260711131832,BDH-FRAME-2026W03,M-FRAME-JIG-001,Frame Jig and Alignment Fixture,FRAME_ALIGNMENT_FIXTURE,2026-03-16,2026-03-22,1,2,3.0,2.2,FM-FRAME-ALIGN-001,ALIGNMENT,SP-FRAME-JIG-PAD-001,True,1050,72,SYNTHETIC_PLANNING_HISTORY,SYNTHETIC_PLANNING_HISTORY,SHARED_STEP7D_BREAKDOWN_RISK_FORECAST,True
PHASE4-MPS-20260711131832,BDH-FRAME-2026W04,M-FRAME-JIG-001,Frame Jig and Alignment Fixture,FRAME_ALIGNMENT_FIXTURE,2026-03-23,2026-03-29,1,3,3.5,2.6,FM-FRAME-ALIGN-001,ALIGNMENT,SP-FRAME-JIG-PAD-001,True,1180,84,SYNTHETIC_PLANNING_HISTORY,SYNTHETIC_PLANNING_HISTORY,SHARED_STEP7D_BREAKDOWN_RISK_FORECAST,True
PHASE4-MPS-20260711131832,BDH-WHEEL-2026W01,M-WHEEL-TRUE-001,Wheel Truing Stand,WHEEL_TRUING_STAND,2026-03-02,2026-03-08,1,4,4.0,3.0,FM-WHEEL-BEAR-001,WEAR,SP-BEARING-KIT-001,True,900,62,SYNTHETIC_PLANNING_HISTORY,SYNTHETIC_PLANNING_HISTORY,SHARED_STEP7D_BREAKDOWN_RISK_FORECAST,True
PHASE4-MPS-20260711131832,BDH-WHEEL-2026W02,M-WHEEL-TRUE-001,Wheel Truing Stand,WHEEL_TRUING_STAND,2026-03-09,2026-03-15,1,3,3.0,2.4,FM-WHEEL-ALIGN-001,ALIGNMENT,SP-WHEEL-TRUING-SPARE-001,True,980,70,SYNTHETIC_PLANNING_HISTORY,SYNTHETIC_PLANNING_HISTORY,SHARED_STEP7D_BREAKDOWN_RISK_FORECAST,True
PHASE4-MPS-20260711131832,BDH-WHEEL-2026W03,M-WHEEL-TRUE-001,Wheel Truing Stand,WHEEL_TRUING_STAND,2026-03-16,2026-03-22,0,3,2.0,1.6,FM-WHEEL-ALIGN-001,ALIGNMENT,SP-WHEEL-TRUING-SPARE-001,False,1040,78,SYNTHETIC_PLANNING_HISTORY,SYNTHETIC_PLANNING_HISTORY,SHARED_STEP7D_BREAKDOWN_RISK_FORECAST,True
PHASE4-MPS-20260711131832,BDH-WHEEL-2026W04,M-WHEEL-TRUE-001,Wheel Truing Stand,WHEEL_TRUING_STAND,2026-03-23,2026-03-29,0,2,1.5,1.2,FM-WHEEL-ALIGN-001,ALIGNMENT,SP-WHEEL-TRUING-SPARE-001,False,1110,86,SYNTHETIC_PLANNING_HISTORY,SYNTHETIC_PLANNING_HISTORY,SHARED_STEP7D_BREAKDOWN_RISK_FORECAST,True
PHASE4-MPS-20260711131832,BDH-BRAKE-2026W01,M-BRAKE-BENCH-001,Brake Assembly Bench and Tooling,BRAKE_ASSEMBLY_TOOLS,2026-03-02,2026-03-08,0,1,0.4,0.3,FM-BRAKE-TOOL-001,TOOLING,SP-BRAKE-BENCH-TOOL-001,False,300,24,SYNTHETIC_PLANNING_HISTORY,PLANNING_ASSUMPTION_HISTORY,SHARED_STEP7D_BREAKDOWN_RISK_FORECAST,True
PHASE4-MPS-20260711131832,BDH-BRAKE-2026W02,M-BRAKE-BENCH-001,Brake Assembly Bench and Tooling,BRAKE_ASSEMBLY_TOOLS,2026-03-09,2026-03-15,0,1,0.5,0.4,FM-BRAKE-TOOL-001,TOOLING,SP-BRAKE-BENCH-TOOL-001,False,420,31,SYNTHETIC_PLANNING_HISTORY,PLANNING_ASSUMPTION_HISTORY,SHARED_STEP7D_BREAKDOWN_RISK_FORECAST,True
