review_item_id,planning_run_id,machine_id,machine_name,issue_type,issue_severity,issue_description,recommended_review_action,auto_action_allowed,advisory_only_flag
BDR-REV-0001,PHASE4-MPS-20260701125813,M-FRAME-JIG-001,Frame Jig and Alignment Fixture,CRITICAL_BREAKDOWN_RISK,CRITICAL,Frame Jig and Alignment Fixture has critical breakdown risk score 140.0.,REVIEW_DOWNTIME_RISK,False,True
BDR-REV-0002,PHASE4-MPS-20260701125813,M-FRAME-JIG-001,Frame Jig and Alignment Fixture,WORSENING_BREAKDOWN_TREND,HIGH,Frame Jig and Alignment Fixture breakdown trend is worsening.,REVIEW_MAINTENANCE_DUE_STATUS,False,True
BDR-REV-0003,PHASE4-MPS-20260701125813,M-FRAME-JIG-001,Frame Jig and Alignment Fixture,OVERDUE_MAINTENANCE_BREAKDOWN_RISK,CRITICAL,Frame Jig and Alignment Fixture has overdue maintenance and high breakdown risk.,REVIEW_MAINTENANCE_DUE_STATUS,False,True
BDR-REV-0004,PHASE4-MPS-20260701125813,M-WHEEL-TRUE-001,Wheel Truing Stand,CRITICAL_BREAKDOWN_RISK,CRITICAL,Wheel Truing Stand has critical breakdown risk score 102.5.,REVIEW_DOWNTIME_RISK,False,True
BDR-REV-0005,PHASE4-MPS-20260701125813,M-WHEEL-TRUE-001,Wheel Truing Stand,OVERDUE_MAINTENANCE_BREAKDOWN_RISK,CRITICAL,Wheel Truing Stand has overdue maintenance and high breakdown risk.,REVIEW_MAINTENANCE_DUE_STATUS,False,True
BDR-REV-0006,PHASE4-MPS-20260701125813,M-BRAKE-BENCH-001,Brake Assembly Bench and Tooling,CRITICAL_BREAKDOWN_RISK,CRITICAL,Brake Assembly Bench and Tooling has critical breakdown risk score 99.75.,REVIEW_DOWNTIME_RISK,False,True
BDR-REV-0007,PHASE4-MPS-20260701125813,M-BRAKE-BENCH-001,Brake Assembly Bench and Tooling,WORSENING_BREAKDOWN_TREND,HIGH,Brake Assembly Bench and Tooling breakdown trend is worsening.,REVIEW_MAINTENANCE_DUE_STATUS,False,True
BDR-REV-0008,PHASE4-MPS-20260701125813,M-BRAKE-BENCH-001,Brake Assembly Bench and Tooling,OVERDUE_MAINTENANCE_BREAKDOWN_RISK,CRITICAL,Brake Assembly Bench and Tooling has overdue maintenance and high breakdown risk.,REVIEW_MAINTENANCE_DUE_STATUS,False,True
BDR-REV-0009,PHASE4-MPS-20260701125813,M-FORK-BENCH-001,Fork and Suspension Prep Bench,CRITICAL_BREAKDOWN_RISK,CRITICAL,Fork and Suspension Prep Bench has critical breakdown risk score 93.75.,REVIEW_DOWNTIME_RISK,False,True
BDR-REV-0010,PHASE4-MPS-20260701125813,M-FORK-BENCH-001,Fork and Suspension Prep Bench,NEW_MACHINE_OEM_BASELINE,MEDIUM,Fork and Suspension Prep Bench is new-to-us and uses OEM reliability guidance.,REVIEW_OEM_GUIDELINE,False,True
BDR-REV-0011,PHASE4-MPS-20260701125813,M-FORK-BENCH-001,Fork and Suspension Prep Bench,OVERDUE_MAINTENANCE_BREAKDOWN_RISK,CRITICAL,Fork and Suspension Prep Bench has overdue maintenance and high breakdown risk.,REVIEW_MAINTENANCE_DUE_STATUS,False,True
BDR-REV-0012,PHASE4-MPS-20260701125813,M-FINAL-STAND-001,Final Assembly Stand,CRITICAL_BREAKDOWN_RISK,CRITICAL,Final Assembly Stand has critical breakdown risk score 161.0.,REVIEW_DOWNTIME_RISK,False,True
BDR-REV-0013,PHASE4-MPS-20260701125813,M-FINAL-STAND-001,Final Assembly Stand,WORSENING_BREAKDOWN_TREND,HIGH,Final Assembly Stand breakdown trend is worsening.,REVIEW_MAINTENANCE_DUE_STATUS,False,True
BDR-REV-0014,PHASE4-MPS-20260701125813,M-FINAL-STAND-001,Final Assembly Stand,OVERDUE_MAINTENANCE_BREAKDOWN_RISK,CRITICAL,Final Assembly Stand has overdue maintenance and high breakdown risk.,REVIEW_MAINTENANCE_DUE_STATUS,False,True
BDR-REV-0015,PHASE4-MPS-20260701125813,M-FINAL-STAND-001,Final Assembly Stand,HIGH_EXPECTED_DOWNTIME,HIGH,Expected downtime next period is 8.05 hours.,REVIEW_DOWNTIME_RISK,False,True
