planning_run_id,candidate_window_period,candidate_window_day,candidate_window_shift,feasible_candidate_count,blocked_candidate_count,crew_blocked_count,spare_part_blocked_count,production_impact_blocked_count,highest_priority_candidate_id,calendar_feasibility_status,calendar_feasibility_reason,source_phase,advisory_only_flag
PHASE4-MPS-20260726202343,STEP7G_WEEKLY_FEASIBILITY_PERIOD,Friday,07:30-16:00,0,38,29,35,26,MAINT-CAND-002,ALL_CANDIDATES_BLOCKED,feasible=0;blocked=38;crew_blocked=29;spare_blocked=35;production_blocked=26,SHARED_STEP7G_MAINTENANCE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260726202343,STEP7G_WEEKLY_FEASIBILITY_PERIOD,Friday,08:00-16:30,1,6,3,2,5,MAINT-CAND-008,HAS_FEASIBLE_CANDIDATES,feasible=1;blocked=6;crew_blocked=3;spare_blocked=2;production_blocked=5,SHARED_STEP7G_MAINTENANCE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260726202343,STEP7G_WEEKLY_FEASIBILITY_PERIOD,Monday,07:30-16:00,0,38,29,35,26,MAINT-CAND-002,ALL_CANDIDATES_BLOCKED,feasible=0;blocked=38;crew_blocked=29;spare_blocked=35;production_blocked=26,SHARED_STEP7G_MAINTENANCE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260726202343,STEP7G_WEEKLY_FEASIBILITY_PERIOD,Monday,08:00-16:30,1,6,3,2,5,MAINT-CAND-008,HAS_FEASIBLE_CANDIDATES,feasible=1;blocked=6;crew_blocked=3;spare_blocked=2;production_blocked=5,SHARED_STEP7G_MAINTENANCE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260726202343,STEP7G_WEEKLY_FEASIBILITY_PERIOD,Thursday,07:30-16:00,0,38,29,35,26,MAINT-CAND-002,ALL_CANDIDATES_BLOCKED,feasible=0;blocked=38;crew_blocked=29;spare_blocked=35;production_blocked=26,SHARED_STEP7G_MAINTENANCE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260726202343,STEP7G_WEEKLY_FEASIBILITY_PERIOD,Thursday,08:00-16:30,1,6,3,2,5,MAINT-CAND-008,HAS_FEASIBLE_CANDIDATES,feasible=1;blocked=6;crew_blocked=3;spare_blocked=2;production_blocked=5,SHARED_STEP7G_MAINTENANCE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260726202343,STEP7G_WEEKLY_FEASIBILITY_PERIOD,Tuesday,07:30-16:00,0,38,29,35,26,MAINT-CAND-002,ALL_CANDIDATES_BLOCKED,feasible=0;blocked=38;crew_blocked=29;spare_blocked=35;production_blocked=26,SHARED_STEP7G_MAINTENANCE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260726202343,STEP7G_WEEKLY_FEASIBILITY_PERIOD,Tuesday,08:00-16:30,1,6,3,2,5,MAINT-CAND-008,HAS_FEASIBLE_CANDIDATES,feasible=1;blocked=6;crew_blocked=3;spare_blocked=2;production_blocked=5,SHARED_STEP7G_MAINTENANCE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260726202343,STEP7G_WEEKLY_FEASIBILITY_PERIOD,Wednesday,07:30-16:00,0,38,29,35,26,MAINT-CAND-002,ALL_CANDIDATES_BLOCKED,feasible=0;blocked=38;crew_blocked=29;spare_blocked=35;production_blocked=26,SHARED_STEP7G_MAINTENANCE_SCHEDULE_FEASIBILITY,True
PHASE4-MPS-20260726202343,STEP7G_WEEKLY_FEASIBILITY_PERIOD,Wednesday,08:00-16:30,1,6,3,2,5,MAINT-CAND-008,HAS_FEASIBLE_CANDIDATES,feasible=1;blocked=6;crew_blocked=3;spare_blocked=2;production_blocked=5,SHARED_STEP7G_MAINTENANCE_SCHEDULE_FEASIBILITY,True
